sparc_name,source,group_name,logMh,richness,central,env_class,env_dense,separation_arcsec
NGC5033,default_field,field,11.0,1,1,field,field,
NGC5055,literature,M101,12.0,10,0,group,field,
NGC5371,default_field,field,11.0,1,1,field,field,
NGC5585,literature,M101,12.0,10,0,group,field,
NGC5907,default_field,field,11.0,1,1,field,field,
NGC5985,default_field,field,11.0,1,1,field,field,
NGC6015,default_field,field,11.0,1,1,field,field,
NGC6195,Yang_DR7,Yang_3981,12.839,7,1,group,dense,0.6153851669616939
NGC6503,literature,field,11.0,1,1,poor_group,field,
NGC6674,default_field,field,11.0,1,1,field,field,
NGC6789,literature,field,9.5,1,1,field,field,
NGC6946,literature,NGC6946,11.5,5,1,poor_group,field,
NGC7331,default_field,field,11.0,1,1,field,field,
NGC7793,literature,Sculptor,11.5,15,0,poor_group,field,
NGC7814,default_field,field,11.0,1,1,field,field,
PGC51017,default_field,field,11.0,1,1,field,field,
UGC00128,default_field,field,11.0,1,1,field,field,
UGC00191,default_field,field,11.0,1,1,field,field,
UGC00634,default_field,field,11.0,1,1,field,field,
UGC00731,default_field,field,11.0,1,1,field,field,
UGC00891,default_field,field,11.0,1,1,field,field,
UGC01230,default_field,field,11.0,1,1,field,field,
UGC01281,literature,field,10.0,1,1,field,field,
UGC02023,default_field,field,11.0,1,1,field,field,
UGC02259,default_field,field,11.0,1,1,field,field,
UGC02455,default_field,field,11.0,1,1,field,field,
UGC02487,default_field,field,11.0,1,1,field,field,
UGC02885,default_field,field,11.0,1,1,field,field,
UGC02916,default_field,field,11.0,1,1,field,field,
UGC02953,default_field,field,11.0,1,1,field,field,
UGC03205,default_field,field,11.0,1,1,field,field,
UGC03546,default_field,field,11.0,1,1,field,field,
UGC03580,default_field,field,11.0,1,1,field,field,
UGC04278,default_field,field,11.0,1,1,field,field,
UGC04305,literature,M81,12.0,30,0,group,field,
UGC04325,default_field,field,11.0,1,1,field,field,
UGC04483,literature,M81,12.0,30,0,group,field,
UGC04499,default_field,field,11.0,1,1,field,field,
UGC05005,default_field,field,11.0,1,1,field,field,
UGC05253,default_field,field,11.0,1,1,field,field,
UGC05414,default_field,field,11.0,1,1,field,field,
UGC05716,default_field,field,11.0,1,1,field,field,
UGC05721,default_field,field,11.0,1,1,field,field,
UGC05750,Yang_DR7,Yang_437051,0.0,1,1,field,field,0.3447488507470531
UGC05764,literature,M81,12.0,30,0,group,field,
UGC05829,default_field,field,11.0,1,1,field,field,
UGC05918,literature,CVnI,11.0,12,0,poor_group,field,
UGC05986,default_field,field,11.0,1,1,field,field,
UGC05999,default_field,field,11.0,1,1,field,field,
UGC06399,literature,UMa,13.2,79,0,rich_group,dense,
UGC06446,literature,UMa,13.2,79,0,rich_group,dense,
UGC06614,Yang_DR7,Yang_23431,12.0656,3,1,group,field,0.8831464310483232
UGC06628,default_field,field,11.0,1,1,field,field,
UGC06667,literature,UMa,13.2,79,0,rich_group,dense,
UGC06786,literature,UMa,13.2,79,0,rich_group,dense,
UGC06787,literature,UMa,13.2,79,0,rich_group,dense,
UGC06818,literature,UMa,13.2,79,0,rich_group,dense,
UGC06917,literature,UMa,13.2,79,0,rich_group,dense,
UGC06923,literature,UMa,13.2,79,0,rich_group,dense,
UGC06930,literature,UMa,13.2,79,0,rich_group,dense,
UGC06973,literature,UMa,13.2,79,0,rich_group,dense,
UGC06983,literature,UMa,13.2,79,0,rich_group,dense,
UGC07089,literature,UMa,13.2,79,0,rich_group,dense,
UGC07125,default_field,field,11.0,1,1,field,field,
UGC07151,default_field,field,11.0,1,1,field,field,
UGC07232,literature,CVnI,11.0,12,0,poor_group,field,
UGC07261,default_field,field,11.0,1,1,field,field,
UGC07323,default_field,field,11.0,1,1,field,field,
UGC07399,default_field,field,11.0,1,1,field,field,
UGC07524,literature,CVnI,11.0,12,0,poor_group,field,
UGC07559,literature,CVnI,11.0,12,0,poor_group,field,
UGC07577,literature,CVnI,11.0,12,0,poor_group,field,
UGC07603,default_field,field,11.0,1,1,field,field,
UGC07608,default_field,field,11.0,1,1,field,field,
UGC07690,default_field,field,11.0,1,1,field,field,
UGC07866,literature,CVnI,11.0,12,0,poor_group,field,
UGC08286,default_field,field,11.0,1,1,field,field,
UGC08490,literature,CVnI,11.0,12,0,poor_group,field,
UGC08550,default_field,field,11.0,1,1,field,field,
UGC08699,default_field,field,11.0,1,1,field,field,
UGC08837,literature,field,10.0,1,1,field,field,
UGC09037,Yang_DR7,Yang_15517,11.9232,3,1,poor_group,field,1.0338856917995594
UGC09133,Yang_DR7,Yang_324215,12.4333,1,1,group,field,0.5488049560123575
UGC09992,default_field,field,11.0,1,1,field,field,
UGC10310,default_field,field,11.0,1,1,field,field,
UGC11455,default_field,field,11.0,1,1,field,field,
UGC11557,default_field,field,11.0,1,1,field,field,
UGC11820,default_field,field,11.0,1,1,field,field,
UGC11914,default_field,field,11.0,1,1,field,field,
UGC12506,default_field,field,11.0,1,1,field,field,
UGC12632,literature,field,10.0,1,1,field,field,
UGC12732,default_field,field,11.0,1,1,field,field,
UGCA281,literature,CVnI,11.0,12,0,poor_group,field,
UGCA442,literature,CenA,12.5,30,0,group,dense,
UGCA444,literature,CenA,12.5,30,0,group,dense,
