#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:42:41 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:42:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/136/2563/table4&-out.max=99999&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51362563
#Name: J/AJ/136/2563
#Title: HI Nearby Galaxy Survey, THINGS (Walter+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/aj/136/2563	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/136/2563	    IVOID of underlying data collection
#INFO	creator=Walter F.	    First author or institution
#INFO	cites=bibcode:2008AJ....136.2563W	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/136/2563	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51362563	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-07-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_136_2563_table4:
#Name: J/AJ/136/2563/table4
#Title: HI spectra based on the blanked natural weighted cubes
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A8)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Vel	(F9.3)	Velocity	[ucd=spect.dopplerVeloc]
#Column	SHI	(E11.4)	? HI flux density	[ucd=phot.flux.density;em.radio.750-1500MHz]
recno	Name	Vel	SHI
      42	DDO 154 	  341.400	 9.5992e-01
      43	DDO 154 	  338.800	 9.1064e-01
      44	DDO 154 	  336.300	 8.2570e-01
      45	DDO 154 	  333.700	 7.1146e-01
      46	DDO 154 	  331.100	 5.6253e-01
      47	DDO 154 	  328.500	 4.4486e-01
      48	DDO 154 	  325.900	 3.0424e-01
      49	DDO 154 	  323.300	 2.0891e-01
      50	DDO 154 	  320.800	 1.2404e-01
      51	DDO 154 	  318.200	 7.0101e-02
      52	DDO 154 	  315.600	 3.7712e-02
      53	DDO 154 	  313.000	 7.1823e-03
      54	DDO 154 	  310.400	
      55	DDO 154 	  307.800	
      56	DDO 154 	  305.300	
      57	DDO 154 	  302.700	
      58	DDO  53 	   69.000	
      59	DDO  53 	   66.400	
      60	DDO  53 	   63.800	
      61	DDO  53 	   61.200	
      62	DDO  53 	   58.700	
      63	DDO  53 	   56.100	
      64	DDO  53 	   53.500	 1.5242e-02
      65	DDO  53 	   50.900	 2.8065e-02
      66	DDO  53 	   48.300	 4.0620e-02
      67	DDO  53 	   45.800	 6.1496e-02
      68	DDO  53 	   43.200	 8.9489e-02
      69	DDO  53 	   40.600	 1.3176e-01
      70	DDO  53 	   38.000	 1.8839e-01
      71	DDO  53 	   35.500	 2.5331e-01
      72	DDO  53 	   32.900	 3.3141e-01
      73	DDO  53 	   30.300	 4.0717e-01
      74	DDO  53 	   27.700	 4.9257e-01
      75	DDO  53 	   25.200	 5.7164e-01
      76	DDO  53 	   22.600	 6.2950e-01
      77	DDO  53 	   20.000	 6.4294e-01
      78	DDO  53 	   17.400	 6.5043e-01
      79	DDO  53 	   14.800	 6.0678e-01
      80	DDO  53 	   12.300	 5.5669e-01
      81	DDO  53 	    9.700	 4.6844e-01
      82	DDO  53 	    7.100	 3.8035e-01
      83	DDO  53 	    4.500	 3.1776e-01
      84	DDO  53 	    2.000	 2.3888e-01
      85	DDO  53 	   -0.600	 2.3946e-01
      86	DDO  53 	   -3.200	 1.7184e-01
      87	DDO  53 	   -5.800	 1.1989e-01
      88	DDO  53 	   -8.300	 6.1868e-02
      89	DDO  53 	  -10.900	 2.6638e-02
      90	DDO  53 	  -13.500	 2.0067e-02
      91	DDO  53 	  -16.100	
      92	DDO  53 	  -18.700	
      93	DDO  53 	  -21.200	
      94	DDO  53 	  -23.800	
      95	DDO  53 	  -26.400	
      96	DDO  53 	  -29.000	
      97	DDO  53 	  -31.500	
      98	DDO  53 	  -34.100	
      99	Ho I    	  187.400	
     100	Ho I    	  184.900	
     101	Ho I    	  182.300	
     102	Ho I    	  179.700	 6.1970e-03
     103	Ho I    	  177.100	 8.1544e-03
     104	Ho I    	  174.500	 2.8033e-02
     105	Ho I    	  171.900	 2.1115e-02
     106	Ho I    	  169.400	 6.1829e-02
     107	Ho I    	  166.800	 9.3744e-02
     108	Ho I    	  164.200	 1.5684e-01
     109	Ho I    	  161.600	 2.4982e-01
     110	Ho I    	  159.000	 3.6955e-01
     111	Ho I    	  156.500	 5.1262e-01
     112	Ho I    	  153.900	 6.4830e-01
     113	Ho I    	  151.300	 8.2999e-01
     114	Ho I    	  148.700	 9.8298e-01
     115	Ho I    	  146.100	 1.1737e+00
     116	Ho I    	  143.600	 1.3047e+00
     117	Ho I    	  141.000	 1.3386e+00
     118	Ho I    	  138.400	 1.3712e+00
     119	Ho I    	  135.800	 1.3257e+00
     120	Ho I    	  133.300	 1.2151e+00
     121	Ho I    	  130.700	 1.0675e+00
     122	Ho I    	  128.100	 8.7259e-01
     123	Ho I    	  125.500	 6.9244e-01
     124	Ho I    	  122.900	 4.6088e-01
     125	Ho I    	  120.400	 3.0553e-01
     126	Ho I    	  117.800	 1.8896e-01
     127	Ho I    	  115.200	 1.1919e-01
     128	Ho I    	  112.600	 7.6661e-02
     129	Ho I    	  110.000	 3.1429e-02
     130	Ho I    	  107.500	 1.1402e-02
     131	Ho I    	  104.900	
     132	Ho I    	  102.300	
     133	Ho I    	   99.800	
     134	Ho I    	   97.200	
     135	Ho II   	  239.000	
     136	Ho II   	  236.400	
     137	Ho II   	  233.900	
     138	Ho II   	  231.300	
     139	Ho II   	  228.700	
     140	Ho II   	  226.100	
     141	Ho II   	  223.500	
     142	Ho II   	  221.000	
     143	Ho II   	  218.400	
     144	Ho II   	  215.800	 1.5920e-02
     145	Ho II   	  213.200	 2.5608e-02
     146	Ho II   	  210.600	 5.3390e-02
     147	Ho II   	  208.100	 6.6766e-02
     148	Ho II   	  205.500	 1.1244e-01
     149	Ho II   	  202.900	 1.7914e-01
     150	Ho II   	  200.300	 2.3845e-01
     151	Ho II   	  197.700	 3.2156e-01
     152	Ho II   	  195.200	 4.7531e-01
     153	Ho II   	  192.600	 7.5347e-01
     154	Ho II   	  190.000	 1.0594e+00
     155	Ho II   	  187.400	 1.4525e+00
     156	Ho II   	  184.800	 1.9861e+00
     157	Ho II   	  182.300	 2.5092e+00
     158	Ho II   	  179.700	 2.8688e+00
     159	Ho II   	  177.100	 3.2310e+00
     160	Ho II   	  174.500	 3.4098e+00
     161	Ho II   	  171.900	 3.5368e+00
     162	Ho II   	  169.400	 3.5861e+00
     163	Ho II   	  166.800	 3.6767e+00
     164	Ho II   	  164.200	 3.7529e+00
     165	Ho II   	  161.600	 3.6720e+00
     166	Ho II   	  159.000	 3.6867e+00
     167	Ho II   	  156.500	 3.7264e+00
     168	Ho II   	  153.900	 3.6766e+00
     169	Ho II   	  151.300	 3.7060e+00
     170	Ho II   	  148.700	 3.7935e+00
     171	Ho II   	  146.100	 3.7868e+00
     172	Ho II   	  143.600	 3.8119e+00
     173	Ho II   	  141.000	 3.7298e+00
     174	Ho II   	  138.400	 3.6283e+00
     175	Ho II   	  135.800	 3.3653e+00
     176	Ho II   	  133.300	 2.9907e+00
     177	Ho II   	  130.700	 2.5258e+00
     178	Ho II   	  128.100	 1.9644e+00
     179	Ho II   	  125.500	 1.4085e+00
     180	Ho II   	  122.900	 9.0891e-01
     181	Ho II   	  120.400	 6.1004e-01
     182	Ho II   	  117.800	 3.5865e-01
     183	Ho II   	  115.200	 2.1545e-01
     184	Ho II   	  112.600	 1.2212e-01
     185	Ho II   	  110.000	
     186	Ho II   	  107.400	
     187	Ho II   	  104.900	
     188	Ho II   	  102.300	
     189	IC 2574 	  146.300	
     190	IC 2574 	  143.700	
     191	IC 2574 	  141.100	
     192	IC 2574 	  138.600	
     193	IC 2574 	  136.000	
     194	IC 2574 	  133.400	 1.0897e-02
     195	IC 2574 	  130.800	 2.1664e-02
     196	IC 2574 	  128.200	 4.7735e-02
     197	IC 2574 	  125.700	 8.1727e-02
     198	IC 2574 	  123.100	 1.3350e-01
     199	IC 2574 	  120.500	 2.2314e-01
     200	IC 2574 	  117.900	 3.5305e-01
     201	IC 2574 	  115.300	 5.4514e-01
     202	IC 2574 	  112.800	 7.8535e-01
     203	IC 2574 	  110.200	 1.0559e+00
     204	IC 2574 	  107.600	 1.3696e+00
     205	IC 2574 	  105.000	 1.7131e+00
     206	IC 2574 	  102.400	 2.0696e+00
     207	IC 2574 	   99.900	 2.3917e+00
     208	IC 2574 	   97.300	 2.6936e+00
     209	IC 2574 	   94.700	 2.9124e+00
     210	IC 2574 	   92.100	 3.0872e+00
     211	IC 2574 	   89.600	 3.2066e+00
     212	IC 2574 	   87.000	 3.2963e+00
     213	IC 2574 	   84.400	 3.3409e+00
     214	IC 2574 	   81.800	 3.2835e+00
     215	IC 2574 	   79.200	 3.2488e+00
     216	IC 2574 	   76.700	 3.2295e+00
     217	IC 2574 	   74.100	 3.1937e+00
     218	IC 2574 	   71.500	 3.1566e+00
     219	IC 2574 	   68.900	 3.1288e+00
     220	IC 2574 	   66.400	 3.0977e+00
     221	IC 2574 	   63.800	 3.0993e+00
     222	IC 2574 	   61.200	 3.1272e+00
     223	IC 2574 	   58.600	 3.1727e+00
     224	IC 2574 	   56.000	 3.2695e+00
     225	IC 2574 	   53.500	 3.4339e+00
     226	IC 2574 	   50.900	 3.5511e+00
     227	IC 2574 	   48.300	 3.6037e+00
     228	IC 2574 	   45.700	 3.5568e+00
     229	IC 2574 	   43.200	 3.4833e+00
     230	IC 2574 	   40.600	 3.4819e+00
     231	IC 2574 	   38.000	 3.5088e+00
     232	IC 2574 	   35.400	 3.5714e+00
     233	IC 2574 	   32.800	 3.6248e+00
     234	IC 2574 	   30.300	 3.6936e+00
     235	IC 2574 	   27.700	 3.7322e+00
     236	IC 2574 	   25.100	 3.7612e+00
     237	IC 2574 	   22.500	 3.7788e+00
     238	IC 2574 	   20.000	 3.8163e+00
     239	IC 2574 	   17.400	 3.7890e+00
     240	IC 2574 	   14.800	 3.7434e+00
     241	IC 2574 	   12.200	 3.5875e+00
     242	IC 2574 	    9.700	 3.3238e+00
     243	IC 2574 	    7.100	 3.0405e+00
     244	IC 2574 	    4.500	 2.7736e+00
     245	IC 2574 	    1.900	 2.6595e+00
     246	IC 2574 	   -0.700	 2.3491e+00
     247	IC 2574 	   -3.200	 1.9700e+00
     248	IC 2574 	   -5.800	 1.6361e+00
     249	IC 2574 	   -8.400	 1.4228e+00
     250	IC 2574 	  -11.000	 1.1969e+00
     251	IC 2574 	  -13.500	 1.0081e+00
     252	IC 2574 	  -16.100	 8.1243e-01
     253	IC 2574 	  -18.700	 6.2252e-01
     254	IC 2574 	  -21.300	 4.4867e-01
     255	IC 2574 	  -23.800	 3.0467e-01
     256	IC 2574 	  -26.400	 2.0196e-01
     257	IC 2574 	  -29.000	 1.2445e-01
     258	IC 2574 	  -31.600	 7.0352e-02
     259	IC 2574 	  -34.100	 2.5805e-02
     260	IC 2574 	  -36.700	 7.5767e-03
     261	IC 2574 	  -39.300	
     262	IC 2574 	  -41.900	
     263	IC 2574 	  -44.400	
     264	IC 2574 	  -47.000	
     265	IC 2574 	  -49.600	
     266	IC 2574 	  -52.200	
     267	IC 2574 	  -54.700	
     268	IC 2574 	  -57.300	
     269	IC 2574 	  -59.900	
     270	IC 2574 	  -62.500	
     271	IC 2574 	  -65.000	
     272	M81 DwA 	  137.400	
     273	M81 DwA 	  136.200	
     274	M81 DwA 	  134.900	
     275	M81 DwA 	  133.600	
     276	M81 DwA 	  132.300	
     277	M81 DwA 	  131.000	 1.8695e-02
     278	M81 DwA 	  129.800	 3.1944e-02
     279	M81 DwA 	  128.500	 3.6497e-02
     280	M81 DwA 	  127.200	 5.0278e-02
     281	M81 DwA 	  125.900	 6.7686e-02
     282	M81 DwA 	  124.600	 7.5666e-02
     283	M81 DwA 	  123.300	 8.6746e-02
     284	M81 DwA 	  122.000	 9.7846e-02
     285	M81 DwA 	  120.700	 1.2292e-01
     286	M81 DwA 	  119.400	 1.4737e-01
     287	M81 DwA 	  118.200	 1.6915e-01
     288	M81 DwA 	  116.900	 1.7963e-01
     289	M81 DwA 	  115.600	 1.9399e-01
     290	M81 DwA 	  114.300	 1.9850e-01
     291	M81 DwA 	  113.000	 2.0516e-01
     292	M81 DwA 	  111.700	 1.8792e-01
     293	M81 DwA 	  110.400	 1.8253e-01
     294	M81 DwA 	  109.100	 1.6075e-01
     295	M81 DwA 	  107.800	 1.4912e-01
     296	M81 DwA 	  106.600	 1.3076e-01
     297	M81 DwA 	  105.300	 1.1982e-01
     298	M81 DwA 	  104.000	 1.0672e-01
     299	M81 DwA 	  102.700	 9.5291e-02
     300	M81 DwA 	  101.400	 7.8628e-02
     301	M81 DwA 	  100.100	 7.6585e-02
     302	M81 DwA 	   98.800	 6.8219e-02
     303	M81 DwA 	   97.500	 5.3789e-02
     304	M81 DwA 	   96.200	 3.7390e-02
     305	M81 DwA 	   95.000	 3.6268e-02
     306	M81 DwA 	   93.700	 2.3414e-02
     307	M81 DwA 	   92.400	
     308	M81 DwA 	   91.100	
     309	M81 DwA 	   89.800	
     310	M81 DwA 	   88.500	
     311	M81 DwA 	   87.300	
     312	M81 DwA 	   86.000	
     313	M81 DwB 	  386.200	 3.2740e-03
     314	M81 DwB 	  383.600	 5.6915e-03
     315	M81 DwB 	  381.000	 6.2619e-03
     316	M81 DwB 	  378.400	 1.6744e-02
     317	M81 DwB 	  375.800	 1.6780e-02
     318	M81 DwB 	  373.200	 2.1396e-02
     319	M81 DwB 	  370.700	 3.8622e-02
     320	M81 DwB 	  368.100	 4.8704e-02
     321	M81 DwB 	  365.500	 6.3030e-02
     322	M81 DwB 	  362.900	 6.8521e-02
     323	M81 DwB 	  360.300	 7.5965e-02
     324	M81 DwB 	  357.700	 8.5127e-02
     325	M81 DwB 	  355.200	 7.8410e-02
     326	M81 DwB 	  352.600	 8.1214e-02
     327	M81 DwB 	  350.000	 7.8607e-02
     328	M81 DwB 	  347.400	 7.7354e-02
     329	M81 DwB 	  344.800	 7.0569e-02
     330	M81 DwB 	  342.300	 7.5501e-02
     331	M81 DwB 	  339.700	 6.5972e-02
     332	M81 DwB 	  337.100	 7.6987e-02
     333	M81 DwB 	  334.500	 7.8851e-02
     334	M81 DwB 	  331.900	 7.0842e-02
     335	M81 DwB 	  329.300	 6.6228e-02
     336	M81 DwB 	  326.800	 5.1207e-02
     337	M81 DwB 	  324.200	 3.9911e-02
     338	M81 DwB 	  321.600	 3.0455e-02
     339	M81 DwB 	  319.000	 2.4699e-02
     340	M81 DwB 	  316.400	 1.3875e-02
     341	M81 DwB 	  313.900	 1.2642e-02
     342	M81 DwB 	  311.300	 8.5084e-03
     343	M81 DwB 	  308.700	 5.9313e-03
     344	M81 DwB 	  306.100	
     345	M81 DwB 	  303.500	
     346	M81 DwB 	  301.000	
     347	NGC 1569	    7.900	
     348	NGC 1569	    5.300	
     349	NGC 1569	    2.700	
     350	NGC 1569	    0.200	
     351	NGC 1569	   -2.400	
     352	NGC 1569	   -5.000	
     353	NGC 1569	   -7.600	
     354	NGC 1569	  -10.100	
     355	NGC 1569	  -12.700	
     356	NGC 1569	  -15.300	
     357	NGC 1569	  -17.900	
     358	NGC 1569	  -20.500	
     359	NGC 1569	  -23.000	
     360	NGC 1569	  -25.600	 3.6001e-01
     361	NGC 1569	  -28.200	 3.0983e-01
     362	NGC 1569	  -30.800	 3.3042e-01
     363	NGC 1569	  -33.300	 3.9402e-01
     364	NGC 1569	  -35.900	 4.0174e-01
     365	NGC 1569	  -38.500	 4.1430e-01
     366	NGC 1569	  -41.100	 4.0630e-01
     367	NGC 1569	  -43.600	 4.3769e-01
     368	NGC 1569	  -46.200	 4.5975e-01
     369	NGC 1569	  -48.800	 4.1759e-01
     370	NGC 1569	  -51.400	 4.2683e-01
     371	NGC 1569	  -53.900	 5.1168e-01
     372	NGC 1569	  -56.500	 6.3678e-01
     373	NGC 1569	  -59.100	 7.1116e-01
     374	NGC 1569	  -61.700	 7.4843e-01
     375	NGC 1569	  -64.200	 8.8110e-01
     376	NGC 1569	  -66.800	 9.4720e-01
     377	NGC 1569	  -69.400	 9.9930e-01
     378	NGC 1569	  -72.000	 9.9972e-01
     379	NGC 1569	  -74.600	 1.0204e+00
     380	NGC 1569	  -77.100	 9.9575e-01
     381	NGC 1569	  -79.700	 1.0365e+00
     382	NGC 1569	  -82.300	 1.0241e+00
     383	NGC 1569	  -84.900	 1.0612e+00
     384	NGC 1569	  -87.400	 1.0439e+00
     385	NGC 1569	  -90.000	 1.0271e+00
     386	NGC 1569	  -92.600	 1.0205e+00
     387	NGC 1569	  -95.100	 9.7616e-01
     388	NGC 1569	  -97.700	 9.3757e-01
     389	NGC 1569	 -100.300	 9.1093e-01
     390	NGC 1569	 -102.900	 8.7222e-01
     391	NGC 1569	 -105.400	 8.4465e-01
     392	NGC 1569	 -108.000	 8.0216e-01
     393	NGC 1569	 -110.600	 7.8208e-01
     394	NGC 1569	 -113.200	 8.7019e-01
     395	NGC 1569	 -115.700	 7.3106e-01
     396	NGC 1569	 -118.300	 6.6340e-01
     397	NGC 1569	 -120.900	 6.1356e-01
     398	NGC 1569	 -123.500	 5.6137e-01
     399	NGC 1569	 -126.000	 5.2282e-01
     400	NGC 1569	 -128.600	 4.6294e-01
     401	NGC 1569	 -131.200	 4.1470e-01
     402	NGC 1569	 -133.800	 3.8218e-01
     403	NGC 1569	 -136.300	 3.5823e-01
     404	NGC 1569	 -138.900	 2.8286e-01
     405	NGC 1569	 -141.500	 2.9364e-01
     406	NGC 1569	 -144.100	 2.3820e-01
     407	NGC 1569	 -146.600	 2.2967e-01
     408	NGC 1569	 -149.200	 1.7768e-01
     409	NGC 1569	 -151.800	 1.4989e-01
     410	NGC 1569	 -154.400	 1.4441e-01
     411	NGC 1569	 -156.900	 1.0551e-01
     412	NGC 1569	 -159.500	 9.0648e-02
     413	NGC 1569	 -162.100	 6.7138e-02
     414	NGC 1569	 -164.700	 6.4054e-02
     415	NGC 1569	 -167.200	 5.3537e-02
     416	NGC 1569	 -169.800	
     417	NGC 1569	 -172.300	
     418	NGC 1569	 -174.900	
     419	NGC 1569	 -177.500	
     420	NGC 1569	 -180.100	
     421	NGC 1569	 -182.700	
     422	NGC 2366	  187.700	
     423	NGC 2366	  185.100	
     424	NGC 2366	  182.500	
     425	NGC 2366	  179.900	
     426	NGC 2366	  177.400	
     427	NGC 2366	  174.800	
     428	NGC 2366	  172.200	 1.9468e-02
     429	NGC 2366	  169.600	 4.2651e-02
     430	NGC 2366	  167.100	 7.5214e-02
     431	NGC 2366	  164.500	 1.4814e-01
     432	NGC 2366	  161.900	 2.4889e-01
     433	NGC 2366	  159.300	 3.9567e-01
     434	NGC 2366	  156.700	 6.0985e-01
     435	NGC 2366	  154.200	 8.8329e-01
     436	NGC 2366	  151.600	 1.1655e+00
     437	NGC 2366	  149.000	 1.3905e+00
     438	NGC 2366	  146.400	 1.6141e+00
     439	NGC 2366	  143.800	 1.7755e+00
     440	NGC 2366	  141.300	 1.9690e+00
     441	NGC 2366	  138.700	 2.1007e+00
     442	NGC 2366	  136.100	 2.2400e+00
     443	NGC 2366	  133.500	 2.3750e+00
     444	NGC 2366	  130.900	 2.4634e+00
     445	NGC 2366	  128.400	 2.5135e+00
     446	NGC 2366	  125.800	 2.5180e+00
     447	NGC 2366	  123.200	 2.4875e+00
     448	NGC 2366	  120.600	 2.4691e+00
     449	NGC 2366	  118.000	 2.4377e+00
     450	NGC 2366	  115.500	 2.3965e+00
     451	NGC 2366	  112.900	 2.3732e+00
     452	NGC 2366	  110.300	 2.3135e+00
     453	NGC 2366	  107.700	 2.3142e+00
     454	NGC 2366	  105.200	 2.2920e+00
     455	NGC 2366	  102.600	 2.2555e+00
     456	NGC 2366	  100.000	 2.2793e+00
     457	NGC 2366	   97.400	 2.3150e+00
     458	NGC 2366	   94.800	 2.3244e+00
     459	NGC 2366	   92.300	 2.3431e+00
     460	NGC 2366	   89.700	 2.3741e+00
     461	NGC 2366	   87.100	 2.3778e+00
     462	NGC 2366	   84.500	 2.3537e+00
     463	NGC 2366	   82.000	 2.2812e+00
     464	NGC 2366	   79.400	 2.2216e+00
     465	NGC 2366	   76.800	 2.1497e+00
     466	NGC 2366	   74.200	 2.1152e+00
     467	NGC 2366	   71.600	 2.1061e+00
     468	NGC 2366	   69.100	 2.0829e+00
     469	NGC 2366	   66.500	 2.0670e+00
     470	NGC 2366	   63.900	 2.0577e+00
     471	NGC 2366	   61.300	 2.0134e+00
     472	NGC 2366	   58.800	 1.8553e+00
     473	NGC 2366	   56.200	 1.6217e+00
     474	NGC 2366	   53.600	 1.4135e+00
     475	NGC 2366	   51.000	 1.2178e+00
     476	NGC 2366	   48.400	 1.0009e+00
     477	NGC 2366	   45.900	 7.4728e-01
     478	NGC 2366	   43.300	 5.1907e-01
     479	NGC 2366	   40.700	 3.1721e-01
     480	NGC 2366	   38.100	 1.8416e-01
     481	NGC 2366	   35.600	 7.7765e-02
     482	NGC 2366	   33.000	 4.2836e-02
     483	NGC 2366	   30.400	 1.2339e-02
     484	NGC 2366	   27.800	 1.6140e-03
     485	NGC 2366	   25.200	
     486	NGC 2366	   22.600	
     487	NGC 2366	   20.100	
     488	NGC 2403	  288.700	
     489	NGC 2403	  283.500	
     490	NGC 2403	  278.400	
     491	NGC 2403	  273.200	 1.0165e-02
     492	NGC 2403	  268.000	 8.5386e-02
     493	NGC 2403	  262.900	 6.3329e-01
     494	NGC 2403	  257.700	 1.7470e+00
     495	NGC 2403	  252.500	 3.6251e+00
     496	NGC 2403	  247.400	 5.1853e+00
     497	NGC 2403	  242.200	 5.7734e+00
     498	NGC 2403	  237.100	 5.8142e+00
     499	NGC 2403	  231.900	 5.4231e+00
     500	NGC 2403	  226.700	 4.9312e+00
     501	NGC 2403	  221.600	 4.7904e+00
     502	NGC 2403	  216.400	 4.6796e+00
     503	NGC 2403	  211.200	 4.6827e+00
     504	NGC 2403	  206.100	 4.7940e+00
     505	NGC 2403	  200.900	 4.7698e+00
     506	NGC 2403	  195.800	 4.4326e+00
     507	NGC 2403	  190.600	 4.2746e+00
     508	NGC 2403	  185.500	 4.2491e+00
     509	NGC 2403	  180.300	 4.2336e+00
     510	NGC 2403	  175.100	 4.1585e+00
     511	NGC 2403	  170.000	 4.1102e+00
     512	NGC 2403	  164.800	 4.1945e+00
     513	NGC 2403	  159.700	 4.2515e+00
     514	NGC 2403	  154.500	 4.2294e+00
     515	NGC 2403	  149.300	 4.1746e+00
     516	NGC 2403	  144.200	 4.0998e+00
     517	NGC 2403	  139.000	 3.9895e+00
     518	NGC 2403	  133.900	 4.0380e+00
     519	NGC 2403	  128.700	 3.8664e+00
     520	NGC 2403	  123.600	 3.8679e+00
     521	NGC 2403	  118.400	 3.6478e+00
     522	NGC 2403	  113.200	 3.5208e+00
     523	NGC 2403	  108.100	 3.5026e+00
     524	NGC 2403	  102.900	 3.5894e+00
     525	NGC 2403	   97.800	 3.5080e+00
     526	NGC 2403	   92.600	 3.5332e+00
     527	NGC 2403	   87.500	 3.5850e+00
     528	NGC 2403	   82.300	 3.6818e+00
