#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T19:43:07 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T19:43:07	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/482/154/tablea3&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74820154
#Name: J/MNRAS/482/154
#Title: GHASP. spiral galaxies dark matter distribution (Korsaga+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/482/154	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/482/154	    IVOID of underlying data collection
#INFO	creator=Korsaga M.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.482..154K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/482/154	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74820154	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_482_154_tablea3:
#Name: J/MNRAS/482/154/tablea3
#Title: Parameters of mass models using the MDM technique with the pseudo-isothermal (ISO) model
#Column	ID	(A9)	Name of the galaxy in the UGC catalogue (UGC NNNNN)	[ucd=meta.id;meta.main]
#Column	M/LdMDM	(F5.2)	M/L of the disc from the pseudo-isothermal maximum disc model (MDM) (1)	[ucd=phys.composition.massLightRatio]
#Column	E_M/LdMDM	(F5.2)	Upper error on M/LdMDM (1)	[ucd=stat.error;stat.max]
#Column	e_M/LdMDM	(F5.2)	Lower error on M/LdMDM (1)	[ucd=stat.error]
#Column	M/LbMDM	(F5.2)	? M/L of the disc from the pseudo-isothermal maximum disc model (MDM) (1)	[ucd=phys.composition.massLightRatio]
#Column	E_M/LbMDM	(F5.2)	? Upper error on M/LbMDM (1)	[ucd=stat.error;stat.max]
#Column	e_M/LbMDM	(F5.2)	? Lower error on M/LbMDM (1)	[ucd=stat.error]
#Column	r0MDM	(F4.1)	Core radius of the dark matter halo from the pseudo-isothermal maximum disc model (MDM) (1)	[ucd=phys.size.radius]
#Column	E_r0MDM	(F4.1)	Upper error on r0MDM (1)	[ucd=stat.error;stat.max]
#Column	e_r0MDM	(F4.1)	Lower error on r0MDM (1)	[ucd=stat.error]
#Column	rho0MDM	(I3)	Central density of the dark matter halo from the pseudo-isothermal maximum disc model (MDM) (1)	[ucd=phys.density]
#Column	E_rho0MDM	(I3)	Upper error on rho0MDM (1)	[ucd=stat.error;stat.max]
#Column	e_rho0MDM	(I3)	Lower error on rho0MDM (1)	[ucd=stat.error]
#Column	Chi2MDM	(F4.1)	Reduced chi-squared from the pseudo-isothermal maximum disc model (MDM) (1)	[ucd=stat.fit.chi2]
ID	M/LdMDM	E_M/LdMDM	e_M/LdMDM	M/LbMDM	E_M/LbMDM	e_M/LbMDM	r0MDM	E_r0MDM	e_r0MDM	rho0MDM	E_rho0MDM	e_rho0MDM	Chi2MDM
UGC 03876	 4.00	 0.01	 3.90	 4.11	 0.89	 4.01	 3.4	 0.1	 2.9	 26	 73	 16	 1.9
UGC 03915	 2.60	 0.01	 2.50	 8.00	 0.01	 7.90	 0.5	 4.6	 0.1	 36	 63	 36	13.1
UGC 04026	 5.05	 0.01	 4.95	 5.05	 4.95	 4.95	 3.6	24.4	 3.1	 19	 86	 19	 6.3
UGC 04165	 1.35	 0.01	 1.25	 1.36	 6.64	 1.26	 0.5	 0.3	 0.1	  0	200	  1	 3.2
UGC 04273	 1.14	 0.01	 1.04	 1.16	 2.84	 1.06	 4.1	 0.1	 3.6	 68	 37	 58	 5.8
UGC 04284	 3.00	 0.01	 2.90	 3.05	 2.95	 2.95	13.6	 0.1	13.1	 14	 91	  4	 5.6
UGC 04325	 2.17	 0.01	 2.07	     	     	     	 6.3	 0.1	 5.8	 14	 91	  4	 5.2
UGC 04456	 4.46	 0.01	 4.36	 4.59	 3.41	 4.49	 0.5	 7.5	 0.1	  0	 50	  1	 2.6
UGC 04499	 0.70	 0.01	 0.60	     	     	     	 4.8	 3.2	 4.3	 20	 85	 10	32.3
UGC 04555	 1.57	 0.01	 1.47	 5.84	 2.16	 5.75	 1.0	 2.0	 0.5	196	  9	196	 1.1
UGC 04820	 4.46	 0.01	 4.36	 4.59	 3.41	 4.49	 0.5	 9.9	 0.1	 73	 76	 63	 2.9
UGC 04936	 3.80	 0.01	 3.70	 3.87	 4.13	 3.77	 6.5	 0.1	 6.0	 32	 67	 22	 4.2
UGC 05045	 9.55	 0.01	 9.45	18.00	 0.01	17.90	 0.5	 9.1	 0.1	 50	 50	 50	 2.5
UGC 05228	 1.41	 0.01	 1.31	     	     	     	 0.8	 0.3	 0.3	227	272	227	 3.0
UGC 05251	 1.57	 0.01	 1.47	 1.61	 2.39	 1.51	 4.6	 0.1	 4.1	 18	 87	  8	 6.2
UGC 05253	 1.63	 0.01	 1.53	 1.96	 1.42	 1.86	 1.4	 2.4	 0.9	280	 19	270	 3.6
UGC 05414	 3.08	 0.01	 2.98	     	     	     	 9.2	 0.1	 8.8	  4	101	  4	 7.3
UGC 05510	 2.60	 0.01	 2.50	 2.61	 5.39	 2.51	 3.7	 0.2	 3.2	 31	 74	 21	14.1
UGC 05840	10.22	 0.01	10.12	10.27	 7.73	10.17	 0.5	 1.7	 0.1	  0	406	  1	22.2
UGC 05842	 1.57	 0.01	 1.47	 1.61	 2.39	 1.51	 2.9	 0.1	 2.4	 21	484	 11	 2.2
UGC 05931	 0.86	 0.01	 0.76	 0.90	 3.10	 0.80	 4.9	 0.1	 4.4	 36	 69	 26	 5.2
UGC 05982	 3.78	 0.01	 3.68	 8.00	 0.01	 7.90	 7.8	 0.1	 7.3	  6	299	  6	 6.4
UGC 06118	 0.59	 0.01	 0.49	 0.63	 1.33	 0.53	 1.2	 1.7	 0.7	103	  2	 93	 5.5
UGC 06277	 3.40	 0.01	 3.30	 3.51	 4.49	 3.41	11.6	 6.4	11.1	117	188	107	 2.3
UGC 06521	 4.53	 0.01	 4.43	 5.84	 2.16	 5.75	 0.5	 0.9	 0.1	  0	750	  1	 4.6
UGC 06537	 1.84	 0.01	 1.74	 1.87	 2.13	 1.77	 3.6	 0.1	 3.1	 46	260	 26	23.5
UGC 06702	 2.55	 0.01	 2.45	 2.55	 0.78	 2.45	 3.4	 4.6	 2.9	  9	 96	  9	30.4
UGC 06778	 2.39	 0.01	 2.29	 2.40	 1.60	 2.30	 6.8	 0.1	 6.2	 50	 55	 50	 7.1
UGC 07021	 0.80	 0.01	 0.70	 0.82	 4.49	 0.72	 1.4	 0.2	 0.9	649	100	639	 9.6
UGC 07045	 3.20	 0.01	 3.10	 6.92	 1.08	 6.82	 5.1	 0.1	 4.6	 14	 91	 14	 4.0
UGC 07154	 2.34	 0.01	 2.24	 2.40	 1.60	 2.30	 9.5	 0.1	 9.0	  4	101	  4	 6.9
UGC 07323	 2.28	 0.01	 2.18	     	     	     	 3.3	14.7	 2.8	  2	103	  2	 4.5
UGC 07766	 1.68	 0.01	 1.58	 1.70	 2.30	 1.59	 0.5	 4.1	 0.1	  0	106	  1	 5.7
UGC 07831	 1.74	 0.01	 1.64	     	     	     	 0.5	 7.5	 0.1	  0	106	  1	 6.5
UGC 07861	 0.43	 0.01	 0.33	 0.46	 0.27	 0.35	 1.1	26.9	 0.6	  9	 96	  9	 2.3
UGC 07876	 1.34	 0.01	 1.24	 1.34	 2.66	 1.24	 1.5	 0.2	 1.0	 99	106	 89	 2.2
UGC 07901	 1.34	 0.01	 1.24	 3.33	 4.67	 3.23	 2.7	 0.1	 2.2	 90	215	 80	 4.1
UGC 07985	 0.86	 0.01	 0.76	 0.90	 3.10	 0.80	 0.7	 0.3	 0.2	279	 26	269	 4.2
UGC 08334	 1.34	 0.01	 1.24	 3.73	 0.27	 3.63	 1.7	 0.1	 1.2	153	596	153	 5.8
UGC 08403	 0.26	 0.01	 0.16	     	     	     	 6.5	 0.1	 6.0	 19	 86	 19	 4.7
UGC 08490	 3.40	 0.01	 3.30	 3.51	 4.49	 3.41	 3.7	 0.1	 3.2	 43	262	 33	 2.8
UGC 08709	 4.53	 0.01	 4.43	 4.53	 1.47	 4.43	 5.8	 0.1	 5.3	  4	101	  4	14.4
UGC 08852	 1.47	 0.01	 1.37	 1.49	 2.51	 1.39	 1.6	 0.5	 1.1	158	148	148	 9.4
UGC 08900	 1.52	 0.01	 1.42	 1.52	 2.48	 1.42	 8.0	 3.8	 7.5	 64	 41	 54	 3.9
UGC 08937	 2.68	 0.01	 2.58	 4.77	 3.23	 4.67	 5.6	 2.4	 5.1	 34	715	 34	 7.9
UGC 09179	 2.28	 0.01	 2.18	 2.32	 1.68	 2.22	 2.4	 0.1	 1.9	 77	228	 67	 5.4
UGC 09248	 1.41	 0.01	 1.31	 1.44	 4.56	 1.34	 1.2	 0.5	 0.7	272	 33	262	 7.0
UGC 09358	 2.20	 0.01	 2.10	 7.64	 0.36	 7.54	18.6	61.4	18.1	 12	 93	  2	 6.8
UGC 09363	 1.68	 0.01	 1.58	 1.70	 2.30	 1.59	 7.5	 0.1	 7.0	 12	 93	  2	 3.8
UGC 09366	 1.96	 0.01	 1.85	 2.94	 1.06	 2.84	 0.7	 1.5	 0.2	413	336	403	 5.5
UGC 09465	 1.19	 0.01	 1.09	     	     	     	 1.7	 0.1	 1.2	 66	 39	 56	 2.2
UGC 09576	 1.25	 0.01	 1.15	 1.25	 2.75	 1.15	 5.4	 0.1	 4.9	  7	 98	  7	 8.9
UGC 09649	 9.29	 0.01	 9.19	15.97	 2.03	15.87	 0.5	37.5	 0.1	  0	506	  1	22.5
UGC 09736	 3.54	 0.01	 3.44	 8.00	 0.01	 7.90	 0.5	 2.7	 0.1	238	511	238	11.0
UGC 09753	 2.12	 0.01	 2.02	 2.14	 1.86	 2.04	 1.2	 0.1	 0.7	220	385	220	11.8
UGC 09858	 5.65	 0.01	 5.55	 5.67	 2.33	 5.57	 2.4	 0.1	 1.9	 17	732	 17	 9.5
UGC 09866	 4.68	 0.01	 4.58	 4.75	 4.25	 4.65	 8.6	19.4	 8.1	 18	181	 18	 2.8
UGC 09943	 1.30	 0.01	 1.20	 1.34	 2.66	 1.24	 2.8	 2.3	 2.3	 55	 50	 55	 4.0
UGC 09969	 3.84	 0.01	 3.84	 4.54	 3.46	 4.54	 1.9	 0.9	 1.8	262	 43	232	 5.2
UGC 10075	 4.41	 0.01	 4.31	     	     	     	32.0	 0.1	31.5	  4	201	  4	 7.6
UGC 10359	 0.60	 0.01	 0.50	 5.31	 2.69	 5.21	 3.7	 0.3	 3.2	 38	 67	 38	 4.1
UGC 10521	 1.74	 0.01	 1.64	 1.78	 2.22	 1.68	 1.2	 1.4	 0.7	 58	 48	 48	 6.4
UGC 10652	 0.97	 0.01	 0.87	 1.00	 7.00	 0.90	 1.8	 0.1	 1.2	346	403	336	10.1
UGC 10757	 1.68	 0.01	 1.58	 2.05	 1.95	 1.95	 6.6	 1.4	 6.1	 23	 82	 13	 2.3
UGC 10897	 0.32	 0.01	 0.22	 0.37	 3.63	 0.27	 1.7	 0.5	 1.2	103	  2	 93	 4.1
UGC 11283	 6.16	 0.01	 6.06	 6.17	 2.83	 6.07	 0.5	 2.7	 0.1	  0	106	  1	14.1
UGC 11300	 2.96	 0.01	 2.86	 3.13	 5.87	 3.03	 3.1	 0.1	 2.6	 36	 69	 26	 5.4
UGC 11597	 0.37	 0.01	 0.27	 0.63	 2.66	 0.53	 0.5	 2.2	 0.1	  0	106	  1	 7.7
UGC 11670	 1.18	 0.01	 1.08	 1.25	 0.44	 1.15	 6.6	 0.1	 6.1	 16	 89	 16	10.9
UGC 11707	 1.10	 0.01	 1.00	 1.20	 3.30	 1.10	 3.9	 0.1	 3.4	 14	 91	 14	 3.5
UGC 11852	 0.59	 0.01	 0.49	 0.63	 3.19	 0.53	 2.4	 0.3	 1.9	209	190	159	69.0
UGC 11861	 0.10	 0.01	 0.01	     	     	     	 3.2	 3.6	 2.7	 49	 56	 39	 5.5
UGC 11914	 0.81	 0.01	 0.71	 0.90	 0.71	 0.80	 0.5	 4.8	 0.1	  0	106	  1	 3.0
UGC 12060	 5.63	 0.01	 5.53	     	     	     	 0.5	 7.5	 0.1	  0	106	  1	13.6
UGC 12754	 1.63	 0.01	 1.53	     	     	     	 2.7	 0.2	 2.2	  5	154	 41	 8.1

