#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T21:05:08 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T21:05:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/127/3273/galaxies&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51273273
#Name: J/AJ/127/3273
#Title: Nearby galaxies HI observations (Vogt+, 2004)
#INFO	ivoid=ivo://cds.vizier/j/aj/127/3273	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/127/3273	    IVOID of underlying data collection
#INFO	creator=Vogt N.P.	    First author or institution
#INFO	cites=bibcode:2004AJ....127.3273V	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2004	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/127/3273	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51273273	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-04-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	J_AJ_127_3273_galaxies:
#Name: J/AJ/127/3273/galaxies
#Title: The three sets of parameters (tables 2, 3 and 4 of the paper)
#Column	Name	(a15)	Source identification (G1)	[ucd=meta.id;meta.main]
#Column	RAB1950	(A10)	Hour of Right Ascension (B1950)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	Degree of Declination (B1950)	[ucd=pos.eq.dec;meta.main]
#Column	TType	(A3)	RC3 (Cat. <VII/155>) morphological type code (2)	[ucd=meta.code;src.morph.type]
#Column	RV	(I5)	Galaxy radial velocity in CMB reference frame (3)	[ucd=phys.veloc;pos.cmb]
#Column	Clust	(A6)	Associated cluster (4)	[ucd=meta.id.parent]
#Column	RSep	(F5.2)	? Radial separation from cluster center expressed in {sigma} (6)	[ucd=pos.distance]
#Column	OW0	(I3)	Measured velocity width	[ucd=spect.line.width]
#Column	RW0	(I3)	? Measured 21cm line profile velocity width (1)	[ucd=spect.line.width]
#Column	M/Lc	(F5.2)	? Corrected mass-to-light ratio in solar units (7)	[ucd=phys.composition.massLightRatio]
#Column	Dark	(F5.2)	? Ratio of dark to light matter within R_f_	[ucd=phys.mass;arith.ratio]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Name	RAB1950	DEB1950	TType	RV	Clust	RSep	OW0	RW0	M/Lc	Dark	_RA.icrs	_DE.icrs
2444/415-048   	02 55 51.4	+06 06 10	3  	 6502	A400  	-0.70	353	373	 1.77	 1.98	02 58 30.2	+06 18 07
120871         	02 56 16.6	+05 59 40	5  	 7658	A400  	 1.17	163	   	     	     	02 58 55.3	+06 11 36
2454/M+108032  	02 56 36.1	+07 06 55	5  	 7414	A400  	 0.77	371	370	 1.84	 0.72	02 59 15.8	+07 18 50
120852/M+108036	02 57 29.6	+05 30 58	4  	 8202	A400  	 2.04	170	201	 1.47	 0.11	03 00 08.0	+05 42 50
2518/389-073   	03 01 42.7	+01 34 00	5  	 6815	A400  	-0.19	256	300	 1.80	 0.61	03 04 17.8	+01 45 39
130014/415-058 	03 02 00.7	+05 14 56	5  	 8214	A400  	 2.06	209	313	     	     	03 04 38.9	+05 26 34
2561/I1884     	03 06 24.0	+40 48 00	3  	 5815	A426  	 0.39	270	   	 0.74	 0.16	03 09 40.1	+40 59 23
2567/I1887     	03 06 57.5	+40 34 38	6  	 2825	A426  	-1.89	259	281	 1.00	 0.74	03 10 13.3	+40 45 59
2581           	03 08 54.0	+40 04 00	5  	 4092	A426  	-0.92	243	308	 1.49	 0.12	03 12 09.4	+40 15 15
2612/540-065   	03 11 54.0	+41 48 00	5  	 9373	A426  	 3.12	152	243	 0.13	 0.25	03 15 12.6	+41 59 05
2618/540-070   	03 12 42.0	+41 53 00	2  	 5209	A426  	-0.07	446	482	 1.65	 0.36	03 16 00.8	+42 04 03
2617/540-068   	03 12 43.8	+40 42 06	5  	 4536	A426  	-0.58	258	313	 1.16	 0.12	03 16 00.8	+40 53 09
2640/540-084   	03 14 30.0	+43 07 00	3B 	 5956	A426  	 0.50	329	350	 1.15	 0.16	03 17 51.1	+43 17 57
2639/540-083   	03 14 31.2	+41 47 06	2  	 3668	A426  	-1.25	304	   	 0.65	 0.21	03 17 50.2	+41 58 03
2642           	03 14 37.8	+40 44 24	3B 	 5077	A426  	-0.17	 97	   	 0.31	 0.03	03 17 55.2	+40 55 20
2655/540-091   	03 15 24.0	+43 03 32	5B 	 6032	A426  	 0.56	246	307	 0.71	 0.20	03 18 45.2	+43 14 26
2659/540-094   	03 15 36.0	+40 25 00	4  	 6015	A426  	 0.55	345	   	 1.38	 0.04	03 18 53.0	+40 35 53
2665/540-100   	03 16 08.4	+41 27 12	5  	 7567	A426  	 1.73	388	   	 1.96	 0.39	03 19 27.1	+41 38 03
130204/540-115 	03 18 15.0	+41 19 42	5  	 7045	A426  	 1.34	398	   	 1.30	 0.03	03 21 33.9	+41 30 26
2696/540-118   	03 18 42.0	+42 00 00	3  	 5230	A426  	-0.05	303	   	 0.48	 0.18	03 22 02.0	+42 10 43
2700/540-121   	03 19 36.0	+42 22 00	3B 	 6465	A426  	 0.89	404	432	 1.00	 0.37	03 22 56.8	+42 32 40
2718           	03 21 30.0	+41 48 00	5  	 6597	A426  	 0.99	275	   	     	     	03 24 50.2	+41 58 33
2730/541-005   	03 22 36.0	+40 35 00	3  	 3617	A426  	-1.29	385	439	 1.21	 0.64	03 25 54.4	+40 45 30
2736/541-008   	03 23 12.0	+40 20 00	2  	 5506	A426  	 0.16	403	327	 0.51	 0.13	03 26 30.1	+40 30 28
2742/541-009   	03 24 24.0	+40 44 00	5B 	 4186	A426  	-0.85	 67	420	 0.10	 0.45	03 27 42.9	+40 54 24
2798/541-022   	03 34 48.0	+40 50 00	3  	 4803	A426  	-0.38	368	422	 1.14	 0.24	03 38 08.7	+40 59 47
3236/420-031   	05 00 51.8	+06 35 23	4  	 8495	A539  	-0.34	319	404	 1.42	 0.31	05 03 33.1	+06 39 33
3255/421-003   	05 07 18.2	+07 25 14	3B 	 5634	A539  	-4.42	462	   	     	     	05 10 00.5	+07 28 57
3269/421-006   	05 11 25.2	+06 27 54	4  	 8930	A539  	 0.28	272	285	 1.40	 0.08	05 14 06.4	+06 31 19
150046/421-007 	05 12 13.6	+05 21 23	3  	 8846	A539  	 0.16	546	547	 2.59	 0.03	05 14 53.5	+05 24 45
3270/421-010   	05 12 38.2	+06 25 01	5  	 8640	A539  	-0.13	327	359	 1.86	 0.39	05 15 19.3	+06 28 21
150059/421-011 	05 12 54.1	+07 08 30	5  	 8910	A539  	 0.25	366	363	 1.45	 0.56	05 15 36.1	+07 11 49
150063/421-013 	05 13 05.5	+06 43 19	5  	 8197	A539  	-0.76	306	366	 1.54	 0.87	05 15 47.0	+06 46 37
3272           	05 13 32.6	+06 03 00	3  	 9087	A539  	 0.51	402	305	 1.29	 0.04	05 16 13.3	+06 06 16
3275/M+114017  	05 14 04.1	+06 34 03	3  	 7967	A539  	-1.09	471	513	 2.28	 0.04	05 16 45.4	+06 37 17
150110         	05 14 14.3	+07 02 31	5  	 9053	A539  	 0.46	280	293	     	     	05 16 56.2	+07 05 44
3279/421-020   	05 14 27.7	+06 52 33	4  	 8400	A539  	-0.47	556	606	 1.57	 0.09	05 17 09.4	+06 55 45
150118         	05 14 53.3	+06 32 27	3  	 8376	A539  	-0.51	349	   	 1.89	 0.07	05 17 34.6	+06 35 37
150138/421-025 	05 16 32.0	+05 49 36	5  	 9218	A539  	 0.69	361	368	     	     	05 19 12.5	+05 52 39
3289/421-029   	05 17 24.3	+06 31 56	3B 	 8886	A539  	 0.22	292	317	 1.20	 0.63	05 20 05.6	+06 34 55
150203         	05 17 25.9	+05 37 35	5  	 8707	A539  	-0.04	184	238	     	     	05 20 06.1	+05 40 34
3291/421-032   	05 17 44.4	+06 31 21	5B 	 4338	A539  	-6.27	187	 52	 0.94	 0.34	05 20 25.7	+06 34 19
150149/421-033 	05 17 57.7	+05 05 57	5  	 8987	A539  	 0.36	165	   	 0.21	 0.05	05 20 37.3	+05 08 54
3783/F620      	07 14 50.1	+24 50 20	5  	 6337	Field 	     	341	371	 2.23	 0.14	07 17 53.0	+24 44 52
3843/086-027   	07 22 47.8	+20 12 07	5  	 5451	Field 	     	183	206	 0.74	 0.93	07 25 44.4	+20 06 07
4257/118-069   	08 07 10.0	+25 02 27	5  	 4375	Cancer	-1.78	253	251	 1.70	 0.39	08 10 10.1	+24 53 33
4275/N2540     	08 09 44.0	+26 30 45	5B 	 6512	Cancer	 4.96	301	330	 1.36	 0.16	08 12 45.7	+26 21 42
180597/F729    	08 10 21.5	+21 07 04	6  	11497	Cancer	20.69	359	   	     	     	08 13 16.8	+20 57 59
4287/N2545     	08 11 17.6	+21 30 27	4B 	 3611	Cancer	-4.19	408	419	 0.63	 0.06	08 14 13.3	+21 21 18
180141/119-019 	08 12 25.1	+21 42 39	5  	 4496	Cancer	-1.40	236	277	 2.03	 0.27	08 15 20.9	+21 33 26
4299/119-020   	08 13 02.0	+23 21 00	4  	 4507	Cancer	-1.36	296	399	 0.89	 0.19	08 15 59.7	+23 11 45
4308/119-029   	08 14 29.5	+21 50 24	5B 	 3795	Cancer	-3.61	202	248	 0.94	 0.50	08 17 25.4	+21 41 04
4324/119-041   	08 15 33.8	+20 55 11	3  	 5047	Cancer	 0.34	299	319	 1.29	 0.16	08 18 28.6	+20 45 47
4329/119-046   	08 16 06.2	+21 20 30	5  	 4332	Cancer	-1.91	191	226	 2.24	 0.43	08 19 01.4	+21 11 04
4331/N2558     	08 16 17.4	+20 39 58	2  	 5233	Cancer	 0.93	402	406	 1.85	 0.23	08 19 11.8	+20 30 31
4334/N2565     	08 16 51.7	+22 11 19	3B 	 3813	Cancer	-3.55	391	412	 0.75	 0.47	08 19 47.8	+22 01 50
180209/119-059 	08 17 03.4	+21 13 22	3  	 4444	Cancer	-1.56	184	212	 1.69	 0.27	08 19 58.4	+21 03 53
4354/N2570     	08 18 27.2	+21 04 14	2  	 6801	Cancer	 5.87	263	298	 2.25	 0.82	08 21 21.9	+20 54 40
4361/119-070   	08 18 57.8	+22 48 15	5  	 3972	Cancer	-3.05	152	186	 0.81	 0.92	08 21 54.4	+22 38 39
4383/I2339     	08 20 39.3	+21 30 35	5B 	 5656	Cancer	 2.26	244	256	 0.63	 0.48	08 23 34.4	+21 20 53
180598         	08 20 57.0	+21 34 44	5  	 5330	Cancer	 1.23	167	203	 1.58	 0.21	08 23 52.1	+21 25 01
4386/119-083   	08 21 06.6	+21 11 14	3  	 4877	Cancer	-0.20	447	480	 1.41	 0.09	08 24 01.3	+21 01 30
4400/119-093   	08 23 10.5	+21 50 00	5  	 4629	Cancer	-0.98	162	225	 1.24	 0.97	08 26 05.8	+21 40 09
4399/119-092   	08 23 12.7	+21 37 14	6  	 4720	Cancer	-0.69	212	239	 1.37	 0.59	08 26 07.7	+21 27 23
4424           	08 25 14.4	+20 25 30	3  	 4681	Cancer	-0.81	179	213	 2.18	 0.83	08 28 08.0	+20 15 31
180599         	08 25 21.4	+22 12 05	4  	 6690	Cancer	 5.52	176	209	 1.36	 0.03	08 28 16.9	+22 02 06
4464/119-124   	08 30 00.7	+26 11 00	5  	 5497	Cancer	 1.76	225	291	 1.19	 1.26	08 33 00.3	+26 00 45
4484/N2608     	08 32 14.7	+28 38 50	4  	 2384	Cancer	-8.06	188	210	 1.25	 0.47	08 35 16.9	+28 28 27
4575/120-031   	08 42 44.0	+24 03 06	3  	13170	Field 	     	534	572	 2.77	 0.81	08 45 40.1	+23 52 08
4607/I2407     	08 45 20.3	+17 47 57	4  	 6452	Cancer	 4.77	377	414	 1.83	 0.11	08 48 10.0	+17 36 51
4655/F808      	08 50 54.6	+04 58 09	5  	 6488	Field 	     	238	282	 1.84	 0.38	08 53 32.5	+04 46 45
4865/181-003   	09 11 24.5	+35 56 43	3  	 6818	A779  	-0.78	381	427	     	     	09 14 30.4	+35 44 16
4895/151-043   	09 13 53.0	+27 42 00	3  	 7334	Field 	     	455	445	 1.46	 0.84	09 16 49.7	+27 29 26
190185/181-012 	09 15 29.9	+34 30 22	3  	 6766	A779  	-0.88	184	   	 0.53	 0.05	09 18 33.5	+34 17 43
4926/181-013   	09 15 32.6	+34 45 50	3  	 6599	A779  	-1.22	501	506	 1.54	 0.29	09 18 36.5	+34 33 11
190203/N2825   	09 16 19.5	+33 57 28	3  	 8231	A779  	 2.03	363	   	     	     	09 19 22.4	+33 44 46
4941/N2830     	09 16 38.2	+33 57 12	3  	 6350	A779  	-1.71	458	450	 1.20	 0.73	09 19 41.0	+33 44 30
4949/M+621020  	09 16 59.2	+33 18 48	4  	 6636	A779  	-1.14	316	388	 0.93	 0.72	09 20 01.3	+33 06 05
190224/181-030 	09 17 34.7	+33 17 21	3  	 6724	A779  	-0.97	286	351	 1.20	 0.09	09 20 36.7	+33 04 36
190293/181-045 	09 24 13.3	+34 38 47	3  	 7164	A779  	-0.09	327	428	 1.20	 0.11	09 27 15.7	+34 25 43
5166/N2955     	09 38 15.4	+36 06 40	5  	 7256	A779  	 0.09	468	479	 2.03	 0.32	09 41 17.0	+35 53 00
5240/122-084   	09 44 29.8	+25 58 37	5  	 7221	Field 	     	309	340	 1.28	 2.04	09 47 21.4	+25 44 42
5250/N2998     	09 45 34.3	+44 18 50	5  	 4979	Field 	     	376	382	 1.62	 0.59	09 48 43.6	+44 04 52
5607/037-014   	10 19 48.6	+04 15 01	3  	 7193	Field 	     	395	401	 1.63	 0.53	10 22 24.4	+03 59 51
5656/183-025   	10 23 57.8	+35 10 30	4  	 6933	Field 	     	316	329	 1.56	 0.16	10 26 50.3	+34 55 12
210015/A148    	11 01 05.2	+41 07 10	Irr	10666	Field 	     	159	   	     	     	11 03 53.4	+40 50 59
6246/126-006   	11 10 10.8	+23 31 44	5  	 6656	A1367 	-0.10	254	287	 1.77	 0.09	11 12 50.6	+23 15 24
6437/094-042   	11 23 09.0	+19 12 40	4  	 5664	A1367 	-1.34	229	270	 2.31	 0.22	11 25 46.3	+18 56 10
6551/F1274     	11 31 28.9	+36 57 30	5  	 6705	Field 	     	243	285	 1.93	 0.22	11 34 08.6	+36 40 55
6556/097-015   	11 32 19.2	+16 23 27	5  	 5778	A1367 	-1.19	250	267	 2.28	 0.05	11 34 55.2	+16 06 51
6559/097-016   	11 32 31.9	+16 14 27	5  	 5460	A1367 	-1.59	214	275	 2.13	 0.78	11 35 07.9	+15 57 51
210529/097-033 	11 34 58.6	+20 26 47	4  	 8064	A1367 	 1.66	381	377	 2.54	 0.26	11 37 34.9	+20 10 10
210559/F1287   	11 36 34.2	+19 51 46	5  	 7155	A1367 	 0.52	291	302	 1.96	 0.03	11 39 10.3	+19 35 09
210622/097-062 	11 39 38.5	+20 15 21	3  	 8142	A1367 	 1.75	170	233	 0.88	 0.45	11 42 14.3	+19 58 42
210629/097-068 	11 39 46.3	+20 23 58	4  	 6300	A1367 	-0.54	326	344	 0.90	 3.01	11 42 22.1	+20 07 19
210634/097-072 	11 40 09.6	+20 18 37	3  	 6659	A1367 	-0.09	287	307	 1.37	 0.14	11 42 45.3	+20 01 58
210643         	11 40 34.2	+19 58 51	5  	13246	A1367 	 8.12	288	   	 1.90	 0.57	11 43 09.9	+19 42 12
210666/127-040 	11 41 07.4	+20 32 47	2  	 7218	A1367 	 0.60	311	   	 0.62	 0.45	11 43 43.1	+20 16 08
6697/097-087   	11 41 13.0	+20 14 51	3  	 7044	A1367 	 0.39	460	557	 1.29	 0.31	11 43 48.6	+19 58 12
6702/N3840     	11 41 21.6	+20 21 19	3  	 7694	A1367 	 1.20	263	255	 1.03	 0.28	11 43 57.2	+20 04 40
210681/097-093 	11 41 25.8	+20 03 55	3  	 5203	A1367 	-1.91	160	   	 1.20	 0.12	11 44 01.4	+19 47 16
210690/097-102 	11 41 40.5	+20 30 05	3  	 6689	A1367 	-0.06	275	316	     	     	11 44 16.1	+20 13 26
6719/097-121   	11 42 11.4	+20 23 49	2  	 6897	A1367 	 0.20	359	414	 1.91	 0.28	11 44 46.9	+20 07 09
6718/N3860     	11 42 13.2	+20 04 18	3  	 5944	A1367 	-0.99	379	   	 1.96	 0.06	11 44 48.7	+19 47 38
6721/N3859     	11 42 17.3	+19 44 17	3  	 5791	A1367 	-1.18	364	412	 0.96	 0.08	11 44 52.8	+19 27 37
210727/097-125 	11 42 19.0	+20 03 33	5  	 8552	A1367 	 2.27	298	426	 3.66	 2.90	11 44 54.5	+19 46 53
6724/N3861     	11 42 28.5	+20 15 05	3  	 5411	A1367 	-1.65	447	468	 1.33	 0.16	11 45 04.0	+19 58 25
210738/127-046 	11 42 30.0	+21 42 21	3  	 8153	A1367 	 1.77	238	240	 1.51	 0.22	11 45 05.6	+21 25 41
6731/N3867     	11 42 55.4	+19 41 14	3  	 7898	A1367 	 1.45	308	   	 0.48	 0.12	11 45 30.8	+19 24 34
6746/N3884     	11 43 36.9	+20 40 11	1  	 7271	A1367 	 0.67	455	469	 1.71	 0.19	11 46 12.3	+20 23 31
210789/097-151 	11 44 53.3	+18 19 33	3  	 6186	A1367 	-0.68	337	376	 1.12	 0.58	11 47 28.4	+18 02 53
210791/097-152 	11 45 04.5	+20 12 39	4  	 6492	A1367 	-0.30	381	389	 1.13	 0.43	11 47 39.7	+19 55 59
210795/097-155 	11 45 28.0	+20 17 10	3  	 7542	A1367 	 1.01	258	   	 0.85	 0.07	11 48 03.2	+20 00 30
210816/127-062 	11 46 55.0	+21 19 10	3  	 6931	A1367 	 0.24	388	   	 1.33	 0.14	11 49 30.1	+21 02 29
211029/F1319   	11 48 21.7	+21 28 01	5  	 8391	A1367 	 2.06	322	401	 2.46	 0.07	11 50 56.6	+21 11 20
6911/098-008   	11 53 31.7	+15 23 00	4  	 6686	A1367 	-0.06	326	350	 2.41	 0.17	11 56 05.9	+15 06 18
