#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:48:19 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:48:19	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/276/59/sample&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22760059
#Name: J/ApJS/276/59
#Title: The DiskMass Survey (DMS). XI. Full Ha sample (Swaters+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	creator=Swaters R.A.	    First author or institution
#INFO	cites=bibcode:2025ApJS..276...59S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/276/59	    Dataset landing page
#INFO	publication_date=2026-02-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJS_276_59_sample:
#Name: J/ApJS/276/59/sample
#Title: Halpha velocity field parameters (Table 3) and photometric data and inverse Tully-Fisher inclinations (Table 4)
#Column	UGC	(I5)	[16/12808] UGC galaxy identifier	[ucd=meta.id;meta.main]
#Column	Nobs	(I3)	Number of Halpha measurements for this galaxy (link to Table 7)	[ucd=meta.number]
#Column	N	(I3)	[25/393] Number	[ucd=meta.number]
#Column	sigMod	(F4.1)	[0/16.1] Extra error term, {sigma}_mod_ (see Equation 6)	[ucd=stat.error]
#Column	inc	(F4.1)	[14.5/47.5]? Inclination	[ucd=src.orbital.inclination]
#Column	e_inc	(F4.1)	[0.8/15]? inc uncertainty	[ucd=stat.error;src.orbital.inclination]
#Column	f_inc	(A1)	Flag on inc (1)	[ucd=meta.code]
#Column	phi0	(F5.1)	[8/374.1] Position angle of the major axis, {phi}_0_	[ucd=pos.posAng]
#Column	e_phi0	(F4.1)	[0.2/8] phi0 uncertainty	[ucd=stat.error;pos.posAng]
#Column	Vrot	(F5.1)	[6.6/211] Asymptotic rotation speed, V_rot_	[ucd=phys.veloc.rotat]
#Column	e_Vrot	(F4.1)	[0.4/12.2] Vrot uncertainty	[ucd=stat.error;phys.veloc.rotat]
#Column	hrot	(F4.1)	[0.1/38]? Rotation scale, h_rot_	[ucd=instr.scale]
#Column	e_hrot	(F4.1)	[0/5.1]? hrot uncertainty	[ucd=stat.error;instr.scale]
#Column	f_hrot	(A3)	Flag on hrot (2)	[ucd=meta.code]
#Column	Vsys	(F7.1)	[224.8/12794] Systemic velocity	[ucd=phys.veloc]
#Column	e_Vsys	(F4.1)	[0.3/4] Vsys uncertainty	[ucd=stat.error;phys.veloc]
#Column	Aphi	(F6.3)	[0.015/0.4] Asymetry measure, A_{phi}_, defined in Section 5.3	[ucd=src.morph.param]
#Column	Arc	(F6.3)	[0.016/0.8]? Asymmetry measure, A_RC_, defined in Section 5.3	[ucd=src.morph.param]
#Column	Note	(A3)	Note (s) (3)	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Kmag	(F5.2)	[8.62/11.93] 2MASS K band magnitude (4)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F5.2)	[0.01/0.23] Uncertainty on the Kmag	[ucd=stat.error;phot.mag;em.IR.K]
#Column	Dist	(F5.1)	[1.8/181.4] Distance (5)	[ucd=pos.distance]
#Column	e_Dist	(F4.1)	[2.5/2.5] Dist uncertainty	[ucd=stat.error;pos.distance]
#Column	Ak	(F5.2)	[-0.03/0.06] K-band extinction	[ucd=phys.absorption;em.IR.K]
#Column	Kcor	(F5.2)	[-0.1/0.01] K-correction	[ucd=arith.factor;phot.mag]
#Column	KMag	(F6.2)	[-26.07/-16.09] Absolute K band magnitude	[ucd=phys.magAbs;em.IR.K]
#Column	e_KMag	(F5.2)	[0.02/1.95] KMag uncertainty	[ucd=stat.error;phys.magAbs;em.IR.K]
#Column	iiTF	(F4.1)	[1.8/90] Inverse Tully-Fisher inclination, i_iTF_	[ucd=src.orbital.inclination]
#Column	e_iiTF	(F4.1)	[0/4.3] iiTF uncertainty	[ucd=stat.error;src.orbital.inclination]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
UGC	Nobs	N	sigMod	inc	e_inc	f_inc	phi0	e_phi0	Vrot	e_Vrot	hrot	e_hrot	f_hrot	Vsys	e_Vsys	Aphi	Arc	Note	Simbad	NED	LEDA	Kmag	e_Kmag	Dist	e_Dist	Ak	Kcor	KMag	e_KMag	iiTF	e_iiTF	_RA	_DE
 1721	 25	 25	 4.4	    	    	l	132.8	 2.0	 49.4	 2.3	 2.6	 0.0	   	 4638.1	 1.8	 0.069	 0.090	   	Simbad	NED	LEDA	10.61	 0.02	 51.5	 2.5	 0.02	-0.04	-23.00	 0.10	16.8	 1.2	033.64219	+37.40796
 1727	106	 88	 7.6	    	    	l	299.8	 1.0	104.1	 1.7	 1.7	 0.0	   	 7934.9	 1.4	 0.067	 0.030	   	Simbad	NED	LEDA	 9.49	 0.01	107.4	 2.5	 0.01	-0.06	-25.74	 0.06	17.7	 0.9	033.63984	-00.76672
 1862	109	100	 2.3	    	    	l	 19.7	 0.9	 56.9	 2.2	17.3	 1.2	   	 1372.3	 1.1	 0.039	 0.182	4  	Simbad	NED	LEDA	10.20	 0.13	 15.8	 2.5	 0.01	-0.01	-20.82	 0.57	35.4	 3.6	036.10329	-02.16231
 1908	155	154	 3.6	    	    	l	190.8	 0.5	 92.0	 0.8	 8.0	 0.4	   	 8255.1	 0.6	 0.041	 0.060	   	Simbad	NED	LEDA	10.04	 0.03	111.7	 2.5	 0.03	-0.07	-25.30	 0.07	17.5	 0.9	036.65535	+12.15521
 2109	156	153	 2.9	22.3	 5.6	 	133.3	 0.5	 67.9	 1.1	12.8	 0.7	   	 3672.8	 0.6	 0.047	 0.118	   	Simbad	NED	LEDA	10.07	 0.01	 40.7	 2.5	 0.03	-0.03	-23.04	 0.15	23.2	 1.3	039.49341	+34.24110
 2200	 66	 64	 1.0	40.2	 1.2	 	183.6	 0.4	189.3	 0.7	 4.3	 0.6	   	 4089.0	 0.7	 0.016	 0.026	   	Simbad	NED	LEDA	 8.62	 0.01	 50.6	 2.5	 0.02	-0.03	-24.95	 0.11	42.6	 2.6	040.84279	+04.96838
 3080	191	190	 2.4	    	    	l	314.4	 0.5	 56.2	 0.6	 9.0	 0.4	   	 3522.9	 0.4	 0.052	 0.067	   	Simbad	NED	LEDA	10.22	 0.08	 43.4	 2.5	 0.03	-0.03	-23.03	 0.27	19.1	 1.1	067.98055	+01.19911
 3134	150	150	 7.9	    	    	l	279.1	 1.2	 54.5	 1.9	 9.5	 1.1	   	 8609.4	 1.2	 0.118	 0.083	2,4	Simbad	NED	LEDA	10.34	 0.03	111.4	 2.5	 0.01	-0.07	-24.98	 0.10	11.2	 0.7	070.45107	-01.30188
 3140	181	180	 2.9	    	    	l	353.7	 0.5	 52.7	 0.5	 2.8	 0.7	   	 4607.2	 0.4	 0.054	 0.041	   	Simbad	NED	LEDA	 9.45	 0.02	 59.5	 2.5	 0.03	-0.04	-24.48	 0.10	12.2	 0.6	070.72884	+00.61860
 3701	267	264	 4.2	44.8	 3.6	 	 90.9	 0.6	 62.6	 2.2	20.3	 1.3	   	 2885.3	 1.0	 0.062	 0.104	1  	Simbad	NED	LEDA	11.23	 0.09	 41.1	 2.5	 0.02	-0.02	-21.88	 0.28	29.2	 2.2	107.92788	+72.16921
 3714	 63	 63	 0.0	37.8	 3.5	 	 39.9	 0.9	121.7	 1.4	 4.8	 0.5	   	 2951.9	 1.1	 0.020	 0.089	   	Simbad	NED	LEDA	 9.37	 0.01	 42.0	 2.5	 0.02	-0.02	-23.79	 0.12	35.7	 2.1	108.13613	+71.75051
 3965	107	106	 4.3	    	    	l	283.8	 1.3	 35.0	 1.1	 4.2	 0.8	   	 4661.1	 0.7	 0.091	 0.055	   	Simbad	NED	LEDA	10.67	 0.01	 64.6	 2.5	 0.02	-0.04	-23.44	 0.09	10.6	 0.6	115.32544	+34.23218
 3997	120	119	 3.7	21.0	 7.4	 	 31.4	 0.7	 68.2	 1.1	 8.2	 0.6	   	 5942.7	 0.8	 0.063	 0.067	   	Simbad	NED	LEDA	11.70	 0.08	 84.2	 2.5	 0.02	-0.05	-23.00	 0.19	23.6	 1.4	116.16143	+40.36637
 4036	165	165	 4.9	34.7	 4.8	 	194.7	 0.8	 53.3	 1.3	12.6	 1.0	   	 3428.5	 0.8	 0.074	 0.138	2  	Simbad	NED	LEDA	 9.49	 0.03	 48.1	 2.5	 0.01	-0.03	-23.96	 0.15	14.2	 0.8	117.97786	+73.01571
 4066	141	137	 4.3	    	    	l	274.3	 1.0	 43.8	 1.7	12.7	 1.2	   	 2304.4	 1.0	 0.094	 0.142	1  	Simbad	NED	LEDA	11.23	 0.03	 34.9	 2.5	 0.01	-0.02	-21.52	 0.18	21.9	 1.5	119.06497	+78.01344
 4099	117	116	 4.3	47.5	 1.4	 	275.8	 0.4	147.5	 1.5	 9.5	 0.9	   	 4668.9	 1.1	 0.034	 0.035	1  	Simbad	NED	LEDA	10.53	 0.03	 64.2	 2.5	 0.03	-0.04	-23.57	 0.13	48.4	 3.3	118.95292	+24.70596
 4107	303	301	 2.5	19.4	 3.7	 	290.4	 0.3	 67.1	 0.5	 8.7	 0.3	   	 3462.3	 0.3	 0.042	 0.060	2,4	Simbad	NED	LEDA	10.14	 0.02	 48.9	 2.5	 0.01	-0.03	-23.35	 0.12	21.1	 1.1	119.25772	+49.56732
 4139	123	122	 4.1	25.8	 5.5	 	233.0	 0.7	 81.8	 1.2	 8.4	 0.6	   	 4882.4	 0.9	 0.051	 0.063	   	Simbad	NED	LEDA	11.37	 0.10	 68.2	 2.5	 0.01	-0.04	-22.85	 0.25	29.9	 1.9	119.84845	+16.42121
 4189	140	140	 2.5	    	    	l	215.1	 0.7	 45.1	 0.6	 9.6	 0.6	   	 4804.5	 0.5	 0.066	 0.096	1  	Simbad	NED	LEDA	10.66	 0.05	 66.9	 2.5	 0.01	-0.04	-23.52	 0.12	13.4	 0.7	120.70679	+15.80825
 4256	192	191	 7.5	31.1	 5.4	 	293.1	 0.8	 74.8	 1.8	12.8	 1.0	   	 5212.1	 1.1	 0.070	 0.109	2,4	Simbad	NED	LEDA	 9.52	 0.01	 74.2	 2.5	 0.02	-0.04	-24.89	 0.08	15.8	 0.9	122.56328	+33.95660
 4368	372	372	 1.8	39.7	 0.8	 	127.1	 0.2	116.2	 0.4	12.6	 0.3	   	 3818.3	 0.3	 0.026	 0.057	   	Simbad	NED	LEDA	10.44	 0.07	 53.6	 2.5	 0.01	-0.03	-23.26	 0.23	39.7	 2.6	125.68731	+24.29694
 4397	166	166	 2.3	23.6	 3.4	 	330.2	 0.4	 93.8	 0.7	12.8	 0.4	   	 3632.1	 0.5	 0.032	 0.085	4  	Simbad	NED	LEDA	 9.97	 0.02	 51.9	 2.5	 0.01	-0.03	-23.64	 0.13	27.9	 1.5	127.16637	+73.74808
 4445	 45	 45	 2.8	22.0	12.9	 	199.6	 7.8	  6.6	 1.9	 1.2	 0.0	   	 6329.5	 0.7	 0.358	 0.762	5  	Simbad	NED	LEDA	11.02	 0.04	 93.7	 2.5	 0.03	-0.05	-23.91	 0.11	 1.8	 0.5	127.86269	+60.99505
 4458	123	118	 6.1	36.3	 2.3	 	289.6	 0.5	149.7	12.2	    	    	URC	 4717.8	 1.2	 0.046	 0.084	   	Simbad	NED	LEDA	 8.88	 0.02	 68.6	 2.5	 0.01	-0.04	-25.35	 0.09	28.9	 3.0	128.04717	+22.56056
 4555	180	179	 3.2	37.1	 1.7	 	 90.8	 0.3	115.0	 0.9	 9.0	 0.4	   	 4238.8	 0.6	 0.034	 0.029	1  	Simbad	NED	LEDA	10.03	 0.04	 62.1	 2.5	 0.01	-0.03	-23.98	 0.12	31.8	 1.8	131.03444	+34.71728
 4622	117	116	 2.3	28.4	 3.4	 	117.4	 0.5	 88.4	 0.9	 5.4	 0.5	   	12793.5	 0.7	 0.042	 0.066	2  	Simbad	NED	LEDA	11.14	 0.08	181.4	 2.5	 0.01	-0.10	-25.26	 0.14	17.0	 0.9	132.58413	+41.28942
 5180	214	209	 3.8	26.7	 4.6	 	308.2	 0.5	 57.9	 0.8	15.0	 0.7	   	 1899.1	 0.5	 0.058	 0.071	2  	Simbad	NED	LEDA	 8.85	 0.01	 31.9	 2.5	 0.04	-0.01	-23.72	 0.19	16.4	 0.9	145.51372	+00.33642
 5277	131	131	 3.0	    	    	l	 63.8	 2.6	 12.2	 1.3	13.8	 3.2	   	 3371.3	 0.7	 0.248	 0.249	1  	Simbad	NED	LEDA	10.09	 0.02	 51.7	 2.5	 0.06	-0.03	-23.57	 0.13	 3.6	 0.4	147.91681	+65.49112
 5302	177	173	 4.9	38.2	 2.4	 	140.3	 0.5	112.8	 1.2	12.7	 0.5	   	 4378.2	 0.8	 0.042	 0.046	1  	Simbad	NED	LEDA	10.56	 0.02	 67.1	 2.5	 0.04	-0.04	-23.65	 0.08	34.1	 2.0	148.59078	+68.33235
 5544	107	107	 2.4	20.1	 5.3	 	320.2	 0.6	 83.4	 0.7	 2.4	 0.8	   	 1306.6	 0.6	 0.041	 0.016	1  	Simbad	NED	LEDA	 9.30	 0.07	 23.7	 2.5	 0.01	-0.01	-22.59	 0.36	32.8	 2.3	154.14227	+21.12306
 5577	 38	 38	 2.5	    	    	l	283.1	 2.3	 38.2	 5.6	14.3	 3.0	   	 2046.8	 3.5	 0.031	 0.158	5  	Simbad	NED	LEDA	11.16	 0.03	 34.5	 2.5	 0.01	-0.02	-21.55	 0.18	18.9	 3.1	155.01516	+38.61554
 5868	 37	 37	 2.8	33.7	 4.4	 	374.1	 0.8	147.1	 2.1	 2.5	 0.0	   	 7199.6	 1.7	 0.032	 0.025	5  	Simbad	NED	LEDA	10.50	 0.03	105.6	 2.5	 0.01	-0.06	-24.69	 0.09	34.2	 2.0	161.44557	+37.21130
 6077	178	177	 4.7	23.1	 8.9	 	199.7	 0.6	 65.6	 2.3	21.7	 1.5	   	 1442.0	 1.1	 0.066	 0.264	2,4	Simbad	NED	LEDA	 9.21	 0.03	 28.5	 2.5	 0.01	-0.01	-23.09	 0.25	22.1	 1.5	165.00988	+14.84166
 6105	280	271	 3.4	    	    	l	 23.0	 0.4	 96.4	 0.6	 6.1	 0.3	   	 7130.5	 0.5	 0.044	 0.039	   	Simbad	NED	LEDA	10.25	 0.03	103.6	 2.5	 0.02	-0.06	-24.91	 0.09	20.4	 1.1	165.77633	+75.11572
 6128	178	175	 3.6	34.7	 2.1	 	130.9	 0.4	 99.0	 0.8	 9.0	 0.4	   	 1372.7	 0.6	 0.039	 0.052	   	Simbad	NED	LEDA	 9.60	 0.01	 26.2	 2.5	 0.01	-0.01	-22.51	 0.20	41.1	 2.7	166.01231	+28.03678
 6157	133	131	 4.1	    	    	l	174.4	 0.9	 52.4	 1.0	11.8	 0.7	   	 2950.6	 0.7	 0.068	 0.165	   	Simbad	NED	LEDA	11.66	 0.13	 46.0	 2.5	 0.01	-0.02	-21.69	 0.36	25.4	 1.8	166.60503	+17.50800
 6249	 99	 99	 4.0	    	    	l	 68.4	 1.5	 42.9	 2.0	14.8	 1.5	   	 1057.5	 1.2	 0.089	 0.118	5  	Simbad	NED	LEDA	11.66	 0.23	 18.7	 2.5	 0.00	-0.01	-19.71	 0.73	35.4	 4.3	168.33643	+59.90834
 6445	230	229	 2.5	23.4	 3.2	 	153.2	 0.3	 62.0	 0.6	10.6	 0.7	   	 1241.6	 0.4	 0.044	 0.049	5  	Simbad	NED	LEDA	 8.95	 0.05	 25.1	 2.5	 0.01	-0.01	-23.06	 0.32	21.0	 1.3	171.62409	+16.86340
 6463	172	172	 1.8	30.5	 2.0	 	144.5	 0.3	 80.3	 0.4	 6.7	 0.4	   	 2505.7	 0.4	 0.030	 0.032	   	Simbad	NED	LEDA	 9.58	 0.01	 41.5	 2.5	 0.01	-0.02	-23.54	 0.14	24.2	 1.3	172.00252	+29.51104
