#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T19:43:09 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T19:43:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/482/154/tablea4&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74820154
#Name: J/MNRAS/482/154
#Title: GHASP. spiral galaxies dark matter distribution (Korsaga+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/482/154	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/482/154	    IVOID of underlying data collection
#INFO	creator=Korsaga M.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.482..154K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/482/154	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74820154	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_482_154_tablea4:
#Name: J/MNRAS/482/154/tablea4
#Title: Parameters of mass models using the BFM and fixed M/L techniques with the NFW model
#Column	ID	(A9)	Name of the galaxy in the UGC catalogue (UGC NNNNN)	[ucd=meta.id;meta.main]
#Column	M/LdNFWBFM	(F5.2)	M/L of the disc from the best-fitting model (BFM) for lambda-CDM cuspy density profile (1)	[ucd=phys.composition.massLightRatio]
#Column	E_M/LdNFWBFM	(F5.2)	Upper error on M/LdNFWBFM (1)	[ucd=stat.error;stat.max]
#Column	e_M/LdNFWBFM	(F5.2)	Lower error on M/LdNFWBFM (1)	[ucd=stat.error]
#Column	M/LbNFWBFM	(F5.2)	? M/L of the bulge from the best-fitting model (BFM) for lambda-CDM cuspy density profile (1)	[ucd=phys.composition.massLightRatio]
#Column	E_M/LbNFWBFM	(F5.2)	? Upper error on M/LbNFWBFM (1)	[ucd=stat.error;stat.max]
#Column	e_M/LbNFWBFM	(F5.2)	? Lower error on M/LbNFWBFM (1)	[ucd=stat.error]
#Column	cNFWBFM	(F4.1)	Central halo concentration index from the best-fitting model (BFM) for lambda-CDM cuspy density profile (1)	[ucd=meta.code;spect.index]
#Column	E_cNFWBFM	(F4.1)	Upper error on cNFWBFM (1)	[ucd=stat.error;stat.max]
#Column	e_cNFWBFM	(F4.1)	Lower error on cNFWBFM (1)	[ucd=stat.error]
#Column	VNFWBFM	(F5.1)	Halo velocity from the best-fitting model (BFM) for lambda-CDM cuspy density profile (1)	[ucd=phys.veloc]
#Column	E_VNFWBFM	(F5.1)	Upper error on VNFWBFM (1)	[ucd=stat.error;stat.max]
#Column	e_VNFWBFM	(F5.1)	Lower error on VNFWBFM (1)	[ucd=stat.error]
#Column	Chi2VNFWBFM	(F4.1)	Reduced chi-squared from the best-fitting model (BFM) for lambda-CDM cuspy density profile (1)	[ucd=stat.fit.chi2]
#Column	M/LNFWfML	(F5.2)	M/L derived using the B-V colour (2)	[ucd=phys.composition.massLightRatio]
#Column	cNFWfML	(F5.1)	Central halo concentration index from lambda-CDM cuspy density profile fitting with fixed M/L (3)	[ucd=meta.code;spect.index]
#Column	E_cNFWfML	(F5.1)	Upper error on cNFWfML (3)	[ucd=stat.error;stat.max]
#Column	e_cNFWfML	(F4.1)	Lower error on cNFWfML (3)	[ucd=stat.error]
#Column	VNFWfML	(F5.1)	Halo velocity from lambda-CDM cuspy density profile fitting with fixed M/L (3)	[ucd=phys.veloc]
#Column	E_VNFWfML	(F5.1)	Upper error on VNFWfML (3)	[ucd=stat.error;stat.max]
#Column	e_VNFWfML	(F5.1)	Lower error on VNFWfML (3)	[ucd=stat.error]
#Column	Chi2NFWfML	(F6.1)	Reduced chi-squared from lambda-CDM cuspy density profile fitting with fixed M/L (3)	[ucd=stat.fit.chi2]
ID	M/LdNFWBFM	E_M/LdNFWBFM	e_M/LdNFWBFM	M/LbNFWBFM	E_M/LbNFWBFM	e_M/LbNFWBFM	cNFWBFM	E_cNFWBFM	e_cNFWBFM	VNFWBFM	E_VNFWBFM	e_VNFWBFM	Chi2VNFWBFM	M/LNFWfML	cNFWfML	E_cNFWfML	e_cNFWfML	VNFWfML	E_VNFWfML	e_VNFWfML	Chi2NFWfML
UGC 03521	 0.97	 1.53	 0.87	 0.99	 3.01	 0.89	14.0	11.8	13.0	115.0	285.0	 95.0	 1.0	 1.10	 14.6	  2.4	13.6	106.4	293.6	 86.4	   0.7
UGC 03528	 0.54	 1.96	 0.44	 0.54	 3.46	 0.44	44.4	28.9	43.4	140.9	259.1	120.9	 9.3	 1.41	 37.1	 12.0	36.1	132.3	267.7	112.3	   6.7
UGC 03708	 0.10	 0.38	 0.01	     	     	     	13.4	12.4	12.4	409.3	 90.7	408.3	 1.2	 1.13	 27.0	  0.1	26.0	  1.0	 56.7	  0.1	   7.8
UGC 03809	 2.44	 0.06	 2.34	 8.00	 0.01	 7.90	30.3	 5.1	29.3	115.0	285.0	 95.0	 5.8	 0.87	 31.5	  0.1	30.5	140.9	259.1	120.9	   6.4
UGC 03876	 0.81	 1.64	 0.71	 0.81	 3.19	 0.71	 8.7	 4.7	 7.7	155.0	 45.0	135.0	 1.7	 0.90	  8.7	  2.4	 7.7	150.9	 49.1	130.9	   1.6
UGC 03915	 0.10	 0.11	 0.01	 0.10	 3.90	 0.01	43.0	 2.5	42.0	110.0	 90.0	 90.0	 2.5	 1.12	 53.2	  0.1	52.2	 81.4	118.6	 61.4	   3.7
UGC 04026	 4.41	 0.18	 4.31	 4.41	 3.59	 4.31	 3.2	24.5	 2.2	412.7	 87.3	392.7	 5.2	 1.41	 46.7	  1.1	45.7	129.1	370.9	109.1	   8.3
UGC 04165	 0.10	 0.22	 0.01	 0.10	 3.90	 0.01	19.9	 2.4	18.9	 52.7	 47.3	 32.7	 2.5	 1.00	 21.1	  5.9	20.1	 21.8	 78.2	  1.8	   2.6
UGC 04273	 0.43	 0.11	 0.33	 0.46	 3.54	 0.35	12.2	 3.0	11.2	190.9	309.1	 90.9	 3.9	 1.29	  4.0	  1.8	 3.0	454.5	 45.5	354.5	   6.7
UGC 04284	 0.10	 0.05	 0.01	 0.10	 3.90	 0.01	 2.8	 0.6	 1.8	459.1	 40.9	259.1	 4.8	 0.62	  2.8	  0.1	 1.8	411.4	 88.6	211.4	   5.0
UGC 04325	 2.50	 0.01	 2.40	     	     	     	 1.0	 1.8	 0.1	200.0	300.0	  0.1	 8.5	 0.66	  1.6	  0.6	 0.6	404.5	 95.5	204.5	   8.7
UGC 04456	 0.10	 2.40	 0.01	 0.10	 3.90	 0.01	17.0	10.0	16.0	150.0	150.0	 50.0	 1.9	 0.97	 12.8	  8.3	11.8	154.5	145.5	 54.5	   1.8
UGC 04499	 0.10	 0.01	 0.01	     	     	     	 1.0	 0.8	 0.1	413.6	 27.3	313.6	43.4	 0.82	  1.0	  0.5	 0.1	318.2	 13.6	218.2	  46.3
UGC 04555	 0.86	 0.98	 0.76	 0.90	 3.10	 0.80	28.0	42.8	27.0	 89.5	110.5	 69.5	 0.7	 1.18	 32.5	  6.8	31.5	 77.3	122.7	 57.3	   0.6
UGC 04820	 1.26	 1.31	 1.16	 3.33	 4.67	 3.23	36.6	20.4	35.6	161.4	238.6	111.4	 2.0	 2.26	 54.5	  0.1	53.5	121.6	278.4	 71.6	   2.0
UGC 04936	 0.10	 0.44	 0.01	 0.10	 3.90	 0.01	 9.3	 1.2	 8.3	263.6	136.4	113.6	 3.5	 0.75	  7.5	  1.2	 6.5	303.4	 96.6	153.4	   3.5
UGC 05045	 4.17	 2.85	 4.07	 4.17	13.83	 4.07	51.7	 5.3	41.7	175.0	225.0	 75.0	 1.6	 1.08	 51.7	  4.3	41.7	209.1	190.9	109.1	   1.6
UGC 05228	 1.41	 0.11	 1.31	     	     	     	11.5	 6.0	 6.5	 79.8	 20.2	 78.8	 4.1	 1.08	 12.5	  1.0	 7.5	 88.8	 11.2	 87.8	   4.4
UGC 05251	 0.48	 0.22	 0.38	 0.54	 3.46	 0.44	 5.7	 1.8	 4.7	160.0	140.0	140.0	 7.3	 0.40	  6.9	  0.1	 5.9	140.9	159.1	120.9	   7.1
UGC 05253	 0.76	 0.33	 0.66	 1.43	 1.95	 1.33	35.4	21.6	34.4	106.4	293.6	 46.4	 2.7	 1.48	 32.8	  1.3	31.8	 98.6	301.4	 38.6	   3.2
UGC 05414	 1.03	 0.55	 0.93	     	     	     	 1.0	 1.8	 0.1	391.4	  8.6	371.4	 8.0	 0.75	  1.6	  0.6	 0.6	305.0	 95.0	285.0	   7.9
UGC 05510	 0.10	 0.01	 0.01	 0.10	 3.90	 0.01	27.7	 1.3	26.7	105.9	 94.1	 85.9	 6.3	 0.95	 18.8	  0.1	17.8	114.1	 85.9	 94.1	   7.6
UGC 05840	 0.10	 0.01	 0.01	 0.10	 7.90	 0.01	66.2	 0.1	65.2	115.5	184.5	 95.5	13.4	 1.09	 64.0	  0.1	63.0	109.1	190.9	 89.1	  13.7
UGC 05842	 0.54	 0.71	 0.44	 0.54	 3.46	 0.44	 2.2	 4.1	 1.2	500.0	  0.1	300.0	 2.5	 0.99	  1.6	  2.4	 0.6	493.2	  6.8	293.2	   2.4
UGC 05931	 0.10	 0.05	 0.01	 0.10	 3.90	 0.01	 4.0	 2.4	 3.0	427.3	 72.7	327.3	 4.4	 0.48	  2.8	  0.6	 1.8	463.6	 36.4	363.6	   5.5
UGC 05982	 1.30	 0.60	 1.20	 7.82	 0.18	 7.72	12.2	11.0	 2.2	161.1	 88.9	141.1	 4.5	 1.09	 36.5	  0.1	26.5	 93.2	156.8	 73.2	   7.0
UGC 06118	 0.26	 0.11	 0.16	 0.63	 1.33	 0.53	11.6	 4.7	10.6	132.2	 67.8	131.2	 4.2	 1.32	  5.1	 21.9	 4.1	  1.0	  0.1	  0.1	 113.5
UGC 06277	 0.10	 1.09	 0.01	 1.16	 2.84	 1.06	12.2	 7.7	11.2	500.0	  0.1	400.0	 2.1	 1.08	 10.5	  4.1	 9.5	500.0	  0.1	400.0	   2.1
UGC 06521	 2.44	 0.06	 2.34	 2.49	 1.51	 2.39	37.8	 8.5	27.8	 95.5	204.5	 45.5	 2.8	 0.89	 38.8	  1.1	28.8	123.9	147.7	 73.9	   3.5
UGC 06537	 0.10	 0.01	 0.01	 0.10	 3.90	 0.01	11.0	 0.6	10.0	201.4	198.6	181.4	22.1	 0.75	  8.1	  0.1	 7.1	227.3	172.7	207.3	  22.8
UGC 06702	 0.10	 0.01	 0.01	 0.10	 3.19	 0.01	57.0	 0.1	56.0	 97.7	302.3	 47.7	13.9	 1.18	 55.7	  1.3	54.7	 73.9	326.1	 23.9	  15.4
UGC 06778	 0.70	 0.16	 0.60	 1.52	 2.48	 1.42	12.5	 6.4	11.5	235.0	  5.0	215.0	 5.6	 1.08	 12.5	  0.1	11.5	220.0	 20.0	200.0	   5.9
UGC 07021	 0.10	 0.01	 0.01	 0.10	 3.90	 0.01	30.8	 5.0	28.8	154.5	345.5	 54.5	 8.1	 1.76	  7.0	  5.0	 5.0	472.7	 27.3	372.7	  22.2
UGC 07045	 0.86	 0.38	 0.76	 2.78	 3.22	 2.68	19.8	 6.5	18.8	105.9	 94.1	 85.9	 2.6	 1.40	 25.5	  0.1	24.5	 85.5	114.5	 65.5	   2.9
UGC 07154	 0.92	 0.33	 0.82	 1.07	 2.92	 0.97	 4.0	 2.4	 3.0	184.1	215.9	164.1	 5.4	 0.89	  4.5	  0.6	 3.5	166.8	233.2	146.8	   5.3
UGC 07323	 0.10	 0.11	 0.01	     	     	     	 4.0	 1.8	 3.0	191.4	208.6	190.4	 2.7	 1.00	  1.6	  1.2	 0.6	291.2	108.8	290.2	   3.2
UGC 07766	 0.37	 0.38	 0.27	 2.05	 1.95	 1.95	10.0	 2.2	 9.0	 89.5	110.5	 69.5	 4.6	 0.62	 14.5	  0.1	13.5	 65.0	135.0	 45.0	   5.3
UGC 07831	 0.76	 0.05	 0.66	     	     	     	11.6	 1.2	10.6	 80.4	419.6	 79.4	 4.3	 0.78	 11.6	  0.1	10.6	 80.4	419.6	 79.4	   4.3
UGC 07861	 0.10	 0.16	 0.01	 0.10	 0.62	 0.01	 1.0	 8.3	 0.1	432.0	 68.0	431.0	 2.1	 1.09	  1.0	 26.0	 0.1	  1.0	  0.1	  0.1	  14.3
UGC 07876	 0.10	 0.33	 0.01	 0.10	 3.90	 0.01	 7.4	 0.1	 6.4	175.5	 24.5	155.5	 3.3	 0.90	  6.1	  0.1	 5.1	179.5	 20.5	159.5	   3.6
UGC 07901	 0.21	 0.27	 0.11	 0.46	 3.54	 0.35	51.9	 4.4	41.9	105.9	 94.1	 85.9	 3.0	 0.92	 38.7	  0.1	28.7	101.8	 98.2	 81.8	   4.0
UGC 07985	 0.10	 0.05	 0.01	 0.10	 3.90	 0.01	21.1	 0.1	20.1	 77.3	122.7	 57.3	 3.2	 0.82	 13.4	  0.6	12.4	 73.2	126.8	 53.2	   3.9
UGC 08334	 0.15	 0.11	 0.05	 2.40	 1.60	 2.30	37.1	 2.4	36.1	114.1	 85.9	 94.1	 4.9	 1.32	 37.1	  0.1	36.1	 77.3	122.7	 57.3	   9.8
UGC 08403	 0.10	 0.01	 0.01	     	     	     	 2.2	 0.1	 1.2	400.0	100.0	300.0	13.2	 0.73	  1.0	  0.1	 0.1	500.0	  0.1	400.0	  25.3
UGC 08490	 1.41	 0.27	 1.31	 1.43	 2.57	 1.33	 4.0	14.2	 3.0	368.2	 31.8	318.2	 2.5	 0.69	 12.2	  0.6	11.2	113.6	286.4	 63.6	   2.5
UGC 08709	 2.39	 0.11	 2.29	 2.40	 1.60	 2.30	13.4	 9.5	12.4	118.2	 81.8	 98.2	12.8	 0.73	 20.5	  0.1	19.5	130.5	 69.5	110.5	  14.7
UGC 08852	 0.27	 0.01	 0.17	 0.38	 3.62	 0.28	26.7	 2.6	25.7	120.0	180.0	100.0	 7.5	 1.29	 11.3	  0.1	10.3	160.0	140.0	140.0	   8.6
UGC 08900	 0.10	 0.05	 0.01	 0.10	 3.90	 0.01	 8.1	 0.1	 7.1	500.0	  0.1	300.0	 7.1	 1.22	  6.3	  0.6	 5.3	500.0	  0.1	300.0	   8.8
UGC 08937	 0.65	 0.27	 0.55	 4.00	 0.01	 3.90	26.5	 5.1	25.5	172.7	127.3	152.7	 6.3	 1.29	 55.7	  0.1	54.7	121.8	178.2	101.8	  12.2
UGC 09179	 0.10	 0.01	 0.01	 0.10	 3.90	 0.01	 5.1	 2.4	 4.1	327.3	172.7	227.3	 4.8	 0.80	  3.4	  0.1	 2.4	472.7	 27.3	372.7	   5.3
UGC 09248	 0.10	 0.33	 0.01	 0.10	 3.90	 0.01	24.6	 2.4	23.6	110.0	 90.0	 90.0	 6.4	 1.29	 20.5	  1.8	19.5	 93.6	106.4	 73.6	   6.7
UGC 09358	 0.26	 0.33	 0.16	 8.00	 0.01	 7.90	 7.8	 2.2	 6.8	314.5	185.5	294.5	 5.6	 1.29	 61.8	  2.2	60.8	 85.5	414.5	 65.5	  18.9
UGC 09363	 0.10	 0.33	 0.01	 0.19	 3.81	 0.09	 8.1	 1.2	 7.1	172.7	327.3	152.7	 3.0	 1.36	  1.6	  0.1	 0.6	434.5	 65.5	414.5	   4.0
UGC 09366	 0.65	 0.33	 0.55	 1.87	 2.13	 1.77	26.5	 5.1	25.5	122.3	 77.7	102.3	 4.5	 1.03	 36.6	  3.8	35.6	105.9	 94.1	 85.9	   4.5
UGC 09465	 0.15	 0.54	 0.05	     	     	     	 8.1	 1.2	 7.1	108.6	391.4	 28.6	 4.2	 0.82	  5.7	  2.4	 4.7	137.3	362.7	 57.3	   4.3
UGC 09576	 0.15	 0.16	 0.05	 0.19	 3.81	 0.09	 6.9	 1.2	 5.9	106.4	293.6	 86.4	 7.6	 1.06	  1.0	  0.6	 0.1	296.4	  0.1	276.4	   9.0
UGC 09649	 0.10	 2.13	 0.01	18.00	 0.01	17.90	25.2	 7.6	24.2	 63.2	336.8	 43.2	17.2	 1.29	 27.7	  1.3	26.7	 54.5	345.5	 34.5	  18.9
UGC 09736	 0.10	 1.08	 0.01	 5.06	 0.94	 4.96	12.2	 4.5	11.2	159.1	 40.9	139.1	 8.7	 1.18	 23.5	  2.2	22.5	 97.7	102.3	 77.7	   8.4
UGC 09753	 0.81	 0.16	 0.71	 0.81	 3.19	 0.71	38.7	17.6	28.7	 73.4	126.6	 72.4	10.8	 0.82	 38.7	  4.4	28.7	 73.4	126.6	 72.4	  10.5
UGC 09858	 0.26	 1.25	 0.16	 0.28	 3.72	 0.18	23.5	 2.2	22.5	101.8	 98.2	 81.8	 7.7	 1.18	 21.2	  0.1	20.2	 97.7	102.3	 77.7	   7.4
UGC 09866	 0.81	 1.69	 0.71	 0.81	 3.19	 0.71	 6.3	 3.5	 5.3	500.0	  0.1	480.0	 2.4	 1.18	  6.3	  1.8	 5.3	456.4	 43.6	436.4	   2.3
UGC 09943	 0.26	 0.16	 0.16	 0.28	 3.72	 0.18	39.2	 5.1	38.2	 97.7	302.3	 77.7	 2.6	 1.32	  3.5	  0.1	 2.5	296.4	103.6	276.4	   4.5
UGC 09969	 0.15	 0.44	 0.05	 0.19	 3.81	 0.09	27.1	 0.1	17.1	198.2	101.8	178.2	 3.7	 1.36	 25.0	  2.1	15.0	185.5	114.5	165.5	   3.8
UGC 10075	 2.39	 0.11	 2.29	     	     	     	10.5	 8.9	 9.5	129.1	370.9	109.1	 6.9	 0.89	 17.5	  0.1	16.5	118.2	381.8	 98.2	   7.3
UGC 10359	 0.10	 0.01	 0.01	 8.00	 0.01	 7.90	 3.4	 1.2	 2.4	380.0	120.0	360.0	 3.4	 0.84	  1.6	  0.1	 0.6	467.3	 32.7	447.3	  10.0
