#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:48:14 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:48:14	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/390/863/tablea1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33900863
#Name: J/A+A/390/863
#Title: CCD R Photometry of WHISP Dwarf Galaxies (Swaters, 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/390/863	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/390/863	    IVOID of underlying data collection
#INFO	creator=Swaters R.A.	    First author or institution
#INFO	cites=bibcode:2002A&A...390..863S	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/390/863	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33900863	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_390_863_tablea1:
#Name: J/A+A/390/863/tablea1
#Title: Global galaxy properties
#Column	UGC	(I5)	UGC number	[ucd=meta.id;meta.main]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	Simbad	(A6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	HType	(a7)	Hubble type	[ucd=src.morph.type]
#Column	BMAG	(F6.2)	? B-band absolute magnitude	[ucd=phys.magAbs;em.opt]
#Column	Dist	(F5.2)	Distance	[ucd=pos.distance]
#Column	Vsys	(I4)	Heliocentric systemic velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	W50	(I3)	HI single dish line width at 50% level	[ucd=spect.line.width]
#Column	HImass	(F6.2)	HI mass in units of 10^8^M_{sun}_	[ucd=phys.mass]
#Column	AR	(F5.2)	? R-band Galactic extinction	[ucd=phys.absorption]
UGC	NED	Simbad	RAJ2000	DEJ2000	HType	BMAG	Dist	Vsys	W50	HImass	AR
 3317	NED	Simbad	05 33 37.7	+73 43 30	.I..9..	      	19.50	1239	107	 14.30	 0.26
 3371	NED	Simbad	05 56 37.5	+75 19 00	.I..9*.	      	12.80	 816	129	 12.60	 0.27
 3384	NED	Simbad	06 01 37.3	+73 07 01	.S..9*.	      	19.50	1086	 78	 17.50	 0.30
 3390	NED	Simbad	06 02 05.3	+36 06 17	.SX.8..	      	23.20	1517	202	 27.20	
 3475	NED	Simbad	06 30 28.9	+39 30 15	.S..9*.	-15.33	 9.30	 486	167	  4.88	 0.66
 3647	NED	Simbad	07 04 50.2	+56 31 09	.IB.9..	      	18.40	1384	 50	 10.20	 0.08
 3698	NED	Simbad	07 09 18.8	+44 22 49	.I..9*.	      	 8.50	 426	 50	  1.76	 0.23
 3711	NED	Simbad	07 10 13.6	+44 27 27	.IB.9..	-16.71	 8.60	 434	144	  6.86	 0.21
 3817	NED	Simbad	07 22 44.6	+45 06 31	.I..9*.	      	 8.70	 438	 43	  1.88	 0.19
 3851	NED	Simbad	07 28 52.9	+69 12 45	.IBS9..	-15.98	 3.40	 100	 96	  7.92	 0.10
 3860	NED	Simbad	07 28 17.5	+40 46 11	.I..9..	-14.05	 6.80	 354	 38	  1.30	 0.12
 3966	NED	Simbad	07 41 26.1	+40 06 39	.I..9..	      	 6.00	 361	 71	  1.69	 0.12
 4173	NED	Simbad	08 07 10.5	+80 07 38	.I..9*.	-15.82	16.80	 862	  0	 20.20	 0.06
 4274	NED	Simbad	08 13 14.7	+45 59 24	.SBS9P.	-16.98	 6.60	 447	 96	  2.06	 0.08
 4278	NED	Simbad	08 13 58.8	+45 44 36	.SBS7*/	-16.62	10.50	 563	180	 13.30	 0.08
 4305	NED	Simbad	08 19 07.4	+70 43 24	.I..9..	-16.75	 3.40	 158	 66	  8.21	 0.05
 4325	NED	Simbad	08 19 19.7	+50 00 32	.SAS9$.	-17.42	10.10	 519	134	  7.52	 0.10
 4426	NED	Simbad	08 28 28.3	+41 51 22	.I..9*.	      	 6.40	 393	 83	  1.00	 0.07
 4483	NED	Simbad	08 37 03.5	+69 46 32	.I..9*.	-12.77	 3.60	 156	 49	  0.41	 0.08
 4499	NED	Simbad	08 37 41.4	+51 39 09	.SX.8..	-17.06	13.00	 692	126	 12.00	 0.07
 4543	NED	Simbad	08 43 21.7	+45 44 10	.SA.8..	-18.10	30.30	1960	108	 60.00	 0.06
 4660	NED	Simbad	08 54 24.2	+34 33 22	.S..9*.	      	32.90	2203	 61	 18.60	 0.03
 4704	NED	Simbad	08 59 00.3	+39 12 39	.S..8*.	-15.03	10.20	 596	129	  5.56	 0.03
 4945	NED	Simbad	09 22 25.8	+75 46 02	.I..9..	      	 6.70	 659	 34	  0.38	 0.00
 5040	NED	Simbad	09 27 36.4	+28 47 58	.I..9?.	-19.81	58.00	4149	 63	 70.20	 0.00
 5139	NED	Simbad	09 40 28.8	+71 10 57	.IXS9..	-14.65	 6.80	 136	 26	  4.88	 0.03
 5221	NED	Simbad	09 47 14.9	+67 55 02	.SA.5P.	-17.30	 4.50	   3	 97	  2.57	 0.06
 5272	NED	Simbad	09 50 22.7	+31 29 14	.I..9..	-14.82	 6.10	 520	 82	  1.52	 0.02
 5322	NED	Simbad	09 55 52.7	+69 40 52	.I.0../	-19.61	 5.90	 203	146	 18.20	 0.07
 5336	NED	Simbad	09 57 31.7	+69 02 48	.I..9..	      	 3.60	  46	 69	  3.28	 0.08
 5340	NED	Simbad	09 56 45.7	+28 49 34	.I..9P*	-14.82	 6.10	 503	 78	  2.60	 0.02
 5364	NED	Simbad	09 59 25.2	+30 44 48	.IB.9..	-13.90	 2.20	  20	 33	  0.74	 0.04
 5398	NED	Simbad	10 03 19.1	+68 44 05	.I.0.P.	-16.98	 3.60	  14	 65	 10.50	 0.12
 5414	NED	Simbad	10 03 58.4	+40 45 24	.IXS9..	-16.39	10.00	 612	100	  5.75	 0.02
 5455	NED	Simbad	10 08 50.3	+70 38 03	.I..9..	      	22.60	1290	 57	  9.55	 0.10
 5478	NED	Simbad	10 09 31.5	+30 09 02	.I..9..	-17.03	18.50	1378	 55	  5.83	 0.03
 5612	NED	Simbad	10 24 07.2	+70 52 55	.SBS8..	-16.56	13.60	1011	146	 10.00	 0.11
 5666	NED	Simbad	10 28 23.0	+68 24 56	.SXS9..	-17.03	 3.70	  47	115	 13.30	 0.03
 5688	NED	Simbad	10 30 25.0	+70 03 03	.SB.9*.	      	30.20	1921	 54	 32.70	 0.00
 5706	NED	Simbad	10 31 10.8	+34 30 13	.I..9..	      	24.50	1494	 36	  5.78	 0.01
 5721	NED	Simbad	10 32 17.3	+27 40 08	.SX.7?.	-15.95	 6.70	 537	157	  6.85	 0.03
 5740	NED	Simbad	10 34 47.0	+50 46 11	.SX.9..	-15.27	11.90	 651	117	  4.52	 0.00
 5764	NED	Simbad	10 36 43.5	+31 32 50	.IBS9*.	-15.36	 9.00	 586	101	  2.56	 0.02
 5829	NED	Simbad	10 42 43.2	+34 27 01	.I..9..	-15.76	 9.00	 630	 75	 12.70	 0.02
 5846	NED	Simbad	10 44 29.9	+60 22 06	.I..9..	-15.69	13.20	1019	 44	  7.06	 0.00
 5860	NED	Simbad	10 45 22.4	+55 57 37	.S..3$P	-17.93	17.40	 944	 96	  8.25	 0.00
 5918	NED	Simbad	10 49 37.0	+65 31 48	.I..9*.	      	 7.70	 338	 62	  2.45	 0.00
 5935	NED	Simbad	10 49 55.4	+32 59 27	.IB.9P.	-19.49	26.40	1625	160	 56.30	 0.00
 5986	NED	Simbad	10 52 31.3	+36 37 09	.SBS9./	-17.92	 8.70	 616	232	 22.80	 0.00
 6016	NED	Simbad	10 54 13.0	+54 17 14	.I..9..	      	25.20	1493	136	 25.00	 0.00
 6021	NED	Simbad	10 54 35.6	+56 59 27	.SXS9..	-19.66	32.10	2023	102	 43.30	 0.00
 6024	NED	Simbad	10 54 38.9	+54 18 21	.I.0...	-19.78	23.20	1350	239	 79.90	 0.00
 6126	NED	Simbad	11 03 43.4	+28 53 11	.SBS9./	-16.75	 8.90	 705	186	  9.17	 0.00
 6151	NED	Simbad	11 05 56.4	+19 49 35	.S..9*.	-16.87	17.20	1331	 26	  4.39	 0.00
 6161	NED	Simbad	11 06 49.2	+43 43 23	.SB.8..	-16.54	12.90	 758	108	  9.57	 0.00
 6251	NED	Simbad	11 13 26.8	+53 35 44	.SX.9*.	-15.59	13.20	 927	 44	  4.79	 0.00
 6406	NED	Simbad	11 23 55.6	+52 55 16	.SXT5P.	-18.53	21.50	1215	196	 39.10	 0.00
 6446	NED	Simbad	11 26 40.4	+53 44 50	.SA.7..	-16.59	12.00	 645	135	 14.10	 0.00
 6456	NED	Simbad	11 27 58.7	+78 59 38	.P.....	-12.88	 3.00	 -92	 49	  0.33	 0.05
 6565	NED	Simbad	11 35 48.6	+54 31 28	.I..9..	-15.71	 3.20	 229	 78	  0.73	 0.00
 6628	NED	Simbad	11 40 05.8	+45 56 32	.SA.9..	-17.01	15.30	 850	 40	 13.30	 0.01
 6682	NED	Simbad	11 43 09.0	+59 06 24	.S..9*.	      	16.10	1326	 73	  7.33	 0.00
 6817	NED	Simbad	11 50 54.1	+38 52 54	.I..9..	-13.71	 4.02	 245	 37	  1.49	 0.00
 6840	NED	Simbad	11 52 07.0	+52 06 29	.SBT9..	-15.77	15.70	1046	143	  8.86	 0.01
 6912	NED	Simbad	11 56 13.9	+58 12 00	.S?....	-17.26	23.60	1357	 96	 22.10	 0.00
 6917	NED	Simbad	11 56 28.7	+50 25 42	.SB.9..	-17.63	16.90	 910	183	 19.30	 0.02
 6944	NED	Simbad	11 57 44.1	+32 17 38	.SA.9P.	-20.52	47.40	3254	133	148.00	 0.01
 6955	NED	Simbad	11 58 29.1	+38 04 33	.IBS9*.	-16.11	11.60	 909	144	 10.50	 0.00
 6956	NED	Simbad	11 58 26.1	+50 55 06	.SBS9..	      	15.70	 917	 52	  6.30	 0.02
 6995	NED	Simbad	12 00 32.9	+20 04 25	.I..9*.	-19.08	22.60	1269	103	 22.40	 0.03
 7047	NED	Simbad	12 04 02.2	+52 35 25	.IA.9..	-14.71	 3.50	 211	 51	  1.04	 0.00
 7125	NED	Simbad	12 08 42.1	+36 48 10	.S..9..	-17.24	19.50	1071	132	 46.90	 0.01
 7151	NED	Simbad	12 09 58.2	+46 27 28	.SXS6$/	-15.58	 3.50	 267	150	  1.58	 0.00
 7199	NED	Simbad	12 12 09.0	+36 10 06	.IA.9..	-14.25	 3.50	 164	 30	  0.24	 0.00
 7204	NED	Simbad	12 12 21.2	+29 12 29	.SB.7*.	-18.33	20.30	1104	117	 40.00	 0.01
 7232	NED	Simbad	12 13 44.6	+36 38 09	.I..9P.	-14.47	 3.50	 230	 46	  0.59	 0.00
 7261	NED	Simbad	12 15 14.2	+20 39 34	.SBS8..	-16.89	 9.10	 861	 85	  6.63	 0.04
 7278	NED	Simbad	12 15 39.2	+36 19 37	.IXS9..	-17.53	 3.50	 291	 62	  8.09	 0.00
 7306	NED	Simbad	12 16 42.8	+69 27 46	.SBS8..	-17.05	 3.00	   0	162	 13.00	 0.03
 7323	NED	Simbad	12 17 30.1	+45 37 10	.SXS8..	-18.02	 8.10	 517	115	  7.06	 0.00
 7356	NED	Simbad	12 19 09.1	+47 05 25	.I..9?.	      	 3.50	 272	 86	  1.15	 0.00
 7399	NED	Simbad	12 20 38.1	+46 17 31	.SBS8..	-16.25	 8.40	 535	173	  6.37	 0.00
 7408	NED	Simbad	12 21 15.4	+45 48 47	.IA.9..	-15.31	 8.40	 462	 26	  1.63	 0.00
 7490	NED	Simbad	12 24 25.0	+70 20 02	.SA.9..	-15.84	 8.50	 467	 69	  2.85	 0.00
 7524	NED	Simbad	12 25 48.8	+33 32 50	.SAS9*.	-17.01	 3.50	 320	109	  9.54	 0.01
 7534	NED	Simbad	12 26 08.1	+58 19 20	.IB.9..	-15.14	 8.50	 723	 55	  5.13	 0.00
 7559	NED	Simbad	12 27 05.5	+37 08 34	.IB.9..	-12.82	 3.20	 218	 59	  0.61	 0.00
 7577	NED	Simbad	12 27 42.0	+43 29 37	.I..9..	-13.81	 3.50	 196	 28	  0.71	 0.00
 7592	NED	Simbad	12 28 11.3	+44 05 36	.IB.9..	-17.61	 3.50	 201	136	 12.40	 0.00
 7599	NED	Simbad	12 28 27.9	+37 14 02	.S..9..	-12.71	 3.50	 278	 66	  0.31	 0.00
 7603	NED	Simbad	12 28 44.1	+22 49 18	.SBS7?/	-16.06	 6.80	 644	132	  3.64	 0.03
 7608	NED	Simbad	12 28 44.8	+43 13 33	.I..9..	      	 8.40	 538	 60	  4.88	 0.00
 7648	NED	Simbad	12 30 31.4	+41 42 00	.IBS9P.	-16.74	 7.10	 493	139	  3.48	 0.00
 7651	NED	Simbad	12 30 36.3	+41 38 36	.IBS9P.	-19.29	 8.40	 578	173	 52.90	 0.00
 7673	NED	Simbad	12 31 58.7	+29 42 34	.I..9..	      	 8.40	 642	 55	  1.56	 0.02
 7690	NED	Simbad	12 32 26.9	+42 42 17	.I..9*.	-15.99	 7.90	 537	 88	  3.07	 0.00
 7698	NED	Simbad	12 32 54.5	+31 32 21	.I..9..	-14.71	 3.50	 333	 53	  1.20	 0.02
 7723	NED	Simbad	12 34 05.4	+35 31 07	.SAS8*.	-17.36	11.30	 802	123	 19.40	 0.00
 7831	NED	Simbad	12 40 00.6	+61 36 31	.SBS5P.	-17.64	 5.20	 143	133	  3.69	 0.00
 7853	NED	Simbad	12 41 32.5	+41 09 02	.SBT9..	-18.11	 7.80	 543	 97	 12.30	 0.00
 7861	NED	Simbad	12 41 52.5	+41 16 20	.SXT9P.	-16.91	 9.00	 611	 66	  5.86	 0.00
 7866	NED	Simbad	12 42 15.0	+38 30 13	.IXS9..	-13.90	 4.80	 359	 46	  1.16	 0.00
 7872	NED	Simbad	12 41 54.1	+75 18 27	.I..9..	      	30.70	1887	 69	 18.60	 0.02
 7907	NED	Simbad	12 43 58.3	+32 10 18	.SBS9P.	-18.93	 7.90	 640	139	 49.50	 0.00
 7916	NED	Simbad	12 44 25.0	+34 23 13	.I..9..	      	 8.40	 607	 57	  3.60	 0.01
 7949	NED	Simbad	12 47 00.1	+36 28 41	.I..9*.	      	 4.80	 333	 30	  1.00	 0.02
 7971	NED	Simbad	12 48 22.5	+51 09 55	.S..9*.	-15.11	 8.40	 467	 64	  2.49	 0.01
 8005	NED	Simbad	12 51 46.0	+25 46 35	.SB6$/P	-18.91	21.80	1188	127	 31.00	 0.02
 8024	NED	Simbad	12 54 05.4	+27 08 56	.IBS9..	-14.90	 4.80	 376	 85	  4.47	 0.01
 8098	NED	Simbad	12 59 02.0	+34 51 41	.SBS9*.	      	12.80	 846	 86	 16.60	 0.00
 8188	NED	Simbad	13 05 49.5	+37 36 24	.SAS9..	-15.35	 4.70	 321	 40	  3.25	 0.00
 8201	NED	Simbad	13 06 25.6	+67 42 19	.I..9..	-14.84	 4.90	  37	 44	  1.66	 0.02
 8286	NED	Simbad	13 12 11.9	+44 02 16	.S..6*/	-15.43	 4.80	 407	179	  3.24	 0.00
 8303	NED	Simbad	13 13 17.6	+36 12 58	.IXS9..	-17.07	17.20	 946	 89	  9.97	 0.00
 8320	NED	Simbad	13 14 26.4	+45 55 34	.IB.9..	-15.35	 5.90	 195	 60	  5.93	 0.00
 8331	NED	Simbad	13 15 30.1	+47 30 00	.IA.9..	-13.95	 5.90	 260	 50	  1.21	 0.00
 8441	NED	Simbad	13 25 29.1	+57 49 20	.I..9..	-16.70	20.00	1519	103	 15.00	 0.00
 8489	NED	Simbad	13 29 38.8	+45 23 17	.SX.8..	-16.70	20.00	1303	130	 12.50	 0.00
 8490	NED	Simbad	13 29 36.4	+58 25 12	.SAS9..	-16.80	 4.90	 204	110	  5.97	 0.01
 8508	NED	Simbad	13 30 44.5	+54 54 39	.IA.9..	-13.43	 3.70	  62	 49	  0.50	 0.00
 8550	NED	Simbad	13 34 03.0	+47 54 53	.SBS7?/	-14.31	 5.30	 364	127	  1.79	 0.00
 8565	NED	Simbad	13 34 42.8	+51 36 52	.SXS8..	-14.67	 5.20	 232	 36	  0.42	 0.00
 8651	NED	Simbad	13 39 53.9	+40 44 21	.I..9..	-14.15	 5.90	 203	 41	  1.06	 0.00
 8683	NED	Simbad	13 42 33.1	+39 39 28	.I..9..	-15.29	12.60	 661	 35	  2.68	 0.00
 8760	NED	Simbad	13 50 50.5	+38 01 05	.I..9..	-13.95	 5.90	 193	 32	  0.83	 0.00
 8837	NED	Simbad	13 54 45.8	+53 54 10	.IBS9./	-14.83	 5.10	 144	 77	  1.24	 0.00
 8892	NED	Simbad	13 57 41.1	+57 00 06	.I..9..	-17.30	29.00	1748	 95	 24.00	 0.00
 9018	NED	Simbad	14 05 32.6	+54 27 39	.SAS9..	-15.22	 7.70	 304	 52	  1.84	 0.00
 9128	NED	Simbad	14 15 56.7	+23 03 18	.I..9..	-13.91	 4.40	 154	 33	  0.58	 0.00
 9211	NED	Simbad	14 22 32.3	+45 23 00	.I..9*.	-15.49	12.60	 690	 99	  9.21	 0.00
 9219	NED	Simbad	14 23 17.6	+41 46 31	.I..9*.	-16.49	12.00	 663	109	  4.19	 0.00
 9240	NED	Simbad	14 24 43.6	+44 31 37	.IA.9..	-14.66	 4.50	 153	 45	  1.14	 0.00
 9405	NED	Simbad	14 35 24.2	+57 15 19	.I..9..	      	 7.60	 222	 85	  1.38	 0.00
 9426	NED	Simbad	14 37 29.1	+48 37 26	.I..9..	      	36.20	2311	 44	 14.20	 0.08
 9769	NED	Simbad	15 12 07.2	+55 47 06	.SXT8*.	-16.29	16.60	 844	129	 14.70	 0.01
 9906	NED	Simbad	15 33 27.8	+56 33 36	.S...P.	-17.97	13.70	 656	214	 20.70	 0.00
 9992	NED	Simbad	15 41 48.0	+67 15 15	.I..9..	-14.88	10.40	 427	 48	  2.62	 0.05
10736	NED	Simbad	17 08 04.6	+69 27 53	.SX.8..	-15.83	11.70	 490	144	  7.31	 0.10
10792	NED	Simbad	17 14 02.3	+75 12 13	.I..9..	      	22.20	1233	 62	  9.13	 0.09
10806	NED	Simbad	17 18 51.1	+49 53 02	.SBS8..	-17.50	17.70	 930	152	 16.70	 0.04
11283	NED	Simbad	18 33 52.6	+49 16 44	.SBS8?.	-18.57	31.30	1962	173	 48.10	 0.15
11557	NED	Simbad	20 24 00.7	+60 11 41	.SXS8..	-18.17	23.80	1389	 87	 26.50	 0.65
11707	NED	Simbad	21 14 31.7	+26 44 05	.SA.8..	-16.50	15.90	 906	185	 34.20	 0.36
12048	NED	Simbad	22 28 25.8	+30 17 34	.IB.9..	-18.18	16.80	 986	 77	 13.30	 0.14
12060	NED	Simbad	22 30 33.9	+33 49 14	.IB.9..	-16.07	15.70	 884	113	 14.90	 0.20
12212	NED	Simbad	22 50 30.2	+29 08 20	.S..9*.	      	15.50	 894	105	  8.88	 0.14
12554	NED	Simbad	23 22 06.7	+40 50 43	.SBS5..	-18.35	 9.20	 369	234	 65.90	 0.24
12632	NED	Simbad	23 29 58.8	+40 59 27	.S..9*.	-14.69	 6.90	 422	114	  8.19	 0.28
12732	NED	Simbad	23 40 39.8	+26 14 11	.S..9*.	-16.79	13.20	 748	112	 28.10	 0.10

