#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T15:55:17 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T15:55:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/152/157/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520157
#Name: J/AJ/152/157
#Title: Mass models for 175 disk galaxies with SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..157L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_157_table1:
#Name: J/AJ/152/157/table1
#Title: *Galaxy sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Nvel	(I3)	Number of velocities (table2)	[ucd=meta.number]
#Column	Type	(I2)	[0/11] Numerical Hubble type (1)	[ucd=meta.note]
#Column	Dist	(F6.2)	[0.98/127.8] Assumed distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/12.8] Mean error on Dist	[ucd=stat.error]
#Column	f_Dist	(I1)	[1/5] Flag giving the distance method (2)	[ucd=meta.code]
#Column	i	(F4.1)	[15/90] Assumed inclination angle (3)	[ucd=src.orbital.inclination;pos.posAng]
#Column	e_i	(F4.1)	[1/10] Mean error on i	[ucd=stat.error]
#Column	L3.6	(F7.3)	[0/490] Total luminosity at 3.6{mu}m (L_[3.6]_)	[ucd=phys.luminosity;em.IR]
#Column	e_L3.6	(F7.3)	[0/6.2] Mean error on L3.6	[ucd=stat.error]
#Column	Reff	(F5.2)	[0/12.4] Effective radius (R_eff_) encompassing half of the total 3.6{mu}m luminosity	[ucd=phys.size.radius]
#Column	SBeff	(F8.2)	[5.3/3317.7] Effective 3.6{mu}m surface brightness ({Sigma}_eff_), i.e., the average surface brightness within R_eff_	[ucd=phot.mag.sb]
#Column	Rdisk	(F5.2)	[0.18/18.8] The 3.6{mu}m scale length of the stellar disk (R_d_)	[ucd=src.morph.scLength]
#Column	SBdisk	(F8.2)	[12/23813.9] Extrapolated 3.6{mu}m central surface brightness of the stellar disk ({Sigma}_d_)	[ucd=phot.mag.sb]
#Column	MHI	(F7.3)	[0.01/40.1] Total HI mass (M_HI_)	[ucd=phys.mass]
#Column	RHI	(F5.2)	[0/74.3] HI radius (R_HI_) (4)	[ucd=phys.size.radius]
#Column	Vflat	(F5.1)	[0/332] Asymptotically velocity along the flat part of the rotation curve (V_f_) (5)	[ucd=phys.veloc]
#Column	e_Vflat	(F5.1)	[0/20.7] Mean error on Vflat	[ucd=stat.error]
#Column	Qual	(I3)	[1/3] Rotation-curve quality flag (1=high, 2=medium, or 3=low) (6)	[ucd=meta.code.qual]
#Column	Ref	(a14)	References for HI and H{alpha} data; in refs.dat file	[ucd=pos.frame]
#Column	L16a	(I3)	Indicates a galaxy in the SPARC paper of Lelli et al. 2016 (Cat. J/ApJ/816/L14)	[ucd=meta.number]
#Column	L16b	(I3)	Indicates a galaxy in the SPARC paper of Lelli et al. 2016 (Cat. J/ApJ/827/L19)	[ucd=meta.number]
#Column	S4G	(I3)	Indicates an object from the Spitzer Survey for Stellar Structure in Galaxies (S4G; Sheth et al. 2010, Cat. J/PASP/122/1397)	[ucd=meta.number]
#Column	EDD	(I3)	Indicates an object from the Extragalactic Distance Database (EDD; Jacobs et al. 2009, Cat. J/PASP/138/332)	[ucd=meta.number]
#Column	RC	(A2)	Rotation Curve	[ucd=meta.ref.url]
#Column	SimbadName	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Position from SIMBAD database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SIMBAD database (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	Nvel	Type	Dist	e_Dist	f_Dist	i	e_i	L3.6	e_L3.6	Reff	SBeff	Rdisk	SBdisk	MHI	RHI	Vflat	e_Vflat	Qual	Ref	L16a	L16b	S4G	EDD	RC	SimbadName	NEDname	_RA	_DE
      18	F565-V2    	  7	10	 51.80	10.40	1	60.0	10.0	  0.559	  0.098	 3.57	    6.93	 2.17	   40.26	  0.699	 7.31	  0.0	  0.0	  2	dB97,dB96     	  0	  1	  0	  0	RC	VLSB F565-V02	VLSB F565-V02	144.40250	+21.77083
      19	F567-2     	  5	 9	 79.00	11.80	1	20.0	10.0	  2.134	  0.305	 5.43	   11.50	 3.08	   46.65	  2.449	14.94	  0.0	  0.0	  3	dB97,dB96     	  0	  0	  0	  0	RC	LSB F567-2   	LSB F567-2   	154.48458	+21.06139
      20	F568-1     	 12	 5	 90.70	 9.70	1	26.0	 5.0	  6.252	  0.564	 7.00	   20.36	 5.18	   57.13	  4.498	16.31	  0.0	  0.0	  1	dB01,dB96     	  0	  0	  0	  0	RC	LSB F568-1   	LSB F568-1   	156.42542	+22.42444
      21	F568-3     	 18	 7	 82.40	 8.24	1	40.0	10.0	  8.346	  0.592	 7.47	   23.81	 4.99	  132.08	  3.195	16.14	  0.0	  0.0	  1	KN08,dB96     	  0	  1	  0	  0	RC	LSB F568-3   	LSB F568-3   	156.74583	+22.22667
      22	F568-V1    	 15	 7	 80.60	 8.06	1	40.0	10.0	  3.825	  0.384	 4.40	   31.39	 2.85	   90.54	  2.491	14.38	112.3	 15.8	  1	dB01,dB96     	  1	  1	  0	  0	RC	VLSB F568-V01	VLSB F568-V01	161.25860	+22.05432
      23	F571-8     	 13	 5	 53.30	10.70	1	85.0	 5.0	 10.164	  0.412	 1.40	  825.71	 3.56	   87.26	  1.782	24.55	139.7	  4.3	  1	dB01,dB96     	  1	  1	  0	  0	RC	LSB F571-8   	LSB F571-8   	173.47625	+19.35500
      24	F571-V1    	  7	 7	 80.10	 8.00	1	30.0	10.0	  1.849	  0.267	 4.38	   15.30	 2.47	   64.39	  1.217	10.10	 83.6	  3.5	  2	dB97,dB96     	  0	  1	  0	  0	RC	VLSB F571-V01	VLSB F571-V01	171.57500	+18.83167
      25	F574-1     	 14	 7	 96.80	 9.68	1	65.0	10.0	  6.537	  0.596	 5.87	   29.98	 4.46	  128.48	  3.524	16.19	 97.8	  4.1	  1	dB01,dB96     	  1	  1	  0	  0	RC	LSB F574-1   	LSB F574-1   	189.55542	+22.29972
      26	F574-2     	  5	 9	 89.10	 8.91	1	30.0	10.0	  2.877	  0.384	 6.48	   10.89	 3.76	   41.38	  1.701	12.61	  0.0	  0.0	  3	dB97,dB96     	  0	  0	  0	  0	RC	LSB F574-2   	LSB F574-2   	191.69708	+21.80333
      27	F579-V1    	 14	 5	 89.50	 8.95	1	26.0	10.0	 11.848	  0.742	 5.76	   56.60	 3.37	  201.76	  2.245	20.96	112.1	 13.4	  1	dB01,dB96     	  0	  0	  0	  0	RC	VLSB F579-V01	VLSB F579-V01	218.20042	+22.76611
      28	F583-1     	 25	 9	 35.40	 8.85	1	63.0	 5.0	  0.986	  0.093	 3.74	   11.19	 2.36	   60.93	  2.126	15.65	 85.8	  3.6	  1	KN08,dB96     	  1	  1	  0	  0	RC	LSB F583-1   	LSB F583-1   	239.36451	+20.66642
      29	F583-4     	 12	 5	 53.30	10.70	1	55.0	10.0	  1.715	  0.185	 3.31	   24.94	 1.93	   83.34	  0.641	 7.80	  0.0	  0.0	  1	KN08,dB96     	  0	  1	  0	  0	RC	LSB F583-4   	LSB F583-4   	238.05000	+18.78500
      30	IC2574     	 34	 9	  3.91	 0.20	2	75.0	 7.0	  1.016	  0.012	 3.18	   15.88	 2.78	   80.32	  1.036	10.81	 66.4	  2.0	  2	Sa96,MC94     	  1	  1	  1	  1	RC	IC2574       	IC2574       	157.09784	+68.41214
      31	IC4202     	 32	 4	100.40	10.00	1	90.0	 1.0	179.749	  3.311	 8.55	  391.59	 4.78	 8888.53	 12.326	32.13	242.6	 11.0	  1	SG06          	  1	  0	  0	  0	RC	IC4202       	IC4202       	197.13159	+24.70083
      32	KK98-251   	 15	10	  6.80	 2.04	1	59.0	 5.0	  0.085	  0.007	 1.28	    7.89	 1.34	   52.10	  0.115	 2.90	 33.7	  1.6	  2	BC04          	  1	  1	  0	  0	RC	[KK98a] 251  	[KK98a] 251  	307.63708	+60.35472
      33	NGC0024    	 29	 5	  7.30	 0.36	2	64.0	 3.0	  3.889	  0.036	 2.01	  151.65	 1.34	 1182.58	  0.676	 7.29	106.3	  7.9	  1	Di08,Ch06     	  1	  1	  1	  0	RC	NGC0024      	NGC0024      	002.48559	-24.96313
      34	NGC0055    	 21	 9	  2.11	 0.11	2	77.0	 3.0	  4.628	  0.013	 3.67	   54.55	 6.11	  391.59	  1.565	10.24	 85.6	  5.0	  2	Sa96,Pu91     	  1	  1	  1	  0	RC	NGC0055      	NGC0055      	003.72334	-39.19663
      35	NGC0100    	 21	 6	 13.50	 4.05	1	89.0	 1.0	  3.232	  0.063	 2.81	   64.99	 1.66	 1193.52	  1.990	16.36	 88.1	  6.4	  1	dB02,Rh96     	  0	  0	  1	  0	RC	NGC0100      	NGC0100      	006.01182	+16.48639
      36	NGC0247    	 26	 7	  3.70	 0.19	2	74.0	 3.0	  7.332	  0.027	 5.87	   33.79	 3.74	  506.79	  1.746	12.79	104.9	  8.0	  2	Sa96,Ca90     	  1	  1	  1	  0	RC	NGC0247      	NGC0247      	011.78564	-20.76040
      37	NGC0289    	 28	 4	 20.80	 5.20	1	46.0	 5.0	 72.065	  0.465	 2.69	 1587.93	 6.74	   69.96	 27.469	49.51	163.0	  8.0	  2	Wa97          	  1	  1	  1	  0	RC	NGC0289      	NGC0289      	013.17652	-31.20583
      38	NGC0300    	 25	 7	  2.08	 0.10	2	42.0	10.0	  2.922	  0.008	 1.77	  147.51	 1.75	  437.35	  0.936	 9.20	 93.3	  7.0	  2	Sa96,CP90     	  1	  1	  1	  0	RC	NGC0300      	NGC0300      	013.72283	-37.68438
      39	NGC0801    	 13	 5	 80.70	 8.07	1	80.0	 1.0	312.570	  3.455	 7.76	  818.14	 8.72	 1558.94	 23.201	44.99	220.1	  6.2	  1	Sa96,Br92     	  1	  1	  0	  0	RC	NGC0801      	NGC0801      	030.93687	+38.25867
      40	NGC0891    	 18	 3	  9.91	 0.50	2	90.0	 1.0	138.340	  0.255	 3.68	 1617.45	 2.55	 5067.92	  4.462	18.16	216.1	  5.7	  1	Fr11          	  1	  0	  0	  0	RC	NGC0891      	NGC0891      	035.63711	+42.34832
      41	NGC1003    	 36	 6	 11.40	 3.42	1	67.0	 5.0	  6.820	  0.075	 2.76	  140.87	 1.61	 1345.33	  5.880	33.33	109.8	  4.2	  1	Sa96,Br92     	  1	  1	  0	  0	RC	NGC1003      	NGC1003      	039.82039	+40.87229
      42	NGC1090    	 24	 4	 37.00	 9.25	1	64.0	 3.0	 72.045	  0.796	 6.36	  283.68	 3.53	 2055.09	  8.783	30.49	164.4	  3.7	  1	Ge04          	  1	  1	  1	  0	RC	NGC1090      	NGC1090      	041.64132	-00.24704
      43	NGC1705    	 14	11	  5.73	 0.29	2	80.0	10.0	  0.533	  0.010	 0.49	  347.40	 0.39	  587.26	  0.139	 2.36	 71.9	  4.3	  3	Le14          	  0	  0	  1	  0	RC	NGC1705      	NGC1705      	073.55625	-53.36106
      44	NGC2366    	 26	10	  3.27	 0.16	2	68.0	 5.0	  0.236	  0.005	 1.08	   31.98	 0.65	  113.98	  0.647	 6.94	 50.2	  3.2	  3	Le14          	  0	  0	  0	  1	RC	NGC2366      	NGC2366      	112.21604	+69.20864
      45	NGC2403    	 73	 6	  3.16	 0.16	2	63.0	 3.0	 10.041	  0.028	 2.16	  341.06	 1.39	 1408.74	  3.199	15.11	131.2	  4.9	  1	Da06,Fr02     	  1	  1	  0	  1	RC	NGC2403      	NGC2403      	114.21415	+65.60255
      46	NGC2683    	 11	 3	  9.81	 0.49	2	80.0	 5.0	 80.415	  0.222	 3.34	 1139.80	 2.18	10205.40	  1.406	13.79	154.0	  8.1	  2	Sa96,Br92     	  1	  1	  1	  0	RC	NGC2683      	NGC2683      	133.17227	+33.42180
      47	NGC2841    	 50	 3	 14.10	 1.40	3	76.0	10.0	188.121	  0.520	 5.51	  983.63	 3.64	 4751.49	  9.775	45.12	284.8	  8.6	  1	Di08,Be91     	  1	  1	  1	  0	RC	NGC2841      	NGC2841      	140.51106	+50.97648
      48	NGC2903    	 34	 4	  6.60	 1.98	1	66.0	 3.0	 81.863	  0.151	 4.54	  632.16	 2.33	 1193.52	  2.552	13.76	184.6	  5.6	  1	Be91,Be87     	  1	  1	  1	  0	RC	NGC2903      	NGC2903      	143.04213	+21.50083
      49	NGC2915    	 30	11	  4.06	 0.20	2	56.0	 4.0	  0.641	  0.008	 0.53	  347.40	 0.55	  313.93	  0.508	 7.16	 83.5	  6.3	  2	El10          	  1	  1	  0	  1	RC	NGC2915      	NGC2915      	141.54805	-76.62632
      50	NGC2955    	 24	 3	 97.90	 9.80	1	56.0	 7.0	319.422	  4.413	 7.22	  974.61	18.76	   50.68	 28.949	40.34	  0.0	  0.0	  1	SG06          	  0	  1	  0	  0	RC	NGC2955      	NGC2955      	145.31917	+35.88212
      51	NGC2976    	 27	 5	  3.58	 0.18	2	61.0	10.0	  3.371	  0.019	 1.31	  308.20	 1.01	 1502.55	  0.172	 3.04	 85.4	  3.3	  2	Si03          	  1	  1	  1	  1	RC	NGC2976      	NGC2976      	146.81441	+67.91638
      52	NGC2998    	 13	 5	 68.10	10.20	1	58.0	 2.0	150.902	  2.085	 7.06	  479.55	 6.20	  774.16	 23.451	43.58	209.9	  8.1	  1	Sa96,Br92     	  1	  1	  0	  0	RC	NGC2998      	NGC2998      	147.18179	+44.08129
      53	NGC3109    	 25	 9	  1.33	 0.07	2	70.0	 5.0	  0.194	  0.002	 1.64	   11.40	 1.56	  140.87	  0.477	 6.00	 66.2	  2.6	  1	Be91,JC90     	  1	  1	  0	  1	RC	NGC3109      	NGC3109      	150.77865	-26.15957
      54	NGC3198    	 43	 5	 13.80	 1.40	3	73.0	 3.0	 38.279	  0.212	 5.84	  178.99	 3.14	 1602.62	 10.869	35.66	150.1	  3.9	  1	Da06,Be91,Be87	  1	  1	  1	  0	RC	NGC3198      	NGC3198      	154.97912	+45.54969
      55	NGC3521    	 41	 4	  7.70	 2.30	1	75.0	 5.0	 84.836	  0.156	 2.45	 2232.70	 2.40	 2112.66	  4.154	18.85	213.7	 15.9	  1	Da06,Sa96     	  1	  1	  1	  0	RC	NGC3521      	NGC3521      	166.45247	-00.03590
      56	NGC3726    	 12	 5	 18.00	 2.50	4	53.0	 2.0	 70.234	  0.388	 7.52	  198.08	 3.40	 1789.91	  6.473	22.20	168.0	  6.2	  2	VS01,SV98     	  1	  1	  1	  0	RC	NGC3726      	NGC3726      	173.33822	+47.02909
      57	NGC3741    	 21	10	  3.21	 0.17	2	70.0	 4.0	  0.028	  0.001	 0.32	   42.94	 0.20	  143.49	  0.182	 4.20	 50.1	  2.1	  1	Ge07,Bm05     	  1	  1	  0	  1	RC	NGC3741      	NGC3741      	174.02397	+45.28415
      58	NGC3769    	 12	 3	 18.00	 2.50	4	70.0	 2.0	 18.679	  0.189	 2.18	  626.37	 3.38	  160.26	  5.529	22.57	118.6	  8.4	  2	VS01,SV98     	  1	  1	  1	  0	RC	NGC3769      	NGC3769      	174.43377	+47.89309
      59	NGC3877    	 13	 5	 18.00	 2.50	4	76.0	 1.0	 72.535	  0.401	 4.39	  598.18	 2.53	 3410.59	  1.483	11.47	168.4	  5.1	  2	VS01,SV98     	  1	  1	  1	  0	RC	NGC3877      	NGC3877      	176.53242	+47.49450
      60	NGC3893    	 10	 5	 18.00	 2.50	4	49.0	 2.0	 58.525	  0.377	 2.43	 1573.37	 2.38	 2055.09	  5.799	20.84	174.0	  8.9	  1	VS01,SV98     	  1	  1	  1	  0	RC	NGC3893      	NGC3893      	177.15920	+48.71079
      61	NGC3917    	 17	 6	 18.00	 2.50	4	79.0	 2.0	 21.966	  0.202	 5.56	  112.94	 2.63	 1226.96	  1.888	14.08	135.9	  4.1	  1	VS01,SV98     	  1	  1	  1	  0	RC	NGC3917      	NGC3917      	177.68953	+51.82421
      62	NGC3949    	  7	 4	 18.00	 2.50	4	55.0	 2.0	 38.067	  0.280	 2.39	 1058.84	 3.59	  185.71	  3.371	13.72	163.0	  7.1	  2	VS01,SV98     	  1	  1	  1	  0	RC	NGC3949      	NGC3949      	178.42395	+47.85878
