#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T15:55:24 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T15:55:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/816/L14/figure2&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18169014
#Name: J/ApJ/816/L14
#Title: Tully-Fisher relation in disk galaxies from SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/816/l14	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/816/l14	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016ApJ...816L..14L	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/816/L14	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18169014	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_816_L14_figure2:
#Name: J/ApJ/816/L14/figure2
#Title: *Data behind Figure 2
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Dist	(F6.2)	[0.98/127.8] Galaxy distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/12.8] Mean error on Dist	[ucd=stat.error]
#Column	f_Dist	(I1)	[1/5] Method flag on Dist (1)	[ucd=meta.code]
#Column	logMb	(F5.2)	[7.98/11.43] Log of the baryonic mass (M_b_) (2)	[ucd=phys.mass]
#Column	e_logMb	(F5.2)	[0.06/0.28] Mean error on logMb	[ucd=stat.error]
#Column	logVf	(F5.2)	[1.53/2.52] Log of rotation velocity (V_f_) (3)	[ucd=phys.veloc.rotat]
#Column	e_logVf	(F5.2)	[0.01/0.11] Mean error on logVf	[ucd=stat.error]
#Column	Fg	(F5.2)	[0.02/0.95] Gas fraction (f_g_=M_g_/M_b_) (4)	[ucd=phys.mass;arith.ratio]
#Column	SBeff	(F7.2)	[3.8/1659] Effective stellar surface brightness (4)	[ucd=phot.flux.sb]
#Column	Reff	(F5.2)	[0.32/13.61] Effective stellar radius	[ucd=phys.size.radius]
#Column	SPARC	(I3)	Number of data from SPARC (Spitzer Photometry and Accurate Rotation Curves) main paper (Lelli et al. 2016, Cat. J/AJ/152/157)	[ucd=meta.number]
#Column	L16	(I3)	Indicates a galaxy in the SPARC paper of Lelli et al. 2016 (Cat. J/ApJ/827/L19)	[ucd=meta.number]
#Column	SimbadName	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Position from SIMBAD astronomical database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SIMBAD astronomical database (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	Dist	e_Dist	f_Dist	logMb	e_logMb	logVf	e_logVf	Fg	SBeff	Reff	SPARC	L16	SimbadName	NEDname	_RA	_DE
      20	NGC0300    	  2.08	 0.10	2	 9.43	 0.08	 1.97	 0.09	 0.46	  73.75	 1.77	 26	  1	NGC0300      	NGC0300      	013.72283	-37.68438
      21	NGC0801    	 80.70	 8.07	1	11.27	 0.13	 2.34	 0.01	 0.16	 409.07	 7.76	 14	  1	NGC0801      	NGC0801      	030.93687	+38.25867
      22	NGC0891    	  9.91	 0.50	2	10.88	 0.11	 2.33	 0.01	 0.08	 808.73	 3.68	 19	  0	NGC0891      	NGC0891      	035.63711	+42.34832
      23	NGC1003    	 11.40	 3.42	1	10.05	 0.26	 2.04	 0.02	 0.70	  70.44	 2.76	 37	  1	NGC1003      	NGC1003      	039.82039	+40.87229
      24	NGC1090    	 37.00	 9.25	1	10.68	 0.23	 2.22	 0.01	 0.24	 141.84	 6.36	 25	  1	NGC1090      	NGC1090      	041.64132	-00.24704
      25	NGC2403    	  3.16	 0.16	2	 9.97	 0.08	 2.12	 0.02	 0.46	 170.53	 2.16	 74	  1	NGC2403      	NGC2403      	114.21415	+65.60255
      26	NGC2683    	  9.81	 0.49	2	10.62	 0.11	 2.19	 0.02	 0.04	 569.90	 3.34	 12	  1	NGC2683      	NGC2683      	133.17227	+33.42180
      27	NGC2841    	 14.10	 1.40	3	11.03	 0.13	 2.45	 0.02	 0.12	 491.81	 5.51	 51	  1	NGC2841      	NGC2841      	140.51106	+50.97648
      28	NGC2903    	  6.60	 1.98	1	10.65	 0.28	 2.27	 0.02	 0.08	 316.08	 4.54	 35	  1	NGC2903      	NGC2903      	143.04213	+21.50083
      29	NGC2915    	  4.06	 0.20	2	 9.00	 0.06	 1.92	 0.04	 0.68	 173.70	 0.53	 31	  1	NGC2915      	NGC2915      	141.54805	-76.62632
      30	NGC2976    	  3.58	 0.18	2	 9.20	 0.10	 1.93	 0.05	 0.15	 152.69	 1.18	 28	  1	NGC2976      	NGC2976      	146.81441	+67.91638
      31	NGC2998    	 68.10	10.20	1	11.03	 0.15	 2.32	 0.02	 0.29	 239.78	 7.06	 14	  1	NGC2998      	NGC2998      	147.18179	+44.08129
      32	NGC3109    	  1.33	 0.07	2	 8.86	 0.06	 1.82	 0.02	 0.87	   5.70	 1.64	 26	  1	NGC3109      	NGC3109      	150.77865	-26.15957
      33	NGC3198    	 13.80	 1.40	3	10.53	 0.11	 2.18	 0.01	 0.43	  89.50	 5.84	 44	  1	NGC3198      	NGC3198      	154.97912	+45.54969
      34	NGC3521    	  7.70	 2.30	1	10.67	 0.28	 2.32	 0.03	 0.10	1116.35	 2.45	 42	  1	NGC3521      	NGC3521      	166.45247	-00.03590
      35	NGC3726    	 18.00	 2.50	4	10.64	 0.15	 2.23	 0.02	 0.20	  99.04	 7.52	 13	  1	NGC3726      	NGC3726      	173.33822	+47.02909
      36	NGC3741    	  3.21	 0.17	2	 8.41	 0.06	 1.70	 0.02	 0.95	  21.47	 0.32	 22	  1	NGC3741      	NGC3741      	174.02397	+45.28415
      37	NGC3769    	 18.00	 2.50	4	10.22	 0.14	 2.07	 0.03	 0.44	 313.19	 2.18	 13	  1	NGC3769      	NGC3769      	174.43377	+47.89309
      38	NGC3877    	 18.00	 2.50	4	10.58	 0.16	 2.23	 0.01	 0.05	 299.09	 4.39	 14	  1	NGC3877      	NGC3877      	176.53242	+47.49450
      39	NGC3893    	 18.00	 2.50	4	10.57	 0.15	 2.24	 0.03	 0.21	 786.68	 2.43	 11	  1	NGC3893      	NGC3893      	177.15920	+48.71079
      40	NGC3917    	 18.00	 2.50	4	10.13	 0.15	 2.13	 0.01	 0.19	  56.47	 5.56	 18	  1	NGC3917      	NGC3917      	177.68953	+51.82421
      41	NGC3949    	 18.00	 2.50	4	10.37	 0.15	 2.21	 0.02	 0.19	 529.42	 2.39	  8	  1	NGC3949      	NGC3949      	178.42395	+47.85878
      42	NGC3953    	 18.00	 2.50	4	10.87	 0.16	 2.34	 0.01	 0.05	 293.63	 6.17	  9	  1	NGC3953      	NGC3953      	178.45428	+52.32654
      43	NGC3972    	 18.00	 2.50	4	 9.94	 0.15	 2.12	 0.01	 0.18	  82.38	 3.73	 11	  1	NGC3972      	NGC3972      	178.93799	+55.32067
      44	NGC3992    	 23.70	 2.30	5	11.13	 0.12	 2.38	 0.01	 0.16	 180.22	 9.99	 10	  1	NGC3992      	NGC3992      	179.39993	+53.37452
      45	NGC4010    	 18.00	 2.50	4	10.09	 0.14	 2.10	 0.02	 0.30	   7.38	13.61	 13	  0	NGC4010      	NGC4010      	179.65830	+47.26131
      46	NGC4013    	 18.00	 2.50	4	10.64	 0.16	 2.24	 0.02	 0.09	 373.08	 4.11	 37	  0	NGC4013      	NGC4013      	179.63090	+43.94702
      47	NGC4051    	 18.00	 2.50	4	10.71	 0.16	 2.20	 0.02	 0.07	 159.88	 6.87	  8	  1	NGC4051      	NGC4051      	180.79036	+44.53126
      48	NGC4085    	 18.00	 2.50	4	10.10	 0.15	 2.12	 0.02	 0.14	 428.35	 2.00	  8	  1	NGC4085      	NGC4085      	181.34460	+50.35275
      49	NGC4088    	 18.00	 2.50	4	10.81	 0.15	 2.23	 0.02	 0.17	 228.98	 6.10	 13	  1	NGC4088      	NGC4088      	181.39245	+50.53903
      50	NGC4100    	 18.00	 2.50	4	10.53	 0.15	 2.20	 0.01	 0.12	 194.00	 4.93	 25	  1	NGC4100      	NGC4100      	181.53584	+49.58231
      51	NGC4138    	 18.00	 2.50	4	10.38	 0.16	 2.17	 0.02	 0.08	 954.55	 1.91	  8	  1	NGC4138      	NGC4138      	182.37412	+43.68532
      52	NGC4157    	 18.00	 2.50	4	10.80	 0.15	 2.27	 0.02	 0.17	 424.43	 4.44	 18	  1	NGC4157      	NGC4157      	182.76819	+50.48468
      53	NGC4183    	 18.00	 2.50	4	10.00	 0.14	 2.04	 0.02	 0.46	  43.23	 4.47	 24	  1	NGC4183      	NGC4183      	183.32025	+43.69827
      54	NGC4217    	 18.00	 2.50	4	10.66	 0.16	 2.26	 0.02	 0.07	 241.99	 5.28	 20	  0	NGC4217      	NGC4217      	183.96208	+47.09179
      55	NGC5005    	 16.90	 1.50	5	10.96	 0.13	 2.42	 0.03	 0.02	 894.96	 3.97	 19	  1	NGC5005      	NGC5005      	197.73463	+37.05894
      56	NGC5033    	 15.70	 4.70	1	10.85	 0.27	 2.29	 0.01	 0.21	1018.12	 2.94	 23	  1	NGC5033      	NGC5033      	198.36473	+36.59365
      57	NGC5055    	  9.90	 0.50	2	10.96	 0.10	 2.25	 0.03	 0.17	 691.51	 4.18	 29	  1	NGC5055      	NGC5055      	198.95554	+42.02929
      58	NGC5371    	 39.70	 9.92	1	11.27	 0.24	 2.32	 0.01	 0.08	 280.42	 9.80	 20	  1	NGC5371      	NGC5371      	208.91676	+40.46177
      59	NGC5533    	 57.10	11.40	1	11.25	 0.19	 2.38	 0.03	 0.20	 642.39	 5.92	  0	  0	NGC5533      	NGC5533      	214.03213	+35.34372
      60	NGC5585    	  7.06	 2.12	1	 9.57	 0.27	 1.96	 0.02	 0.60	  45.27	 2.27	 25	  1	NGC5585      	NGC5585      	214.95085	+56.72905
      61	NGC5907    	 17.30	 0.90	2	11.06	 0.10	 2.33	 0.01	 0.24	 224.80	 7.88	 20	  0	NGC5907      	NGC5907      	228.97370	+56.32885
      62	NGC6015    	 17.00	 5.10	1	10.38	 0.27	 2.19	 0.02	 0.33	 165.88	 3.92	 45	  1	NGC6015      	NGC6015      	237.85513	+62.31003
      63	NGC6195    	127.80	12.80	1	11.35	 0.13	 2.40	 0.03	 0.12	 343.40	 9.52	 24	  1	NGC6195      	NGC6195      	249.13555	+39.02800
      64	NGC6503    	  6.26	 0.31	2	 9.94	 0.09	 2.07	 0.01	 0.27	 387.08	 1.62	 32	  1	NGC6503      	NGC6503      	267.36047	+70.14434
      65	NGC6674    	 51.20	10.20	1	11.18	 0.19	 2.38	 0.03	 0.28	 280.42	 7.75	 16	  1	NGC6674      	NGC6674      	279.64120	+25.37511
      66	NGC6946    	  5.52	 1.66	2	10.61	 0.28	 2.22	 0.05	 0.19	 285.63	 4.20	 59	  1	NGC6946      	NGC6946      	308.71805	+60.15368
      67	NGC7331    	 14.70	 1.50	3	11.15	 0.13	 2.38	 0.01	 0.11	1235.38	 3.99	 37	  1	NGC7331      	NGC7331      	339.26709	+34.41592
      68	NGC7339    	 15.30	 1.34	5	10.26	 0.13	 2.21	 0.01	 0.03	1458.14	 1.38	  0	  0	NGC7339      	NGC7339      	339.44537	+23.78667
      69	NGC7814    	 14.40	 0.72	2	10.59	 0.11	 2.34	 0.01	 0.04	1354.57	 2.08	 19	  0	NGC7814      	NGC7814      	000.81228	+16.14523
      70	UGC00128   	 64.50	 9.70	1	10.20	 0.14	 2.11	 0.05	 0.62	  10.18	 9.63	 23	  1	UGC00128     	UGC00128     	003.46221	+35.99350
      71	UGC00191   	 17.10	 5.10	1	 9.45	 0.26	 1.92	 0.04	 0.64	  25.11	 2.50	 10	  1	UGC00191     	UGC00191     	005.02150	+10.87931
      72	UGC00634   	 30.90	 7.70	1	 9.80	 0.22	 2.03	 0.08	 0.77	  13.05	 4.26	  5	  1	UGC00634     	UGC00634     	015.35488	+07.62599
      73	UGC00731   	 12.50	 3.75	1	 9.41	 0.26	 1.87	 0.02	 0.94	  12.81	 1.40	 13	  1	UGC00731     	UGC00731     	017.68333	+49.60219
      74	UGC02259   	 10.50	 3.10	1	 9.18	 0.26	 1.94	 0.03	 0.43	  23.54	 2.40	  9	  1	UGC02259     	UGC02259     	041.98082	+37.53844
      75	UGC02487   	 69.10	10.40	1	11.43	 0.16	 2.52	 0.05	 0.09	 409.07	 9.63	 18	  1	UGC02487     	UGC02487     	045.42649	+35.20565
      76	UGC02885   	 80.60	 8.06	1	11.41	 0.12	 2.46	 0.02	 0.21	 210.76	12.20	 20	  1	UGC02885     	UGC02885     	058.26017	+35.58947
      77	UGC02916   	 65.40	 9.80	1	10.97	 0.15	 2.26	 0.04	 0.33	1212.83	 2.80	 44	  1	UGC02916     	UGC02916     	060.64098	+71.70592
      78	UGC02953   	 16.50	 4.95	1	11.15	 0.28	 2.42	 0.03	 0.07	 772.33	 5.03	116	  1	UGC02953     	UGC02953     	061.94545	+69.81243
      79	UGC03205   	 50.00	10.00	1	10.84	 0.20	 2.34	 0.02	 0.18	 293.63	 5.35	 49	  1	UGC03205     	UGC03205     	074.06173	+30.05219
      80	UGC03546   	 28.70	 7.20	1	10.73	 0.24	 2.29	 0.03	 0.07	1201.71	 2.58	 31	  1	UGC03546     	UGC03546     	102.53610	+60.84569
      81	UGC03580   	 20.70	 5.20	1	10.10	 0.23	 2.10	 0.02	 0.47	 307.47	 1.84	 48	  1	UGC03580     	UGC03580     	103.87864	+69.56300
      82	UGC04325   	  9.60	 2.88	1	 9.28	 0.27	 1.96	 0.03	 0.47	  20.50	 2.79	  9	  1	UGC04325     	UGC04325     	124.83554	+50.00961
      83	UGC04499   	 12.50	 3.75	1	 9.35	 0.26	 1.86	 0.02	 0.65	  16.89	 2.69	 10	  1	UGC04499     	UGC04499     	129.42287	+51.65238
      84	UGC05253   	 22.90	 5.72	1	11.03	 0.23	 2.33	 0.04	 0.20	 744.39	 4.28	 74	  1	UGC05253     	UGC05253     	147.59264	+72.27865
      85	UGC05716   	 21.30	 5.30	1	 9.24	 0.22	 1.86	 0.06	 0.83	  13.79	 1.84	 13	  1	UGC05716     	UGC05716     	157.93028	+25.30761
      86	UGC05721   	  6.18	 1.85	1	 9.01	 0.26	 1.90	 0.03	 0.74	 116.89	 0.60	 24	  1	UGC05721     	UGC05721     	158.07200	+27.66877
      87	UGC05986   	  8.63	 2.59	1	 9.77	 0.27	 2.05	 0.02	 0.60	  38.35	 3.12	 16	  0	UGC05986     	UGC05986     	163.12972	+36.61878
      88	UGC06399   	 18.00	 2.50	4	 9.31	 0.14	 1.93	 0.02	 0.44	  15.41	 3.45	 10	  1	UGC06399     	UGC06399     	170.84677	+50.89268
      89	UGC06446   	 12.00	 3.60	1	 9.37	 0.26	 1.91	 0.03	 0.79	  18.52	 2.06	 18	  1	UGC06446     	UGC06446     	171.66854	+53.74667
      90	UGC06614   	 88.70	 8.87	1	10.96	 0.12	 2.30	 0.11	 0.32	 730.80	 3.68	 14	  1	UGC06614     	UGC06614     	174.81185	+17.14358
      91	UGC06667   	 18.00	 2.50	4	 9.25	 0.13	 1.92	 0.02	 0.61	   9.03	 3.50	 10	  0	UGC06667     	UGC06667     	175.60962	+51.59801
      92	UGC06786   	 29.30	 7.32	1	10.64	 0.24	 2.34	 0.02	 0.15	 496.37	 3.42	 46	  1	UGC06786     	UGC06786     	177.28931	+27.02207
      93	UGC06787   	 21.30	 5.32	1	10.75	 0.24	 2.39	 0.01	 0.12	 945.80	 2.88	 72	  1	UGC06787     	UGC06787     	177.31404	+56.08435
      94	UGC06818   	 18.00	 2.50	4	 9.35	 0.13	 1.85	 0.03	 0.64	  28.04	 2.12	  9	  1	UGC06818     	UGC06818     	177.69564	+45.80720
      95	UGC06917   	 18.00	 2.50	4	 9.79	 0.14	 2.04	 0.02	 0.44	  26.54	 4.52	 12	  1	UGC06917     	UGC06917     	179.11989	+50.42839
      96	UGC06923   	 18.00	 2.50	4	 9.40	 0.14	 1.90	 0.02	 0.43	  83.14	 1.66	  7	  1	UGC06923     	UGC06923     	179.20636	+53.16034
      97	UGC06930   	 18.00	 2.50	4	 9.94	 0.13	 2.03	 0.06	 0.49	  36.97	 4.38	 11	  1	UGC06930     	UGC06930     	179.32248	+49.28325
      98	UGC06973   	 18.00	 2.50	4	10.47	 0.16	 2.24	 0.02	 0.08	1658.83	 1.61	 10	  0	UGC06973     	UGC06973     	179.71760	+42.72240
      99	UGC06983   	 18.00	 2.50	4	 9.82	 0.13	 2.04	 0.02	 0.60	  26.78	 3.95	 18	  1	UGC06983     	UGC06983     	179.78639	+52.70779
     100	UGC07125   	 19.80	 5.90	1	 9.88	 0.26	 1.81	 0.01	 0.82	  14.05	 3.92	 14	  0	UGC07125     	UGC07125     	182.17297	+36.80230
     101	UGC07151   	  6.87	 0.34	2	 9.29	 0.08	 1.87	 0.02	 0.42	  38.35	 2.17	 12	  0	UGC07151     	UGC07151     	182.49417	+46.45718
     102	UGC07399   	  8.43	 2.53	1	 9.20	 0.27	 2.01	 0.02	 0.63	  56.99	 1.27	 11	  1	UGC07399     	UGC07399     	185.15883	+46.29102
     103	UGC07524   	  4.74	 0.24	2	 9.55	 0.06	 1.90	 0.03	 0.66	  14.86	 3.61	 32	  1	UGC07524     	UGC07524     	186.45384	+33.54675
     104	UGC07603   	  4.70	 1.41	1	 8.73	 0.26	 1.79	 0.02	 0.65	  40.91	 0.85	 13	  1	UGC07603     	UGC07603     	187.18380	+22.82044
     105	UGC07690   	  8.11	 2.43	1	 8.98	 0.27	 1.76	 0.05	 0.55	  92.00	 0.86	  8	  1	UGC07690     	UGC07690     	188.11206	+42.70412
     106	UGC08286   	  6.50	 0.33	2	 9.17	 0.07	 1.92	 0.01	 0.58	  19.76	 2.25	 18	  0	UGC08286     	UGC08286     	198.04916	+44.03802
     107	UGC08490   	  4.65	 0.53	2	 9.17	 0.11	 1.90	 0.03	 0.65	  62.49	 1.14	 31	  1	UGC08490     	UGC08490     	202.40212	+58.41873
     108	UGC08550   	  6.70	 2.00	1	 8.72	 0.26	 1.76	 0.01	 0.73	  22.69	 1.01	 12	  0	UGC08550     	UGC08550     	203.51180	+47.91547
     109	UGC08699   	 39.30	 9.82	1	10.98	 0.24	 2.26	 0.03	 0.05	 765.25	 4.32	 42	  1	UGC08699     	UGC08699     	206.28612	+41.50330
     110	UGC09037   	 83.60	 8.40	1	10.78	 0.11	 2.18	 0.03	 0.43	 167.41	 5.69	 23	  1	UGC09037     	UGC09037     	212.12127	+07.05800
     111	UGC09133   	 57.10	11.40	1	11.29	 0.19	 2.36	 0.04	 0.23	 505.59	 6.87	 69	  1	UGC09133     	UGC09133     	214.03213	+35.34372
     112	UGC10310   	 15.20	 4.60	1	 9.39	 0.27	 1.85	 0.07	 0.65	  14.19	 3.12	  8	  1	UGC10310     	UGC10310     	244.07459	+47.04532
     113	UGC11455   	 78.60	11.80	1	11.31	 0.16	 2.43	 0.01	 0.09	 285.63	10.06	 37	  0	UGC11455     	UGC11455     	292.48440	+72.11282
     114	UGC11914   	 16.90	 5.10	1	10.88	 0.28	 2.46	 0.06	 0.02	1212.83	 3.12	 66	  1	UGC11914     	UGC11914     	331.96820	+31.35926
     115	UGC12506   	100.60	10.10	1	11.07	 0.11	 2.37	 0.03	 0.40	  72.41	12.36	 32	  0	UGC12506     	UGC12506     	349.87698	+16.07479
     116	UGC12632   	  9.77	 2.93	1	 9.47	 0.26	 1.86	 0.03	 0.78	   6.54	 3.94	 16	  1	UGC12632     	UGC12632     	352.49492	+40.99033
