#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T15:56:07 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T15:56:07	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/827/L19/figure2&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18279019
#Name: J/ApJ/827/L19
#Title: Central surface densities in SPARC disk galaxies (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/827/l19	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/827/l19	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016ApJ...827L..19L	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/827/L19	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18279019	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-05-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_827_L19_figure2:
#Name: J/ApJ/827/L19/figure2
#Title: Central dynamical surface density versus central stellar surface density and total stellar mass
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	T	(I2)	[0/11] Numerical Hubble Type (1)	[ucd=meta.note]
#Column	logSd	(F5.2)	[1.07/4.72] Dynamical surface density {Sigma}_dyn_(0) (2)	[ucd=phys.density]
#Column	e_logSd	(F5.2)	[0.04/0.32] Mean error on logSd	[ucd=stat.error]
#Column	logS*	(F5.2)	[0.39/4.65] Stellar surface density {Sigma}_*_(0) (3)	[ucd=phys.density]
#Column	e_logS*	(F5.2)	[0.11/0.45] Mean error on logS*	[ucd=stat.error]
#Column	logM*	(F5.2)	[6.78/11.43] Log of the stellar mass (M_*_)	[ucd=phys.mass]
#Column	e_logM*	(F5.2)	[0.11/0.29] Mean error on logM*	[ucd=stat.error]
#Column	SPARC	(I3)	Number of data from SPARC (Spitzer Photometry and Accurate Rotation Curves) main paper (Lelli et al. 2016, Cat. J/AJ/152/157)	[ucd=meta.number]
#Column	L16	(I3)	Indicates a galaxy in the SPARC paper of Lelli et al. 2016 (J/ApJ/816/L14)	[ucd=meta.number]
#Column	SimbadName	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(a13)	NED column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Position from SIMBAD astronomical database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SIMBAD astronomical database (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	T	logSd	e_logSd	logS*	e_logS*	logM*	e_logM*	SPARC	L16	SimbadName	NEDname	_RA	_DE
      27	NGC0289    	 4	 3.21	 0.16	 3.06	 0.12	10.56	 0.24	 29	  1	NGC0289      	NGC0289      	013.17652	-31.20583
      28	NGC0300    	 7	 2.28	 0.17	 2.10	 0.13	 9.16	 0.12	 26	  1	NGC0300      	NGC0300      	013.72269	-37.68421
      29	NGC0801    	 5	 3.28	 0.08	 2.98	 0.12	11.19	 0.14	 14	  1	NGC0801      	NGC0801      	030.93664	+38.25878
      30	NGC1003    	 6	 2.35	 0.15	 2.16	 0.14	 9.53	 0.28	 37	  1	NGC1003      	NGC1003      	039.82039	+40.87229
      31	NGC1090    	 4	 2.78	 0.13	 2.88	 0.12	10.56	 0.24	 25	  1	NGC1090      	NGC1090      	041.64140	-00.24712
      32	NGC2403    	 6	 2.98	 0.05	 2.65	 0.12	 9.70	 0.12	 74	  1	NGC2403      	NGC2403      	114.21391	+65.60268
      33	NGC2683    	 3	 2.99	 0.06	 2.67	 0.24	10.62	 0.12	 12	  1	NGC2683      	NGC2683      	133.17211	+33.42183
      34	NGC2841    	 3	 3.40	 0.09	 3.03	 0.32	11.01	 0.14	 51	  1	NGC2841      	NGC2841      	140.51116	+50.97659
      35	NGC2903    	 4	 3.32	 0.14	 3.65	 0.12	10.61	 0.28	 35	  1	NGC2903      	NGC2903      	143.04213	+21.50083
      36	NGC2915    	11	 2.36	 0.10	 2.38	 0.12	 8.51	 0.12	 31	  1	NGC2915      	NGC2915      	141.54805	-76.62632
      37	NGC2955    	 3	 3.65	 0.11	 3.70	 0.13	11.24	 0.14	 25	  0	NGC2955      	NGC2955      	145.31924	+35.88226
      38	NGC2976    	 5	 2.41	 0.10	 2.51	 0.17	 9.23	 0.12	 28	  1	NGC2976      	NGC2976      	146.81441	+67.91638
      39	NGC2998    	 5	 3.43	 0.13	 3.00	 0.11	10.88	 0.17	 14	  1	NGC2998      	NGC2998      	147.18179	+44.08145
      40	NGC3109    	 9	 1.87	 0.06	 1.18	 0.15	 7.99	 0.12	 26	  1	NGC3109      	NGC3109      	150.77865	-26.15957
      41	NGC3198    	 5	 2.75	 0.21	 2.86	 0.13	10.28	 0.14	 44	  1	NGC3198      	NGC3198      	154.97912	+45.54969
      42	NGC3521    	 4	 3.68	 0.16	 3.30	 0.18	10.63	 0.28	 42	  1	NGC3521      	NGC3521      	166.45237	-00.03590
      43	NGC3726    	 5	 2.53	 0.09	 2.39	 0.11	10.55	 0.16	 13	  1	NGC3726      	NGC3726      	173.33807	+47.02924
      44	NGC3741    	10	 2.09	 0.08	 1.04	 0.14	 7.15	 0.12	 22	  1	NGC3741      	NGC3741      	174.02397	+45.28415
      45	NGC3769    	 3	 2.59	 0.09	 2.51	 0.12	 9.97	 0.16	 13	  1	NGC3769      	NGC3769      	174.43364	+47.89300
      46	NGC3877    	 5	 2.73	 0.09	 2.77	 0.11	10.56	 0.16	 14	  1	NGC3877      	NGC3877      	176.53242	+47.49450
      47	NGC3893    	 5	 3.03	 0.08	 2.92	 0.11	10.47	 0.16	 11	  1	NGC3893      	NGC3893      	177.15920	+48.71079
      48	NGC3917    	 6	 2.41	 0.08	 1.94	 0.13	10.04	 0.16	 18	  1	NGC3917      	NGC3917      	177.68937	+51.82442
      49	NGC3949    	 4	 2.87	 0.08	 2.74	 0.11	10.28	 0.16	  8	  1	NGC3949      	NGC3949      	178.42388	+47.85872
      50	NGC3953    	 4	 2.93	 0.09	 2.63	 0.11	10.85	 0.16	  9	  1	NGC3953      	NGC3953      	178.45420	+52.32680
      51	NGC3972    	 4	 2.50	 0.08	 2.09	 0.11	 9.86	 0.16	 11	  1	NGC3972      	NGC3972      	178.93788	+55.32073
      52	NGC3992    	 4	 2.77	 0.08	 2.25	 0.11	11.05	 0.14	 10	  1	NGC3992      	NGC3992      	179.39985	+53.37472
      53	NGC4051    	 4	 2.83	 0.11	 2.97	 0.11	10.68	 0.16	  8	  1	NGC4051      	NGC4051      	180.79004	+44.53130
      54	NGC4068    	10	 1.62	 0.14	 1.52	 0.12	 8.07	 0.12	  7	  0	NGC4068      	NGC4068      	181.01360	+52.59057
      55	NGC4085    	 5	 2.57	 0.08	 2.41	 0.15	10.04	 0.16	  8	  1	NGC4085      	NGC4085      	181.34471	+50.35295
      56	NGC4088    	 4	 2.78	 0.09	 2.72	 0.12	10.73	 0.16	 13	  1	NGC4088      	NGC4088      	181.39260	+50.53918
      57	NGC4100    	 4	 2.83	 0.08	 2.42	 0.12	10.47	 0.16	 25	  1	NGC4100      	NGC4100      	181.53584	+49.58231
      58	NGC4138    	 0	 2.94	 0.10	 2.86	 0.11	10.38	 0.16	  8	  1	NGC4138      	NGC4138      	182.37417	+43.68524
      59	NGC4157    	 3	 2.90	 0.09	 2.81	 0.19	10.73	 0.16	 18	  1	NGC4157      	NGC4157      	182.76819	+50.48468
      60	NGC4183    	 6	 2.51	 0.09	 1.88	 0.15	 9.73	 0.16	 24	  1	NGC4183      	NGC4183      	183.32025	+43.69827
      61	NGC4559    	 6	 2.62	 0.15	 2.49	 0.11	 9.99	 0.28	 33	  0	NGC4559      	NGC4559      	188.99017	+27.95996
      62	NGC5005    	 4	 3.92	 0.12	 4.08	 0.11	10.97	 0.13	 19	  1	NGC5005      	NGC5005      	197.73463	+37.05894
      63	NGC5033    	 5	 3.62	 0.15	 3.89	 0.11	10.78	 0.28	 23	  1	NGC5033      	NGC5033      	198.36473	+36.59365
      64	NGC5055    	 4	 3.40	 0.10	 3.49	 0.13	10.88	 0.11	 29	  1	NGC5055      	NGC5055      	198.95531	+42.02937
      65	NGC5371    	 4	 3.45	 0.13	 3.19	 0.11	11.23	 0.24	 20	  1	NGC5371      	NGC5371      	208.91641	+40.46177
      66	NGC5585    	 7	 2.54	 0.14	 2.49	 0.11	 9.17	 0.28	 25	  1	NGC5585      	NGC5585      	214.95085	+56.72905
      67	NGC5985    	 3	 3.20	 0.13	 2.63	 0.11	11.03	 0.24	 34	  0	NGC5985      	NGC5985      	234.90439	+59.33200
      68	NGC6015    	 6	 3.01	 0.14	 2.73	 0.11	10.21	 0.28	 45	  1	NGC6015      	NGC6015      	237.85516	+62.31006
      69	NGC6195    	 3	 3.46	 0.10	 3.56	 0.13	11.34	 0.14	 24	  1	NGC6195      	NGC6195      	249.13569	+39.02789
      70	NGC6503    	 6	 2.89	 0.07	 2.63	 0.12	 9.81	 0.12	 32	  1	NGC6503      	NGC6503      	267.36009	+70.14433
      71	NGC6674    	 3	 3.20	 0.22	 2.98	 0.13	11.04	 0.20	 16	  1	NGC6674      	NGC6674      	279.64120	+25.37511
      72	NGC6789    	11	 2.52	 0.15	 1.95	 0.12	 7.70	 0.12	  5	  0	NGC6789      	NGC6789      	289.17154	+63.97331
      73	NGC6946    	 6	 3.91	 0.15	 4.26	 0.11	10.53	 0.28	 59	  1	NGC6946      	NGC6946      	308.71805	+60.15368
      74	NGC7331    	 3	 3.29	 0.09	 3.12	 0.12	11.11	 0.14	 37	  1	NGC7331      	NGC7331      	339.26688	+34.41578
      75	NGC7793    	 7	 2.82	 0.14	 2.91	 0.13	 9.55	 0.12	 47	  0	NGC7793      	NGC7793      	359.45731	-32.59103
      76	UGC00128   	 8	 2.27	 0.16	 1.69	 0.16	 9.78	 0.17	 23	  1	UGC00128     	UGC00128     	003.46221	+35.99350
      77	UGC00191   	 9	 2.30	 0.15	 1.76	 0.11	 9.00	 0.28	 10	  1	UGC00191     	UGC00191     	005.02150	+10.87931
      78	UGC00634   	 9	 1.94	 0.20	 1.19	 0.12	 9.17	 0.24	  5	  1	UGC00634     	UGC00634     	015.35488	+07.62599
      79	UGC00731   	10	 2.08	 0.14	 1.25	 0.11	 8.21	 0.28	 13	  1	UGC00731     	UGC00731     	017.68333	+49.60219
      80	UGC00891   	 9	 1.72	 0.15	 1.21	 0.13	 8.27	 0.29	  6	  0	UGC00891     	UGC00891     	020.32954	+12.41172
      81	UGC02259   	 8	 2.42	 0.14	 1.55	 0.11	 8.94	 0.28	  9	  1	UGC02259     	UGC02259     	041.98091	+37.53848
      82	UGC02487   	 0	 3.12	 0.14	 2.64	 0.11	11.43	 0.17	 18	  1	UGC02487     	UGC02487     	045.42638	+35.20564
      83	UGC02885   	 5	 3.62	 0.09	 3.45	 0.13	11.33	 0.14	 20	  1	UGC02885     	UGC02885     	058.26025	+35.58949
      84	UGC02916   	 2	 3.91	 0.17	 3.88	 0.12	10.88	 0.17	 44	  1	UGC02916     	UGC02916     	060.64132	+71.70587
      85	UGC02953   	 2	 4.72	 0.20	 4.32	 0.11	11.13	 0.28	116	  1	UGC02953     	UGC02953     	061.94536	+69.81242
      86	UGC03205   	 2	 3.66	 0.15	 3.65	 0.13	10.78	 0.20	 49	  1	UGC03205     	UGC03205     	074.06196	+30.05228
      87	UGC03546   	 1	 3.94	 0.20	 4.17	 0.12	10.75	 0.24	 31	  1	UGC03546     	UGC03546     	102.53612	+60.84580
      88	UGC03580   	 1	 3.40	 0.26	 3.56	 0.12	 9.86	 0.24	 48	  1	UGC03580     	UGC03580     	103.87904	+69.56314
      89	UGC04325   	 9	 2.48	 0.15	 1.71	 0.11	 9.01	 0.28	  9	  1	UGC04325     	UGC04325     	124.83556	+50.00961
      90	UGC04483   	10	 1.92	 0.13	 1.12	 0.11	 6.81	 0.14	  9	  0	UGC04483     	UGC04483     	129.26371	+69.77478
      91	UGC04499   	 8	 2.04	 0.14	 1.65	 0.11	 8.89	 0.28	 10	  1	UGC04499     	UGC04499     	129.42287	+51.65238
      92	UGC05005   	10	 1.87	 0.25	 1.13	 0.13	 9.31	 0.21	 12	  0	UGC05005     	UGC05005     	141.12245	+22.27482
      93	UGC05253   	 2	 4.56	 0.17	 4.46	 0.11	11.00	 0.24	 74	  1	UGC05253     	UGC05253     	147.59264	+72.27865
      94	UGC05414   	10	 1.93	 0.14	 1.39	 0.11	 8.75	 0.28	  7	  0	UGC05414     	UGC05414     	150.98827	+40.76151
      95	UGC05716   	 9	 2.15	 0.16	 1.07	 0.15	 8.47	 0.24	 13	  1	UGC05716     	UGC05716     	157.93028	+25.30761
      96	UGC05721   	 7	 2.85	 0.15	 2.46	 0.13	 8.42	 0.28	 24	  1	UGC05721     	UGC05721     	158.07177	+27.66866
      97	UGC05750   	 8	 1.68	 0.14	 1.24	 0.19	 9.22	 0.21	 12	  0	UGC05750     	UGC05750     	158.93796	+20.99019
      98	UGC05764   	10	 2.26	 0.17	 1.08	 0.17	 7.63	 0.28	 11	  0	UGC05764     	UGC05764     	159.17976	+31.54727
      99	UGC05829   	10	 1.84	 0.27	 1.21	 0.12	 8.45	 0.28	 12	  0	UGC05829     	UGC05829     	160.67828	+34.44928
     100	UGC05918   	10	 1.84	 0.17	 0.84	 0.12	 8.07	 0.28	  9	  0	UGC05918     	UGC05918     	162.40172	+65.53363
     101	UGC06399   	 9	 2.11	 0.09	 1.41	 0.12	 9.06	 0.16	 10	  1	UGC06399     	UGC06399     	170.84675	+50.89264
     102	UGC06446   	 7	 2.39	 0.15	 1.57	 0.11	 8.69	 0.28	 18	  1	UGC06446     	UGC06446     	171.66861	+53.74667
     103	UGC06614   	 1	 2.92	 0.23	 3.06	 0.12	10.88	 0.14	 14	  1	UGC06614     	UGC06614     	174.81197	+17.14367
     104	UGC06786   	 0	 4.13	 0.17	 4.10	 0.12	10.61	 0.24	 46	  1	UGC06786     	UGC06786     	177.28940	+27.02202
     105	UGC06787   	 2	 4.36	 0.15	 4.65	 0.12	10.77	 0.24	 72	  1	UGC06787     	UGC06787     	177.31404	+56.08435
     106	UGC06818   	 9	 1.87	 0.10	 1.37	 0.14	 8.90	 0.16	  9	  1	UGC06818     	UGC06818     	177.69574	+45.80733
     107	UGC06917   	 9	 2.32	 0.07	 1.69	 0.11	 9.53	 0.16	 12	  1	UGC06917     	UGC06917     	179.11989	+50.42839
     108	UGC06923   	10	 2.22	 0.10	 1.93	 0.11	 9.16	 0.16	  7	  1	UGC06923     	UGC06923     	179.20636	+53.16034
     109	UGC06930   	 7	 2.29	 0.15	 2.03	 0.11	 9.65	 0.16	 11	  1	UGC06930     	UGC06930     	179.32241	+49.28352
     110	UGC06983   	 6	 2.37	 0.08	 1.92	 0.11	 9.42	 0.16	 18	  1	UGC06983     	UGC06983     	179.78639	+52.70779
     111	UGC07089   	 8	 1.93	 0.09	 1.41	 0.17	 9.25	 0.16	 13	  0	UGC07089     	UGC07089     	181.49061	+43.14336
     112	UGC07232   	10	 2.19	 0.10	 1.72	 0.13	 7.75	 0.12	  5	  0	UGC07232     	UGC07232     	183.43405	+36.63149
     113	UGC07261   	 8	 2.30	 0.30	 2.11	 0.12	 8.94	 0.28	  8	  0	UGC07261     	UGC07261     	183.80983	+20.65908
     114	UGC07323   	 8	 2.14	 0.15	 1.89	 0.11	 9.31	 0.28	 11	  0	UGC07323     	UGC07323     	184.37576	+45.61931
     115	UGC07399   	 8	 2.62	 0.14	 2.05	 0.11	 8.76	 0.28	 11	  1	UGC07399     	UGC07399     	185.15883	+46.29102
     116	UGC07524   	 9	 2.12	 0.07	 2.08	 0.11	 9.09	 0.12	 32	  1	UGC07524     	UGC07524     	186.45360	+33.54686
     117	UGC07559   	10	 1.62	 0.11	 0.86	 0.12	 7.74	 0.12	  8	  0	UGC07559     	UGC07559     	186.77319	+37.14177
     118	UGC07577   	10	 1.13	 0.22	 0.96	 0.12	 7.35	 0.12	 10	  0	UGC07577     	UGC07577     	186.92450	+43.49948
     119	UGC07603   	 7	 2.29	 0.14	 1.49	 0.15	 8.27	 0.28	 13	  1	UGC07603     	UGC07603     	187.18385	+22.82043
     120	UGC07690   	10	 2.45	 0.17	 2.02	 0.11	 8.63	 0.28	  8	  1	UGC07690     	UGC07690     	188.11206	+42.70412
     121	UGC07866   	10	 1.77	 0.15	 1.28	 0.11	 7.79	 0.12	  8	  0	UGC07866     	UGC07866     	190.56314	+38.50162
     122	UGC08490   	 9	 2.69	 0.08	 2.12	 0.11	 8.71	 0.15	 31	  1	UGC08490     	UGC08490     	202.40212	+58.41873
     123	UGC08699   	 2	 3.97	 0.18	 4.13	 0.25	10.45	 0.24	 42	  1	UGC08699     	UGC08699     	206.28628	+41.50339
     124	UGC08837   	10	 1.51	 0.06	 0.74	 0.24	 8.40	 0.12	  9	  0	UGC08837     	UGC08837     	208.69001	+53.90557
     125	UGC09037   	 6	 2.43	 0.08	 2.38	 0.14	10.54	 0.14	 23	  1	UGC09037     	UGC09037     	212.12127	+07.05800
     126	UGC09133   	 2	 4.34	 0.15	 4.23	 0.12	11.20	 0.20	 69	  1	UGC09133     	UGC09133     	214.03229	+35.34386
     127	UGC09992   	10	 1.86	 0.32	 1.40	 0.12	 8.23	 0.28	  6	  0	UGC09992     	UGC09992     	235.45004	+67.25389
     128	UGC10310   	 9	 2.08	 0.20	 1.51	 0.11	 8.94	 0.28	  8	  1	UGC10310     	UGC10310     	244.07458	+47.04531
     129	UGC11557   	 8	 1.94	 0.30	 2.26	 0.12	 9.78	 0.24	 13	  0	UGC11557     	UGC11557     	306.00285	+60.19484
     130	UGC11820   	 9	 2.17	 0.22	 1.47	 0.13	 8.69	 0.28	 11	  0	UGC11820     	UGC11820     	327.36933	+14.23094
     131	UGC11914   	 2	 4.14	 0.22	 4.19	 0.11	10.92	 0.28	 66	  1	UGC11914     	UGC11914     	331.96833	+31.35934
     132	UGC12632   	 9	 2.06	 0.16	 1.35	 0.11	 8.81	 0.28	 16	  1	UGC12632     	UGC12632     	352.49492	+40.99033
     133	UGC12732   	 9	 2.18	 0.18	 1.51	 0.11	 8.92	 0.28	 17	  0	UGC12732     	UGC12732     	355.16650	+26.23606
     134	UGCA442    	 9	 1.94	 0.08	 1.14	 0.15	 7.85	 0.12	  9	  1	UGCA442      	UGCA442      	355.93979	-31.95677
     135	UGCA444    	10	 1.98	 0.11	 0.61	 0.18	 6.78	 0.12	 37	  1	UGCA444      	UGCA444      	000.49125	-15.46389

