#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T15:52:26 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T15:52:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/478/1611/table2&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74781611
#Name: J/MNRAS/478/1611
#Title: Local Volume H I Survey (LVHIS) (Koribalski+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/478/1611	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/478/1611	    IVOID of underlying data collection
#INFO	creator=Koribalski B.S.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.478.1611K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/478/1611	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74781611	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_478_1611_table2:
#Name: J/MNRAS/478/1611/table2
#Title: Optical properties of LVHIS galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	HIPASS	(A15)	HIPASS name (HIPASS JHHMM+DD)	[ucd=meta.id;meta.main]
#Column	m_HIPASS	(A1)	[A] Multiliity index on HIPASS	[ucd=meta.code.multip]
#Column	OName	(a12)	Optical galaxy name	[ucd=meta.id]
#Column	n_OName	(A1)	[1] Note on OName (1)	[ucd=meta.note]
#Column	D	(F5.2)	Best available galaxy distance (2)	[ucd=pos.distance;src.class.starGalaxy;meta.modelled]
#Column	MType	(a9)	Morphological type	[ucd=src.morph.type]
#Column	AB	(F6.3)	B-band extinction, fron Schlafly & Finkbeiner (2011ApJ...737..103S)	[ucd=phys.absorption]
#Column	BTmag	(F5.2)	? BT magnitude from Lauberts & Valentijn (Cat. VII/115)	[ucd=phot.mag;em.opt.B]
#Column	n_BTmag	(A1)	[)] Uncertainty flag on BTmag	[ucd=meta.note]
#Column	logLB	(F5.2)	? Luminosity in B Band	[ucd=phys.luminosity;em.opt.B]
#Column	u_logLB	(A1)	[)] Uncertainty flag on logLB	[ucd=meta.code.error]
#Column	RTmag	(F5.2)	? RT magnitude from Lauberts & Valentijn (Cat. VII/115)	[ucd=phot.mag;em.opt.R]
#Column	u_RTmag	(A1)	[)] Uncertainty flag on RTmag	[ucd=meta.code.error]
#Column	B-R	(F5.2)	? B-R colour index	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	u_B-R	(A1)	[)] Uncertainty flag on B-R	[ucd=meta.code.error;phot.color;em.opt.B]
#Column	Dopt	(I4)	? B-band diameter at 25.5mag/arcsec^2^	[ucd=phys.size.diameter]
#Column	u_Dopt	(A1)	[)] Uncertainty flag on Dopt	[ucd=meta.code.error]
#Column	i	(I2)	? Inclination angle, from Lauberts, 1982, Cat. VII/34	[ucd=src.orbital.inclination;pos.posAng]
#Column	u_i	(A1)	[)] Uncertainty flag on i	[ucd=meta.code.error]
#Column	PA	(I3)	? Position angle, from Lauberts, 1982, Cat. VII/34	[ucd=pos.posAng]
#Column	u_PA	(A1)	[)] Uncertainty flag on PA	[ucd=meta.code.error]
#Column	Group	(a10)	Galaxy subgroup	[ucd=meta.id]
#Column	Ncln	(I2)	Number of close neighbours (within 300arcmin and vsys<800km/s)	[ucd=meta.number]
#Column	SimbadName	(A16)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	HIPASS	m_HIPASS	OName	n_OName	D	MType	AB	BTmag	n_BTmag	logLB	u_logLB	RTmag	u_RTmag	B-R	u_B-R	Dopt	u_Dopt	i	u_i	PA	u_PA	Group	Ncln	SimbadName	_RA	_DE
      20	HIPASS J0605-33	 	ESO364-G029 	 	 7.60	IBm      	 0.163	13.60	 	 8.57	 	13.23	 	 0.37	 	 210	 	44	 	 52	 	NGC 2188  	 2	HIPASS J0605-33 	091.43333	-33.08333
      21	HIPASS J0607-34	 	AM0605-341  	 	 7.40	SBdm     	 0.132	14.28	)	 8.25	)	14.36	)	-0.08	 	  48	)	76	)	110	)	NGC 2188  	 2	HIPASS J0607-34 	091.83210	-34.20449
      22	HIPASS J0610-34	 	NGC 2188    	 	 7.40	SBm      	 0.118	12.10	 	 9.13	 	11.39	 	 0.71	 	 360	 	77	 	175	 	NGC 2188  	 2	HIPASS J0610-34 	092.53971	-34.10619
      23	HIPASS J0615-57	 	ESO121-G020 	 	 6.05	Im       	 0.151	15.85	 	 7.46	 	15.49	 	 0.36	 	  78	 	32	 	 49	 	dw-dw pair	 1	HIPASS J0615-57 	093.97583	-57.72528
      24	HIPASS J0639-40	 	ESO308-G022 	 	 7.70	dIrr     	 0.327	16.23	 	 7.59	 	16.75	 	-0.52	 	  78	 	 0	 	   	 	          	 0	HIPASS J0639-40 	099.88792	-40.72167
      25	HIPASS J0705-58	 	AM0704-582  	 	 4.90	SBm      	 0.435	14.44	)	 7.96	)	13.70	)	 0.74	)	  55	 	45	 	174	 	          	 0	HIPASS J0705-58 	106.32250	-58.52028
      26	HIPASS J0731-68	 	ESO059-G001 	 	 4.57	IBm      	 0.535	13.74	 	 8.22	 	12.80	 	 0.94	 	 126	 	18	 	 84	 	          	 0	HIPASS J0731-68 	112.82583	-68.18778
      27	HIPASS J0926-76	 	NGC 2915    	 	 3.78	I0       	 0.997	12.93	 	 8.56	 	11.90	 	 1.03	 	 120	 	60	 	130	 	          	 0	HIPASS J0926-76 	141.54805	-76.62632
      28	HIPASS J1043-37	 	ESO376-G016 	 	 7.10	dIrr     	 0.212	15.44	 	 7.79	 	15.24	 	 0.20	 	  60	 	37	 	129	 	          	 1	HIPASS J1043-37 	160.86292	-37.04250
      29	HIPASS J1047-38	 	ESO318-G013 	 	 6.50	SBd      	 0.278	15.02	 	 7.91	 	13.96	 	 1.06	 	 192	 	81	 	 75	 	          	 1	HIPASS J1047-38 	161.92458	-38.85417
      30	HIPASS J1057-48	 	ESO215-G009 	 	 5.25	dIrr     	 0.801	16.03	 	 7.53	 	15.02	 	 1.01	 	 120	 	60	 	 72	 	          	 0	HIPASS J1057-48 	164.37583	-48.18389
      31	HIPASS J1118-32	 	NGC 3621    	 	 6.70	Sd       	 0.292	 9.44	 	10.17	 	 8.07	 	 1.37	 	1200	 	60	 	159	 	NGC 3621  	 2	HIPASS J1118-32 	169.56792	-32.81260
      32	HIPASS J1131-31	 	new         	 	 6.70	dIrr     	 0.253	     	 	     	 	     	 	     	 	    	 	  	 	   	 	NGC 3621  	 2	HIPASS J1131-31 	172.89667	-31.67222
      33	HIPASS J1132-32	 	new         	 	 6.70	dIrr     	 0.226	17.04	)	 7.11	)	16.17	)	 0.87	)	  31	 	55	 	113	 	NGC 3621  	 3	HIPASS J1132-32 	173.29667	-32.96250
      34	HIPASS J1137-39	 	ESO320-G014 	 	 6.08	dIrr     	 0.519	15.85	 	 7.62	 	15.17	 	 0.68	 	  66	 	35	 	 86	 	          	 0	HIPASS J1137-39 	174.47167	-39.22028
      35	HIPASS J1154-33	 	ESO379-G007 	 	 5.22	dIrr     	 0.270	16.60	 	 7.08	 	15.50	 	 1.10	 	  78	 	32	 	 90	 	          	 3	HIPASS J1154-33 	178.68125	-33.56000
      36	HIPASS J1204-35	 	ESO379-G024 	 	 4.90	dIrr     	 0.270	16.58	 	 7.04	 	16.37	 	 0.21	 	  72	 	41	 	 30	 	          	 2	HIPASS J1204-35 	181.23625	-35.74278
      37	HIPASS J1214-38	 	ESO321-G014 	 	 3.18	IBm      	 0.342	15.21	 	 7.24	 	14.11	 	 1.10	 	 126	 	65	 	 20	 	          	 1	HIPASS J1214-38 	183.45667	-38.23111
      38	HIPASS J1219-79	 	IC 3104     	 	 2.27	IBm      	 1.486	13.65	 	 8.03	 	12.04	 	 1.61	 	 180	 	55	 	 45	 	          	 2	HIPASS J1219-79 	184.69208	-79.72583
      39	HIPASS J1244-35	 	ESO381-G018 	 	 5.32	dIrr     	 0.228	15.79	 	 7.41	 	14.84	 	 0.95	 	  72	 	54	 	 83	 	wide pair 	 1	HIPASS J1244-35 	191.17708	-35.96694
      40	HIPASS J1246-33	 	ESO381-G020 	 	 5.44	IBm      	 0.238	14.24	 	 8.05	 	13.50	 	 0.74	 	 270	 	66	 	138	 	wide pair 	 1	HIPASS J1246-33 	191.50167	-33.83806
      41	HIPASS J1247-77	 	new         	 	 3.16	Im       	 2.747	17.49	)	 7.30	)	16.25	)	 1.24	 	    	 	  	 	   	 	          	 2	HIPASS J1247-77 	191.90375	-77.57722
      42	HIPASS J1305-40	 	CEN06       	 	 5.78	dIrr     	 0.372	15.92	)	 7.48	)	15.04	)	 0.88	 	  60	)	  	 	   	 	(Cen A)   	 4	HIPASS J1305-40 	196.26042	-40.08194
      43	HIPASS J1305-49	 	NGC 4945    	 	 3.80	SBcd     	 0.640	 9.31	 	 9.87	 	 7.55	 	 1.76	 	1560	 	77	 	 43	 	Cen A     	 3	HIPASS J1305-49 	196.36366	-49.46790
      44	HIPASS J1310-46	A	ESO269-G058 	 	 3.80	I0       	 0.394	12.50	 	 8.50	 	11.31	 	 1.19	 	 180	 	48	 	 69	 	Cen A     	 8	HIPASS J1310-46A	197.63708	-46.99083
      45	HIPASS J1321-31	 	new         	 	 5.22	dSph/dIrr	 0.222	17.10	)	 6.86	)	     	 	     	 	  78	)	  	 	   	 	(M 83)    	10	HIPASS J1321-31 	200.28542	-31.53056
      46	HIPASS J1321-36	 	NGC 5102    	 	 3.40	S0       	 0.199	 9.74	 	 9.43	 	 8.47	 	 1.27	 	 720	 	65	 	 48	 	Cen A     	 4	HIPASS J1321-36 	200.49004	-36.63011
      47	HIPASS J1324-30	 	AM1321-304  	 	 4.63	dIrr     	 0.250	16.25	)	 7.11	)	     	 	     	 	  51	)	  	 	   	 	M 83      	 9	HIPASS J1324-30 	201.15042	-30.97222
      48	HIPASS J1324-42	 	NGC 5128    	 	 3.77	S0       	 0.416	 7.60	 	10.45	 	 6.29	 	 1.31	 	1800	 	40	 	 35	 	Cen A     	 9	HIPASS J1324-42 	201.36506	-43.01911
      49	HIPASS J1326-30	A	IC 4247     	 	 4.97	S?       	 0.235	14.41	 	 7.90	 	13.74	 	 0.67	 	  90	 	66	 	158	 	M 83      	14	HIPASS J1326-30A	201.68708	-30.36250
      50	HIPASS J1327-41	 	ESO324-G024 	 	 3.73	Im       	 0.409	12.91	 	 8.32	 	12.13	 	 0.78	 	 270	 	41	 	 50	 	Cen A     	 9	HIPASS J1327-41 	201.91167	-41.47972
      51	HIPASS J1334-45	 	ESO270-G017 	 	 6.95	SBm      	 0.404	11.69	 	 9.35	 	10.03	 	 1.66	 	1020	 	83	 	118	 	Cen A     	 9	HIPASS J1334-45 	203.69708	-45.54750
      52	HIPASS J1336-29	 	UGCA 365    	 	 5.25	Im       	 0.192	15.49	 	 7.50	 	14.81	 	 0.68	 	 102	 	66	 	 31	 	M 83      	10	HIPASS J1336-29 	204.12833	-29.23417
      53	HIPASS J1337-29	 	NGC 5236    	 	 4.92	Sc       	 0.241	 8.22	 	10.37	 	 7.34	 	 0.88	 	1080	 	 0	 	   	 	M 83      	 9	HIPASS J1337-29 	204.25383	-29.86576
      54	HIPASS J1337-39	 	new         	 	 4.83	Im       	 0.271	16.08	)	 7.22	)	16.27	)	-0.19	)	  36	)	  	 	   	 	Cen A     	 7	HIPASS J1337-39 	204.35500	-39.89778
      55	HIPASS J1337-42	 	NGC 5237    	 	 3.40	I0       	 0.358	13.26	 	 8.08	 	12.34	 	 0.92	 	 114	 	33	 	128	 	Cen A     	 8	HIPASS J1337-42 	204.41273	-42.84692
      56	HIPASS J1337-28	 	ESO444-G084 	 	 4.61	Im       	 0.249	15.01	 	 7.60	 	15.05	 	-0.04	 	  96	 	36	 	126	)	M 83      	 8	HIPASS J1337-28 	204.33500	-28.04417
      57	HIPASS J1339-31	 	NGC 5253    	 	 3.56	Im       	 0.202	11.17	 	 8.90	 	10.11	)	 1.06	)	 360	 	71	 	 45	 	Cen A     	10	HIPASS J1339-31 	204.83678	-31.67758
      58	HIPASS J1340-28	 	IC 4316     	 	 4.41	IBm      	 0.198	14.97	)	 7.56	)	     	 	     	 	  96	 	36	 	 56	)	M 83      	 9	HIPASS J1340-28 	205.07542	-28.89472
      59	HIPASS J1341-29	 	NGC 5264    	 	 4.53	IBm      	 0.184	12.58	 	 8.53	 	11.49	 	 1.09	 	 210	 	31	 	 65	)	M 83      	 9	HIPASS J1341-29 	205.40285	-29.91312
      60	HIPASS J1345-41	 	ESO325-G011 	 	 3.40	IBm      	 0.319	14.02	 	 7.76	 	13.49	 	 0.53	 	 240	 	60	 	118	 	Cen A     	 6	HIPASS J1345-41 	206.25292	-41.86028
      61	HIPASS J1348-37	 	new         	 	 5.75	dIrr     	 0.281	17.00	)	 7.01	)	16.45	)	 0.55	)	    	 	  	 	   	 	Cen A     	 5	HIPASS J1348-37 	207.13958	-37.96806
      62	HIPASS J1348-53	 	ESO174-G?001	 	 3.60	Im?      	 1.817	14.44	)	 8.24	)	14.20	)	 0.24	)	 180	 	71	 	170	 	Cen A     	 0	HIPASS J1348-53 	206.99203	-53.34756
      63	HIPASS J1349-36	 	ESO383-G087 	 	 3.45	SBdm     	 0.260	11.00	 	 8.96	 	10.11	 	 0.89	 	 360	 	24	 	 93	)	CenA      	 3	HIPASS J1349-36 	207.32297	-36.06357
      64	HIPASS J1351-47	 	new         	 	 5.73	dIrr     	 0.523	16.51	)	 7.30	)	15.83	)	 0.68	)	    	 	  	 	   	 	Cen A     	 2	HIPASS J1351-47 	207.82875	-46.97361
      65	HIPASS J1403-41	 	NGC 5408    	 	 4.81	IBm      	 0.248	12.59	 	 8.61	 	11.96	 	 0.63	 	 156	 	52	 	 62	 	Cen A     	 3	HIPASS J1403-41 	210.83711	-41.37771
      66	HIPASS J1413-65	 	Circinus    	 	 4.20	Sb       	 5.279	 8.90	 	 9.86	 	     	 	     	 	 714	 	65	 	210	 	          	 1	HIPASS J1413-65 	213.29127	-65.33902
      67	HIPASS J1428-46	 	UKS1424-460 	 	 3.58	IBm      	 0.472	     	 	     	 	     	 	     	 	  21	)	69	)	   	 	Cen A     	 2	HIPASS J1428-46 	217.01542	-46.30167
      68	HIPASS J1434-49	 	ESO222-G010 	 	 5.80	dIrr     	 0.978	14.82	)	 8.17	)	14.57	)	 0.25	)	  60	 	60	 	  8	 	          	 3	HIPASS J1434-49 	218.76250	-49.42167
      69	HIPASS J1441-62	 	new         	 	 6.00	dIrr     	 4.909	     	 	     	 	     	 	     	 	    	 	  	 	   	 	          	 1	HIPASS J1441-62 	220.40417	-62.74389
      70	HIPASS J1443-44	 	ESO272-G025 	 	 5.90	dIrr     	 0.595	14.79	 	 8.04	 	14.00	 	 0.79	 	  84	 	50	 	 62	 	          	 3	HIPASS J1443-44 	220.85625	-44.70500
      71	HIPASS J1501-48	 	ESO223-G009 	 	 6.49	Im       	 0.942	12.28	)	 9.27	)	12.53	)	-0.25	)	 240	 	41	 	135	 	          	 4	HIPASS J1501-48 	225.28500	-48.29250
      72	HIPASS J1514-46	 	ESO274-G001 	 	 3.09	Sd       	 0.914	12.00	 	 8.85	 	10.97	 	 1.03	 	 900	 	80	 	 38	 	          	 2	HIPASS J1514-46 	228.55595	-46.80920
      73	HIPASS J1526-51	 	new         	 	 5.70	dIrr     	 2.299	     	 	     	 	     	 	     	 	    	 	  	 	   	 	          	 2	HIPASS J1526-51 	231.57500	-51.16278
      74	HIPASS J1620-60	 	ESO137-G018 	 	 6.40	Sc       	 0.888	12.23	 	 9.26	 	11.03	 	 1.20	 	 240	 	68	 	 29	 	          	 0	HIPASS J1620-60 	245.24313	-60.49097
      75	HIPASS J1747-64	 	IC 4662     	 	 2.44	IBm      	 0.254	12.33	 	 8.12	 	11.01	 	 1.32	 	 180	 	58	 	104	 	          	 1	HIPASS J1747-64 	266.78830	-64.63868
      76	HIPASS J2003-31	 	ESO461-G036 	 	 7.83	dIrr     	 1.100	17.06	 	 7.58	 	16.35	)	 0.71	)	  72	 	60	 	 22	 	          	 0	HIPASS J2003-31 	300.98917	-31.68139
      77	HIPASS J2052-69	 	IC 5052     	 	 6.03	SBd      	 0.184	11.58	 	 9.18	 	10.91	 	 0.67	 	 390	 	79	 	142	 	          	 0	HIPASS J2052-69 	313.00680	-69.19331
      78	HIPASS J2202-51	 	IC 5152     	 	 1.97	Im       	 0.910	11.03	 	 8.72	 	10.19	 	 0.84	 	 360	 	48	 	100	 	Sculptor  	 1	HIPASS J2202-51 	330.67300	-51.29644
      79	HIPASS J2326-32	 	UGCA 438    	 	 2.18	IBm      	 0.053	13.89	 	 7.32	 	13.19	 	 0.70	 	 102	 	28	 	138	)	Sculptor  	 1	HIPASS J2326-32 	351.61467	-32.38875
      80	HIPASS J2343-31	 	UGCA 442    	 	 4.27	SBm      	 0.061	13.46	 	 8.08	 	13.06	 	 0.40	 	 300	 	78	 	 48	 	Sculptor  	 3	HIPASS J2343-31 	355.93979	-31.95677
      81	HIPASS J2352-52	 	ESO149-G003 	 	 5.90	IBm      	 0.050	15.05	 	 7.72	 	14.73	)	 0.32	)	 180	 	80	 	148	 	Sculptor  	 0	HIPASS J2352-52 	358.01167	-52.57889
      82	HIPASS J2357-32	 	NGC 7793    	 	 3.91	Sd       	 0.070	 9.72	 	 9.50	 	 8.71	 	 1.01	 	 840	 	55	 	 98	 	Sculptor  	 2	HIPASS J2357-32 	359.45731	-32.59103

