col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
NGC4567,91.7,7.5,21,2295,258,766 ± 8,8.10 ± 0.00,2.60 ± 0.03,8.84 ± 0.00
NGC4568,232.6,8.6,168,2279,382,2865 ± 12,8.68 ± 0.00,9.58 ± 0.04,9.41 ± 0.00
NGC4569,158.6,7.5,433,-222,492,4204 ± 27,8.85 ± 0.00,6.00 ± 0.04,9.58 ± 0.00
NGC4579,109.1,8.0,441,1517,458,2277 ± 21,8.58 ± 0.00,1.98 ± 0.02,9.31 ± 0.00
NGC4580,40.1,8.4,179,1041,215,396 ± 10,7.82 ± 0.01,2.13 ± 0.05,8.55 ± 0.01
NGC4606,25.0,7.6,21,1653,165,154 ± 6,7.41 ± 0.02,0.84 ± 0.03,8.14 ± 0.02
NGC4607,33.9,7.5,26,2283,299,420 ± 12,7.84 ± 0.01,2.11 ± 0.06,8.58 ± 0.01
NGC4651,51.0,7.9,165,805,368,640 ± 13,8.03 ± 0.01,1.94 ± 0.04,8.76 ± 0.01
NGC4654,90.3,7.5,468,1042,377,2348 ± 26,8.59 ± 0.00,2.54 ± 0.03,9.33 ± 0.00
NGC4689,62.2,7.6,293,1645,239,1175 ± 19,8.29 ± 0.01,1.65 ± 0.03,9.02 ± 0.01
NGC4694,20.8,7.1,105,1234,278,188 ± 9,7.49 ± 0.02,1.05 ± 0.05,8.23 ± 0.02
NGC4698,4.6,8.1,253,1023,451,97 ± 21,7.21 ± 0.10,0.29 ± 0.06,7.94 ± 0.10
NGC4713,23.2,8.4,184,652,204,265 ± 11,7.64 ± 0.02,0.80 ± 0.03,8.38 ± 0.02
NGC4772,1.6,7.5,31,1055,410,28 ± 17,6.66 ± 0.27,0.19 ± 0.11,7.40 ± 0.27
NGC4808,44.9,8.2,91,779,307,607 ± 14,8.00 ± 0.01,1.80 ± 0.04,8.74 ± 0.01
VCC1581,,8.7,25,,,<7.55,<6.11,<3.25,<6.84
