#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:23:08 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:23:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/219/4/table7&-out=Name,Mod,Nc,Q,C,Fn,f1,mag1,q1,Re,n,f3,mag3,q3,hr3,mu03&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22190004
#Name: J/ApJS/219/4
#Title: S4G pipeline 4: multi-component decompositions (Salo+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	creator=Salo H.	    First author or institution
#INFO	cites=bibcode:2015ApJS..219....4S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/219/4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22190004	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_219_4_table7:
#Name: J/ApJS/219/4/table7
#Title: *Parameters of final multicomponent decompositions
#Column	Name	(a10)	Galaxy name	[ucd=meta.id]
#Column	Mod	(a8)	Type of final decomposition model (1)	[ucd=meta.note]
#Column	Nc	(I1)	[1/4] Number of components in the model (1-4)	[ucd=meta.number]
#Column	Q	(I1)	[3/5] Quality flag, 5=most reliable (2)	[ucd=meta.code.qual]
#Column	C	(a7)	Phsical interpretation of the component (1)	[ucd=meta.id;stat.fit]
#Column	Fn	(A8)	The GALFIT function used for the component (sersic, edgedisk, expdisk, ferrer2 or psf)	[ucd=meta.id;stat.fit]
#Column	f1	(F6.3)	[0.006/1]? "sersic" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag1	(F6.3)	[7/19.4]? "sersic" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
#Column	q1	(F6.3)	[0.1/1]? "sersic" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	Re	(F6.2)	[0.004/430]? "sersic" effective radius (R_e_)	[ucd=phys.angSize]
#Column	n	(F6.3)	[0.01/20]? "sersic" parameter n	[ucd=stat.fit.param]
#Column	f3	(F6.3)	[0.02/1]? "expdisk" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag3	(F6.3)	[6.5/18.1]? "expdisk" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
#Column	q3	(F6.3)	[0.1/1]? "expdisk" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	hr3	(F6.2)	[0.7/332]? "expdisk" exponential scale length (h_r_)	[ucd=stat.fit.param]
#Column	mu03	(F6.3)	[16.4/25.3]? "expdisk" central surface face-on brightness ({mu}_0_)	[ucd=phot.mag.sb]
Name	Mod	Nc	Q	C	Fn	f1	mag1	q1	Re	n	f3	mag3	q3	hr3	mu03
ESO085-030	_bz     	2	4	B      	sersic  	 0.562	13.771	 0.420	 11.96	 1.084	      	      	      	      	
ESO085-030	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO085-047	_dd     	2	5	D      	expdisk 	      	      	      	      	      	 0.147	16.928	 0.294	  9.93	23.908
ESO085-047	_dd     	2	5	D      	expdisk 	      	      	      	      	      	 0.853	14.988	 0.539	 25.30	23.999
ESO107-016	_z      	1	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO114-007	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	14.685	 0.772	 13.04	22.256
ESO115-021	_bz     	2	4	B      	sersic  	 0.574	13.649	 0.324	120.33	 1.849	      	      	      	      	
ESO115-021	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO119-016	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	14.286	 0.362	 32.72	23.856
ESO120-012	_dd     	2	5	D      	sersic  	 0.291	15.169	 0.373	 32.85	 0.955	      	      	      	      	
ESO120-012	_dd     	2	5	D      	expdisk 	      	      	      	      	      	 0.709	14.191	 0.675	 20.30	22.723
ESO120-021	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	15.029	 0.500	 23.54	23.883
ESO145-025	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.923	14.164	 0.666	 28.86	23.460
ESO145-025	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO146-014	_bz     	2	4	B      	sersic  	 0.081	17.674	 0.322	  7.62	 0.358	      	      	      	      	
ESO146-014	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO149-001	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	13.168	 0.250	 28.44	22.433
ESO149-003	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	15.462	 0.329	 15.52	23.411
ESO150-005	_dd     	2	5	D      	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO150-005	_dd     	2	5	D      	expdisk 	      	      	      	      	      	 0.963	13.569	 0.821	 34.63	23.261
ESO154-023	_d      	1	3	D      	expdisk 	      	      	      	      	      	 1.000	12.455	 0.161	 95.46	24.350
ESO157-049	_zzn    	3	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO157-049	_zzn    	3	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO157-049	_zzn    	3	4	N      	psf     	      	      	      	      	      	      	      	      	      	
ESO159-025	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	14.843	 0.788	 17.61	23.067
ESO187-035	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	15.319	 0.556	 15.39	23.251
ESO187-051	_d      	1	4	D      	expdisk 	      	      	      	      	      	 1.000	14.396	 0.324	 39.55	24.377
ESO202-035	_bz     	2	4	B      	sersic  	 0.309	13.674	 0.166	 38.39	 4.459	      	      	      	      	
ESO202-035	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO202-041	_dbar   	2	4	D      	expdisk 	      	      	      	      	      	 0.872	15.423	 0.680	 16.55	23.512
ESO202-041	_dbar   	2	4	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO234-043	_dbarn  	3	4	D      	expdisk 	      	      	      	      	      	 0.862	13.996	 0.669	 28.83	23.291
ESO234-043	_dbarn  	3	4	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO234-043	_dbarn  	3	4	N      	psf     	      	      	      	      	      	      	      	      	      	
ESO234-049	_dd     	2	5	D      	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO234-049	_dd     	2	5	D      	expdisk 	      	      	      	      	      	 0.930	12.905	 0.925	 14.60	20.722
ESO236-039	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	15.452	 0.465	 10.20	22.491
ESO237-049	_zn     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO237-049	_zn     	2	4	N      	psf     	      	      	      	      	      	      	      	      	      	
ESO237-052	_bdbarf 	3	5	B      	sersic  	 0.030	17.987	 0.634	  4.34	 0.955	      	      	      	      	
ESO237-052	_bdbarf 	3	5	D      	expdisk 	      	      	      	      	      	 0.944	14.231	 0.484	 14.37	22.014
ESO237-052	_bdbarf 	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO238-018	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.958	14.317	 0.910	 10.06	21.326
ESO238-018	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO240-004	_z      	1	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO240-011	_bz     	2	4	B      	sersic  	 0.190	12.831	 0.607	  9.94	 4.013	      	      	      	      	
ESO240-011	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO245-005	_dd     	2	3	D      	sersic  	 0.135	15.124	 0.405	 58.48	 0.162	      	      	      	      	
ESO245-005	_dd     	2	3	D      	expdisk 	      	      	      	      	      	 0.865	12.596	 0.738	 83.24	24.193
ESO245-007	_d      	1	3	D      	expdisk 	      	      	      	      	      	 1.000	12.588	 0.926	 74.32	23.939
ESO248-002	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	 0.982	13.340	 0.243	 29.78	22.704
ESO248-002	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO249-008	_dd     	2	5	D      	expdisk 	      	      	      	      	      	 0.406	14.991	 0.678	  3.74	19.850
ESO249-008	_dd     	2	5	D      	expdisk 	      	      	      	      	      	 0.594	14.566	 0.678	 10.72	21.712
ESO249-026	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	15.479	 0.541	 14.57	23.293
ESO249-027	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	14.858	 0.332	 16.59	22.953
ESO249-035	_z      	1	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO285-048	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	 0.972	13.056	 0.425	 20.50	21.611
ESO285-048	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO286-044	_b      	1	5	B      	sersic  	 1.000	12.578	 0.589	 37.69	18.166	      	      	      	      	
ESO287-009	_bz     	2	4	B      	sersic  	 0.686	14.003	 0.195	 29.80	 1.587	      	      	      	      	
ESO287-009	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO287-037	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.933	13.331	 0.897	 18.69	21.685
ESO287-037	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO287-043	_zz     	2	4	Z      	sersic  	 0.514	14.689	 0.252	 44.28	 0.442	      	      	      	      	
ESO287-043	_zz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO288-013	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	14.014	 0.935	 14.72	21.848
ESO289-010	_zz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO289-010	_zz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO289-026	_d      	1	3	D      	expdisk 	      	      	      	      	      	 1.000	14.263	 0.500	 18.38	22.581
ESO289-048	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.940	14.424	 0.308	 15.58	22.383
ESO289-048	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO291-024	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	 0.943	14.538	 0.266	 16.38	22.605
ESO291-024	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO292-014	_zz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO292-014	_zz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO293-034	_zn     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO293-034	_zn     	2	4	N      	psf     	      	      	      	      	      	      	      	      	      	
ESO293-045	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.744	15.755	 0.333	 13.58	23.414
ESO293-045	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO298-015	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.969	14.000	 0.412	 20.11	22.513
ESO298-015	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO298-023	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	14.902	 0.922	  9.30	21.741
ESO300-014	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	12.752	 0.435	 50.75	23.274
ESO302-009	_dbarn  	3	5	D      	expdisk 	      	      	      	      	      	 0.957	14.425	 0.300	 24.12	23.333
ESO302-009	_dbarn  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO302-009	_dbarn  	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	
ESO302-014	_d      	1	3	D      	expdisk 	      	      	      	      	      	 1.000	15.667	 0.509	 22.12	24.387
ESO302-021	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	16.140	 0.322	  8.34	22.742
ESO305-009	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.915	13.489	 0.746	 42.57	23.629
ESO305-009	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO305-017	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	14.373	 0.334	 19.86	22.858
ESO340-008	_z      	1	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO340-009	_zz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO340-009	_zz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO340-017	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.781	13.599	 0.515	 16.70	21.709
ESO340-017	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO340-042	_dbarn  	3	5	D      	expdisk 	      	      	      	      	      	 0.901	13.622	 0.687	 28.43	22.886
ESO340-042	_dbarn  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO340-042	_dbarn  	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	
ESO341-032	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.976	13.447	 0.932	 14.09	21.187
ESO341-032	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO342-013	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.751	13.376	 0.403	 15.94	21.384
ESO342-013	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO342-050	_bd     	2	5	B      	sersic  	 0.039	15.414	 0.827	  2.08	 0.845	      	      	      	      	
ESO342-050	_bd     	2	5	D      	expdisk 	      	      	      	      	      	 0.961	11.945	 0.640	 21.16	20.568
ESO345-046	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.946	13.231	 0.871	 23.09	22.043
ESO345-046	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO346-001	_zz     	2	4	Z1     	sersic  	 0.531	14.047	 0.137	 36.63	 0.425	      	      	      	      	
ESO346-001	_zz     	2	4	Z2     	edgedisk	      	      	      	      	      	      	      	      	      	
ESO346-014	_bz     	2	4	B      	sersic  	 0.624	15.106	 0.185	 32.12	 3.421	      	      	      	      	
ESO346-014	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO347-008	_d      	1	4	D      	expdisk 	      	      	      	      	      	 1.000	14.688	 0.872	 22.50	23.444
ESO347-017	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	14.207	 0.470	 17.64	22.435
ESO347-029	_dbarn  	3	5	D      	expdisk 	      	      	      	      	      	 0.875	13.666	 0.359	 44.73	23.914
ESO347-029	_dbarn  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO347-029	_dbarn  	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	
ESO355-026	_dn     	2	5	D      	expdisk 	      	      	      	      	      	 0.992	12.933	 0.547	 15.18	20.835
ESO355-026	_dn     	2	5	N      	psf     	      	      	      	      	      	      	      	      	      	
ESO356-018	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	14.880	 0.208	 14.39	22.666
ESO357-007	_bz     	2	4	B      	sersic  	 0.107	17.429	 0.399	 13.40	 1.469	      	      	      	      	
ESO357-007	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO357-012	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.942	13.345	 0.622	 39.15	23.304
ESO357-012	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO357-025	_dd     	2	5	D      	sersic  	 0.330	16.055	 0.397	  8.55	 0.824	      	      	      	      	
ESO357-025	_dd     	2	5	D      	expdisk 	      	      	      	      	      	 0.670	15.277	 0.411	 12.08	22.683
ESO358-005	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	14.435	 0.737	 17.45	22.640
ESO358-015	_dd     	2	5	D      	sersic  	 0.138	17.194	 0.548	 10.49	 0.374	      	      	      	      	
ESO358-015	_dd     	2	5	D      	expdisk 	      	      	      	      	      	 0.862	15.201	 0.760	 11.74	22.544
ESO358-020	_dd     	2	5	D      	sersic  	 0.234	15.788	 0.376	 16.46	 0.285	      	      	      	      	
ESO358-020	_dd     	2	5	D      	expdisk 	      	      	      	      	      	 0.766	14.488	 0.562	 15.38	22.418
ESO358-025	_dd     	2	5	B      	sersic  	 0.458	13.952	 0.587	 11.77	 0.907	      	      	      	      	
ESO358-025	_dd     	2	5	D      	expdisk 	      	      	      	      	      	 0.542	13.764	 0.622	 17.50	21.975
ESO358-051	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	 0.926	13.669	 0.504	  9.93	20.650
ESO358-051	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO358-054	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	14.129	 0.635	 20.68	22.702
ESO358-060	_d      	1	4	D      	expdisk 	      	      	      	      	      	 1.000	16.436	 0.298	 18.83	24.806
ESO358-063	_ddn    	3	5	D      	expdisk 	      	      	      	      	      	 0.517	11.959	 0.289	 38.39	21.875
ESO358-063	_ddn    	3	5	D      	expdisk 	      	      	      	      	      	 0.480	12.035	 0.289	 13.24	19.639
ESO358-063	_ddn    	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	
ESO359-003	_dd     	2	5	D      	expdisk 	      	      	      	      	      	 0.458	14.726	 0.332	 28.75	24.015
ESO359-003	_dd     	2	5	D      	expdisk 	      	      	      	      	      	 0.542	14.553	 0.332	  9.84	21.512
ESO359-022	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	16.506	 0.502	  7.56	22.893
ESO359-029	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	14.417	 0.507	 17.79	22.663
ESO359-031	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	14.410	 0.910	 11.36	21.683
ESO361-009	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	15.067	 0.340	 32.66	24.632
ESO361-015	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	12.787	 0.297	 20.84	21.377
ESO361-019	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.745	14.542	 0.382	 11.87	21.909
ESO361-019	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO362-009	_d      	1	5	D      	expdisk 	      	      	      	      	      	 1.000	12.583	 0.757	 45.47	22.867
ESO362-011	_zzn    	3	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO362-011	_zzn    	3	4	Z      	edgedisk	      	      	      	      	      	      	      	      	      	
ESO362-011	_zzn    	3	4	N      	psf     	      	      	      	      	      	      	      	      	      	
ESO362-019	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	 0.972	14.134	 0.310	 26.78	23.268
ESO362-019	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO399-025	_bd     	2	4	B      	sersic  	 0.758	12.541	 0.547	  7.65	 5.331	      	      	      	      	
ESO399-025	_bd     	2	4	D      	expdisk 	      	      	      	      	      	 0.242	13.668	 0.712	 33.57	23.293
ESO400-025	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	 0.973	14.354	 0.482	 20.71	22.931
ESO400-025	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO402-025	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	 0.975	14.948	 0.379	 10.46	22.042
ESO402-025	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO402-026	_bdbar  	3	5	B      	sersic  	 0.400	12.530	 0.389	  3.11	 0.594	      	      	      	      	
ESO402-026	_bdbar  	3	5	D      	expdisk 	      	      	      	      	      	 0.364	12.614	 0.357	 31.70	22.115
ESO402-026	_bdbar  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	
ESO402-030	_dd     	2	5	D      	sersic  	 0.338	14.029	 0.415	  5.60	 0.419	      	      	      	      	
