#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:01:02 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:01:02	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2bA/370/765/table4&-out.max=unlimited&-out=Name&-out=Rad&-out=VrotApp&-out=VrotRec&-out=Vrot&-out=e_Vrot	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33700765
#Name: J/A+A/370/765
#Title: HI synthesis observations in UMa cluster (Verheijen+, 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/370/765	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/370/765	    IVOID of underlying data collection
#INFO	creator=Verheijen M.A.W.	    First author or institution
#INFO	cites=bibcode:2001A&A...370..765V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/370/765	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33700765	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-02-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_370_765_table4:
#Name: J/A+A/370/765/table4
#Title: Rotation curves derived from velocity fields and XV-diagrams
#Column	Name	(A5)	Galaxy name (N for NGC, U for UGC)	[ucd=meta.id;meta.main]
#Column	Rad	(I3)	Radius	[ucd=pos.angDistance]
#Column	VrotApp	(I3)	? Approaching rotation velocity	[ucd=phys.veloc.rotat]
#Column	VrotRec	(I3)	? Receding rotation velocity	[ucd=phys.veloc.rotat]
#Column	Vrot	(I3)	? Average rotational velocity	[ucd=phys.veloc.rotat]
Name	Rad	VrotApp	VrotRec	Vrot
N3893	 80	192	189	191
N3893	101	192	181	186
N3893	125	194	182	188
N3893	151	190	184	187
N3893	176	179	   	179
N3893	198	161	190	176
N3893	218	153	181	167
N3893	233	148	   	148
N3917	 10	 21	 28	 24
N3917	 20	 45	 54	 50
N3917	 30	 69	 78	 74
N3917	 40	 99	103	101
N3917	 50	102	113	107
N3917	 60	108	122	115
N3917	 70	118	128	123
N3917	 80	127	134	130
N3917	 90	133	134	134
N3917	100	137	136	136
N3917	110	137	136	137
N3917	120	137	136	136
N3917	130	137	137	137
N3917	140	137	138	137
N3917	150	137	   	137
N3917	160	138	   	138
N3917	170	137	   	137
N3949	 10	 58	 79	 68
N3949	 20	106	141	123
N3949	 30	138	152	145
N3949	 40	150	155	152
N3949	 50	156	159	157
N3949	 60	161	161	161
N3949	 70	165	165	165
N3949	 81	   	169	169
N3953	 40	178	184	181
N3953	 60	200	207	203
N3953	 80	214	219	217
N3953	100	218	227	223
N3953	120	219	229	224
N3953	140	222	224	223
N3953	160	229	218	224
N3953	175	234	   	234
N3953	180	   	215	215
N3972	 10	 24	 55	 40
N3972	 20	 68	 78	 73
N3972	 30	 86	 93	 89
N3972	 40	101	103	102
N3972	 50	111	110	110
N3972	 60	117	116	116
N3972	 70	122	124	123
N3972	 80	129	131	130
N3972	 86	131	   	131
N3972	 90	   	134	134
N3972	100	   	134	134
U6917	 20	 60	 59	 59
U6917	 30	 71	 72	 71
U6917	 40	 86	 83	 85
U6917	 50	 96	 91	 94
U6917	 60	 98	 97	 98
U6917	 70	100	100	100
U6917	 80	101	101	101
U6917	 90	105	102	103
U6917	100	110	101	105
U6917	110	116	104	110
U6917	120	   	111	111
U6923	 11	 41	   	 41
U6923	 23	 54	   	 54
U6923	 34	 70	 76	 73
U6923	 44	 80	 77	 78
U6923	 53	   	 79	 79
U6923	 61	   	 81	 81
U6930	 20	 58	 52	 55
U6930	 40	 88	 83	 85
U6930	 60	 94	 94	 94
U6930	 80	 98	100	 99
U6930	100	102	105	103
U6930	120	105	109	107
U6930	140	107	110	109
U6930	150	   	110	110
U6930	160	108	   	108
U6930	180	108	   	108
U6930	190	108	   	108
N3992	 80	253	244	249
N3992	120	264	265	264
N3992	160	273	272	272
N3992	200	274	268	271
N3992	240	273	256	264
N3992	280	   	242	242
N3992	320	247	242	244
N3992	360	241	242	241
N3992	400	237	   	237
U6940	 10	 19	 18	 18
U6940	 20	 41	 34	 37
U6962	 10	 50	 75	 62
U6962	 20	107	106	106
U6962	 30	129	126	128
U6962	 40	142	145	144
U6962	 50	155	163	159
U6962	 60	171	   	171
N4010	  0	 34	-34	  0
N4010	 10	 59	 20	 39
N4010	 20	 66	 43	 55
N4010	 30	 69	 62	 66
N4010	 40	 80	 88	 84
N4010	 50	 84	104	 94
N4010	 60	 96	113	104
N4010	 70	108	122	115
N4010	 80	125	129	127
N4010	 90	128	131	129
N4010	100	123	131	127
N4010	110	119	129	124
N4010	120	119	125	122
U6969	 10	   	 26	 26
U6969	 20	 34	 44	 39
U6969	 31	 46	 58	 52
U6969	 41	 60	 69	 65
U6969	 51	   	 79	 79
U6973	 20	162	179	170
U6973	 30	174	174	174
U6973	 40	170	170	170
U6973	 50	170	170	170
U6973	 61	171	172	171
U6973	 72	174	174	174
U6973	 78	   	177	177
U6973	 84	178	   	178
U6973	 90	180	   	180
U6983	 20	 58	 56	 57
U6983	 30	 93	 82	 87
U6983	 40	 87	 97	 92
U6983	 50	 84	103	 94
U6983	 60	 93	103	 98
U6983	 70	 94	105	100
U6983	 80	 95	108	102
U6983	 90	100	113	107
U6983	100	105	112	108
U6983	110	111	110	111
U6983	120	113	112	113
U6983	130	111	110	111
U6983	140	107	109	108
U6983	145	102	   	102
U6983	150	   	109	109
U6983	160	   	108	108
U6983	170	   	108	108
U6983	180	   	109	109
N4051	 20	   	121	121
N4051	 25	123	   	123
N4051	 40	119	114	116
N4051	 60	146	133	140
N4051	 80	163	156	160
N4051	100	158	165	162
N4051	115	   	170	170
N4051	120	154	   	154
N4051	140	153	   	153
N4085	 10	 35	 50	 42
N4085	 20	 71	 89	 80
N4085	 31	110	113	112
N4085	 41	126	127	127
N4085	 51	131	130	130
N4085	 61	134	133	133
N4085	 71	136	   	136
N4088	 20	 92	 78	 85
N4088	 40	138	135	136
N4088	 60	156	168	162
N4088	 80	167	191	179
N4088	100	177	187	182
N4088	120	185	174	179
N4088	140	187	162	174
N4088	160	185	158	171
N4088	180	175	161	168
N4088	200	171	160	165
N4088	210	   	156	156
N4088	221	171	   	171
N4088	246	174	   	174
N4100	 20	 67	   	 67
N4100	 30	102	139	121
N4100	 40	138	159	148
N4100	 50	164	173	168
N4100	 60	177	188	182
N4100	 70	188	193	191
N4100	 80	193	195	194
N4100	 90	195	195	195
N4100	100	193	194	193
N4100	110	192	192	192
N4100	120	193	191	192
N4100	130	192	190	191
N4100	140	188	189	189
N4100	150	183	187	185
N4100	160	180	185	182
N4100	170	175	183	179
N4100	180	172	181	177
N4100	190	168	179	174
N4100	200	   	178	178
N4100	210	   	177	177
N4100	220	160	178	169
N4100	230	158	   	158
N4100	241	158	   	158
N4100	251	158	   	158
N4100	261	159	   	159
N4102	 20	179	184	181
N4102	 30	177	181	179
N4102	 40	174	178	176
N4102	 50	   	178	178
N4157	 20	 66	127	 96
N4157	 40	142	173	157
N4157	 60	192	191	192
N4157	 80	202	201	201
N4157	100	198	204	201
N4157	120	192	197	195
N4157	140	191	188	190
N4157	160	191	181	186
N4157	180	192	176	184
N4157	200	191	173	182
N4157	220	190	173	181
N4157	240	189	177	183
N4157	260	189	181	185
N4157	280	186	   	186
N4157	300	186	   	186
N4157	320	185	   	185
N4157	340	185	   	185
N4183	 10	 56	 38	 47
N4183	 20	 71	 61	 66
N4183	 30	 78	 74	 76
N4183	 40	 88	 84	 86
N4183	 50	 97	 97	 97
N4183	 60	100	 99	 99
N4183	 70	103	103	103
N4183	 80	106	107	107
N4183	 90	110	113	111
N4183	100	112	117	114
N4183	110	112	118	115
N4183	120	108	114	111
N4183	130	108	113	110
N4183	141	111	112	111
N4183	151	108	110	109
N4183	161	106	109	108
N4183	172	109	109	109
N4183	183	112	110	111
N4183	194	108	111	110
N4183	205	106	111	109
N4183	217	107	112	110
N4183	229	   	112	112
N4183	241	   	113	113
N4217	 10	 38	 57	 48
N4217	 20	 82	116	 99
N4217	 30	145	148	146
N4217	 40	162	165	164
N4217	 50	176	172	174
N4217	 60	176	175	175
N4217	 70	189	179	184
N4217	 80	188	182	185
N4217	 90	187	188	188
N4217	100	188	192	190
N4217	110	191	191	191
N4217	120	192	189	191
N4217	130	191	187	189
N4217	140	187	185	186
N4217	150	183	183	183
N4217	160	180	178	179
N4217	170	177	177	177
N4217	181	178	177	177
N4217	191	178	   	178
N4389	 10	 30	 25	 27
N4389	 20	 56	 50	 53
N4389	 31	 70	 69	 69
N4389	 41	 79	 88	 84
N4389	 51	 92	 99	 96
N4389	 61	   	110	110
N3718	 40	228	228	228
N3718	 80	228	228	228
N3718	120	228	228	228
N3718	160	228	228	228
N3718	200	228	228	228
N3718	240	220	235	228
N3718	280	225	239	232
N3718	320	240	245	242
N3718	360	245	242	244
N3718	400	235	240	237
N3718	420	227	   	
N3729	 20	118	138	128
N3729	 40	157	141	149
N3729	 50	   	144	144
N3729	 60	151	   	151
U6773	 10	 28	 34	 31
U6773	 20	 38	 48	 43
U6773	 30	 46	 44	 45
U6773	 40	 47	 44	 45
U6818	 10	 27	 20	 23
U6818	 20	 28	 28	 28
U6818	 30	 31	 43	 37
U6818	 40	 43	 53	 48
U6818	 50	 66	 61	 63
U6818	 60	 77	 66	 71
U6818	 70	 68	   	 68
U6818	 80	 74	   	 74
N3985	  0	  8	 -8	  0
N3985	 10	 41	 37	 39
N3985	 20	 60	 89	 75
N3985	 25	 68	   	 68
N3985	 30	   	 93	 93
U6894	 10	 28	 28	 28
U6894	 20	 45	 45	 45
U6894	 30	 56	 56	 56
U6894	 40	 62	 63	 63
N4013	 65	   	198	198
N4013	 73	   	195	195
N4013	 82	193	195	194
N4013	 91	195	195	195
N4013	 99	195	195	195
N4013	108	195	193	195
N4013	117	196	185	192
N4013	125	195	178	188
N4013	134	190	178	186
N4013	143	190	   	186
N4013	151	188	   	186
N4013	160	187	   	185
N4013	168	179	   	180
N4013	177	163	   	163
N4013	186	161	   	162
N4013	194	162	   	164
N4013	203	164	170	166
N4013	212	164	168	166
N4013	220	165	166	166
N4013	229	165	166	166
N4013	238	169	168	168
N4013	246	173	   	172
N4013	255	173	   	173
N4013	264	172	   	171
N4013	272	169	170	170
N4013	281	162	172	172
N4013	289	   	174	173
N4013	298	   	176	176
N4013	307	   	178	178
N4013	315	   	180	180
N4013	324	   	180	180
N4013	333	   	180	180
N4013	341	   	180	180
N4013	350	   	178	178
N4013	359	   	174	174
N4013	367	   	170	170
U7089	 10	 25	 17	 21
U7089	 20	 38	 35	 36
U7089	 30	 45	 42	 43
U7089	 40	 51	 51	 51
U7089	 50	 57	 62	 60
U7089	 60	 63	 66	 65
U7089	 70	 66	 69	 68
U7089	 75	   	 73	 73
U7089	 80	 70	   	 70
U7089	 90	 74	   	 74
U7089	100	 78	   	 78
U7089	105	 79	   	 79
U7094	 20	 32	 32	 32
U7094	 40	 36	 36	 36
U7094	 60	   	 35	 35
N4138	 30	178	181	179
N4138	 60	191	200	195
N4138	 90	181	181	181
N4138	122	   	162	162
N4138	154	145	145	145
N4138	184	   	147	147
N4138	213	   	150	150
N4218	 10	 51	 70	 60
N4218	 20	 83	 62	 73

