#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:23:26 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:23:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/PASP/122/1397/s4g&-out=Name,RAJ2000,DEJ2000,amaj,ell,[3.6],M3.6,logM*,Dmean,TT,Vr&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_61221397
#Name: J/PASP/122/1397
#Title: Spitzer Survey of Stellar Structure in Galaxies (Sheth+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	creator=Sheth K.	    First author or institution
#INFO	cites=bibcode:2010PASP..122.1397S	    Article or Data origin sources
#INFO	journal=PASP	    Journal name
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PASP/122/1397	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.61221397	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PASP_122_1397_s4g:
#Name: J/PASP/122/1397/s4g
#Title: S^4^G catalog Version 2 (2013-09)
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	amaj	(F5.1)	? Semi-major axis at level {mu}(3.6um)=25.5mag(AB)/arcsec^2^	[ucd=phys.angSize.smajAxis]
#Column	ell	(F6.3)	[0/1]? Ellipticity (1-b/a)	[ucd=src.ellipticity]
#Column	[3.6]	(F6.3)	? Spitzer/IRAC 3.6um asymptotic magnitude (AB)	[ucd=phot.mag;em.IR.3-4um]
#Column	M3.6	(F7.3)	? Absolute magnitude at 3.6um	[ucd=phys.magAbs;em.IR.3-4um]
#Column	logM*	(F6.3)	? Stellar mass	[ucd=phys.mass]
#Column	Dmean	(F7.3)	? Mean redshift-independent distance	[ucd=pos.distance;pos.heliocentric]
#Column	TT	(F4.1)	? Morphological type code	[ucd=meta.code;src.morph.type]
#Column	Vr	(F7.1)	? Heliocentric radial velocity from radio measurement	[ucd=spect.dopplerVeloc;pos.heliocentric]
Name	RAJ2000	DEJ2000	amaj	ell	[3.6]	M3.6	logM*	Dmean	TT	Vr
NGC3049   	148.70665	+09.27120	 77.2	 0.329	12.430	-20.011	10.132	 30.775	 2.5	 1495.6
NGC3055   	148.82524	+04.27000	 71.5	 0.393	11.909	-20.590	10.348	 31.614	 5.3	 1821.5
NGC3057   	151.41458	+80.28665	 70.5	 0.350	13.538	-18.512	 9.525	 25.700	 7.9	 1524.0
NGC3061   	149.05025	+75.86644	 58.8	 0.159	13.146	-20.560	10.366	 55.100	 5.3	 2452.9
NGC3065   	150.48018	+72.17035	 69.3	 0.094	11.705	-20.955	10.560	 34.033	-2.0	 1995.0
NGC3066   	150.54576	+72.12532	 43.6	 0.098	12.525	-20.028	10.109	 32.400	 4.0	 2135.0
NGC3067   	149.58780	+32.37009	 74.6	 0.496	11.328	-20.315	10.217	 21.317	 2.1	 1473.3
NGC3245A  	156.75503	+28.63942	 86.6	 0.831	14.206	-17.747	 9.236	 24.586	 3.4	 1322.6
NGC4293   	185.30347	+18.38261	240.0	 0.541	10.063	-20.717	10.418	 14.320	 0.3	  921.0
NGC4294   	185.32433	+11.51059	 98.2	 0.540	12.226	-19.194	 9.771	 19.233	 5.8	  358.1
NGC4298   	185.38650	+14.60612	171.0	 0.435	10.847	-20.170	10.201	 15.971	 5.2	 1138.2
NGC4299   	185.41800	+11.50307	 63.2	 0.037	12.768	-18.359	 9.427	 16.800	 8.5	  237.8
NGC4302   	185.42626	+14.59782	247.4	 0.712	10.274	-21.408	10.672	 21.689	 5.4	 1147.5
NGC4303   	185.47890	+04.47375	226.8	 0.173	 9.265	-21.817	10.857	 16.460	 4.0	 1566.4
NGC4303A  	185.61350	+04.56620	 54.9	 0.253	13.680	-17.682	 9.198	       	 6.4	 1280.7
NGC4307   	185.52342	+09.04367	123.9	 0.618	11.232	-20.541	10.372	 22.625	 3.2	 1035.0
NGC4309   	185.55152	+07.14430	 82.5	 0.436	12.505	-18.464	 9.537	       	-0.9	 1071.0
NGC4310   	185.60956	+29.20872	 75.6	 0.447	12.245	-17.689	 9.216	  9.700	-0.9	  913.0
NGC4312   	185.63023	+15.53799	139.7	 0.603	11.366	-18.827	 9.670	 10.933	 2.0	  149.2
NGC4313   	185.66055	+11.80087	153.3	 0.646	11.097	-19.943	10.137	 16.140	 2.1	 1442.4
NGC4314   	185.63341	+29.89545	157.9	 0.078	10.067	-19.867	10.140	  9.700	 1.0	  982.7
NGC4316   	185.67602	+09.33287	 87.8	 0.640	11.762	-20.521	10.334	 28.613	 5.6	 1252.2
NGC4319   	185.43309	+75.32251	105.0	 0.261	11.425	-20.827	10.503	 28.200	 2.5	 1484.0
NGC4321   	185.72888	+15.82230	312.7	 0.229	 9.026	-21.988	10.931	 15.950	 4.1	 1574.7
NGC4324   	185.77577	+05.25036	100.3	 0.550	11.156	-21.344	10.710	 31.633	-0.9	 1661.8
NGC4330   	185.82167	+11.36827	174.6	 0.834	12.057	-19.491	 9.914	 20.400	 6.1	 1566.0
NGC4331   	185.64870	+76.17220	 81.7	 0.772	14.220	-17.905	 9.268	 26.600	 9.9	 1573.2
NGC4336   	185.87435	+19.42692	 79.9	 0.385	12.521	-18.529	 9.553	       	-0.1	 1002.0
NGC4343   	185.91121	+06.95405	 77.8	 0.222	11.559	-20.651	10.420	 27.657	 3.0	 1012.6
NGC4344   	185.90605	+17.54093	 65.7	 0.160	12.700	-18.537	 9.554	       	-2.1	 1146.5
NGC4346   	185.86656	+46.99379	119.8	 0.532	10.893	-20.080	10.216	 15.650	-2.0	
NGC4348   	185.97469	-03.44280	 87.3	 0.504	11.431	-21.144	10.579	 32.723	 4.1	 2008.7
NGC4351   	186.00639	+12.20490	 98.0	 0.325	12.572	-19.649	10.066	 27.817	 2.5	 2319.7
NGC4353   	186.00116	+07.78522	 42.7	 0.265	13.377	-18.905	 9.720	 28.600	 9.9	 1120.9
NGC4355   	186.72764	-00.87767	 59.5	 0.489	12.713	-19.306	 9.432	 25.350	 1.1	 2179.0
NGC4356   	186.06000	+08.53580	123.6	 0.723	12.227	-20.068	10.192	 28.775	 5.8	 1132.0
UGC00132  	003.50317	+12.96380	 59.7	 0.658	14.585	-17.335	 9.058	       	 7.9	 1679.0
UGC00156  	004.19997	+12.35026	 71.2	 0.518	14.176	-16.831	 8.829	 15.900	 9.8	 1134.7
UGC00191  	005.02088	+10.87959	 62.2	 0.361	14.194	-16.813	 8.818	 15.900	 8.6	 1143.5
UGC00260  	006.76214	+11.58380	 99.4	 0.776	12.767	-19.777	 9.995	 32.275	 5.8	 2133.5
UGC00290  	007.28488	+15.89907	 43.0	 0.787	16.412	-13.349	 7.556	  8.960	 9.5	  764.7
UGC00313  	007.85842	+06.20682	 38.0	 0.389	13.976	-18.363	 9.455	       	 4.3	 2085.0
UGC00320  	008.12872	+02.57464	 40.1	 0.799	15.949	-17.106	 9.003	 40.833	 6.1	 2374.0
UGC00477  	011.55463	+19.48989	 96.0	 0.804	14.328	-18.441	 9.515	 35.800	 7.9	 2647.9
UGC00634  	015.35349	+07.62546	 53.7	 0.509	15.008	-17.282	 9.033	 28.700	 8.8	 2212.3
UGC00711  	017.15476	+01.64096	 86.8	 0.789	14.335	-17.626	 9.282	 24.673	 6.5	 1977.7
UGC00866  	020.02849	-00.20546	 41.8	 0.663	15.343	-16.749	 8.885	 26.200	 7.8	 1726.1
UGC00882  	020.23115	+06.57411	 47.3	 0.483	15.168	-17.401	 9.074	       	 9.8	 2330.3
UGC00891  	020.32950	+12.41167	 64.7	 0.601	14.927	-14.938	 8.091	  9.400	 9.0	  642.8
UGC00903  	020.44926	+17.59260	 57.3	 0.547	11.703	-21.327	10.584	 40.367	 4.0	 2513.2
UGC00941  	020.88474	+06.96042	 31.7	 0.306	15.439	-17.474	 9.160	       	 9.9	 2727.8
UGC00958  	021.14255	+16.53699	 43.2	 0.779	15.531	-17.153	 8.883	 34.417	 5.7	 2415.2
UGC00964  	021.14561	+07.72110	 37.0	 0.680	14.500	-19.587	 9.924	 65.667	 3.0	 2735.1
UGC01014  	021.59821	+06.27779	 34.2	 0.103	14.843	-17.527	 9.230	       	 9.3	 2132.0
UGC01020  	021.68326	+17.26448	 46.6	 0.418	13.806	-19.034	 9.718	       	 2.1	 2589.0
UGC01104  	023.17717	+18.31708	 50.5	 0.474	14.314	-15.075	 8.155	  7.550	 9.5	  684.5
UGC01110  	023.32382	+13.33248	 59.5	 0.707	14.384	-18.415	 9.464	 36.300	 5.9	 2765.7
UGC01112  	023.32859	+03.07033	 42.8	 0.546	14.610	-17.443	 9.108	 25.750	 5.8	 1710.0
UGC01133  	023.76142	+04.38126	 30.0	 0.163	15.871	-16.136	 8.482	 25.200	 9.9	 1964.1
UGC01176  	025.04055	+15.90470	 62.2	 0.276	14.425	-15.387	 8.199	  9.170	 9.9	  631.4
UGC01195  	025.61296	+13.97781	111.8	 0.761	13.633	-16.534	 8.767	 10.800	 9.8	  773.5
UGC01197  	025.63808	+18.30601	 56.8	 0.728	14.983	-17.801	 9.291	 36.050	 9.8	 2796.1
UGC01200  	025.70123	+13.15599	 59.6	 0.450	13.883	-16.375	 8.684	       	 9.9	  809.2
UGC01240  	026.58581	+04.26429	 31.1	 0.617	15.411	-16.565	 8.735	       	 7.9	 1796.7
UGC01500  	030.30082	+19.67498	 33.3	 0.564	15.000	-18.032	 9.395	 40.400	 5.9	 2433.0
UGC12791  	357.20536	+26.22086	 55.9	 0.705	15.350	-15.203	 8.190	 12.900	 9.9	  790.5
NGC4701   	192.29830	+03.38872	 71.4	 0.171	12.233	-19.654	 9.974	 23.843	 5.9	  722.8
NGC4707   	192.09555	+51.16590	 68.1	 0.159	14.736	-14.779	 8.295	  8.000	 8.8	  467.2
NGC4710   	192.41194	+15.16582	176.5	 0.604	10.249	-20.878	10.501	 16.800	-0.9	 1100.0
NGC4713   	192.49120	+05.31136	 83.0	 0.244	11.803	-19.267	 9.836	 16.367	 6.8	  652.7
NGC4722   	192.88486	-13.32998	 69.7	 0.565	12.080	-19.205	 9.850	       	 0.0	 1312.0
NGC4723   	192.76245	-13.23633	 41.0	 0.181	14.977	-16.295	 8.896	       	 8.8	 1302.0
NGC4725   	192.61073	+25.50070	346.4	 0.295	 8.912	-21.762	10.881	 13.637	 2.2	 1208.5
NGC4731   	192.75510	-06.39352	203.1	 0.579	11.630	-19.847	10.062	 19.750	 5.9	 1492.2
NGC4733   	192.77823	+10.91211	 94.9	 0.087	11.692	-19.452	 9.973	 16.933	-3.8	
NGC4736   	192.72100	+41.12021	570.4	 0.209	 7.610	-20.939	10.521	  5.126	 2.4	  309.0
NGC4746   	192.98060	+12.08268	 68.0	 0.574	11.783	-20.792	10.408	 32.743	 3.1	 1780.3
NGC4747   	192.94014	+25.77522	143.3	 0.626	12.095	-18.355	 9.461	 12.300	 7.1	 1195.0
NGC4749   	192.80158	+71.63539	 61.3	 0.600	11.826	-20.529	10.294	 29.575	 3.0	 1689.0
NGC4750   	192.53045	+72.87463	117.4	 0.232	10.663	-21.420	10.729	 26.100	 2.4	 1622.2
NGC4753   	193.09196	-01.19955	306.9	 0.457	 9.261	-21.875	10.930	 16.869	-1.2	 1169.0
NGC4754   	193.07296	+11.31387	181.6	 0.466	10.110	-21.076	10.640	 17.264	-2.4	
NGC4758   	193.18337	+15.84861	132.1	 0.768	12.535	-18.431	 9.487	 15.600	 9.1	 1241.6
NGC4762   	193.23331	+11.23097	189.0	 0.686	10.116	-21.641	10.848	 22.460	-1.8	  985.0
NGC4765   	193.31058	+04.46325	 52.0	 0.305	13.038	-18.593	 9.538	 21.200	 0.0	  723.5
NGC4771   	193.33866	+01.26944	125.6	 0.715	11.576	-19.903	10.091	 19.762	 6.2	 1133.1
NGC4941   	196.05461	-05.55156	137.6	 0.226	10.718	-20.585	10.355	 18.220	 2.1	 1113.3
NGC4942   	196.07962	-07.64954	 56.3	 0.184	13.168	-19.395	 9.905	 32.560	 6.9	 1746.2
NGC4948   	196.23358	-07.94815	 86.7	 0.554	12.896	-18.816	 9.676	 22.000	 7.3	 1330.0
NGC4948A  	196.27437	-08.16159	 51.1	 0.152	13.789	-18.302	 9.447	 26.200	 7.7	 1539.0
NGC4951   	196.28211	-06.49384	123.3	 0.571	11.486	-19.615	 9.968	 16.600	 6.0	 1178.1
NGC4958   	196.45374	-08.02021	209.0	 0.691	10.200	-21.132	10.635	 18.467	-1.9	 1112.0
NGC4961   	196.44829	+27.73424	 47.9	 0.319	13.233	-20.042	10.103	 45.186	 5.6	 2534.1
NGC4965   	196.78894	-28.22822	 92.4	 0.174	12.414	-20.727	10.375	 42.480	 6.7	 2263.5
NGC4772   	193.37160	+02.16834	160.2	 0.457	10.961	-21.459	10.747	 30.475	 1.2	 1039.9
NGC0584   	022.83627	-06.86796	149.4	 0.164	10.033	-21.464	10.787	 19.930	-4.7	 1796.0
NGC0600   	023.27190	-07.31164	 95.1	 0.223	12.609	-19.190	 9.793	 22.900	 7.0	 1842.4
NGC0613   	023.57571	-29.41857	196.7	 0.226	 9.517	-22.483	11.087	 25.125	 4.0	 1479.6
NGC0615   	023.77362	-07.34030	101.7	 0.472	11.203	-20.965	10.537	 27.142	 3.0	 1856.8
NGC0625   	023.76455	-41.43722	246.2	 0.661	11.295	-16.608	 8.770	  3.807	 9.0	  395.5
NGC0628   	024.17387	+15.78363	346.3	 0.160	 9.074	-20.716	10.291	  9.078	 5.2	  656.2
NGC0658   	025.54018	+12.60183	 87.4	 0.461	12.222	-20.725	10.369	 38.833	 3.0	 2987.8
NGC0660   	025.75969	+13.64581	240.9	 0.610	 9.570	-21.074	10.470	 13.450	 1.3	  850.5
NGC0672   	026.97699	+27.43276	210.6	 0.545	11.037	-18.478	 9.493	  8.000	 6.0	  428.3
NGC0676   	027.23862	+05.90604	125.6	 0.662	10.611	-20.839	10.418	 19.500	 0.0	 1506.1
NGC0678   	027.35347	+21.99726	164.2	 0.747	11.168	-21.059	10.591	 27.875	 3.0	 2861.3
NGC0680   	027.44703	+21.97086	 82.6	 0.033	11.279	-21.432	10.741	 34.850	-4.1	 2779.0
NGC0681   	027.29501	-10.42634	129.2	 0.338	11.121	-21.511	10.752	 33.600	 2.0	 1757.4
NGC0685   	026.92841	-52.76198	132.8	 0.237	11.555	-19.354	 9.853	 15.200	 5.4	 1359.5
NGC0691   	027.67377	+21.75999	110.9	 0.249	11.401	-21.436	10.754	 36.922	 4.0	 2663.3
NGC0693   	027.62848	+06.14531	102.6	 0.622	11.694	-19.891	10.036	 20.750	 0.2	 1562.9
NGC0701   	027.76531	-09.70290	 83.1	 0.416	11.573	-20.208	10.156	 22.711	 5.0	 1831.1
NGC0718   	028.30534	+04.19576	 91.9	 0.099	11.326	-20.326	10.283	 21.400	 1.0	 1718.0
NGC0723   	028.44035	-23.75773	 47.0	 0.149	12.736	-18.611	 9.549	       	 3.8	 1486.3
NGC0755   	029.09446	-09.06143	 92.7	 0.665	12.584	-18.941	 9.684	 20.185	 3.4	 1639.9
NGC0772   	029.83139	+19.00766	225.0	 0.342	 9.829	-22.578	11.151	 30.305	 3.1	 2433.3
NGC0779   	029.92768	-05.96424	121.2	 0.572	10.705	-20.532	10.354	 17.678	 3.0	 1387.0
NGC0784   	030.32055	+28.83725	198.7	 0.758	12.329	-15.995	 8.495	  4.621	 7.9	  196.7
NGC0803   	030.93626	+16.03105	107.8	 0.636	12.260	-19.700	 9.997	 24.653	 5.3	 2099.2
NGC0814   	032.65672	-15.77344	 53.7	 0.461	13.535	-18.019	 9.158	       	-1.7	 1587.0
NGC0855   	033.51466	+27.87728	107.2	 0.576	12.425	-17.515	 9.165	  9.730	-4.8	  592.1
NGC0864   	033.86512	+06.00250	134.2	 0.288	11.159	-20.207	10.184	 18.767	 5.1	 1560.9
NGC4631   	190.53253	+32.54291	531.9	 0.753	 8.710	-20.199	10.127	  6.050	 6.6	  600.6
NGC4632   	190.63330	-00.08250	100.4	 0.540	11.527	-19.811	10.028	 18.518	 5.1	 1719.3
NGC4633   	190.65578	+14.35722	 81.4	 0.585	13.308	-18.463	 9.523	 22.600	 7.9	  288.9
NGC4634   	190.66950	+14.29830	108.1	 0.724	11.609	-16.415	 8.655	       	 5.9	  118.0
NGC4635   	190.66340	+19.94529	 80.9	 0.342	12.870	-18.985	 9.738	 23.500	 6.6	  957.4
NGC4636   	190.70772	+02.68779	     	      	      	       	      	 16.240	-4.8	 1094.4
NGC4639   	190.71830	+13.25746	 99.1	 0.360	11.327	-20.420	10.317	 22.356	 3.5	  979.5
NGC4641   	190.78190	+12.05125	 71.5	 0.082	13.222	-19.137	 9.793	       	-2.0	 2018.9
NGC4642   	190.82409	-00.64427	 61.7	 0.642	13.005	-20.133	10.166	 42.414	 3.9	 2644.5
NGC4643   	190.83392	+01.97836	164.3	 0.205	 9.966	-22.083	11.028	 25.700	-0.6	 1330.2
NGC4647   	190.88536	+11.58257	     	      	      	       	      	 18.300	 5.2	 1396.0
NGC4651   	190.92770	+16.39335	155.8	 0.341	10.404	-21.729	10.844	 26.708	 5.2	  799.5
NGC4653   	190.96218	-00.56131	102.7	 0.360	12.439	-20.582	10.321	 40.200	 6.0	 2630.2
NGC4654   	190.98578	+13.12668	227.4	 0.543	10.161	-20.908	10.485	 16.362	 5.9	 1037.9
NGC4656   	190.99118	+32.16941	315.1	 0.845	11.853	-17.156	 8.927	  6.335	 9.0	  643.9
NGC4658   	191.15731	-10.08333	 66.8	 0.412	12.176	-20.335	10.228	 31.780	 4.0	 2394.7
NGC4659   	191.12245	+13.49854	 77.5	 0.314	11.990	-17.467	 9.159	       	 0.0	  267.0
NGC4666   	191.28594	-00.46199	183.0	 0.527	 9.402	-21.901	10.853	 18.225	 5.1	 1516.5
NGC4668   	191.38334	-00.53581	 56.0	 0.427	13.310	-17.769	 9.235	 16.433	 7.4	 1619.9
NGC4680   	191.72812	-11.63712	 61.0	 0.222	12.178	-20.641	10.375	 36.625	 0.0	 2492.0
NGC4682   	191.81463	-10.06337	 92.0	 0.511	12.170	-20.425	10.303	 33.029	 5.8	 2333.5
NGC4684   	191.82305	-02.72736	117.2	 0.587	11.269	-20.158	10.205	 19.300	-1.1	
