#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:44:46 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:44:46	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/234/18/table1&-out.max=unlimited&-out=Name,RAJ2000,DEJ2000,Dist,e_Dist,T,3.6mag,e_3.6mag,Group	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22340018
#Name: J/ApJS/234/18
#Title: GALEX/S4G surface brightness profiles. I. (Bouquin+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apjs/234/18	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/234/18	    IVOID of underlying data collection
#INFO	creator=Bouquin A.Y.K.	    First author or institution
#INFO	cites=bibcode:2018ApJS..234...18B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/234/18	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22340018	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-07-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_234_18_table1:
#Name: J/ApJS/234/18/table1
#Title: The GALEX/S^4^G sample
#Column	Name	(a10)	Galaxy identifier using S^4^G nomenclature	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F4.1)	[0.4/94.1] Redshift-independent distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F6.1)	[0/50.1]? Standard deviation in Dist (1)	[ucd=stat.error]
#Column	T	(F4.1)	[-5/10] Numerical morphological type from RC2 from HyperLEDA	[ucd=src.morph.type]
#Column	3.6mag	(F6.3)	[6.3/17.3] Spitzer/IRAC 3.6um band asymptotic AB magnitude (3)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_3.6mag	(F6.3)	[0.001/0.4] The 1{sigma} uncertainty in 3.6mag	[ucd=stat.error]
#Column	Group	(A4)	Group identifier (4)	[ucd=meta.id]
Name	RAJ2000	DEJ2000	Dist	e_Dist	T	3.6mag	e_3.6mag	Group
NGC0216   	010.363123	-21.044899	19.1	      	-1.9	13.059	 0.004	0
PGC002492 	010.439405	-16.860757	20.7	      	 2.0	14.155	 0.006	0
IC1574    	010.765448	-22.245836	 4.8	   0.2	 9.9	14.749	 0.017	355
NGC0244   	011.443430	-15.596570	11.6	      	-2.0	13.593	 0.003	0
PGC002689 	011.515689	-11.506472	20.2	      	 8.8	14.693	 0.009	0
UGC00477  	011.554634	+19.489885	35.8	   0.4	 7.9	14.328	 0.002	1294
ESO411-013	011.776317	-31.581403	23.5	      	 9.0	16.037	 0.002	0
NGC0247   	011.785305	-20.760176	 3.6	   0.5	 6.9	 9.135	 0.001	233
NGC0254   	011.865155	-31.421775	17.1	      	-1.2	11.387	 0.001	0
NGC0255   	011.946929	-11.468734	20.0	      	 4.1	12.252	 0.002	0
PGC002805 	011.948177	-09.899568	16.4	   0.5	 6.7	14.624	 0.005	1101
ESO540-031	012.457500	-21.012730	 3.4	   0.2	 9.8	16.189	 0.048	233
ESO079-007	012.517568	-66.552204	25.2	   4.5	 4.0	13.570	 0.001	0
NGC0274   	012.757695	-07.056978	20.3	   1.5	-2.8	12.091	 0.001	1103
NGC0275   	012.768555	-07.065730	21.9	      	 6.0	12.284	 0.001	0
PGC003062 	013.072022	-03.966015	18.8	      	 6.8	15.291	 0.009	0
NGC0289   	013.176101	-31.205822	22.8	   4.1	 4.0	10.522	 0.003	1098
ESO411-026	013.190037	-31.717423	21.5	      	 9.0	15.931	 0.003	0
IC1596    	013.678501	+21.522619	35.7	      	 2.0	13.877	 0.003	0
NGC0300   	013.722672	-37.684196	 2.0	   0.3	 6.9	 8.408	 0.001	234
NGC0298   	013.759547	-07.332947	23.4	      	 5.9	13.838	 0.009	0
ESO541-004	014.741564	-18.742712	32.5	   4.8	 4.2	12.419	 0.001	1301
ESO541-005	014.826662	-20.578984	26.1	      	 8.0	15.462	 0.001	0
NGC0337   	014.958750	-07.578180	22.1	   2.1	 6.7	11.465	 0.001	1103
UGC00634  	015.353486	+07.625458	28.7	      	 8.8	15.008	 0.005	904
NGC0337A  	015.391406	-07.588056	13.7	      	 8.0	12.882	 0.001	0
NGC0360   	015.714461	-65.609977	32.8	   5.5	 4.4	11.700	 0.001	1290
PGC003853 	016.270287	-06.212446	12.6	   1.7	 7.0	11.556	 0.001	333
PGC003855 	016.286160	-06.279000	32.3	      	 8.8	15.438	 0.006	0
UGC00711  	017.154755	+01.640961	24.7	   5.5	 6.5	14.335	 0.002	905
PGC004143 	017.422960	-02.266654	24.9	      	 9.8	15.043	 0.219	0
NGC0428   	018.231750	+00.981680	14.7	   1.2	 8.6	11.808	 0.001	334
NGC0450   	018.876938	-00.860852	20.1	   1.5	 5.8	12.512	 0.002	921
NGC0470   	019.936847	+03.409903	38.9	   6.0	 3.1	11.320	 0.001	901
NGC0473   	019.979376	+16.544770	29.8	      	-0.3	12.152	 0.001	0
NGC0474   	020.027841	+03.415528	30.9	   2.1	-2.0	11.284	 0.001	0
UGC00866  	020.028489	-00.205455	26.2	   0.3	 7.8	15.343	 0.001	921
UGC00882  	020.231151	+06.574113	31.1	      	 9.8	15.168	 0.005	0
UGC00891  	020.329500	+12.411670	 9.4	      	 9.0	14.927	 0.003	0
PGC090540 	020.348690	-01.862720	40.6	   0.6	 7.9	16.945	 0.012	0
NGC0485   	020.365077	+07.018252	35.7	   3.2	 6.0	13.231	 0.001	901
NGC0488   	020.444924	+05.256812	29.3	      	 2.9	 9.663	 0.001	0
UGC00903  	020.449264	+17.592603	40.4	   8.8	 4.0	11.703	 0.001	910
NGC0489   	020.474474	+09.206617	43.3	   5.1	 5.0	12.252	 0.001	908
NGC0493   	020.537547	+00.945508	25.7	   2.9	 5.9	12.381	 0.001	901
UGC00941  	020.884736	+06.960419	36.4	      	 9.9	15.439	 0.103	0
NGC0514   	021.016153	+12.917441	29.4	   4.1	 5.2	11.775	 0.001	907
IC0101    	021.035722	+09.930381	44.4	   1.0	 3.0	14.174	 0.001	908
NGC0518   	021.073533	+09.330937	35.4	      	 1.0	12.392	 0.009	0
UGC00958  	021.142548	+16.536992	34.4	   2.5	 5.7	15.531	 0.001	910
NGC0520   	021.145375	+03.791594	27.8	      	 1.3	10.773	 0.001	0
UGC00964  	021.145607	+07.721099	65.7	  24.5	 3.0	14.500	 0.002	912
NGC0522   	021.190962	+09.994722	46.1	   8.6	 4.1	11.975	 0.001	913
NGC0532   	021.322172	+09.264103	31.2	   1.3	 1.9	11.466	 0.001	908
PGC005329 	021.491078	-03.982276	26.6	      	 8.0	15.118	 0.021	0
PGC005341 	021.560269	-06.093568	26.9	   4.1	 5.6	12.933	 0.002	895
UGC01014  	021.598213	+06.277794	28.4	      	 9.3	14.843	 0.010	0
ESO476-010	021.676041	-25.314961	21.8	   1.7	 8.8	15.466	 0.002	923
UGC01020  	021.683260	+17.264476	34.5	      	 2.1	13.806	 0.001	0
NGC0578   	022.619133	-22.667096	21.8	   3.4	 5.0	11.181	 0.001	923
NGC0584   	022.836269	-06.867963	19.9	   2.3	-4.7	10.033	 0.001	895
UGC01104  	023.177167	+18.317079	 7.6	      	 9.5	14.314	 0.027	0
ESO013-016	023.201707	-79.473880	23.0	   0.9	 7.5	13.127	 0.002	0
NGC0600   	023.271901	-07.311644	22.9	      	 7.0	12.609	 0.001	0
UGC01110  	023.323823	+13.332481	36.3	   2.3	 5.9	14.384	 0.001	907
UGC01112  	023.328585	+03.070333	25.8	   0.5	 5.8	14.610	 0.009	0
NGC0613   	023.575714	-29.418573	25.1	   5.3	 4.0	 9.517	 0.001	0
UGC01133  	023.761422	+04.381263	25.2	      	 9.9	15.871	 0.005	0
NGC0615   	023.773623	-07.340295	27.1	   2.8	 3.0	11.203	 0.001	895
PGC090553 	023.881430	+02.031580	46.6	   0.5	 7.6	16.407	 0.013	0
NGC0628   	024.173866	+15.783626	 9.1	   1.1	 5.2	 9.074	 0.001	0
PGC006048 	024.500044	-07.566303	25.9	      	 3.9	14.964	 0.002	0
UGC01176  	025.040550	+15.904700	 9.2	   0.2	 9.9	14.425	 0.065	0
PGC006190 	025.116072	-05.520401	29.8	   2.5	 6.8	14.785	 0.014	0
PGC006228 	025.279657	-05.568173	21.6	   0.4	 8.7	13.689	 0.004	0
PGC006244 	025.399591	-16.146945	21.7	      	10.0	15.144	 0.029	0
NGC0658   	025.540183	+12.601835	38.8	   4.4	 3.0	12.222	 0.001	0
UGC01195  	025.612959	+13.977811	10.8	      	 9.8	13.633	 0.007	0
UGC01197  	025.638084	+18.306007	36.1	   1.2	 9.8	14.983	 0.005	917
UGC01200  	025.701230	+13.155990	10.8	      	 9.9	13.883	 0.001	329
ESO245-005	026.266050	-43.598540	 4.2	   0.5	 9.9	13.738	 0.001	235
UGC01240  	026.585806	+04.264288	24.0	      	 7.9	15.411	 0.003	0
IC1727    	026.874450	+27.333330	 6.8	   0.4	 8.9	12.298	 0.001	330
NGC0672   	026.976993	+27.432764	 8.0	   1.1	 6.0	11.037	 0.001	330
PGC006626 	027.107385	-12.381307	19.8	      	 9.9	13.825	 0.001	0
NGC0676   	027.238619	+05.906035	19.5	      	 0.0	10.611	 0.001	0
PGC006703 	027.407478	-13.571143	19.3	      	 3.1	14.557	 0.001	0
PGC006706 	027.417532	-12.824585	21.0	      	 9.0	15.085	 0.004	0
NGC0693   	027.628478	+06.145309	20.8	   0.1	 0.2	11.694	 0.001	900
NGC0691   	027.673772	+21.759990	36.9	   2.5	 4.0	11.401	 0.001	916
ESO245-007	027.774822	-44.444637	 0.4	   0.0	 9.5	13.883	 0.027	222
IC0167    	027.785705	+21.912753	27.7	   5.8	 5.0	13.554	 0.003	916
PGC006864 	027.868460	-06.516583	44.4	   2.1	 6.9	15.450	 0.010	0
NGC0718   	028.305342	+04.195761	21.4	      	 1.0	11.326	 0.001	0
NGC0723   	028.440354	-23.757733	19.8	      	 3.8	12.736	 0.002	0
PGC007109 	028.720010	-13.653930	25.6	      	 9.0	13.961	 0.002	0
ESO477-016	029.066558	-22.900982	36.8	   6.0	 4.2	13.990	 0.001	0
NGC0755   	029.094460	-09.061430	20.2	   2.3	 3.4	12.584	 0.002	898
PGC007324 	029.246100	-11.780550	25.7	   4.1	 8.0	15.203	 0.002	897
NGC0772   	029.831391	+19.007664	30.3	   7.2	 3.1	 9.829	 0.001	0
NGC0779   	029.927683	-05.964238	17.7	   1.9	 3.0	10.705	 0.001	893
PGC007654 	030.229110	-08.840880	21.4	      	 9.9	15.174	 0.001	0
NGC0784   	030.320550	+28.837250	 4.6	   0.9	 7.9	12.329	 0.004	332
PGC007682 	030.376402	-07.291995	32.8	      	 1.0	14.501	 0.007	0
UGC01547  	030.835402	+22.041543	35.1	      	 9.9	14.426	 0.002	0
UGC01551  	030.906525	+24.075191	35.6	      	 6.1	13.201	 0.004	0
NGC0803   	030.936258	+16.031049	24.7	   4.3	 5.3	12.260	 0.001	925
PGC007900 	031.130830	-06.199099	22.0	   4.8	 9.0	14.069	 0.010	0
PGC007998 	031.455260	-09.821943	25.3	      	 9.0	15.376	 0.014	0
IC0210    	032.367652	-09.679930	25.5	   1.0	 4.1	11.757	 0.001	897
PGC008295 	032.560210	-09.710970	21.3	   0.9	 5.0	14.168	 0.004	897
ESO298-015	032.661758	-40.918056	21.5	   1.9	 6.2	14.156	 0.058	0
UGC01670  	032.682887	+06.758404	20.7	      	 8.8	15.179	 0.006	0
ESO544-027	033.227604	-19.316660	40.3	   8.0	 3.5	13.665	 0.001	888
NGC0855   	033.514658	+27.877278	 9.7	      	-4.8	12.425	 0.001	337
ESO298-023	033.615000	-39.185112	18.3	      	 6.0	15.136	 0.117	0
ESO544-030	033.738600	-20.211750	16.1	   3.5	 7.9	13.203	 0.001	0
NGC0864   	033.865121	+06.002503	18.8	   2.0	 5.1	11.159	 0.001	0
IC0217    	034.043222	-11.927323	27.1	   2.8	 5.7	13.056	 0.001	897
ESO545-002	034.813343	-18.932474	21.4	   1.5	 8.9	14.602	 0.010	894
ESO545-003	034.871868	-21.435410	19.4	   3.2	 4.0	15.272	 0.002	894
ESO545-005	035.025414	-19.750732	31.2	   1.4	 7.6	12.949	 0.003	888
UGC01803  	035.121774	+06.810402	22.4	   0.1	 8.8	14.926	 0.020	0
PGC008962 	035.369889	-04.413168	30.9	      	 6.9	15.822	 0.004	0
NGC0895   	035.402017	-05.521277	29.6	   3.4	 6.0	11.686	 0.001	875
NGC0899   	035.471070	-20.823800	18.5	      	 9.9	12.818	 0.005	0
IC0223    	035.504723	-20.746179	18.8	      	10.0	14.449	 0.010	0
NGC0907   	035.761020	-20.711750	20.6	   1.1	 7.6	12.345	 0.001	894
NGC0908   	035.768854	-21.233821	17.6	   1.8	 5.1	 9.784	 0.001	894
UGC01862  	036.103289	-02.162370	20.4	   3.5	 6.4	13.338	 0.001	891
NGC0918   	036.461655	+18.496316	18.1	   1.7	 5.2	11.323	 0.001	927
ESO545-016	036.497250	-21.421610	18.4	      	 9.0	14.635	 0.001	0
PGC009272 	036.589388	-09.841708	25.7	      	 8.0	14.539	 0.001	876
ESO479-004	036.589790	-24.291050	19.4	   1.1	 8.5	12.726	 0.001	894
PGC009354 	036.886508	-10.165871	24.3	   1.5	 5.1	14.185	 0.008	876
NGC0936   	036.905968	-01.155945	20.7	   3.1	-1.2	 9.679	 0.001	891
UGC01945  	037.051650	-01.348860	23.6	      	 8.2	13.465	 0.002	0
NGC0941   	037.116078	-01.151480	27.3	   6.2	 5.3	12.691	 0.001	0
UGC01970  	037.475263	+25.256365	37.6	   7.1	 5.8	13.697	 0.006	932
UGC01981  	037.571550	+00.937800	20.2	      	 9.7	15.340	 0.041	0
NGC0955   	037.638036	-01.108416	23.1	   2.5	 2.0	11.418	 0.001	891
PGC009559 	037.672486	-03.811590	20.2	      	 7.8	14.220	 0.001	0
UGC01999  	037.969540	+19.153090	17.0	   4.4	 5.7	14.812	 0.004	0
ESO355-026	038.072987	-35.030535	31.5	   4.8	 4.2	13.197	 0.002	0
NGC0986A  	038.174760	-39.295150	19.1	      	 9.9	14.771	 0.004	0
NGC0986   	038.393089	-39.045003	17.2	   8.6	 2.4	10.300	 0.001	0
NGC0991   	038.886123	-07.154328	18.8	      	 5.0	12.399	 0.001	0
UGC02082  	039.067475	+25.423898	13.3	   1.9	 5.8	12.706	 0.003	338
ESO115-021	039.452357	-61.333936	 5.7	   0.9	 7.5	13.552	 0.002	236
NGC1022   	039.636265	-06.677424	18.5	      	 1.1	10.987	 0.001	0
IC1826    	039.765050	-27.443810	36.2	  17.1	-0.6	12.618	 0.001	0
NGC1035   	039.871440	-08.132960	18.5	   3.1	 5.2	11.539	 0.001	889
NGC1042   	040.099821	-08.433523	 9.4	   4.1	 6.0	11.133	 0.001	0
NGC1047   	040.136733	-08.147679	17.9	      	-0.5	13.573	 0.002	0
NGC1051   	040.260387	-06.935825	15.9	      	 8.8	13.075	 0.001	0
NGC1052   	040.270028	-08.255802	19.5	   1.5	-4.7	10.042	 0.001	889
ESO479-025	040.531085	-24.130707	20.6	      	 5.5	13.587	 0.001	0
NGC1073   	040.918832	+01.376104	15.2	      	 5.3	11.287	 0.001	0
NGC1079   	040.934715	-29.003273	26.1	  12.9	 0.6	11.005	 0.001	845
NGC1084   	041.499538	-07.578474	21.2	   5.0	 4.9	10.223	 0.001	889
NGC1097   	041.578937	-30.274717	20.0	   5.3	 3.3	 8.702	 0.001	845
NGC1087   	041.605100	-00.498845	17.5	   2.2	 5.2	10.847	 0.001	892
NGC1090   	041.641312	-00.247139	32.3	   4.1	 3.8	11.705	 0.002	874
UGC02275  	041.990850	+03.885500	13.1	      	 8.8	14.639	 0.017	0
UGC02302  	042.286080	+02.127514	14.0	      	 8.8	14.290	 0.156	0
NGC1110   	042.289425	-07.837685	19.8	   2.1	 8.9	14.155	 0.003	889
PGC010813 	042.768814	+04.453990	12.6	      	 5.0	15.695	 0.004	0
UGC02345  	042.969600	-01.172100	16.5	   3.3	 8.8	14.552	 0.002	892
NGC1145   	043.639653	-18.634924	28.1	   8.5	 5.2	11.849	 0.001	856
NGC1140   	043.639673	-10.028115	19.0	   1.1	 9.2	12.705	 0.002	889
ESO356-018	043.801852	-36.299647	20.9	   1.2	 5.0	15.029	 0.004	0
ESO154-023	044.201502	-54.577723	 6.8	   1.3	 8.9	12.782	 0.005	237
UGC02429  	044.288243	+01.326515	23.6	      	 9.0	15.377	 0.004	0
ESO546-034	044.654521	-18.698195	20.9	      	 8.8	16.038	 0.053	0
NGC1163   	045.092124	-17.152503	33.8	   6.5	 4.1	12.785	 0.001	868
PGC011367 	045.132280	-15.736181	21.0	      	 6.9	12.919	 0.002	0
NGC1187   	045.656559	-22.867103	18.8	   1.4	 5.0	10.538	 0.001	851
NGC1179   	045.660498	-18.897940	18.2	   4.1	 5.9	12.052	 0.001	0
ESO547-005	045.895500	-18.367090	21.2	      	10.0	15.246	 0.001	0
ESO480-025	045.959885	-25.272082	23.0	      	 8.8	15.063	 0.007	0
ESO248-002	046.276229	-45.961821	19.9	   1.3	 6.9	13.570	 0.001	0
PGC011677 	046.769160	-14.003490	18.3	      	 9.1	14.308	 0.006	0
PGC011744 	047.078971	-13.902973	20.9	      	 1.0	13.834	 0.005	0
IC1892    	047.113261	-23.056018	35.2	      	 7.7	13.909	 0.003	879
NGC1222   	047.236407	-02.955155	31.0	      	-2.6	12.103	 0.002	0
ESO547-012	047.403999	-17.831404	36.0	   1.7	 7.9	16.789	 0.020	0
ESO300-014	047.409897	-41.031622	11.5	   2.1	 8.9	13.026	 0.003	952
NGC1232   	047.439256	-20.579000	18.7	   2.6	 5.0	 9.844	 0.001	0
NGC1249   	047.505009	-53.335851	15.9	   2.6	 6.0	11.996	 0.001	953
IC1898    	047.583190	-22.404620	19.9	   2.3	 5.7	12.323	 0.001	851
ESO357-007	047.597980	-33.153556	14.7	   3.0	 9.0	14.857	 0.003	846
ESO547-020	048.239985	-17.929781	26.6	      	 9.5	15.292	 0.022	0
NGC1255   	048.383339	-25.725095	21.5	   2.4	 4.0	11.163	 0.001	850
ESO481-014	048.418130	-25.188880	20.5	   2.0	 8.9	14.274	 0.003	850
NGC1258   	048.522911	-21.774392	25.8	   4.4	 5.7	13.448	 0.001	0
NGC1253   	048.537841	-02.822648	22.7	   3.1	 5.9	11.607	 0.001	929
PGC012068 	048.659276	-04.774324	27.6	      	10.0	14.283	 0.030	0
ESO357-012	049.222491	-35.541387	22.6	   2.6	 7.0	13.881	 0.018	843
NGC1291   	049.327329	-41.107973	 8.6	      	 0.1	 8.216	 0.001	0
NGC1292   	049.561816	-27.610430	21.5	   3.5	 5.0	12.122	 0.001	847
NGC1313   	049.564200	-66.497370	 4.0	   0.4	 7.0	 9.387	 0.001	236
NGC1297   	049.809240	-19.100066	23.5	   7.3	-2.5	11.630	 0.001	852
IC1914    	049.855100	-49.599670	18.1	   4.7	 6.9	13.201	 0.002	950
IC1913    	049.893976	-32.465228	21.4	   3.8	 3.4	14.172	 0.005	9
NGC1300   	049.921009	-19.411096	18.1	   2.8	 4.0	10.201	 0.001	0
PGC012439 	049.974367	-03.593632	48.9	   0.3	 6.2	14.222	 0.002	0
NGC1311   	050.029140	-52.187509	 5.3	   0.7	 8.8	13.023	 0.016	238
NGC1299   	050.040339	-06.261997	31.1	      	 3.0	12.624	 0.001	869
NGC1310   	050.264124	-37.101747	22.0	   3.7	 5.0	12.376	 0.001	9
PGC012608 	050.465119	-15.710440	26.8	      	 9.0	15.378	 0.097	0
NGC1309   	050.527190	-15.400028	28.0	   4.3	 3.9	11.462	 0.001	867
PGC012633 	050.572733	-07.090679	29.8	   2.1	 2.3	12.861	 0.001	0
PGC012664 	050.729541	-11.203359	34.7	      	 6.7	13.788	 0.003	0
ESO357-025	050.905079	-35.778525	17.3	   4.4	-2.8	14.926	 0.002	843
NGC1326   	050.984851	-36.464532	17.0	   1.7	-0.8	10.117	 0.001	9
NGC1325   	051.106537	-21.544060	22.0	   2.5	 4.0	11.369	 0.001	849
ESO548-009	051.158700	-19.297800	91.9	      	 6.7	17.107	 0.006	0
NGC1325A  	051.202039	-21.336643	17.7	      	 6.9	12.963	 0.002	0
NGC1316C  	051.243398	-37.009610	16.9	      	-1.9	13.490	 0.001	9
NGC1326A  	051.286800	-36.363080	16.9	   1.0	 8.9	14.240	 0.007	9
NGC1326B  	051.333900	-36.386800	16.9	      	 8.9	13.408	 0.003	9
PGC012798 	051.353879	-16.233450	29.3	   3.9	 7.6	13.491	 0.001	867
IC1933    	051.416210	-52.785524	20.1	   5.9	 6.2	12.802	 0.001	951
ESO548-016	051.510000	-21.340651	28.3	      	 6.9	14.838	 0.011	0
ESO358-005	051.819008	-33.485802	21.7	      	 9.0	14.794	 0.005	0
ESO548-021	051.898514	-21.227910	21.2	   1.4	 7.7	14.155	 0.003	849
NGC1341   	051.993394	-37.150167	16.9	      	 1.3	12.190	 0.001	9
NGC1337   	052.024671	-08.388262	16.1	   2.8	 6.0	11.782	 0.001	931
NGC1339   	052.027299	-32.286070	20.8	   3.8	-4.3	11.442	 0.001	9
ESO548-023	052.060513	-17.419897	21.9	      	-3.7	14.420	 0.044	0
NGC1351A  	052.203007	-35.178076	23.5	   4.5	 4.2	12.923	 0.001	9
NGC1338   	052.227253	-12.153353	33.0	      	 3.1	12.573	 0.001	0
