#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:44:51 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:44:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/480/2292/table1b&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74802292
#Name: J/MNRAS/480/2292
#Title: Quantifying maximum discs in galaxies (Starkman+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/480/2292	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/480/2292	    IVOID of underlying data collection
#INFO	creator=Starkman N.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.480.2292S	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/480/2292	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74802292	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_480_2292_table1b:
#Name: J/MNRAS/480/2292/table1b
#Title: SPARC: Mass Models for 175 Disk Galaxies with Spitzer Photometry and Accurate Rotation Curves (Mass Models Supplement)
#Column	ID	(a11)	Galaxy identifier	[ucd=meta.id;meta.main]
#Column	R	(F6.2)	Galactocentric radius	[ucd=pos.distance;pos.galactocentric]
#Column	Vobs	(F6.2)	Observed circular velocity	[ucd=phys.veloc]
#Column	e_Vobs	(F5.2)	Uncertainty in Vobs (1)	[ucd=stat.error]
#Column	Vgas	(F6.2)	Gas velocity contribution (2)	[ucd=phys.veloc]
#Column	Vdisk	(F7.3)	Disk velocity contribution (3)	[ucd=phys.veloc]
#Column	e_Vdisk	(F6.3)	Uncertainty in Vdisk	[ucd=stat.error]
#Column	SBdisk	(F8.3)	Disk surface brightness	[ucd=phot.flux.sb]
#Column	e_SBdisk	(F7.3)	Disk surface brightness	[ucd=stat.error]
#Column	Vbul	(F7.3)	Bulge velocity contribution (3)	[ucd=phys.veloc]
#Column	SBbul	(F9.3)	Bulge surface brightness	[ucd=phot.flux.sb]
#Column	Vbar	(F7.3)	Total baryonic velocity (3)	[ucd=phys.veloc]
#Column	e_Vbar	(F6.3)	Total baryonic velocity	[ucd=stat.error]
ID	R	Vobs	e_Vobs	Vgas	Vdisk	e_Vdisk	SBdisk	e_SBdisk	Vbul	SBbul	Vbar	e_Vbar
UGCA444    	  1.55	 30.40	 4.14	 15.34	 19.666	 0.000	   7.936	  0.000	  0.000	    0.000	 24.941	 0.000
UGCA444    	  1.62	 30.80	 4.35	 15.54	 19.819	 0.000	   7.201	  0.000	  0.000	    0.000	 25.185	 0.000
UGCA444    	  1.69	 30.50	 4.56	 15.54	 19.973	 0.000	   6.613	  0.000	  0.000	    0.000	 25.306	 0.000
UGCA444    	  1.75	 33.00	 4.04	 15.54	 20.011	 0.000	   6.172	  0.000	  0.000	    0.000	 25.336	 0.000
UGCA444    	  1.83	 32.10	 4.35	 15.64	 20.126	 0.000	   5.585	  0.000	  0.000	    0.000	 25.489	 0.000
UGCA444    	  1.90	 32.90	 4.36	 15.64	 20.241	 0.000	   5.144	  0.000	  0.000	    0.000	 25.580	 0.000
UGCA444    	  1.97	 34.20	 4.90	 15.64	 20.318	 0.000	   4.703	  0.000	  0.000	    0.000	 25.640	 0.000
UGCA444    	  2.04	 32.60	 3.98	 15.64	 20.356	 0.000	   4.409	  0.000	  0.000	    0.000	 25.671	 0.000
UGCA444    	  2.11	 33.70	 4.73	 15.74	 20.433	 0.000	   3.968	  0.000	  0.000	    0.000	 25.792	 0.000
UGCA444    	  2.19	 33.80	 4.67	 15.64	 20.509	 0.000	   3.674	  0.000	  0.000	    0.000	 25.792	 0.000
UGCA444    	  2.26	 34.90	 3.74	 15.64	 20.548	 0.000	   3.380	  0.000	  0.000	    0.000	 25.823	 0.000
UGCA444    	  2.33	 36.10	 5.47	 15.64	 20.663	 0.000	   3.086	  0.000	  0.000	    0.000	 25.915	 0.000
UGCA444    	  2.40	 37.20	 5.39	 15.24	 20.778	 0.000	   2.792	  0.000	  0.000	    0.000	 25.768	 0.000
UGCA444    	  2.48	 37.60	 7.10	 14.73	 21.085	 0.000	   2.498	  0.000	  0.000	    0.000	 25.720	 0.000
UGCA444    	  2.55	 35.60	 4.73	 14.22	 20.931	 0.000	   0.000	  0.000	  0.000	    0.000	 25.305	 0.000
UGCA444    	  2.62	 38.30	 7.78	 13.81	 20.126	 0.000	   0.000	  0.000	  0.000	    0.000	 24.409	 0.000
UGC04483   	  0.08	  5.11	 2.79	  1.47	  4.993	 0.443	  68.009	 12.063	  0.000	    0.000	  5.205	 0.425
UGC04483   	  0.24	 10.80	 1.94	  4.46	 11.391	 1.010	  31.819	  5.644	  0.000	    0.000	 12.233	 0.941
UGC04483   	  0.40	 17.30	 1.56	  7.28	 12.707	 1.127	  10.095	  1.791	  0.000	    0.000	 14.645	 0.978
UGC04483   	  0.57	 20.80	 1.25	  9.38	 12.388	 1.099	   4.452	  0.790	  0.000	    0.000	 15.538	 0.876
UGC04483   	  0.73	 20.80	 1.62	 10.63	 11.660	 1.034	   1.843	  0.327	  0.000	    0.000	 15.778	 0.764
UGC04483   	  0.89	 22.90	 1.76	 11.34	 10.778	 0.956	   0.750	  0.133	  0.000	    0.000	 15.645	 0.659
UGC04483   	  1.05	 24.30	 2.23	 11.95	  9.948	 0.882	   0.310	  0.055	  0.000	    0.000	 15.549	 0.564
UGC04483   	  1.21	 24.20	 1.23	 12.36	  9.220	 0.818	   0.000	  0.000	  0.000	    0.000	 15.420	 0.489
NGC3741    	  0.23	 13.10	 2.19	  2.45	 16.232	 1.963	  70.355	 17.016	  0.000	    0.000	 16.416	 1.941
NGC3741    	  0.47	 17.30	 2.39	  4.75	 19.423	 2.349	  19.503	  4.717	  0.000	    0.000	 19.995	 2.282
NGC3741    	  0.70	 23.60	 2.21	  6.71	 18.219	 2.203	   5.404	  1.307	  0.000	    0.000	 19.416	 2.067
NGC3741    	  0.93	 26.20	 2.21	  7.80	 16.694	 2.019	   2.369	  0.573	  0.000	    0.000	 18.426	 1.829
NGC3741    	  1.17	 27.40	 2.24	  8.39	 15.085	 1.824	   0.627	  0.152	  0.000	    0.000	 17.261	 1.594
NGC3741    	  1.40	 26.90	 2.23	  8.84	 13.601	 1.645	   0.196	  0.047	  0.000	    0.000	 16.222	 1.379
NGC3741    	  1.64	 27.40	 2.21	  9.23	 12.440	 1.504	   0.059	  0.014	  0.000	    0.000	 15.490	 1.208
NGC3741    	  1.87	 31.00	 2.20	  9.41	 11.544	 1.396	   0.020	  0.005	  0.000	    0.000	 14.894	 1.082
NGC3741    	  2.10	 32.50	 2.19	  9.55	 10.817	 1.308	   0.000	  0.000	  0.000	    0.000	 14.429	 0.981
NGC3741    	  2.33	 33.00	 2.19	 10.05	 10.215	 1.235	   0.000	  0.000	  0.000	    0.000	 14.330	 0.881
NGC3741    	  2.57	 36.50	 2.20	 10.65	  9.683	 1.171	   0.000	  0.000	  0.000	    0.000	 14.394	 0.788
NGC3741    	  2.80	 38.90	 2.21	 11.28	  9.264	 1.120	   0.000	  0.000	  0.000	    0.000	 14.596	 0.711
NGC3741    	  3.26	 41.50	 2.21	 12.00	  8.550	 1.034	   0.000	  0.000	  0.000	    0.000	 14.734	 0.600
NGC3741    	  3.73	 42.70	 2.20	 12.41	  7.976	 0.965	   0.000	  0.000	  0.000	    0.000	 14.752	 0.522
NGC3741    	  4.21	 44.70	 2.22	 13.14	  7.500	 0.907	   0.000	  0.000	  0.000	    0.000	 15.130	 0.450
NGC3741    	  4.67	 46.70	 2.24	 13.55	  7.123	 0.861	   0.000	  0.000	  0.000	    0.000	 15.308	 0.401
NGC3741    	  5.14	 48.50	 2.27	 13.86	  6.773	 0.819	   0.000	  0.000	  0.000	    0.000	 15.426	 0.360
NGC3741    	  5.61	 50.00	 2.32	 13.86	  6.479	 0.783	   0.000	  0.000	  0.000	    0.000	 15.300	 0.332
NGC3741    	  6.07	 50.20	 2.40	 13.76	  6.227	 0.753	   0.000	  0.000	  0.000	    0.000	 15.103	 0.310
NGC3741    	  6.54	 50.10	 2.57	 13.55	  6.003	 0.726	   0.000	  0.000	  0.000	    0.000	 14.820	 0.294
NGC3741    	  7.00	 51.60	 3.24	 13.34	  5.793	 0.701	   0.000	  0.000	  0.000	    0.000	 14.544	 0.279
D564-8     	  0.51	  8.54	 1.53	  3.47	  9.792	 1.153	  15.100	  3.554	  0.000	    0.000	 10.389	 1.086
D564-8     	  1.02	 15.10	 1.41	  5.33	 13.333	 1.569	   6.685	  1.574	  0.000	    0.000	 14.359	 1.457
D564-8     	  1.53	 19.80	 1.80	  6.34	 13.995	 1.647	   2.821	  0.664	  0.000	    0.000	 15.364	 1.500
D564-8     	  2.04	 21.90	 1.82	  6.86	 13.472	 1.586	   1.233	  0.290	  0.000	    0.000	 15.118	 1.413
D564-8     	  2.56	 24.00	 1.89	  7.05	 12.579	 1.480	   0.522	  0.123	  0.000	    0.000	 14.420	 1.291
D564-8     	  3.07	 25.00	 2.05	  7.04	 11.778	 1.386	   0.000	  0.000	  0.000	    0.000	 13.722	 1.190
UGC07577   	  0.19	  3.74	 3.17	 -1.81	  2.670	 0.113	   8.708	  0.734	  0.000	    0.000	  1.963	 0.153
UGC07577   	  0.38	  5.40	 3.17	 -1.88	  4.795	 0.202	   8.168	  0.689	  0.000	    0.000	  4.411	 0.220
UGC07577   	  0.57	  7.31	 3.17	  1.42	  6.741	 0.284	   7.114	  0.600	  0.000	    0.000	  6.889	 0.278
UGC07577   	  0.75	  8.85	 3.17	  4.71	  8.135	 0.343	   5.332	  0.450	  0.000	    0.000	  9.400	 0.297
UGC07577   	  0.94	 10.70	 3.17	  5.82	  9.092	 0.383	   3.733	  0.315	  0.000	    0.000	 10.795	 0.323
UGC07577   	  1.13	 12.40	 3.17	  6.52	  9.723	 0.410	   2.727	  0.230	  0.000	    0.000	 11.706	 0.340
UGC07577   	  1.32	 14.10	 3.17	  7.99	 10.166	 0.429	   1.697	  0.143	  0.000	    0.000	 12.930	 0.337
UGC07577   	  1.51	 15.90	 3.17	  8.69	 10.050	 0.424	   0.612	  0.052	  0.000	    0.000	 13.286	 0.320
UGC07577   	  1.69	 17.80	 3.17	  9.12	  9.240	 0.389	   0.000	  0.000	  0.000	    0.000	 12.983	 0.277
DDO154     	  0.49	 13.80	 1.60	  3.74	 25.454	 0.000	  68.113	  0.000	  0.000	    0.000	 25.728	 0.000
DDO154     	  0.99	 21.60	 0.80	  7.46	 30.086	 0.000	  23.602	  0.000	  0.000	    0.000	 30.997	 0.000
DDO154     	  1.48	 28.90	 0.70	 10.87	 26.778	 0.000	   5.387	  0.000	  0.000	    0.000	 28.900	 0.000
DDO154     	  1.97	 34.30	 0.50	 13.32	 23.862	 0.000	   1.240	  0.000	  0.000	    0.000	 27.328	 0.000
DDO154     	  2.47	 38.20	 0.40	 14.77	 21.050	 0.000	   0.342	  0.000	  0.000	    0.000	 25.715	 0.000
DDO154     	  2.96	 42.00	 0.20	 16.20	 18.941	 0.000	   0.086	  0.000	  0.000	    0.000	 24.924	 0.000
DDO154     	  3.46	 44.60	 0.20	 17.60	 17.307	 0.000	   0.043	  0.000	  0.000	    0.000	 24.684	 0.000
DDO154     	  3.95	 46.30	 0.20	 17.91	 16.067	 0.000	   0.000	  0.000	  0.000	    0.000	 24.060	 0.000
DDO154     	  4.44	 47.40	 0.30	 17.48	 15.074	 0.000	   0.000	  0.000	  0.000	    0.000	 23.082	 0.000
DDO154     	  4.94	 48.20	 0.60	 16.93	 14.247	 0.000	   0.000	  0.000	  0.000	    0.000	 22.127	 0.000
DDO154     	  5.43	 47.40	 0.70	 16.28	 13.544	 0.000	   0.000	  0.000	  0.000	    0.000	 21.177	 0.000
DDO154     	  5.92	 45.50	 1.30	 15.64	 12.944	 0.000	   0.000	  0.000	  0.000	    0.000	 20.302	 0.000
ESO444-G084	  0.26	 18.30	 1.80	  4.59	 19.293	 1.578	 168.657	 27.595	  0.000	    0.000	 19.832	 1.535
ESO444-G084	  0.77	 35.30	 3.00	 11.55	 34.337	 2.809	  56.273	  9.207	  0.000	    0.000	 36.228	 2.662
ESO444-G084	  1.29	 47.80	 4.63	 16.45	 33.757	 2.762	  17.734	  2.901	  0.000	    0.000	 37.552	 2.482
ESO444-G084	  1.81	 52.80	 1.26	 19.03	 31.714	 2.594	   5.552	  0.908	  0.000	    0.000	 36.985	 2.225
ESO444-G084	  2.32	 58.00	 3.11	 20.09	 28.510	 2.332	   1.833	  0.300	  0.000	    0.000	 34.877	 1.907
ESO444-G084	  3.39	 63.10	 1.35	 17.39	 23.147	 1.894	   0.162	  0.026	  0.000	    0.000	 28.952	 1.514
ESO444-G084	  4.44	 62.70	 7.36	 14.45	 19.804	 1.620	   0.000	  0.000	  0.000	    0.000	 24.515	 1.309
CamB       	  0.16	  1.99	 1.50	  1.86	  1.220	 0.000	   3.208	  0.000	  0.000	    0.000	  2.224	 0.000
CamB       	  0.41	  4.84	 1.50	  4.24	  3.080	 0.000	   2.515	  0.000	  0.000	    0.000	  5.241	 0.000
CamB       	  0.57	  6.79	 1.50	  5.61	  3.825	 0.000	   1.679	  0.000	  0.000	    0.000	  6.790	 0.000
CamB       	  0.73	  8.87	 1.50	  6.77	  4.463	 0.000	   1.312	  0.000	  0.000	    0.000	  8.109	 0.000
CamB       	  0.90	 10.90	 1.50	  7.77	  4.814	 0.000	   1.019	  0.000	  0.000	    0.000	  9.140	 0.000
CamB       	  1.06	 12.90	 1.50	  8.44	  4.957	 0.000	   0.620	  0.000	  0.000	    0.000	  9.788	 0.000
CamB       	  1.22	 14.70	 1.50	  8.64	  4.915	 0.000	   0.549	  0.000	  0.000	    0.000	  9.940	 0.000
CamB       	  1.47	 16.80	 1.50	  8.08	  5.172	 0.000	   0.320	  0.000	  0.000	    0.000	  9.593	 0.000
CamB       	  1.79	 20.10	 1.50	  6.91	  4.850	 0.000	   0.093	  0.000	  0.000	    0.000	  8.442	 0.000
UGC05764   	  0.36	 21.45	 1.99	  2.75	 20.163	 0.804	 208.652	 16.631	  0.000	    0.000	 20.350	 0.796
UGC05764   	  0.73	 31.30	 1.58	  6.05	 38.373	 1.529	 161.141	 12.844	  0.000	    0.000	 38.847	 1.511
UGC05764   	  1.09	 41.70	 1.16	  9.40	 42.954	 1.712	  51.599	  4.113	  0.000	    0.000	 43.971	 1.672
UGC05764   	  1.45	 48.35	 0.44	 12.81	 42.203	 1.682	  37.360	  2.978	  0.000	    0.000	 44.105	 1.609
UGC05764   	  1.81	 50.60	 0.37	 16.05	 42.917	 1.710	  28.619	  2.281	  0.000	    0.000	 45.820	 1.602
UGC05764   	  2.17	 54.05	 0.59	 18.46	 42.917	 1.710	  22.416	  1.787	  0.000	    0.000	 46.718	 1.571
UGC05764   	  2.54	 55.80	 0.76	 20.04	 42.766	 1.704	  14.944	  1.191	  0.000	    0.000	 47.229	 1.543
UGC05764   	  2.90	 54.55	 0.71	 20.71	 42.729	 1.703	  11.419	  0.910	  0.000	    0.000	 47.483	 1.532
UGC05764   	  3.26	 50.00	 2.65	 20.29	 41.753	 1.664	   7.895	  0.629	  0.000	    0.000	 46.422	 1.497
UGC05764   	  3.62	 49.90	 2.77	 19.63	 41.940	 1.672	   6.203	  0.494	  0.000	    0.000	 46.307	 1.514
KK98-251   	  0.25	  4.25	 2.00	  1.87	  4.745	 0.000	  23.592	  0.000	  0.000	    0.000	  5.101	 0.000
KK98-251   	  0.41	  6.84	 2.00	  3.32	  6.475	 0.000	  17.945	  0.000	  0.000	    0.000	  7.277	 0.000
KK98-251   	  0.57	  9.56	 2.00	  4.80	  7.909	 0.000	  18.869	  0.000	  0.000	    0.000	  9.252	 0.000
KK98-251   	  0.74	 12.30	 2.00	  6.44	 10.479	 0.000	  18.407	  0.000	  0.000	    0.000	 12.300	 0.000
KK98-251   	  0.90	 15.10	 2.00	  8.03	 12.242	 0.000	  15.502	  0.000	  0.000	    0.000	 14.641	 0.000
KK98-251   	  1.07	 17.50	 2.00	  9.79	 14.104	 0.000	  15.285	  0.000	  0.000	    0.000	 17.169	 0.000
KK98-251   	  1.24	 19.70	 2.00	 11.57	 15.686	 0.000	  12.108	  0.000	  0.000	    0.000	 19.491	 0.000
KK98-251   	  1.40	 21.80	 2.00	 13.11	 16.609	 0.000	  10.507	  0.000	  0.000	    0.000	 21.159	 0.000
KK98-251   	  1.57	 24.40	 2.00	 14.44	 17.383	 0.000	   9.285	  0.000	  0.000	    0.000	 22.598	 0.000
KK98-251   	  1.72	 27.30	 2.00	 15.54	 18.042	 0.000	   8.199	  0.000	  0.000	    0.000	 23.812	 0.000
KK98-251   	  1.89	 30.30	 2.00	 16.53	 18.718	 0.000	   7.113	  0.000	  0.000	    0.000	 24.972	 0.000
KK98-251   	  2.06	 32.60	 2.00	 17.30	 19.064	 0.000	   6.190	  0.000	  0.000	    0.000	 25.743	 0.000
KK98-251   	  2.46	 33.30	 2.00	 18.07	 20.151	 0.000	   4.588	  0.000	  0.000	    0.000	 27.067	 0.000
KK98-251   	  2.79	 34.60	 2.00	 18.07	 21.321	 0.000	   3.638	  0.000	  0.000	    0.000	 27.948	 0.000
KK98-251   	  3.13	 34.20	 2.00	 17.41	 20.514	 0.000	   0.000	  0.000	  0.000	    0.000	 26.906	 0.000
NGC6789    	  0.10	 13.90	 3.84	  2.80	 13.098	 0.664	 373.147	 37.841	  0.000	    0.000	 13.394	 0.649
NGC6789    	  0.30	 29.90	 3.92	  7.72	 29.669	 1.504	 183.397	 18.598	  0.000	    0.000	 30.657	 1.456
NGC6789    	  0.51	 46.70	 4.10	 11.07	 35.118	 1.781	  90.118	  9.139	  0.000	    0.000	 36.821	 1.698
NGC6789    	  0.71	 60.40	 9.40	 11.87	 36.733	 1.863	  48.989	  4.968	  0.000	    0.000	 38.604	 1.772
UGC07559   	  0.36	  9.31	 3.23	  2.82	  9.701	 0.573	  32.010	  3.784	  0.000	    0.000	 10.103	 0.551
UGC07559   	  0.72	 15.90	 3.23	  5.91	 15.168	 0.896	  17.575	  2.078	  0.000	    0.000	 16.278	 0.835
UGC07559   	  1.08	 21.40	 3.23	  7.85	 16.847	 0.996	   9.326	  1.102	  0.000	    0.000	 18.586	 0.903
UGC07559   	  1.45	 26.10	 3.23	  9.57	 17.621	 1.041	   5.088	  0.601	  0.000	    0.000	 20.052	 0.915
UGC07559   	  1.80	 29.70	 3.23	 11.59	 17.214	 1.017	   2.104	  0.249	  0.000	    0.000	 20.752	 0.844
UGC07559   	  2.17	 31.10	 3.23	 14.33	 15.952	 0.943	   1.440	  0.170	  0.000	    0.000	 21.443	 0.701
UGC07559   	  2.53	 32.10	 3.23	 16.45	 15.748	 0.931	   0.000	  0.000	  0.000	    0.000	 22.773	 0.644
UGC07232   	  0.21	 16.40	 3.30	  3.43	 16.037	 0.000	 140.669	  0.000	  0.000	    0.000	 16.400	 0.000
UGC07232   	  0.41	 26.20	 3.30	  6.87	 25.887	 0.000	  79.711	  0.000	  0.000	    0.000	 26.783	 0.000
UGC07232   	  0.62	 35.20	 3.30	 10.25	 26.444	 0.000	  18.986	  0.000	  0.000	    0.000	 28.361	 0.000
UGC07232   	  0.82	 44.00	 3.30	 12.77	 25.062	 0.000	  10.094	  0.000	  0.000	    0.000	 28.127	 0.000
UGC07866   	  0.33	 12.20	 4.07	  3.43	 12.236	 0.000	  62.360	  0.000	  0.000	    0.000	 12.707	 0.000
UGC07866   	  0.66	 19.40	 4.07	  3.44	 17.893	 0.000	  32.077	  0.000	  0.000	    0.000	 18.221	 0.000
UGC07866   	  1.00	 23.90	 4.07	  5.29	 23.307	 0.000	  20.958	  0.000	  0.000	    0.000	 23.900	 0.000
UGC07866   	  1.33	 26.00	 4.07	  8.85	 23.686	 0.000	  10.680	  0.000	  0.000	    0.000	 25.286	 0.000
UGC07866   	  1.67	 28.20	 4.07	 11.12	 23.158	 0.000	   6.045	  0.000	  0.000	    0.000	 25.690	 0.000
UGC07866   	  2.00	 30.60	 4.07	 13.66	 22.048	 0.000	   3.994	  0.000	  0.000	    0.000	 25.937	 0.000
UGC07866   	  2.32	 33.10	 4.07	 14.34	 22.130	 0.000	   2.986	  0.000	  0.000	    0.000	 26.370	 0.000
UGCA442    	  0.42	 14.20	 1.91	  4.87	 12.645	 1.096	  77.335	 13.411	  0.000	    0.000	 13.551	 1.023
UGCA442    	  1.26	 28.60	 1.82	 13.14	 28.466	 2.468	  40.662	  7.051	  0.000	    0.000	 31.352	 2.241
UGCA442    	  2.11	 41.00	 1.74	 19.65	 35.979	 3.120	  19.246	  3.338	  0.000	    0.000	 40.995	 2.738
UGCA442    	  2.96	 49.00	 1.91	 22.42	 35.159	 3.048	   6.999	  1.214	  0.000	    0.000	 41.699	 2.570
UGCA442    	  3.79	 54.80	 2.05	 22.82	 33.227	 2.881	   5.039	  0.874	  0.000	    0.000	 40.309	 2.375
UGCA442    	  4.65	 56.40	 3.12	 21.37	 32.619	 2.828	   3.009	  0.522	  0.000	    0.000	 38.996	 2.366
UGCA442    	  5.48	 57.80	 2.83	 18.73	 31.852	 2.762	   1.260	  0.218	  0.000	    0.000	 36.951	 2.381
UGCA442    	  6.33	 56.50	 0.65	 16.75	 28.095	 2.436	   0.000	  0.000	  0.000	    0.000	 32.709	 2.092
