#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-21T04:44:48 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T04:44:48	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/234/18/table3&-out.max=unlimited&-out=Name,sma,mu36corr,e_mu36corr,ell,tmagcorr,e_tmagcorr	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22340018
#Name: J/ApJS/234/18
#Title: GALEX/S4G surface brightness profiles. I. (Bouquin+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apjs/234/18	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/234/18	    IVOID of underlying data collection
#INFO	creator=Bouquin A.Y.K.	    First author or institution
#INFO	cites=bibcode:2018ApJS..234...18B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/234/18	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22340018	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-07-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_234_18_table3:
#Name: J/ApJS/234/18/table3
#Title: Surface brightness data for the 1931 galaxies
#Column	Name	(a10)	Galaxy identifier using S^4^G nomenclature	[ucd=meta.id;meta.main]
#Column	sma	(I3)	[6/498] Semi-major axis steps in arcsec	[ucd=phys.angSize;src]
#Column	mu36corr	(F6.3)	[14/39]? 3.6um aperture-corrected surface brightness (1)	[ucd=phot.mag.sb;em.IR.3-4um]
#Column	e_mu36corr	(F9.3)	[0/21707]? 1{sigma} uncertainty in SB36 (1)	[ucd=stat.error]
#Column	ell	(F6.3)	Ellipticity	[ucd=src.ellipticity]
#Column	tmagcorr	(F6.3)	[6/22]? 3.6um aperture-corrected AB magnitude inside aperture (1)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_tmagcorr	(F6.3)	[0/1.1]? 1{sigma} uncertainty in tmagcorr (1)	[ucd=stat.error]
Name	sma	mu36corr	e_mu36corr	ell	tmagcorr	e_tmagcorr
ESO026-001	 96	28.254	    3.066	 0.053	13.393	 0.071
ESO027-001	  6	19.537	    0.002	 0.235	13.705	 0.001
ESO027-001	 12	20.388	    0.004	 0.235	13.118	 0.002
ESO027-001	 18	20.930	    0.007	 0.235	12.760	 0.003
ESO027-001	 24	21.156	    0.008	 0.235	12.483	 0.004
ESO027-001	 30	21.330	    0.010	 0.235	12.251	 0.005
ESO027-001	 36	21.624	    0.013	 0.235	12.059	 0.006
ESO027-001	 42	22.085	    0.019	 0.235	11.947	 0.007
ESO027-001	 48	22.307	    0.024	 0.235	11.863	 0.008
ESO027-001	 54	22.673	    0.033	 0.235	11.791	 0.009
ESO027-001	 60	22.891	    0.041	 0.235	11.734	 0.011
ESO027-001	 66	22.984	    0.044	 0.235	11.681	 0.012
ESO027-001	 72	23.180	    0.053	 0.235	11.632	 0.014
ESO027-001	 78	23.559	    0.075	 0.235	11.595	 0.016
ESO027-001	 84	24.055	    0.118	 0.235	11.568	 0.018
ESO027-001	 90	24.502	    0.179	 0.235	11.549	 0.020
ESO027-001	 96	24.922	    0.263	 0.235	11.536	 0.023
ESO027-001	102	25.447	    0.426	 0.235	11.529	 0.025
ESO027-001	108	25.993	    0.705	 0.235	11.523	 0.028
ESO027-001	114	26.383	    1.009	 0.235	11.519	 0.031
ESO027-001	120	26.904	    1.631	 0.235	11.516	 0.034
ESO027-001	126	29.241	   14.037	 0.235	11.515	 0.037
ESO027-001	132	      	         	 0.235	11.515	 0.041
ESO027-001	138	      	         	 0.235	11.516	 0.045
ESO027-001	144	      	         	 0.235	11.518	 0.049
ESO027-001	150	      	         	 0.235	11.521	 0.053
ESO027-001	156	      	         	 0.235	11.523	 0.057
ESO027-001	162	      	         	 0.235	11.525	 0.062
ESO027-001	168	      	         	 0.235	11.527	 0.067
ESO027-001	174	      	         	 0.235	11.528	 0.072
ESO027-008	  6	19.399	    0.002	 0.629	14.959	 0.002
ESO027-008	 12	19.995	    0.004	 0.629	13.998	 0.002
ESO027-008	 18	20.155	    0.004	 0.629	13.368	 0.003
ESO027-008	 24	20.307	    0.005	 0.629	12.899	 0.003
ESO027-008	 30	20.484	    0.005	 0.629	12.570	 0.004
ESO027-008	 36	20.814	    0.007	 0.629	12.321	 0.004
ESO027-008	 42	21.057	    0.009	 0.629	12.135	 0.005
ESO027-008	 48	21.389	    0.012	 0.629	11.992	 0.005
ESO027-008	 54	21.829	    0.018	 0.629	11.886	 0.006
ESO027-008	 60	22.306	    0.028	 0.629	11.817	 0.007
ESO027-008	 66	22.811	    0.045	 0.629	11.773	 0.008
ESO027-008	 72	23.270	    0.069	 0.629	11.744	 0.010
ESO027-008	 78	23.643	    0.097	 0.629	11.726	 0.011
ESO027-008	 84	24.040	    0.140	 0.629	11.713	 0.012
ESO027-008	 90	24.373	    0.190	 0.629	11.704	 0.013
ESO027-008	 96	24.804	    0.283	 0.629	11.697	 0.015
ESO027-008	102	25.144	    0.387	 0.629	11.692	 0.016
ESO027-008	108	25.693	    0.640	 0.629	11.689	 0.018
ESO027-008	114	26.121	    0.950	 0.629	11.687	 0.020
ESO027-008	120	26.576	    1.444	 0.629	11.686	 0.021
ESO027-008	126	27.571	    3.608	 0.629	11.685	 0.023
ESO027-008	132	27.619	    3.770	 0.629	11.685	 0.025
ESO027-008	138	28.979	   13.192	 0.629	11.685	 0.027
ESO027-008	144	      	         	 0.629	11.685	 0.029
ESO027-008	150	      	         	 0.629	11.686	 0.032
ESO027-008	156	      	         	 0.629	11.686	 0.034
ESO027-008	162	      	         	 0.629	11.687	 0.037
ESO027-008	168	      	         	 0.629	11.687	 0.040
ESO027-008	174	28.088	    5.800	 0.629	11.687	 0.043
ESO027-008	180	27.177	    2.508	 0.629	11.686	 0.045
ESO027-008	186	28.025	    5.472	 0.629	11.684	 0.048
ESO027-008	192	27.570	    3.599	 0.629	11.683	 0.051
ESO027-008	198	      	         	 0.629	11.682	 0.054
ESO027-008	204	28.057	    5.636	 0.629	11.681	 0.056
ESO027-008	210	29.243	   16.797	 0.629	11.680	 0.059
ESO048-017	  6	21.797	    0.009	 0.500	16.991	 0.006
ESO048-017	 12	22.718	    0.019	 0.500	16.011	 0.009
ESO048-017	 18	23.253	    0.030	 0.500	15.564	 0.012
ESO048-017	 24	23.678	    0.044	 0.500	15.319	 0.016
ESO048-017	 30	24.146	    0.067	 0.500	15.183	 0.020
ESO048-017	 36	24.284	    0.075	 0.500	15.069	 0.025
ESO048-017	 42	24.384	    0.082	 0.500	14.964	 0.030
ESO048-017	 48	24.966	    0.140	 0.500	14.882	 0.035
ESO048-017	 54	25.527	    0.233	 0.500	14.834	 0.041
ESO048-017	 60	26.105	    0.396	 0.500	14.795	 0.050
ESO048-017	 66	26.869	    0.800	 0.500	14.771	 0.061
ESO048-017	 72	26.645	    0.649	 0.500	14.751	 0.072
ESO048-017	 78	26.932	    0.844	 0.500	14.740	 0.084
ESO048-017	 84	27.612	    1.577	 0.500	14.730	 0.095
ESO048-017	 90	27.315	    1.199	 0.500	14.721	 0.107
ESO048-017	 96	30.787	   29.316	 0.500	14.722	 0.123
ESO048-017	102	29.718	   10.939	 0.500	14.726	 0.141
ESO079-003	  6	18.261	    0.001	 0.556	13.316	 0.000
ESO079-003	 12	19.316	    0.001	 0.556	12.565	 0.000
ESO079-003	 18	19.833	    0.002	 0.556	12.227	 0.001
ESO079-003	 24	20.352	    0.003	 0.556	11.937	 0.001
ESO079-003	 30	20.967	    0.005	 0.556	11.757	 0.001
ESO079-003	 36	22.035	    0.013	 0.556	11.690	 0.001
ESO079-003	 42	22.610	    0.021	 0.556	11.659	 0.002
ESO079-003	 48	23.348	    0.042	 0.556	11.639	 0.002
ESO079-003	 54	23.684	    0.057	 0.556	11.628	 0.003
ESO079-003	 60	24.001	    0.076	 0.556	11.620	 0.003
ESO079-003	 66	24.558	    0.127	 0.556	11.614	 0.004
ESO079-003	 72	24.856	    0.167	 0.556	11.611	 0.004
ESO079-003	 78	25.433	    0.285	 0.556	11.609	 0.005
ESO079-003	 84	25.925	    0.447	 0.556	11.607	 0.005
ESO079-003	 90	26.810	    1.010	 0.556	11.607	 0.006
ESO079-003	 96	27.351	    1.661	 0.556	11.606	 0.007
ESO079-003	102	26.601	    0.832	 0.556	11.606	 0.008
ESO079-003	108	26.927	    1.122	 0.556	11.605	 0.009
ESO079-003	114	27.617	    2.118	 0.556	11.604	 0.010
ESO079-003	120	26.801	    0.999	 0.556	11.604	 0.011
ESO079-003	126	26.630	    0.852	 0.556	11.603	 0.012
ESO079-003	132	27.180	    1.415	 0.556	11.602	 0.014
ESO079-003	138	27.203	    1.444	 0.556	11.602	 0.015
ESO079-003	144	32.508	  191.212	 0.556	11.602	 0.017
ESO079-003	150	27.669	    2.217	 0.556	11.603	 0.018
ESO079-003	156	32.951	  287.191	 0.556	11.603	 0.020
ESO079-003	162	      	         	 0.556	11.603	 0.022
ESO079-003	168	      	         	 0.556	11.604	 0.024
ESO079-003	174	      	         	 0.556	11.604	 0.026
ESO079-003	180	      	         	 0.556	11.605	 0.028
ESO079-003	186	      	         	 0.556	11.606	 0.030
ESO079-003	192	27.791	    2.476	 0.556	11.606	 0.032
ESO079-005	  6	21.373	    0.007	 0.455	16.772	 0.006
ESO079-005	 12	21.906	    0.010	 0.455	15.702	 0.007
ESO079-005	 18	22.231	    0.014	 0.455	15.123	 0.008
ESO079-005	 24	22.603	    0.019	 0.455	14.711	 0.010
ESO079-005	 30	22.944	    0.025	 0.455	14.468	 0.013
ESO079-005	 36	23.471	    0.041	 0.455	14.326	 0.015
ESO079-005	 42	23.771	    0.054	 0.455	14.203	 0.018
ESO079-005	 48	24.207	    0.080	 0.455	14.105	 0.022
ESO079-005	 54	24.687	    0.125	 0.455	14.038	 0.027
ESO079-005	 60	25.055	    0.175	 0.455	13.986	 0.033
ESO079-005	 66	25.436	    0.248	 0.455	13.944	 0.039
ESO079-005	 72	25.889	    0.375	 0.455	13.918	 0.045
ESO079-005	 78	26.375	    0.587	 0.455	13.902	 0.052
ESO079-005	 84	26.729	    0.812	 0.455	13.892	 0.059
ESO079-005	 90	27.294	    1.366	 0.455	13.886	 0.067
ESO079-005	 96	27.222	    1.278	 0.455	13.879	 0.074
ESO079-005	102	27.304	    1.377	 0.455	13.876	 0.082
ESO079-005	108	27.929	    2.448	 0.455	13.874	 0.090
ESO079-005	114	28.846	    5.695	 0.455	13.874	 0.100
ESO079-005	120	29.009	    6.611	 0.455	13.872	 0.110
ESO079-007	  6	21.398	    0.006	 0.167	16.135	 0.004
ESO079-007	 12	21.846	    0.008	 0.167	14.999	 0.005
ESO079-007	 18	22.389	    0.012	 0.167	14.454	 0.006
ESO079-007	 24	22.885	    0.019	 0.167	14.143	 0.008
ESO079-007	 30	23.262	    0.026	 0.167	13.935	 0.011
ESO079-007	 36	23.695	    0.039	 0.167	13.801	 0.013
ESO079-007	 42	24.237	    0.064	 0.167	13.712	 0.016
ESO079-007	 48	24.765	    0.103	 0.167	13.652	 0.019
ESO079-007	 54	25.448	    0.193	 0.167	13.614	 0.023
ESO079-007	 60	26.205	    0.387	 0.167	13.591	 0.028
ESO079-007	 66	26.784	    0.659	 0.167	13.578	 0.033
ESO079-007	 72	29.242	    6.331	 0.167	13.572	 0.040
ESO079-007	 78	28.958	    4.869	 0.167	13.573	 0.046
ESO079-007	 84	28.201	    2.424	 0.167	13.571	 0.053
ESO079-007	 90	      	         	 0.167	13.568	 0.060
ESO079-007	 96	30.927	   29.792	 0.167	13.567	 0.068
ESO079-007	102	      	         	 0.167	13.568	 0.076
ESO085-014	  6	21.091	    0.006	 0.629	16.915	 0.005
ESO085-014	 12	21.529	    0.008	 0.629	15.671	 0.005
ESO085-014	 18	21.933	    0.011	 0.629	15.024	 0.006
ESO085-014	 24	22.247	    0.014	 0.629	14.609	 0.008
ESO085-014	 30	22.547	    0.018	 0.629	14.323	 0.009
ESO085-014	 36	22.801	    0.023	 0.629	14.117	 0.011
ESO085-014	 42	22.996	    0.027	 0.629	13.954	 0.012
ESO085-014	 48	23.170	    0.032	 0.629	13.836	 0.014
ESO085-014	 54	23.367	    0.038	 0.629	13.749	 0.015
ESO085-014	 60	23.581	    0.046	 0.629	13.659	 0.017
ESO085-014	 66	23.915	    0.062	 0.629	13.591	 0.019
ESO085-014	 72	24.200	    0.081	 0.629	13.543	 0.022
ESO085-014	 78	24.431	    0.100	 0.629	13.509	 0.024
ESO085-014	 84	24.667	    0.124	 0.629	13.479	 0.026
ESO085-014	 90	24.823	    0.143	 0.629	13.447	 0.029
ESO085-014	 96	25.214	    0.204	 0.629	13.423	 0.032
ESO085-014	102	25.412	    0.245	 0.629	13.406	 0.036
ESO085-014	108	25.676	    0.312	 0.629	13.390	 0.039
ESO085-014	114	25.820	    0.356	 0.629	13.378	 0.042
ESO085-014	120	25.948	    0.400	 0.629	13.369	 0.045
ESO085-014	126	26.114	    0.466	 0.629	13.361	 0.049
ESO085-014	132	26.143	    0.479	 0.629	13.355	 0.052
ESO085-014	138	27.393	    1.512	 0.629	13.350	 0.056
ESO085-014	144	26.698	    0.797	 0.629	13.346	 0.060
ESO085-014	150	27.128	    1.184	 0.629	13.343	 0.065
ESO085-014	156	28.137	    2.999	 0.629	13.341	 0.069
ESO085-014	162	28.115	    2.937	 0.629	13.341	 0.073
ESO085-014	168	27.439	    1.575	 0.629	13.340	 0.077
ESO085-014	174	      	         	 0.629	13.339	 0.081
ESO085-014	180	29.047	    6.922	 0.629	13.339	 0.086
ESO085-014	186	28.504	    4.196	 0.629	13.338	 0.092
ESO085-030	  6	19.633	    0.001	 0.437	14.715	 0.001
ESO085-030	 12	20.728	    0.003	 0.437	13.877	 0.001
ESO085-030	 18	21.783	    0.007	 0.437	13.548	 0.002
ESO085-030	 24	22.589	    0.014	 0.437	13.405	 0.003
ESO085-030	 30	23.369	    0.028	 0.437	13.334	 0.004
ESO085-030	 36	24.106	    0.054	 0.437	13.293	 0.005
ESO085-030	 42	24.777	    0.099	 0.437	13.268	 0.006
ESO085-030	 48	25.570	    0.205	 0.437	13.253	 0.008
ESO085-030	 54	25.932	    0.285	 0.437	13.243	 0.011
ESO085-030	 60	26.414	    0.443	 0.437	13.234	 0.013
ESO146-014	132	27.592	    1.260	 0.792	15.241	 0.127
ESO085-030	 66	27.255	    0.958	 0.437	13.231	 0.016
ESO085-030	 72	27.618	    1.336	 0.437	13.229	 0.019
ESO085-030	 78	28.474	    2.932	 0.437	13.228	 0.022
ESO085-030	 84	27.478	    1.169	 0.437	13.227	 0.024
ESO085-047	  6	22.631	    0.018	 0.609	18.386	 0.016
ESO085-047	 12	23.152	    0.025	 0.609	17.261	 0.017
ESO085-047	 18	23.582	    0.035	 0.609	16.701	 0.021
ESO085-047	 24	23.933	    0.047	 0.609	16.321	 0.026
ESO085-047	 30	24.312	    0.066	 0.609	16.057	 0.031
ESO085-047	 36	24.703	    0.094	 0.609	15.873	 0.038
ESO085-047	 42	24.781	    0.100	 0.609	15.733	 0.044
ESO085-047	 48	24.972	    0.118	 0.609	15.610	 0.051
ESO085-047	 54	25.383	    0.172	 0.609	15.513	 0.058
ESO085-047	 60	25.154	    0.138	 0.609	15.427	 0.066
ESO085-047	 66	25.325	    0.162	 0.609	15.350	 0.073
ESO085-047	 72	25.454	    0.181	 0.609	15.277	 0.079
ESO085-047	 78	25.836	    0.257	 0.609	15.219	 0.086
ESO085-047	 84	25.661	    0.219	 0.609	15.174	 0.094
ESO085-047	 90	26.544	    0.492	 0.609	15.135	 0.102
ESO085-047	 96	26.519	    0.480	 0.609	15.107	 0.113
ESO085-047	102	27.016	    0.758	 0.609	15.088	 0.124
ESO085-047	108	26.349	    0.410	 0.609	15.066	 0.135
ESO115-021	  6	21.832	    0.008	 0.796	18.358	 0.008
ESO115-021	 12	21.973	    0.008	 0.796	17.032	 0.007
ESO115-021	 18	22.160	    0.009	 0.796	16.286	 0.008
ESO115-021	 24	22.291	    0.010	 0.796	15.732	 0.008
ESO115-021	 30	22.494	    0.012	 0.796	15.359	 0.009
ESO115-021	 36	22.684	    0.014	 0.796	15.104	 0.010
ESO115-021	 42	22.835	    0.016	 0.796	14.898	 0.011
ESO115-021	 48	23.029	    0.019	 0.796	14.732	 0.012
ESO115-021	 54	23.179	    0.022	 0.796	14.589	 0.013
ESO115-021	 60	23.341	    0.025	 0.796	14.460	 0.015
ESO115-021	 66	23.531	    0.030	 0.796	14.348	 0.016
ESO115-021	 72	23.657	    0.034	 0.796	14.255	 0.017
ESO115-021	 78	23.769	    0.038	 0.796	14.174	 0.019
ESO115-021	 84	23.949	    0.044	 0.796	14.110	 0.020
ESO115-021	 90	24.121	    0.052	 0.796	14.051	 0.021
ESO115-021	 96	24.165	    0.054	 0.796	13.989	 0.023
ESO115-021	102	24.191	    0.055	 0.796	13.926	 0.025
ESO115-021	108	24.532	    0.076	 0.796	13.869	 0.026
ESO115-021	114	24.586	    0.079	 0.796	13.821	 0.028
ESO115-021	120	24.716	    0.089	 0.796	13.782	 0.030
ESO115-021	126	24.652	    0.084	 0.796	13.746	 0.032
ESO115-021	132	24.975	    0.113	 0.796	13.715	 0.034
ESO115-021	138	25.191	    0.138	 0.796	13.690	 0.036
ESO115-021	144	25.227	    0.143	 0.796	13.668	 0.038
ESO115-021	150	25.526	    0.188	 0.796	13.649	 0.040
ESO115-021	156	25.674	    0.215	 0.796	13.636	 0.042
ESO115-021	162	26.059	    0.307	 0.796	13.623	 0.044
ESO115-021	168	25.916	    0.269	 0.796	13.610	 0.047
ESO115-021	174	26.110	    0.321	 0.796	13.598	 0.050
ESO115-021	180	26.245	    0.364	 0.796	13.588	 0.053
ESO115-021	186	26.482	    0.453	 0.796	13.580	 0.055
ESO115-021	192	26.386	    0.414	 0.796	13.574	 0.058
ESO115-021	198	26.601	    0.505	 0.796	13.567	 0.061
ESO115-021	204	27.099	    0.798	 0.796	13.562	 0.064
ESO115-021	210	26.860	    0.641	 0.796	13.557	 0.066
ESO119-016	  6	22.900	    0.024	 0.654	18.767	 0.022
ESO119-016	 12	22.944	    0.024	 0.654	17.478	 0.024
ESO119-016	 18	23.282	    0.032	 0.654	16.769	 0.027
ESO119-016	 24	23.647	    0.045	 0.654	16.339	 0.033
ESO119-016	 30	23.877	    0.055	 0.654	16.037	 0.038
ESO119-016	 36	23.887	    0.056	 0.654	15.775	 0.043
ESO119-016	 42	23.656	    0.045	 0.654	15.498	 0.046
ESO119-016	 48	23.921	    0.057	 0.654	15.248	 0.047
ESO119-016	 54	24.178	    0.073	 0.654	15.078	 0.050
ESO119-016	 60	24.559	    0.103	 0.654	14.957	 0.053
ESO119-016	 66	24.846	    0.134	 0.654	14.866	 0.057
ESO119-016	 72	25.411	    0.226	 0.654	14.809	 0.063
ESO119-016	 78	25.406	    0.225	 0.654	14.762	 0.070
ESO119-016	 84	25.955	    0.373	 0.654	14.726	 0.078
ESO119-016	 90	26.451	    0.588	 0.654	14.707	 0.086
ESO119-016	 96	26.560	    0.650	 0.654	14.695	 0.094
ESO119-016	102	26.806	    0.815	 0.654	14.683	 0.103
ESO119-016	108	28.116	    2.723	 0.654	14.675	 0.113
ESO119-016	114	27.477	    1.511	 0.654	14.670	 0.124
ESO119-016	120	28.697	    4.646	 0.654	14.667	 0.136
ESO119-016	126	28.227	    3.015	 0.654	14.666	 0.148
ESO119-016	132	      	         	 0.654	14.667	 0.160
ESO119-016	138	28.673	    4.545	 0.654	14.666	 0.173
ESO119-016	144	      	         	 0.654	14.666	 0.187
ESO120-012	  6	21.955	    0.011	 0.286	16.998	 0.009
ESO120-012	 12	22.362	    0.015	 0.286	15.803	 0.010
ESO120-012	 18	22.818	    0.022	 0.286	15.269	 0.013
ESO120-012	 24	23.211	    0.031	 0.286	14.921	 0.016
ESO120-012	 30	23.557	    0.042	 0.286	14.681	 0.020
ESO120-012	 36	24.003	    0.064	 0.286	14.512	 0.025
ESO120-012	 42	24.362	    0.088	 0.286	14.384	 0.030
ESO120-012	 48	24.816	    0.134	 0.286	14.294	 0.036
ESO120-012	 54	25.007	    0.159	 0.286	14.234	 0.043
ESO120-012	 60	25.190	    0.188	 0.286	14.181	 0.049
ESO120-012	 66	25.618	    0.279	 0.286	14.139	 0.055
ESO120-012	 72	26.092	    0.431	 0.286	14.112	 0.062
ESO120-012	 78	27.031	    1.023	 0.286	14.094	 0.071
ESO120-012	 84	27.149	    1.139	 0.286	14.084	 0.082
ESO120-012	 90	27.639	    1.788	 0.286	14.071	 0.095
ESO120-012	 96	29.634	   11.222	 0.286	14.071	 0.107
ESO120-012	102	      	         	 0.286	14.073	 0.120
ESO120-012	108	30.280	   20.325	 0.286	14.071	 0.134
ESO120-021	  6	23.625	    0.037	 0.533	19.111	 0.031
ESO120-021	 12	23.869	    0.040	 0.533	17.813	 0.029
ESO120-021	 18	24.012	    0.043	 0.533	17.195	 0.031
ESO120-021	 24	24.104	    0.045	 0.533	16.742	 0.034
ESO120-021	 30	24.340	    0.055	 0.533	16.322	 0.037
ESO120-021	 36	24.686	    0.075	 0.533	16.051	 0.041
ESO120-021	 42	25.264	    0.126	 0.533	15.892	 0.048
ESO120-021	 48	25.632	    0.175	 0.533	15.793	 0.056
ESO120-021	 54	26.094	    0.266	 0.533	15.729	 0.065
ESO120-021	 60	26.453	    0.368	 0.533	15.686	 0.075
ESO120-021	 66	26.826	    0.517	 0.533	15.656	 0.088
ESO145-025	  6	22.905	    0.026	 0.400	18.183	 0.022
ESO145-025	 12	23.221	    0.032	 0.400	16.890	 0.024
ESO145-025	 18	23.633	    0.045	 0.400	16.342	 0.029
ESO145-025	 24	23.934	    0.059	 0.400	15.977	 0.035
ESO145-025	 30	24.029	    0.063	 0.400	15.669	 0.041
ESO145-025	 36	24.374	    0.086	 0.400	15.455	 0.047
ESO145-025	 42	24.627	    0.109	 0.400	15.281	 0.054
ESO145-025	 48	24.940	    0.145	 0.400	15.150	 0.062
ESO145-025	 54	25.091	    0.166	 0.400	15.029	 0.072
ESO145-025	 60	25.587	    0.261	 0.400	14.944	 0.081
ESO145-025	 66	26.248	    0.479	 0.400	14.898	 0.092
