#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-03-02T15:48:49 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-02T15:48:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/831/134/table2&-out.max=300&-out=*	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18310134
#Name: J/ApJ/831/134
#Title: BH masses & host galaxy dispersion vel. (van den Bosch, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/831/134	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/831/134	    IVOID of underlying data collection
#INFO	creator=van den Bosch R.C.E.	    First author or institution
#INFO	cites=bibcode:2016ApJ...831..134V	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/831/134	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18310134	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_831_134_table2:
#Name: J/ApJ/831/134/table2
#Title: Sample of the black hole mass measurements and the growth curve photometry
#Column	Name	(a14)	Name	[ucd=meta.id;meta.main]
#Column	f_Name	(I1)	? Omission Flag (1)	[ucd=meta.code]
#Column	Dist	(F6.1)	[0.008/1251] Distance	[ucd=pos.distance;pos.heliocentric]
#Column	logBHMass	(F5.2)	[0/10.4] Black Hole Mass, log solar units	[ucd=phys.mass]
#Column	E_logBHMass	(F5.2)	[0.02/7] Upper uncertainty on BHMass	[ucd=stat.error;stat.max]
#Column	logsigma	(F5.2)	[1.1/2.6]? Stellar velocity dispersion inside Re, log km/s	[ucd=phys.veloc.dispersion]
#Column	logLk	(F5.2)	[8.2/12.3]? Total luminosity, log solar units	[ucd=phys.luminosity]
#Column	logRe	(F5.2)	[-1.7/1.5]? Half-light radius (=R50), log kpc	[ucd=phys.size.radius]
#Column	cov	(F5.2)	[0.02/0.2]? Covariance between Lk and Re	[ucd=stat.covariance]
#Column	C28	(F4.1)	[2.5/11]? Concentration, 5log(R20/R80)	[ucd=meta.note]
#Column	logAGN	(F5.2)	[6.5/12]? Non-stellar AGN flux, log solar units	[ucd=phys.luminosity]
#Column	Meth	(a6)	Method used for BH mass measurement (2)	[ucd=meta.note]
#Column	Refs	(a8)	Literature Reference(s) (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	f_Name	Dist	logBHMass	E_logBHMass	logsigma	logLk	logRe	cov	C28	logAGN	Meth	Refs	SimbadName	NED	_RA	_DE
NGC1042       	 	  18.2	 4.40	 2.08	 1.64	10.48	 0.78	 0.05	 2.8	 8.03	star  	61      	NGC1042                	NED	040.09990	-08.43365
NGC1052       	 	  18.1	 8.24	 0.29	 2.28	10.92	 0.34	 0.05	 5.4	     	gas   	7       	NGC1052                	NED	040.26999	-08.25576
NGC1097       	 	  14.5	 8.14	 0.09	 2.29	11.18	 0.74	 0.08	 6.1	     	CO    	66      	NGC1097                	NED	041.57941	-30.27491
NGC1194       	 	  58.0	 7.85	 0.05	 2.17	11.06	 0.74	 0.05	 5.8	 9.54	maser 	52      	NGC1194                	NED	045.95458	-01.10361
NGC1271       	 	  84.0	 9.53	 0.06	 2.45	11.07	 0.33	 0.07	 9.1	     	star  	92      	NGC1271                	NED	049.79696	+41.35336
NGC1275       	 	  70.0	 8.98	 0.20	 2.39	11.84	 1.15	 0.05	 4.9	     	gas   	77,88   	NGC1275                	NED	049.95067	+41.51170
NGC1277       	 	  71.0	 9.67	 0.15	 2.50	11.07	 0.15	 0.07	 7.8	     	star  	93      	NGC1277                	NED	049.96453	+41.57341
NGC1316       	 	  18.6	 8.18	 0.25	 2.35	11.91	 1.20	 0.07	 6.0	     	star  	64      	NGC1316                	NED	050.67412	-37.20820
NGC1320       	 	  49.1	 6.74	 0.16	 2.15	11.01	 0.60	 0.07	 5.2	 9.21	maser 	34      	NGC1320                	NED	051.20294	-03.04230
NGC1332       	 	  22.3	 8.83	 0.04	 2.52	11.31	 0.68	 0.06	 6.9	     	CO    	6       	NGC1332                	NED	051.57217	-21.33537
NGC1358       	 	  48.2	 8.37	 0.32	 2.23	11.28	 0.94	 0.07	 5.9	     	gas   	7       	NGC1358                	NED	053.41545	-05.08957
NGC1374       	 	  19.2	 8.76	 0.06	 2.31	10.67	 0.24	 0.02	 5.2	     	star  	74      	NGC1374                	NED	053.81916	-35.22625
NGC1386       	 	  16.1	 6.07	 0.29	 2.22	10.51	 0.25	 0.05	 5.5	 8.66	maser 	12      	NGC1386                	NED	054.19266	-35.99927
NGC1398       	 	  24.8	 8.03	 0.08	 2.37	11.66	 0.91	 0.08	 5.6	     	stars 	75      	NGC1398                	NED	054.71721	-26.33784
NGC1399       	 	  20.9	 8.94	 0.31	 2.53	11.54	 0.74	 0.05	 5.6	     	star  	33,42   	NGC1399                	NED	054.62118	-35.45074
NGC1407       	 	  28.0	 9.65	 0.08	 2.45	11.72	 0.97	 0.08	 5.4	     	star  	74      	NGC1407                	NED	055.04960	-18.58038
NGC1428       	 	  20.7	 0.00	 7.00	 1.91	 9.89	 0.04	 0.05	 3.8	     	star  	54      	NGC1428                	NED	055.59542	-35.15333
NGC1493       	 	  11.4	 5.40	 0.51	 1.55	 9.96	 0.51	 0.07	 3.1	     	star  	61      	NGC1493                	NED	059.36409	-46.21074
NGC1497       	 	  75.3	 8.63	 0.19	 2.39	11.32	 0.73	 0.05	 5.4	     	gas   	7       	NGC1497                	NED	060.52835	+23.13291
NGC1550       	 	  51.6	 9.57	 0.07	 2.48	11.32	 0.66	 0.05	 5.8	     	star  	74      	NGC1550                	NED	064.90800	+02.40988
NGC1600       	 	  64.0	10.23	 0.04	 2.47	11.86	 1.08	 0.04	 4.9	     	star  	82      	NGC1600                	NED	067.91607	-05.08610
NGC1667       	 	  56.1	 8.20	 0.23	 2.24	11.32	 0.69	 0.05	 3.9	     	gas   	7       	NGC1667                	NED	072.15502	-06.31985
NGC1961       	 	  48.6	 8.29	 0.34	 2.34	11.74	 1.20	 0.05	 5.5	     	gas   	7       	NGC1961                	NED	085.51990	+69.37838
NGC2110       	 	  29.1	 8.12	 0.64	 2.30	11.04	 0.40	 0.05	 5.6	     	gas   	7       	NGC2110                	NED	088.04752	-07.45617
NGC2179       	 	  35.8	 8.31	 0.23	 2.19	10.86	 0.53	 0.05	 5.9	     	gas   	7       	NGC2179                	NED	092.00919	-21.74667
NGC2273       	 	  29.5	 6.93	 0.04	 2.16	10.98	 0.60	 0.05	 5.8	     	maser 	52      	NGC2273                	NED	102.53610	+60.84569
NGC2329       	 	  72.3	 8.18	 0.18	 2.34	11.46	 0.84	 0.06	 5.4	     	gas   	7       	NGC2329                	NED	107.28321	+48.61560
NGC2549       	 	  12.7	 7.16	 0.37	 2.15	10.29	 0.05	 0.05	 5.4	     	star  	51      	NGC2549                	NED	124.74311	+57.80311
NGC2685       	 	  12.5	 6.59	 0.41	 2.02	10.20	 0.20	 0.05	 5.1	     	gas   	7       	NGC2685                	NED	133.89479	+58.73441
NGC2748       	 	  23.4	 7.65	 0.24	 2.06	10.62	 0.53	 0.13	 4.2	     	gas   	1       	NGC2748                	NED	138.42932	+76.47534
NGC2778       	 	  23.4	 7.16	 0.30	 2.12	10.27	 0.08	 0.05	 5.1	     	star  	78      	NGC2778                	NED	138.10164	+35.02742
NGC2787       	 	   7.4	 7.61	 0.09	 2.28	10.21	-0.02	 0.06	 4.9	     	gas   	76      	NGC2787                	NED	139.82724	+69.20340
NGC2892       	 	  86.2	 8.43	 0.11	 2.47	11.54	 0.83	 0.05	 5.2	     	gas   	7       	NGC2892                	NED	143.22041	+67.61740
NGC2903       	 	  10.4	 7.06	 0.28	 1.97	11.06	 0.73	 0.04	 3.3	     	gas   	7       	NGC2903                	NED	143.04213	+21.50083
NGC2960       	 	  67.1	 7.03	 0.05	 2.18	11.14	 0.73	 0.08	 5.7	10.02	maser 	52,88   	NGC2960                	NED	145.15157	+03.57693
NGC2964       	 	  19.7	 6.73	 0.61	 1.97	10.63	 0.41	 0.05	 4.0	     	gas   	7       	NGC2964                	NED	145.72605	+31.84721
NGC2974       	 	  21.5	 8.23	 0.09	 2.36	11.04	 0.55	 0.06	 5.8	     	stars 	15      	NGC2974                	NED	145.63861	-03.69912
NGC3021       	 	  22.4	 7.26	 0.30	 1.70	10.40	 0.31	 0.04	 3.6	     	gas   	7       	NGC3021                	NED	147.73797	+33.55347
NGC3031       	 	   3.6	 7.81	 0.13	 2.15	10.93	 0.44	 0.04	 5.0	     	gas   	25      	NGC3031                	NED	148.88822	+69.06529
NGC3078       	 	  32.8	 7.91	 0.42	 2.32	11.27	 0.55	 0.05	 5.6	 9.57	gas   	7       	NGC3078                	NED	149.60257	-26.92687
NGC3079       	 	  15.9	 6.40	 0.05	 2.16	10.86	 0.63	 0.03	 5.4	     	maser 	84,95;46	NGC3079                	NED	150.49085	+55.67979
NGC3081       	 	  33.5	 7.20	 0.30	 2.09	10.96	 0.66	 0.06	 5.4	     	gas   	7       	NGC3081                	NED	149.87305	-22.82620
NGC3091       	 	  51.2	 9.56	 0.07	 2.49	11.62	 0.89	 0.07	 5.7	     	star  	74      	NGC3091                	NED	150.05885	-19.63648
NGC3115       	 	   9.5	 8.95	 0.09	 2.36	10.98	 0.42	 0.03	 5.4	     	star  	28      	NGC3115                	NED	151.30824	-07.71858
NGC3227       	 	  23.8	 7.32	 0.23	 2.12	11.21	 1.03	 0.06	 4.9	 9.51	star  	20      	NGC3227                	NED	155.87737	+19.86508
NGC3245       	 	  21.4	 8.38	 0.11	 2.25	10.86	 0.39	 0.05	 5.5	 9.26	gas   	2       	NGC3245                	NED	156.82652	+28.50744
NGC3310       	 	  17.4	 6.70	 0.92	 1.92	10.42	 0.07	 0.05	 4.7	     	gas   	70      	NGC3310                	NED	159.69107	+53.50330
NGC3351       	 	   9.3	 6.52	 0.26	 1.97	10.76	 0.59	 0.06	 4.9	     	gas   	7       	NGC3351                	NED	160.99055	+11.70361
NGC3368       	 	  10.4	 6.88	 0.08	 2.08	10.95	 0.49	 0.05	 5.7	     	star  	65      	NGC3368                	NED	161.69060	+11.81994
NGC3377       	 	  11.0	 8.25	 0.25	 2.11	10.52	 0.36	 0.06	 5.9	     	star  	78      	NGC3377                	NED	161.92667	+13.98564
NGC3379       	 	  10.7	 8.62	 0.11	 2.27	11.01	 0.48	 0.05	 6.3	     	star  	87      	NGC3379                	NED	161.95667	+12.58163
NGC3384       	 	  11.5	 7.03	 0.21	 2.14	10.85	 0.49	 0.14	 7.1	     	star  	78      	NGC3384                	NED	162.07040	+12.62930
NGC3393       	 	  49.2	 7.20	 0.33	 2.17	11.15	 0.78	 0.09	 5.8	 9.52	maser 	47      	NGC3393                	NED	162.09778	-25.16203
NGC3414       	 	  25.2	 8.40	 0.07	 2.28	10.99	 0.46	 0.05	 5.5	     	stars 	15      	NGC3414                	NED	162.81767	+27.97497
NGC3423       	 	  14.6	 5.18	 0.67	 1.62	10.35	 0.71	 0.04	 3.6	     	star  	61      	NGC3423                	NED	162.80975	+05.84010
NGC3489       	 	  12.1	 6.78	 0.05	 2.01	10.60	 0.18	 0.06	 5.9	 9.15	star  	65      	NGC3489                	NED	165.07745	+13.90126
NGC3585       	 	  20.5	 8.52	 0.13	 2.33	11.42	 0.80	 0.04	 5.7	     	star  	37      	NGC3585                	NED	168.32129	-26.75499
NGC3607       	 	  22.6	 8.14	 0.16	 2.32	11.35	 0.60	 0.05	 5.8	     	star  	37      	NGC3607                	NED	169.22774	+18.05181
NGC3608       	 	  22.8	 8.67	 0.10	 2.23	10.92	 0.47	 0.04	 5.5	     	star  	78      	NGC3608                	NED	169.24570	+18.14853
NGC3621       	 	   6.6	 6.00	 0.48	 1.79	10.46	 0.63	 0.06	 4.9	     	star  	3       	NGC3621                	NED	169.56792	-32.81260
NGC3627       	 	  10.1	 6.93	 0.05	 2.09	11.02	 0.63	 0.05	 4.0	     	stars 	75      	NGC3627                	NED	170.06261	+12.99129
NGC3642       	 	  21.6	 7.42	 0.04	 1.97	10.35	 0.27	 0.05	 4.5	     	gas   	7       	NGC3642                	NED	170.57506	+59.07424
NGC3665       	 	  34.7	 8.76	 0.09	 2.34	11.50	 0.80	 0.08	 5.4	     	CO    	67      	NGC3665                	NED	171.18179	+38.76279
NGC3675       	 	  12.4	 7.26	 0.29	 2.02	10.83	 0.55	 0.05	 4.0	     	gas   	7       	NGC3675                	NED	171.53577	+43.58592
NGC3706       	 	  46.0	 9.77	 0.06	 2.51	11.58	 0.80	 0.04	 5.8	     	star  	39      	NGC3706                	NED	172.43510	-36.39126
NGC3783       	 	  41.7	 7.36	 0.19	 1.98	11.06	 0.69	 0.05	 3.6	10.58	reverb	68      	NGC3783                	NED	174.75717	-37.73850
NGC3801       	 	  46.3	 8.28	 0.31	 2.32	11.22	 0.78	 0.06	 5.5	     	gas   	7       	NGC3801                	NED	175.07040	+17.72791
NGC3842       	 	  92.2	 9.96	 0.14	 2.44	11.81	 1.11	 0.06	 5.4	     	star  	56a     	NGC3842                	NED	176.00905	+19.94982
NGC3862       	 	  84.6	 8.41	 0.37	 2.32	11.59	 1.08	 0.07	 6.5	     	gas   	7       	NGC3862                	NED	176.27087	+19.60632
NGC3923       	 	  20.9	 9.45	 0.12	 2.35	11.50	 0.89	 0.06	 5.1	     	stars 	75      	NGC3923                	NED	177.75743	-28.80621
NGC3945       	 	  19.5	 6.94	 0.46	 2.25	10.89	 0.29	 0.05	 4.8	     	star  	37      	NGC3945                	NED	178.30719	+60.67556
NGC3953       	 	  15.4	 7.33	 0.29	 2.11	11.05	 0.87	 0.05	 4.7	     	gas   	7       	NGC3953                	NED	178.45428	+52.32654
NGC3982       	 	  15.9	 6.95	 0.26	 1.89	10.23	 0.16	 0.05	 3.2	     	gas   	7       	NGC3982                	NED	179.11737	+55.12536
NGC3992       	 	  15.3	 7.51	 0.28	 2.09	11.15	 1.07	 0.06	 4.3	     	gas   	7       	NGC3992                	NED	179.39993	+53.37452
NGC3998       	 	  14.3	 8.93	 0.05	 2.35	10.71	 0.11	 0.05	 5.6	 9.15	star  	90      	NGC3998                	NED	179.48389	+55.45359
NGC4026       	 	  13.4	 8.26	 0.12	 2.19	10.55	 0.22	 0.07	 6.0	     	star  	37      	NGC4026                	NED	179.85495	+50.96169
NGC4036       	 	  19.0	 7.89	 0.36	 2.26	10.90	 0.43	 0.04	 5.0	     	gas   	7       	NGC4036                	NED	180.36205	+61.89570
NGC4051       	 	  10.0	 6.10	 0.25	 1.95	10.28	 0.60	 0.04	 3.5	 9.28	reverb	23      	NGC4051                	NED	180.79036	+44.53126
NGC4088       	 	  11.9	 6.79	 0.29	 1.93	10.50	 0.55	 0.04	 3.2	     	gas   	7       	NGC4088                	NED	181.39245	+50.53903
NGC4143       	 	  14.8	 7.92	 0.36	 2.25	10.55	 0.04	 0.05	 5.3	     	gas   	7       	NGC4143                	NED	182.40036	+42.53422
NGC4150       	 	  12.8	 5.94	 0.44	 1.91	10.08	 0.00	 0.05	 5.7	     	gas   	7       	NGC4150                	NED	182.64023	+30.40149
NGC4151       	 	  20.0	 7.81	 0.08	 1.98	10.96	 0.60	 0.08	 7.1	10.23	star  	69      	NGC4151                	NED	182.63572	+39.40580
NGC4203       	 	  14.1	 7.82	 0.26	 2.11	10.76	 0.42	 0.07	 5.8	     	gas   	7       	NGC4203                	NED	183.77100	+33.19730
NGC4212       	 	   3.2	 5.99	 0.42	 1.83	 9.10	-0.19	 0.04	 3.1	     	gas   	7       	NGC4212                	NED	183.91406	+13.90147
NGC4245       	 	  14.6	 7.19	 0.48	 1.92	10.42	 0.41	 0.06	 5.1	     	gas   	7       	NGC4245                	NED	184.40326	+29.60800
NGC4253       	 	  55.4	 6.80	 0.17	 1.94	10.69	 0.61	 0.05	 2.9	10.53	reverb	8       	NGC4253                	NED	184.61035	+29.81282
NGC4258       	 	   7.3	 7.58	 0.03	 2.06	10.90	 0.64	 0.03	 4.1	 8.53	maser 	41      	NGC4258                	NED	184.74008	+47.30372
NGC4261       	 	  32.4	 8.72	 0.10	 2.42	11.60	 0.86	 0.06	 5.5	     	gas   	29      	NGC4261                	NED	184.84673	+05.82492
NGC4278       	 	  15.0	 7.96	 0.27	 2.33	10.87	 0.24	 0.07	 5.4	     	gas   	7       	NGC4278                	NED	185.02844	+29.28075
NGC4291       	 	  26.6	 8.99	 0.16	 2.38	10.95	 0.44	 0.08	 6.8	     	star  	78      	NGC4291                	NED	185.07375	+75.37096
