#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T15:57:32 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T15:57:32	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/442/137/whisp&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34420137
#Name: J/A+A/442/137
#Title: HI observations of WHISP disk galaxies (Noordermeer+, 2005)
#INFO	ivoid=ivo://cds.vizier/j/a+a/442/137	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/442/137	    IVOID of underlying data collection
#INFO	creator=Noordermeer E.	    First author or institution
#INFO	cites=bibcode:2005A&A...442..137N	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/442/137	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34420137	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_442_137_whisp:
#Name: J/A+A/442/137/whisp
#Title: HI properties of the WHISP early-type
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	UGC	(I5)	UGC (<VII/26>) number	[ucd=meta.id;meta.main]
#Column	Name	(a9)	Alternative name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right ascension (J2000.0), from NED	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000.0), from NED	[ucd=pos.eq.dec;meta.main]
#Column	MType	(a15)	Morphological type, from NED	[ucd=src.morph.type]
#Column	BMAG	(F6.2)	Absolute B-band magnitude, from LEDA	[ucd=phot.mag;em.opt.B]
#Column	HRV	(I5)	Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.1)	Distance	[ucd=pos.distance]
#Column	Incl	(I2)	Inclination angle	[ucd=src.orbital.inclination;pos.posAng]
#Column	r_Incl	(A1)	[tLe] Source of Incl (1)	[ucd=meta.ref;pos.frame]
#Column	Memb	(a22)	Group/cluster membership	[ucd=meta.id.parent]
#Column	r_Memb	(I1)	[1/5]? Source for Memb (2)	[ucd=meta.ref;pos.frame]
#Column	Region	(a18)	Region of the group/cluster	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=]
#Column	Vsys	(I5)	Systemic velocity	[ucd=phys.veloc]
#Column	W20	(I3)	Line width of global profile at the 20% level	[ucd=spect.line.width]
#Column	W50	(I3)	Line width of global profile at the 50% level	[ucd=spect.line.width]
#Column	FHI	(F6.2)	Total integrated HI flux	[ucd=phot.flux.density;em.line.HI;spect.line]
#Column	n_FHI	(A1)	[+$] Note on FHI (1)	[ucd=meta.note]
#Column	MHI	(F5.2)	Total HI mass (in 10+9solMass)	[ucd=phys.mass]
#Column	n_MHI	(A1)	[+$] Note on MHI	[ucd=meta.note]
#Column	RHI	(I3)	? HI radius in arcsec	[ucd=phys.angSize;src]
#Column	n_RHI	(A1)	[#] Note on RHI (2)	[ucd=meta.note]
#Column	RHIkpc	(F4.1)	? HI radius in kpc,	[ucd=phys.angSize;src]
#Column	n_RHIkpc	(A1)	[#] Note on RHIkpc (2)	[ucd=meta.note]
#Column	<SD>RHI	(F4.1)	? Average face-on HI surface density within HI radius	[ucd=src.density]
#Column	n_<SD>RHI	(A1)	[#] Low <SD>RHI (2)	[ucd=meta.note]
#Column	<SD>R25	(F4.1)	Average face-on HI surface density within optical radius	[ucd=src.density]
#Column	Prof	(A4)	Amount of asymmetry in global profile (3)	[ucd=meta.code]
#Column	Morph	(A4)	Morphological asymmetry (3)	[ucd=meta.code]
#Column	Kin	(A4)	Kinematical asymmetry (3)	[ucd=meta.code]
#Column	Int	(A1)	[+] +: evidence for current interaction/merging/accretion	[ucd=meta.code]
recno	UGC	Name	RAJ2000	DEJ2000	MType	BMAG	HRV	Dist	Incl	r_Incl	Memb	r_Memb	Region	Simbad	NED	LEDA	Vsys	W20	W50	FHI	n_FHI	MHI	n_MHI	RHI	n_RHI	RHIkpc	n_RHIkpc	<SD>RHI	n_<SD>RHI	<SD>R25	Prof	Morph	Kin	Int
      17	 2953	IC 356   	04 07 46.9	+69 48 45	SA(s)ab pec    	-21.49	  894	 15.1	50	t	12+15                 	2	(U. Major)        	Simbad	NED	LEDA	  894	484	464	119.73	 	 6.43	 	300	 	22.0	 	 1.9	 	 2.2	    	    	    	
      18	 3205	--       	04 56 14.8	+30 03 08	Sab            	-21.47	 3587	 48.7	67	t	--                    	 	                  	Simbad	NED	LEDA	 3587	437	419	 16.38	 	 9.18	 	118	 	28.0	 	 3.4	 	 4.7	    	    	    	
      19	 3354	--       	05 47 18.2	+56 06 44	Sab:           	-20.00	 3084	 43.6	90	e	--                    	 	                  	Simbad	NED	LEDA	 3084	423	398	 17.71	 	 7.95	 	 77	 	16.0	 	 2.0	 	 2.3	*   	    	    	
      20	 3382	--       	05 59 47.7	+62 09 29	SB(rs)a        	-20.62	 4501	 62.8	16	t	--                    	 	                  	Simbad	NED	LEDA	 4501	204	193	  5.68	 	 5.27	 	 78	 	24.0	 	 2.0	 	 2.8	    	    	    	
      21	 3407	--       	06 09 08.1	+42 05 07	Sa             	-20.05	 3606	 49.8	45	e	--                    	 	                  	Simbad	NED	LEDA	 3606	316	298	  3.13	 	 1.82	 	 50	 	12.0	 	 2.6	 	 3.1	*   	    	    	+
      22	 3426	--       	06 15 36.3	+71 02 15	S0:            	-20.89	 4005	 56.6	37	e	LGG 135               	1	                  	Simbad	NED	LEDA	 4005	161	114	  3.27	 	 2.53	 	   	#	    	#	    	#	 0.2	*   	n.a.	n.a.	+
      23	 3546	NGC 2273 	06 50 08.7	+60 50 45	SB(r)a         	-20.16	 1838	 27.3	52	t	24-1                  	2	(Lynx)            	Simbad	NED	LEDA	 1838	367	347	 13.74	 	 2.42	 	132	 	18.0	 	 2.0	 	 2.2	    	    	    	
      24	 3580	--       	06 55 30.8	+69 33 47	SA(s)a pec:    	-18.19	 1200	 19.2	63	t	12-0                  	2	(U. Major)        	Simbad	NED	LEDA	 1200	241	224	 43.24	 	 3.76	 	199	 	18.0	 	 3.0	 	 5.4	*   	    	*   	
      25	 3642	--       	07 04 20.3	+64 01 13	SA0            	-21.00	 4498	 62.9	45	t	LGG 140               	1	                  	Simbad	NED	LEDA	 4498	469	441	 38.13	 	35.62	 	171	 	52.0	 	 3.1	 	 4.7	*   	    	    	
      26	 3965	IC 2204  	07 41 18.1	+34 13 56	(R)SB(r)ab     	-18.64	 4588	 62.5	10	e	--                    	 	                  	Simbad	NED	LEDA	 4588	 93	 74	 15.67	 	14.47	 	106	 	33.0	 	 3.2	 	 5.3	    	    	    	
      27	 3993	--       	07 55 44.0	+84 55 35	S0?            	-19.61	 4366	 61.9	20	t	pair with UGC 3992    	5	                  	Simbad	NED	LEDA	 4366	209	192	  7.73	 	 6.99	 	 82	 	24.0	 	 1.6	 	 1.7	    	*   	    	
      28	 4458	NGC 2599 	08 32 11.3	+22 33 38	SAa            	-21.12	 4757	 64.2	27	t	pair with PGC 23972   	5	                  	Simbad	NED	LEDA	 4757	284	245	 12.24	 	11.82	 	110	 	34.0	 	 2.0	 	 3.1	    	**  	    	+
      29	 4605	NGC 2654 	08 49 11.9	+60 13 16	SBab: sp       	-20.08	 1350	 20.9	90	e	13-6                  	2	(U. Major S. Spur)	Simbad	NED	LEDA	 1350	432	392	 58.03	 	 5.99	 	277	 	28.0	 	 1.8	 	 3.0	    	    	    	
      30	 4637	NGC 2655 	08 55 37.7	+78 13 23	SAB(s)0/a      	-20.97	 1415	 22.4	30	e	12-10                 	2	(U. Major)        	Simbad	NED	LEDA	 1415	399	243	 22.34	 	 2.62	 	   	#	    	#	    	#	 0.9	**  	*** 	n.a.	+
      31	 4666	NGC 2685 	08 55 34.7	+58 44 04	(R)SB0+ pec    	-19.21	  876	 14.6	61	L	13-4                  	2	(U. Major S. Spur)	Simbad	NED	LEDA	  876	303	284	 29.07	 	 1.47	 	184	 	12.0	 	 2.2	 	 2.5	*   	*   	    	
      32	 4862	NGC 2782 	09 14 05.1	+40 06 49	SAB(rs)a       	-20.99	 2540	 35.9	20	e	21-0                  	2	(Leo)             	Simbad	NED	LEDA	 2540	192	156	 16.42	 	 5.07	 	 90	 	16.0	 	 3.1	 	 2.2	*** 	*** 	n.a.	+
      33	 5060	NGC 2893 	09 30 17.0	+29 32 24	(R)SB0/a       	-18.14	 1699	 24.1	24	e	21-0                  	2	(Leo)             	Simbad	NED	LEDA	 1699	185	 86	  5.13	 	 0.70	 	 60	 	 7.0	 	 2.3	 	 3.7	**  	*** 	    	
      34	 5253	NGC 2985 	09 50 22.2	+72 16 43	(R')SA(rs)ab   	-20.72	 1325	 21.1	38	t	12-7                  	2	(U. Major)        	Simbad	NED	LEDA	 1325	320	296	132.40	 	13.92	 	330	 	34.0	 	 2.1	 	 3.8	*   	*** 	    	+
      35	 5351	NGC 3067 	09 58 21.0	+32 22 12	SAB(s)ab?      	-19.35	 1486	 21.5	70	L	21-12                 	2	(Leo)             	Simbad	NED	LEDA	 1486	276	187	  9.23	 	 0.99	 	 61	 	 6.3	 	 3.4	 	 3.1	**  	**  	**  	+
      36	 5559	NGC 3190 	10 18 05.6	+21 49 55	SA(s)a pec sp  	-19.88	 1308	 18.6	67	L	HCG 44                	4	                  	Simbad	NED	LEDA	 1308	473	449	  7.32	 	 0.60	 	 88	 	 7.7	 	 2.6	 	 1.5	    	n.a.	n.a.	+
      37	 5906	NGC 3380 	10 48 12.2	+28 36 07	(R')SBa?       	-18.69	 1601	 23.1	29	e	LGG 227               	1	                  	Simbad	NED	LEDA	 1601	123	110	  2.53	 	 0.31	 	 47	 	 5.3	 	 2.0	 	 1.9	    	*   	    	
      38	 5960	NGC 3413 	10 51 20.7	+32 45 59	S0             	-17.39	  643	 10.5	77	t	--                    	 	                  	Simbad	NED	LEDA	  643	180	154	 28.42	 	 0.75	 	109	 	 5.7	 	 6.4	 	15.9	**  	*   	**  	
      39	 6001	NGC 3442 	10 53 08.1	+33 54 37	Sa?            	-17.77	 1730	 25.1	47	L	21-9                  	2	(Leo)             	Simbad	NED	LEDA	 1730	153	121	  3.58	 	 0.33	 	 44	 	 5.3	 	 4.2	 	 9.6	*   	n.a.	n.a.	
      40	 6118	NGC 3504 	11 03 11.2	+27 58 21	(R)SAB(s)ab    	-20.28	 1536	 22.2	24	e	21-7                  	2	(Leo)             	Simbad	NED	LEDA	 1536	219	194	  7.20	 	 0.84	 	 89	 	 9.5	 	 2.7	 	 3.0	*   	    	    	
      41	 6283	NGC 3600 	11 15 52.0	+41 35 29	Sa?            	-17.17	  713	 12.0	90	e	15-9                  	2	(Leo Spur)        	Simbad	NED	LEDA	  713	216	200	 57.38	 	 2.00	 	204	 	12.0	 	 3.1	 	 5.5	    	*   	    	
      42	 6621	NGC 3786 	11 39 42.5	+31 54 33	(R')SAB(r)a pec	-19.74	 2742	 38.7	58	L	13-0                  	2	(U. Major S. Spur)	Simbad	NED	LEDA	 2742	420	375	  3.69	+	 1.30	+	 57	 	10.0	 	 4.1	 	 4.1	    	*** 	n.a.	+
      43	 6623	NGC 3788 	11 39 44.6	+31 55 52	SAB(rs)ab pec  	-20.24	 2670	 37.7	74	L	13-0                  	2	(U. Major S. Spur)	Simbad	NED	LEDA	 2670	520	438	 11.51	+	 3.95	+	 79	 	15.0	 	 3.5	 	 4.4	*** 	*** 	n.a.	+
      44	 6742	NGC 3870 	11 45 56.6	+50 12 00	S0?            	-17.28	  752	 13.0	36	L	12-1                  	2	(U. Major)        	Simbad	NED	LEDA	  752	127	 84	  4.08	 	 0.17	 	 51	 	 3.2	 	 4.3	 	 8.0	*   	**  	    	
      45	 6786	NGC 3900 	11 49 09.4	+27 01 19	SA(r)0+        	-19.94	 1799	 25.9	65	t	13-9                  	2	(U. Major S. Spur)	Simbad	NED	LEDA	 1799	445	423	 24.91	 	 3.93	 	143	 	18.0	 	 2.4	 	 3.4	    	    	    	
      46	 6787	NGC 3898 	11 49 15.4	+56 05 04	SA(s)ab        	-20.25	 1171	 18.9	67	t	12-3                  	2	(U. Major)        	Simbad	NED	LEDA	 1171	484	466	 46.82	 	 3.96	 	256	 	23.0	 	 1.7	 	 2.5	*   	*   	    	+
      47	 7166	NGC 4151 	12 10 32.6	+39 24 21	(R')SAB(rs)ab: 	-20.84	  998	 15.9	20	t	12-6                  	2	(U. Major)        	Simbad	NED	LEDA	  998	140	121	 67.58	 	 4.05	 	304	 	24.0	 	 2.1	 	 2.2	**  	*   	*   	
      48	 7256	NGC 4203 	12 15 05.0	+33 11 50	SAB0-:         	-19.47	 1091	 16.9	40	t	14-1                  	2	(Coma--Sculptor)  	Simbad	NED	LEDA	 1091	271	239	 48.11	 	 3.21	 	226	 	19.0	 	 1.3	 	 1.8	*   	**  	n.a.	+
      49	 7489	NGC 4369 	12 24 36.2	+39 22 59	(R)SA(rs)a     	-18.87	 1027	 16.4	17	L	12-6                  	2	(U. Major)        	Simbad	NED	LEDA	 1027	 86	 68	  4.07	 	 0.26	 	 55	 	 4.4	 	 3.4	 	 2.7	    	n.a.	n.a.	
      50	 7506	NGC 4384 	12 25 12.0	+54 30 22	Sa             	-19.70	 2532	 37.0	41	L	42+11                 	2	(Canes Venatici)  	Simbad	NED	LEDA	 2532	171	116	  3.66	 	 1.17	 	 37	 	 6.7	 	 4.1	 	 3.7	*   	n.a.	n.a.	
      51	 7704	NGC 4509 	12 33 06.8	+32 05 30	Sab pec?       	-16.17	  937	 14.8	60	e	LGG 279               	1	                  	Simbad	NED	LEDA	  937	 93	 61	  6.49	 	 0.34	 	 58	 	 4.3	 	 3.7	 	 9.4	    	*   	    	
      52	 7989	NGC 4725 	12 50 26.6	+25 30 03	SAB(r)ab pec   	-21.69	 1208	 18.2	51	t	14-2                  	2	(Coma--Sculptor)  	Simbad	NED	LEDA	 1208	417	390	125.78	 	 9.78	 	380	 	34.0	 	 2.4	 	 2.7	*** 	**  	*   	+
      53	 8271	NGC 5014 	13 11 31.2	+36 16 55	Sa? sp         	-18.44	 1128	 17.7	60	e	43-1                  	2	(Canes V. Spur)   	Simbad	NED	LEDA	 1128	166	 76	 10.37	 	 0.78	 	 89	 	 7.7	 	 2.1	 	 3.7	*   	*** 	n.a.	+
      54	 8699	NGC 5289 	13 45 08.7	+41 30 12	(R)SABab:      	-19.70	 2521	 36.7	72	t	LGG 361               	1	                  	Simbad	NED	LEDA	 2521	387	368	 10.22	 	 3.26	 	100	 	17.0	 	 2.9	 	 4.6	    	    	    	
      55	 8805	NGC 5347 	13 53 17.8	+33 29 27	(R')SB(rs)ab   	-19.69	 2384	 34.5	30	e	42-0                  	2	(Canes Venatici)  	Simbad	NED	LEDA	 2384	129	 82	 15.45	 	 4.34	 	137	 	23.0	 	 1.8	 	 3.0	    	    	    	
      56	 8863	NGC 5377 	13 56 16.7	+47 14 08	(R)SB(s)a      	-20.32	 1791	 27.2	51	t	42-0                  	2	(Canes Venatici)  	Simbad	NED	LEDA	 1791	391	367	 14.44	 	 2.52	 	148	 	19.0	 	 1.5	 	 1.6	*   	    	*   	
      57	 9133	NGC 5533 	14 16 07.7	+35 20 38	SA(rs)ab       	-21.47	 3861	 54.3	53	t	LGG 380               	1	                  	Simbad	NED	LEDA	 3861	451	416	 43.25	 	30.23	 	218	 	57.0	 	 1.9	 	 4.0	**  	**  	    	
      58	 9644	--       	14 59 34.3	+27 06 58	SB(r)a         	-19.25	 6665	 91.5	19	e	--                    	 	                  	Simbad	NED	LEDA	 6665	131	119	  3.63	 	 7.16	 	 53	 	24.0	 	 3.2	 	 4.4	    	    	    	
      59	10448	NGC 6186 	16 34 25.5	+21 32 27	(R')SB(s)a     	-21.65	11351	153.8	30	e	--                    	 	                  	Simbad	NED	LEDA	11351	 99	 85	  1.76	 	 9.82	 	 40	 	29.0	 	 2.6	 	 2.0	    	    	    	
      60	11269	NGC 6667 	18 30 39.8	+67 59 13	SABab? pec     	-20.11	 2581	 38.3	56	L	70-0                  	2	(--)              	Simbad	NED	LEDA	 2581	415	344	 31.32	 	10.86	 	161	 	30.0	 	 3.0	 	 6.1	*   	*** 	**  	+
      61	11670	NGC 7013 	21 03 33.6	+29 53 51	SA(r)0/a       	-19.53	  775	 12.7	68	t	65+5                  	2	(Pegasus Spur)    	Simbad	NED	LEDA	  775	342	325	 28.05	 	 1.08	 	158	 	 9.9	 	 2.5	 	 2.5	**  	    	*   	
      62	11852	--       	21 55 59.3	+27 53 54	SBa?           	-20.25	 5846	 80.0	50	t	--                    	 	                  	Simbad	NED	LEDA	 5846	329	305	 19.55	 	29.60	 	137	 	53.0	 	 2.5	 	 4.2	**  	    	**  	
      63	11914	NGC 7217 	22 07 52.4	+31 21 33	(R)SA(r)ab     	-20.45	  949	 14.9	31	t	65+1                  	2	(Pegasus Spur)    	Simbad	NED	LEDA	  949	322	309	 13.16	 	 0.69	 	113	 	 8.1	 	 3.0	 	 2.8	    	    	    	
      64	11951	NGC 7231 	22 12 30.1	+45 19 42	SBa            	-19.14	 1086	 17.4	70	L	--                    	 	                  	Simbad	NED	LEDA	 1086	222	201	 25.93	 	 1.85	 	127	 	10.7	 	 4.4	 	 9.6	    	    	    	+
      65	12043	NGC 7286 	22 27 50.5	+29 05 45	S0/a           	-17.15	 1007	 15.4	67	t	--                    	 	                  	Simbad	NED	LEDA	 1007	190	176	 20.96	 	 1.18	 	143	 	10.8	 	 2.4	 	 6.1	    	    	    	
