#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:42:19 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:42:19	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/898/102&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18980102
#Name: J/ApJ/898/102
#Title: Rotation velocity & dynamical mass of gal. from HI sp. (Yu+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/898/102	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/898/102	    IVOID of underlying data collection
#INFO	creator=Yu N.	    First author or institution
#INFO	cites=bibcode:2020ApJ...898..102Y	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/898/102	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18980102	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-03-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_898_102_galaxies:
#Name: J/ApJ/898/102/galaxies
#Title: properties (Table 1) and physical parameters derived from the HI spectra (Table 4) with parameters updated from erratum published in 2020, ApJ, 902, 88
#Column	Name	(a16)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension, decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination, decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F9.6)	[-0.0008/0.03] Optical redshift from NED	[ucd=src.redshift]
#Column	q	(F5.2)	[0.12/1.0] Optical axis ratio	[ucd=phys.size.axisRatio]
#Column	e_q	(F5.2)	[0.01/0.14] Uncertainty in q	[ucd=stat.error]
#Column	l_logM	(A1)	Limit flag on logM	[ucd=meta.code.error]
#Column	logM	(F4.1)	[5.5/11.3] log of stellar mass derived in this work	[ucd=phys.mass]
#Column	inc	(I2)	[0/90] Inclination angle derived in this work	[ucd=src.orbital.inclination]
#Column	e_inc	(I2)	[5/30] Uncertainty in inc	[ucd=stat.error]
#Column	Vc	(I4)	[-199/8949] Flux intensity-weighted central velocity	[ucd=phys.veloc]
#Column	FHI	(F6.2)	[0.69/291] Total integrated flux of H I line	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	V95c	(I3)	[6/485]? Corrected line width measured at 95% flux	[ucd=spect.line.width]
#Column	V85c	(I3)	[5/357]? Corrected line width measured at 85% flux	[ucd=spect.line.width]
#Column	V75c	(I3)	[6/314]? Corrected line width measured at 75% flux	[ucd=spect.line.width]
#Column	V65c	(I3)	[7/282]? Corrected line width measured at 65% flux	[ucd=spect.line.width]
#Column	A-F	(F5.2)	[1/1.7] Corrected flux asymmetry	[ucd=src.morph.param]
#Column	A-C	(F5.2)	[1/3.15] Corrected concentration asymmetry	[ucd=src.morph.param]
#Column	C-V	(F5.2)	[2/6] Corrected concentration of HI profile	[ucd=phys.size;arith.ratio]
#Column	SNR	(A6)	SNR of the profile	[ucd=stat.snr;spect.line.profile]
#Column	logMHI	(F5.2)	[6.3/10.52] HI mass	[ucd=phys.mass]
#Column	logMdyn	(F5.2)	[7.5/12.1]? Dynamical mass, Equation 12	[ucd=phys.mass]
#Column	Note	(A4)	Note(s) (3)	[ucd=meta.note]
#Column	W16	(A3)	Display data from Wang+, 2016, J/MNRAS/460/2143 within 30"	[ucd=meta.ref.url]
#Column	SimbadName	(a16)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
Name	RAJ2000	DEJ2000	z	q	e_q	l_logM	logM	inc	e_inc	Vc	FHI	V95c	V85c	V75c	V65c	A-F	A-C	C-V	SNR	logMHI	logMdyn	Note	W16	SimbadName	NED	LEDA
UGC 7399        	185.15883	+46.29102	 0.001734	 0.79	 0.05	 	 8.4	38	 7	 516	 36.79	177	155	133	110	 1.04	 1.15	 3.75	21.7  	 8.79	10.62	1, 2	W16	UGC 7399        	NED	LEDA
UGC 7490        	186.10346	+70.33414	 0.001551	 0.59	 0.04	 	 8.7	54	 5	 465	 12.78	 30	 29	 26	 24	 1.07	 1.05	 3.45	198.6 	 8.34	 9.21	   2	W16	UGC 7490        	NED	LEDA
UGC 7608        	187.18366	+43.22383	 0.001795	 0.89	 0.11	 	 7.7	28	15	 536	 28.99	 58	 51	 46	 40	 1.13	 1.23	 3.82	169.5 	 8.68	 9.75	   2	W16	UGC 7608        	NED	LEDA
UGC 7866        	190.56315	+38.50163	 0.001181	 0.92	 0.11	 	 8.0	23	17	 366	 21.65	 51	 49	 44	 37	 1.12	 1.01	 4.32	40.7  	 8.07	 9.41	    	W16	UGC 7866        	NED	LEDA
UGC 7916        	191.10367	+34.38426	 0.002025	 0.75	 0.09	 	 8.0	42	 9	 606	 19.17	 39	 37	 34	 30	 1.02	 1.07	 3.79	207.4 	 8.50	 9.43	   2	W16	UGC 7916        	NED	LEDA
UGC 7971        	192.09028	+51.16495	 0.001561	 0.92	 0.11	 	 8.1	24	16	 466	 14.30	 65	 59	 52	 46	 1.05	 1.03	 3.87	186.9 	 8.38	 9.69	   2	W16	UGC 7971        	NED	LEDA
UGC 8331        	198.87397	+47.49964	 0.000867	 0.35	 0.03	 	 7.7	72	 5	 256	 15.46	 30	 26	 22	 18	 1.30	 1.05	 4.46	23.1  	 8.10	 9.03	    	W16	UGC 8331        	NED	LEDA
UGC 8550        	203.51180	+47.91547	 0.001214	 0.28	 0.02	 	 7.9	77	 5	 367	 24.71	 66	 60	 54	 47	 1.09	 1.18	 3.10	18.8  	 8.21	 9.62	    	W16	UGC 8550        	NED	LEDA
UGC 8683        	205.63550	+39.65850	 0.002175	 1.00	 0.13	 	 7.2	 0	 5	 659	  7.86	   	   	   	   	 1.12	 1.09	 4.56	227   	 8.47	     	   2	W16	UGC 8683        	NED	LEDA
UGC 9211        	215.63402	+45.38386	 0.002288	 0.39	 0.03	 	 8.0	69	 5	 683	 25.52	 47	 45	 41	 37	 1.05	 1.14	 3.04	40.3  	 8.98	 9.81	   1	W16	UGC 9211        	NED	LEDA
UGC 9992        	235.45004	+67.25389	 0.001424	 0.61	 0.05	 	 8.0	53	 6	 427	 10.01	 21	 18	 17	 15	 1.09	 1.15	 3.75	236.7 	 8.41	 9.00	   2	W16	UGC 9992        	NED	LEDA
UGC 10310       	244.07459	+47.04532	 0.002388	 0.80	 0.09	 	 8.7	37	10	 714	 20.29	 68	 63	 57	 51	 1.01	 1.06	 3.10	403.7 	 9.07	10.07	   2	W16	UGC 10310       	NED	LEDA
UGC 11861       	329.10062	+73.26092	 0.004940	 0.48	 0.03	 	10.2	63	 5	1477	 50.50	137	121	108	 95	 1.04	 1.03	 2.93	423.5 	 9.87	10.98	   2	W16	UGC 11861       	NED	LEDA
UGC 12060       	337.64042	+33.82083	 0.002949	 0.49	 0.03	 	 9.1	61	 5	 884	 26.42	 60	 56	 51	 46	 1.04	 1.09	 2.96	163.9 	 9.19	10.05	   2	W16	UGC 12060       	NED	LEDA
ESO 349- G 031  	002.05580	-34.57810	 0.000757	 0.96	 0.12	 	 6.9	17	25	 223	  5.57	 81	 76	 59	 26	 1.12	 1.42	 5.79	6.7   	 7.13	 9.26	   1	W16	ESO 349- G 031  	NED	LEDA
NGC 625         	023.76930	-41.43620	 0.001321	 0.31	 0.02	 	 8.7	73	 5	 394	 30.74	 40	 34	 30	 25	 1.07	 1.07	 4.06	24.6  	 8.04	 9.14	    	W16	NGC 625         	NED	LEDA
ESO 245- G 005  	026.26542	-43.59778	 0.001304	 0.95	 0.10	 	 8.3	19	19	 391	 80.97	 92	 87	 73	 64	 1.06	 1.25	 4.10	71.2  	 8.57	10.07	    	W16	ESO 245- G 005  	NED	LEDA
ESO 115- G 021  	039.45650	-61.33160	 0.001718	 0.17	 0.02	 	 7.0	90	 5	 515	 97.56	 64	 52	 47	 41	 1.02	 1.06	 3.33	62.2  	 8.76	 9.80	    	W16	ESO 115- G 021  	NED	LEDA
ESO 154- G 023  	044.21000	-54.57140	 0.001915	 0.23	 0.02	 	 7.8	81	 6	 572	139.51	 59	 54	 49	 43	 1.01	 1.06	 3.27	89.7  	 9.04	 9.96	    	W16	ESO 154- G 023  	NED	LEDA
NGC 1311        	050.02894	-52.18549	 0.001911	 0.24	 0.01	 	 8.1	80	 6	 572	 14.97	 59	 40	 34	 29	 1.00	 1.00	 4.09	6.3   	 7.98	 9.23	    	W16	NGC 1311        	NED	LEDA
IC 1959         	053.30240	-50.41420	 0.002131	 0.24	 0.01	 	 8.2	80	 5	 640	 27.48	 70	 59	 52	 46	 1.00	 1.03	 3.37	19.6  	 8.38	 9.70	    	W16	IC 1959         	NED	LEDA
NGC 1705        	073.55625	-53.36106	 0.002112	 0.77	 0.05	 	 8.3	40	 6	 633	 15.13	121	 97	 81	 66	 1.00	 1.01	 4.06	7.5   	 7.97	 9.84	    	W16	NGC 1705        	NED	LEDA
HIPASS J 0605-33	091.43333	-33.08333	 0.002625	 0.47	 0.03	 	 7.6	64	 5	 791	 18.84	 99	 41	 35	 29	 1.11	 1.04	 4.00	16.3  	 8.41	 9.46	    	W16	HIPASS J 0605-33	NED	LEDA
AM 0605-341     	091.83210	-34.20449	 0.002553	 0.71	 0.04	 	 7.8	45	 6	 770	  5.99	 81	 68	 60	 52	 1.00	 1.02	 3.38	27.8  	 7.89	 9.54	    	W16	AM 0605-341     	NED	LEDA
ESO 121- G 020  	093.97580	-57.72530	 0.001945	 0.37	 0.06	 	 7.2	75	 7	 574	 14.76	 77	 52	 30	 25	 1.08	 1.14	 5.83	8.5   	 8.11	 9.49	    	W16	ESO 121- G 020  	NED	LEDA
ESO 308- G 022  	099.88625	-40.72083	 0.002739	 1.00	 0.12	 	 7.8	 0	 5	 802	  4.20	   	   	   	   	 1.59	 3.15	 4.02	6     	 7.77	     	   1	W16	ESO 308- G 022  	NED	LEDA
AM 0704-582     	106.32250	-58.52028	 0.001881	 0.47	 0.08	 	 6.2	67	 8	 563	 34.69	 30	 27	 26	 23	 1.01	 1.07	 3.30	28.9  	 8.29	 9.17	    	W16	AM 0704-582     	NED	LEDA
ESO 059- G 001  	112.82583	-68.18778	 0.001768	 0.80	 0.08	 	 8.1	37	 9	 529	 17.89	 65	 62	 54	 46	 1.05	 1.15	 3.61	18.8  	 7.95	 9.50	    	W16	ESO 059- G 001  	NED	LEDA
NGC 2915        	141.54805	-76.62632	 0.001561	 0.54	 0.04	 	 8.3	58	 5	 467	108.42	 79	 75	 69	 61	 1.00	 1.00	 3.18	13.2  	 8.57	 9.96	    	W16	NGC 2915        	NED	LEDA
HIPASS J 1057-48	164.37583	-48.18389	 0.001991	 0.52	 0.03	 	 7.5	60	 5	 597	104.53	 31	 29	 27	 24	 1.02	 1.02	 3.56	42.9  	 8.82	 9.45	    	W16	HIPASS J 1057-48	NED	LEDA
IC 3104         	184.69208	-79.72583	 0.001431	 0.55	 0.07	 	 8.1	58	 6	 429	 11.15	 27	 22	 16	 15	 1.00	 1.00	 4.31	8.5   	 7.14	 8.46	   1	W16	IC 3104         	NED	LEDA
ESO 381- G 020  	191.50280	-33.83690	 0.001965	 0.49	 0.04	 	 7.7	62	 5	 586	 30.90	 52	 40	 36	 31	 1.00	 1.04	 3.55	24.3  	 8.33	 9.40	    	W16	ESO 381- G 020  	NED	LEDA
NGC 5102        	200.49023	-36.63021	 0.001561	 0.38	 0.03	 	 9.4	69	 5	 462	 80.46	106	 96	 85	 75	 1.10	 1.26	 3.39	66.3  	 8.34	10.02	    	W16	NGC 5102        	NED	LEDA
NGC 5237        	204.41273	-42.84692	 0.001204	 0.67	 0.04	 	 8.2	48	 6	 361	 12.23	 44	 44	 41	 37	 1.08	 1.17	 3.39	12.9  	 7.52	 9.03	    	W16	NGC 5237        	NED	LEDA
ESO 444- G 084  	204.33330	-28.04500	 0.001958	 0.76	 0.05	 	 7.4	41	 6	 593	 18.73	 35	 34	 30	 26	 1.30	 1.25	 4.19	29.2  	 7.97	 9.12	    	W16	ESO 444- G 084  	NED	LEDA
NGC 5253        	204.98329	-31.64003	 0.001358	 0.42	 0.02	 	 8.9	66	 5	 405	 44.77	 62	 45	 36	 29	 1.04	 1.17	 4.48	36.7  	 8.14	 9.38	    	W16	NGC 5253        	NED	LEDA
HIPASS J 1345-41	206.25292	-41.86028	 0.001818	 0.49	 0.06	 	 7.3	63	 6	 545	 26.77	 31	 30	 25	 19	 1.03	 1.04	 4.34	21.8  	 7.86	 9.01	    	W16	HIPASS J 1345-41	NED	LEDA
HIPASS J 1348-53	206.99203	-53.34756	 0.002295	 0.33	 0.05	 	 6.8	81	10	 685	 55.16	 39	 36	 30	 24	 1.05	 1.22	 4.41	35.0  	 8.23	 9.29	    	W16	HIPASS J 1348-53	NED	LEDA
ESO 223- G 009  	225.28500	-48.29250	 0.001961	 0.89	 0.14	 	 8.9	28	18	 586	100.83	 90	 66	 56	 46	 1.01	 1.03	 4.43	50.4  	 9.00	10.06	    	W16	ESO 223- G 009  	NED	LEDA
ESO 137- G 018  	245.24310	-60.49100	 0.002018	 0.36	 0.03	 	 8.7	70	 5	 606	 36.94	 64	 60	 54	 47	 1.00	 1.00	 3.36	14.2  	 8.55	 9.78	    	W16	ESO 137- G 018  	NED	LEDA
IC 5052         	313.00680	-69.19331	 0.001948	 0.19	 0.02	 	 9.1	82	 5	 581	102.29	 90	 79	 70	 61	 1.04	 1.05	 3.31	57.7  	 8.94	10.17	    	W16	IC 5052         	NED	LEDA
IC 5152         	330.67300	-51.29644	 0.000407	 0.70	 0.06	 	 8.5	46	 6	 121	 97.14	 57	 52	 42	 38	 1.01	 1.02	 3.57	95.9  	 7.96	 9.39	    	W16	IC 5152         	NED	LEDA
UGCA 442        	355.93979	-31.95677	 0.000891	 0.18	 0.01	 	 7.2	90	 5	 268	 50.15	 41	 39	 35	 31	 1.05	 1.08	 3.45	33.7  	 8.34	 9.40	    	W16	UGCA 442        	NED	LEDA
UGC 4283        	123.59196	+39.25126	 0.027662	 0.67	 0.04	 	10.6	49	 5	8308	  3.32	 95	 83	 76	 68	 1.00	 1.00	 2.39	8.8   	10.06	10.78	   1	W16	UGC 4283        	NED	LEDA
IC 2387         	129.64169	+30.79874	 0.025614	 0.45	 0.05	 	10.7	66	 6	7685	  4.94	185	169	153	136	 1.10	 1.01	 2.92	19.1  	10.16	11.37	    	W16	IC 2387         	NED	LEDA
UGC 4798        	137.17782	+44.81054	 0.026762	 0.79	 0.05	 	10.5	38	 6	8031	  5.31	242	198	176	157	 1.02	 1.23	 2.92	13.1  	10.23	11.53	   1	W16	UGC 4798        	NED	LEDA
Z 264-87        	138.74313	+51.36091	 0.027514	 0.49	 0.08	 	10.9	64	 8	8236	  2.63	290	217	199	183	 1.04	 1.10	 2.38	20.2  	 9.95	11.47	    	W16	Z 264-87        	NED	LEDA
UGC 5534        	154.04294	+58.42708	 0.025518	 0.45	 0.03	 	10.6	66	 5	7629	  4.66	192	181	165	149	 1.41	 2.90	 2.93	9.1   	10.14	11.41	   1	W16	UGC 5534        	NED	LEDA
UGC 8338        	199.01525	+35.04361	 0.023179	 0.39	 0.02	 	10.6	69	 5	6945	  5.92	195	171	154	136	 1.01	 1.08	 2.84	19.7  	10.15	11.37	   1	W16	UGC 8338        	NED	LEDA
AGC 260268      	241.89252	+36.48408	 0.029857	 0.63	 0.04	 	10.5	52	 5	8949	  1.75	156	104	 88	 78	 1.02	 1.18	 2.71	13.7  	 9.85	10.82	    	W16	AGC 260268      	NED	LEDA
UGC 10553       	251.81169	+40.24514	 0.029678	 0.48	 0.06	 	10.9	65	 6	8945	  3.91	299	270	241	206	 1.13	 1.88	 3.47	19.7  	10.19	11.77	    	W16	UGC 10553       	NED	LEDA
AGC 190187      	139.64635	+32.26993	 0.026825	 0.50	 0.03	 	10.4	61	 5	8060	  1.17	171	154	138	121	 1.00	 1.00	 3.06	9.3   	 9.58	10.99	1, 2	W16	AGC 190187      	NED	LEDA
IC 1074         	222.98891	+51.26488	 0.025921	 0.36	 0.03	 	10.8	74	 6	7790	  1.21	335	243	213	189	 1.03	 1.00	 2.51	5.5   	 9.56	11.36	   1	W16	IC 1074         	NED	LEDA
UGC 10863       	261.55701	+62.14958	 0.027894	 0.22	 0.02	 	10.8	90	 5	8415	  1.90	387	261	209	181	 1.04	 1.18	 3.33	10.1  	 9.82	11.56	   1	W16	UGC 10863       	NED	LEDA
UGC 448         	010.59194	+29.64161	 0.016201	 0.91	 0.05	 	10.6	24	 9	4859	  6.23	208	188	169	149	 1.01	 1.05	 3.09	27.6  	 9.80	11.27	    	W16	UGC 448         	NED	LEDA
UGC 463         	010.88493	+14.34262	 0.014877	 0.78	 0.06	 	10.9	40	 7	4451	  6.02	162	147	132	117	 1.09	 1.15	 3.05	23.1  	 9.70	11.03	    	W16	UGC 463         	NED	LEDA
UGC 1087        	022.86097	+14.27750	 0.014960	 0.93	 0.05	 	10.2	21	10	4487	  5.44	166	158	145	130	 1.10	 1.14	 2.88	24.3  	 9.66	11.05	    	W16	UGC 1087        	NED	LEDA
UGC 1635        	032.11557	+06.39487	 0.011755	 0.85	 0.06	 	10.1	32	 8	3534	  3.59	107	100	 90	 80	 1.00	 1.00	 2.85	10.6  	 9.26	10.52	    	W16	UGC 1635        	NED	LEDA
UGC 3140        	070.72873	+00.61862	 0.015428	 0.87	 0.05	 	10.8	30	 7	4637	 10.46	126	110	 98	 89	 1.00	 1.03	 2.84	15.9  	 9.98	10.94	    	W16	UGC 3140        	NED	LEDA
UGC 3701        	107.92788	+72.16921	 0.009723	 1.00	 0.11	 	 9.1	 0	 5	2919	  9.42	   	   	   	   	 1.05	 1.00	 3.38	17    	 9.62	     	1, 2	W16	UGC 3701        	NED	LEDA
UGC 4036        	117.97822	+73.01567	 0.011575	 0.92	 0.05	 	10.5	24	 9	3453	 11.46	213	159	134	115	 1.02	 1.03	 3.43	20.4  	 9.84	11.17	   1	W16	UGC 4036        	NED	LEDA
UGC 4107        	119.25797	+49.56725	 0.011688	 0.94	 0.05	 	10.3	19	10	3508	  3.51	236	212	190	171	 1.00	 1.21	 2.49	5.8   	 9.33	11.12	   2	W16	UGC 4107        	NED	LEDA
UGC 4256        	122.56332	+33.95649	 0.017519	 0.82	 0.04	 	10.3	35	 6	5263	 12.26	197	146	123	105	 1.06	 1.03	 3.67	46.3  	10.21	11.26	   2	W16	UGC 4256        	NED	LEDA
