#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:45:13 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:45:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/495/58/tablea1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74950058
#Name: J/MNRAS/495/58
#Title: Dwarf galaxy rotational velocities (Santos-Santos+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/mnras/495/58	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/495/58	    IVOID of underlying data collection
#INFO	creator=Santos-Santos I.M.E.	    First author or institution
#INFO	cites=bibcode:2020MNRAS.495...58S	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/495/58	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74950058	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_495_58_tablea1:
#Name: J/MNRAS/495/58/tablea1
#Title: Observational data used in this work
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Sample	(A2)	Sample the galaxy belongs to (1)	[ucd=meta.bib]
#Column	Vmax	(F6.2)	Maximum circular velocity	[ucd=phys.veloc]
#Column	Vbmax	(F6.2)	Baryonic contribution to Vmax	[ucd=phys.veloc]
#Column	Vfid	(F6.2)	Rotation velocity at the fiducial inner radius (r_fid_) (2)	[ucd=phys.veloc.rotat]
#Column	Vbfid	(F6.2)	Baryonic contribution to Vfid	[ucd=phys.veloc.rotat]
#Column	Mbar	(E9.2)	Total baryonic mass	[ucd=phys.mass]
#Column	rbhalf	(F5.2)	Half mass radius of the galaxy	[ucd=phys.size.radius]
#Column	M200	(E9.2)	Virial mass	[ucd=phys.mass]
#Column	SimbadName	(a15)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	Sample	Vmax	Vbmax	Vfid	Vbfid	Mbar	rbhalf	M200	SimbadName	_RA	_DE
IC2574     	S 	 67.50	 32.02	 19.54	 12.57	 1.89e+09	 7.24	 5.58e+10	IC2574         	157.09840	+68.41207
IC4202     	S 	250.00	181.45	231.32	165.39	 1.06e+11	 9.07	 3.58e+12	IC4202         	197.13162	+24.70079
KK98-251   	S 	 34.60	 20.25	 16.35	 10.59	 1.95e+08	 1.83	 6.76e+09	[KK98a] 251    	307.63708	+60.35472
NGC 0024   	S 	110.00	 52.54	106.73	 51.90	 2.84e+09	 2.53	 2.62e+11	NGC 0024       	002.48559	-24.96313
NGC 0055   	S 	 87.40	 50.19	 43.53	 33.96	 4.40e+09	 6.74	 1.26e+11	NGC 0055       	003.72334	-39.19663
NGC 0100   	S 	 91.20	 40.75	 56.83	 36.27	 4.26e+09	 3.72	 1.45e+11	NGC 0100       	006.01182	+16.48639
NGC 0247   	S 	108.00	 53.09	 66.63	 29.91	 5.99e+09	 8.02	 2.48e+11	NGC 0247       	011.78564	-20.76040
NGC 0289   	S 	194.00	160.25	174.05	156.00	 7.26e+10	16.54	 1.60e+12	NGC 0289       	013.17652	-31.20583
NGC 0300   	S 	 97.00	 41.87	 66.19	 35.13	 2.71e+09	 4.56	 1.76e+11	NGC 0300       	013.72269	-37.68421
NGC 0801   	S 	238.00	199.22	233.82	195.75	 1.87e+11	15.86	 3.06e+12	NGC 0801       	030.93664	+38.25878
NGC 0891   	S 	234.00	265.08	224.00	214.65	 7.51e+10	 2.79	 2.90e+12	NGC 0891       	035.63711	+42.34832
NGC 1003   	S 	115.00	 59.35	 74.39	 55.38	 1.12e+10	12.36	 3.02e+11	NGC 1003       	039.82039	+40.87229
NGC 1090   	S 	176.00	121.39	154.59	108.35	 4.77e+10	 8.68	 1.17e+12	NGC 1090       	041.64140	-00.24712
NGC 1705   	S 	 73.20	 35.42	 72.84	 29.77	 4.51e+08	 0.95	 7.21e+10	NGC 1705       	073.55611	-53.36096
NGC 2366   	S 	 53.70	 28.57	 32.98	 20.62	 9.79e+08	 3.25	 2.71e+10	NGC 2366       	112.21604	+69.20864
NGC 2403   	S 	136.00	 75.85	117.48	 75.48	 9.28e+09	 5.07	 5.15e+11	NGC 2403       	114.21391	+65.60268
NGC 2683   	S 	212.00	171.90	211.40	169.48	 4.21e+10	 3.45	 2.12e+12	NGC 2683       	133.17211	+33.42183
NGC 2841   	S 	323.00	231.30	322.93	214.81	 1.07e+11	 7.98	 8.11e+12	NGC 2841       	140.51116	+50.97659
NGC 2903   	S 	216.00	213.11	207.86	176.97	 4.43e+10	 2.58	 2.25e+12	NGC 2903       	143.04213	+21.50083
NGC 2915   	S 	 86.50	 35.40	 77.83	 27.64	 9.96e+08	 4.97	 1.22e+11	NGC 2915       	141.54805	-76.62632
NGC 2955   	S 	276.00	252.60	245.59	246.68	 1.98e+11	 8.12	 4.91e+12	NGC 2955       	145.31924	+35.88226
NGC 2998   	S 	214.00	157.58	204.14	150.74	 1.07e+11	11.13	 2.18e+12	NGC 2998       	147.18179	+44.08145
NGC 3109   	S 	 67.30	 21.72	 36.06	 15.30	 7.31e+08	 3.92	 5.52e+10	NGC 3109       	150.77865	-26.15957
NGC 3198   	S 	157.00	101.32	118.91	 85.11	 3.36e+10	10.54	 8.13e+11	NGC 3198       	154.97912	+45.54969
NGC 3521   	S 	220.00	200.33	214.79	174.16	 4.79e+10	 2.99	 2.38e+12	NGC 3521       	166.45237	-00.03590
NGC 3726   	S 	169.00	131.38	119.56	111.65	 4.37e+10	 6.73	 1.03e+12	NGC 3726       	173.33807	+47.02924
NGC 3741   	S 	 51.60	 14.28	 27.05	 11.19	 2.56e+08	 3.79	 2.39e+10	NGC 3741       	174.02397	+45.28415
NGC 3769   	S 	126.00	 98.81	106.57	 98.43	 1.67e+10	 4.28	 4.04e+11	NGC 3769       	174.43364	+47.89300
NGC 3877   	S 	171.00	145.67	157.15	109.76	 3.82e+10	 6.22	 1.07e+12	NGC 3877       	176.53242	+47.49450
NGC 3893   	S 	194.00	152.06	193.30	149.89	 3.70e+10	 3.83	 1.60e+12	NGC 3893       	177.15920	+48.71079
NGC 3917   	S 	138.00	 80.96	104.05	 57.20	 1.35e+10	 6.35	 5.40e+11	NGC 3917       	177.68937	+51.82442
NGC 3953   	S 	224.00	176.03	211.67	159.61	 7.44e+10	 7.33	 2.52e+12	NGC 3953       	178.45420	+52.32680
NGC 3972   	S 	134.00	 79.21	105.02	 62.09	 8.79e+09	 4.75	 4.91e+11	NGC 3972       	178.93788	+55.32073
NGC 4010   	S 	129.00	 77.65	 86.12	 68.91	 1.24e+10	 5.15	 4.35e+11	NGC 4010       	179.65830	+47.26131
NGC 4013   	S 	198.00	166.75	197.26	161.12	 4.35e+10	 5.49	 1.70e+12	NGC 4013       	179.63090	+43.94702
NGC 4051   	S 	161.00	141.36	131.17	103.88	 5.12e+10	 6.35	 8.81e+11	NGC 4051       	180.79004	+44.53130
NGC 4088   	S 	182.00	189.42	161.40	170.20	 6.46e+10	 5.21	 1.30e+12	NGC 4088       	181.39260	+50.53918
NGC 4100   	S 	195.00	147.99	185.05	132.10	 3.38e+10	 5.13	 1.62e+12	NGC 4100       	181.53584	+49.58231
NGC 4138   	S 	195.00	171.38	193.22	142.04	 2.40e+10	 2.61	 1.62e+12	NGC 4138       	182.37417	+43.68524
NGC 4157   	S 	201.00	182.02	194.60	174.37	 6.38e+10	 4.96	 1.79e+12	NGC 4157       	182.76819	+50.48468
NGC 4183   	S 	115.00	 66.98	 83.39	 43.71	 1.01e+10	 7.10	 3.02e+11	NGC 4183       	183.32025	+43.69827
NGC 4217   	S 	191.00	234.50	177.25	205.45	 4.61e+10	 2.69	 1.52e+12	NGC 4217       	183.96208	+47.09179
NGC 4559   	S 	124.00	 83.97	 98.55	 78.38	 1.74e+10	 7.55	 3.84e+11	NGC 4559       	188.99017	+27.95996
NGC 5033   	S 	225.00	241.63	224.72	185.97	 7.03e+10	 3.56	 2.56e+12	NGC 5033       	198.36473	+36.59365
NGC 5055   	S 	206.00	198.71	201.57	196.38	 9.21e+10	 5.53	 1.93e+12	NGC 5055       	198.95531	+42.02937
NGC 5371   	S 	242.00	213.77	214.79	173.23	 1.85e+11	11.10	 3.23e+12	NGC 5371       	208.91641	+40.46177
NGC 5585   	S 	 92.30	 44.82	 62.65	 40.75	 3.71e+09	 4.59	 1.50e+11	NGC 5585       	214.95085	+56.72905
NGC 5907   	S 	235.00	165.49	218.01	139.96	 1.16e+11	11.24	 2.94e+12	NGC 5907       	228.97370	+56.32885
NGC 5985   	S 	305.00	165.00	288.80	140.14	 1.20e+11	12.81	 6.75e+12	NGC 5985       	234.90439	+59.33200
NGC 6015   	S 	166.00	106.26	151.16	106.20	 2.38e+10	 5.11	 9.71e+11	NGC 6015       	237.85516	+62.31006
NGC 6195   	S 	258.00	235.77	233.45	235.70	 2.23e+11	10.62	 3.96e+12	NGC 6195       	249.13569	+39.02789
NGC 6503   	S 	121.00	101.33	119.67	 91.08	 8.74e+09	 2.16	 3.55e+11	NGC 6503       	267.36009	+70.14433
NGC 6674   	S 	291.00	177.58	285.98	175.67	 1.50e+11	10.19	 5.81e+12	NGC 6674       	279.64120	+25.37511
NGC 6946   	S 	181.00	195.85	176.12	149.58	 4.06e+10	 4.39	 1.28e+12	NGC 6946       	308.71805	+60.15368
NGC 7331   	S 	257.00	275.82	257.00	255.45	 1.40e+11	 4.40	 3.91e+12	NGC 7331       	339.26688	+34.41578
NGC 7793   	S 	116.00	 72.47	102.82	 72.45	 4.67e+09	 2.55	 3.11e+11	NGC 7793       	359.45731	-32.59103
NGC 7814   	S 	265.00	290.19	226.72	163.25	 3.87e+10	 1.66	 4.31e+12	NGC 7814       	000.81228	+16.14523
PGC51017   	S 	 20.50	 18.81	 20.27	 12.47	 3.45e+08	 1.58	 1.31e+09	PGC51017       	214.25715	+43.50376
UGC00128   	S 	134.00	 55.39	 78.98	 35.06	 1.59e+10	18.83	 4.91e+11	UGC00128       	003.46221	+35.99350
UGC00191   	S 	 83.85	 42.19	 71.49	 30.11	 2.79e+09	 5.41	 1.11e+11	UGC00191       	005.02150	+10.87931
UGC00731   	S 	 74.00	 37.19	 46.52	 10.43	 2.56e+09	 7.30	 7.46e+10	UGC00731       	017.68333	+49.60219
UGC00891   	S 	 63.75	 26.57	 28.75	 17.86	 7.56e+08	 3.50	 4.65e+10	UGC00891       	020.32954	+12.41172
UGC02259   	S 	 90.00	 36.92	 76.15	 29.49	 1.52e+09	 4.01	 1.39e+11	UGC02259       	041.98091	+37.53848
UGC02455   	S 	 61.00	 57.14	 30.44	 56.18	 2.89e+09	 1.93	 4.05e+10	UGC02455       	044.92855	+25.24121
UGC02487   	S 	383.00	251.56	376.62	250.17	 2.69e+11	10.67	 1.40e+13	UGC02487       	045.42638	+35.20564
UGC02885   	S 	305.00	231.80	260.15	210.89	 2.55e+11	21.76	 6.75e+12	UGC02885       	058.26025	+35.58949
UGC02916   	S 	218.00	237.95	209.71	197.65	 9.30e+10	 8.55	 2.31e+12	UGC02916       	060.64132	+71.70587
UGC02953   	S 	319.00	247.65	319.00	238.35	 1.40e+11	 5.31	 7.79e+12	UGC02953       	061.94536	+69.81242
UGC03205   	S 	237.00	174.00	236.00	173.49	 6.97e+10	 5.94	 3.02e+12	UGC03205       	074.06196	+30.05228
UGC03546   	S 	262.00	330.90	193.03	167.97	 5.42e+10	 2.52	 4.16e+12	UGC03546       	102.53612	+60.84580
UGC03580   	S 	131.00	 97.26	 96.63	 84.30	 1.24e+10	 5.84	 4.57e+11	UGC03580       	103.87904	+69.56314
UGC04278   	S 	 92.80	 46.03	 45.88	 21.46	 2.14e+09	 5.70	 1.53e+11	UGC04278       	123.49545	+45.74215
UGC04305   	S 	 37.30	 33.87	 24.47	 19.17	 1.29e+09	 3.21	 8.57e+09	UGC04305       	124.77078	+70.72030
UGC04325   	S 	 92.70	 44.02	 87.71	 37.41	 1.91e+09	 3.14	 1.52e+11	UGC04325       	124.83556	+50.00961
UGC04499   	S 	 74.30	 39.87	 49.06	 27.20	 2.24e+09	 4.77	 7.56e+10	UGC04499       	129.42287	+51.65238
UGC05005   	S 	100.00	 43.08	 37.87	 25.08	 6.16e+09	15.24	 1.94e+11	UGC05005       	141.12245	+22.27482
UGC05253   	S 	248.00	238.24	246.00	208.09	 1.08e+11	 6.08	 3.49e+12	UGC05253       	147.59264	+72.27865
UGC05414   	S 	 61.40	 33.68	 41.04	 26.20	 1.32e+09	 2.52	 4.13e+10	UGC05414       	150.98827	+40.76151
UGC05716   	S 	 74.70	 31.57	 49.52	 20.96	 1.75e+09	 6.86	 7.69e+10	UGC05716       	157.93028	+25.30761
UGC05721   	S 	 82.60	 34.76	 81.92	 29.52	 1.01e+09	 3.33	 1.06e+11	UGC05721       	158.07177	+27.66866
UGC05750   	S 	 78.90	 41.46	 24.89	 15.88	 3.13e+09	13.59	 9.14e+10	UGC05750       	158.93796	+20.99019
UGC05764   	S 	 55.80	 22.22	 49.25	 16.24	 2.59e+08	 2.08	 3.05e+10	UGC05764       	159.17976	+31.54727
UGC05829   	S 	 68.60	 37.43	 34.69	 12.54	 1.64e+09	 5.10	 5.87e+10	UGC05829       	160.67828	+34.44928
UGC05918   	S 	 44.50	 19.72	 29.16	  9.21	 5.12e+08	 3.04	 1.49e+10	UGC05918       	162.40172	+65.53363
UGC05986   	S 	116.00	 56.04	 98.38	 51.27	 5.89e+09	 3.44	 3.11e+11	UGC05986       	163.12972	+36.61878
UGC06399   	S 	 87.60	 38.86	 58.74	 27.28	 2.04e+09	 4.54	 1.27e+11	UGC06399       	170.84675	+50.89264
UGC06446   	S 	 84.90	 38.55	 64.44	 24.16	 2.33e+09	 6.00	 1.15e+11	UGC06446       	171.66861	+53.74667
UGC06614   	S 	205.00	209.41	184.29	186.91	 9.13e+10	13.15	 1.90e+12	UGC06614       	174.81197	+17.14367
UGC06667   	S 	 85.70	 30.25	 54.81	 12.29	 1.77e+09	 5.12	 1.19e+11	UGC06667       	175.60962	+51.59801
UGC06786   	S 	229.00	175.04	219.00	155.28	 4.34e+10	 4.47	 2.71e+12	UGC06786       	177.28940	+27.02202
UGC06787   	S 	276.00	271.81	243.26	170.76	 5.58e+10	 2.77	 4.91e+12	UGC06787       	177.31404	+56.08435
UGC06818   	S 	 74.40	 32.73	 31.86	 28.59	 2.23e+09	 3.73	 7.59e+10	UGC06818       	177.69574	+45.80733
UGC06917   	S 	111.00	 56.30	 79.59	 43.25	 6.11e+09	 6.44	 2.70e+11	UGC06917       	179.11989	+50.42839
UGC06923   	S 	 81.10	 47.91	 61.65	 43.56	 2.52e+09	 2.88	 9.97e+10	UGC06923       	179.20636	+53.16034
UGC06930   	S 	109.00	 60.56	 78.67	 41.51	 8.77e+09	 8.06	 2.55e+11	UGC06930       	179.32241	+49.28352
UGC06983   	S 	113.00	 51.91	 90.67	 43.65	 6.60e+09	 7.81	 2.86e+11	UGC06983       	179.78639	+52.70779
UGC07089   	S 	 79.10	 42.06	 40.58	 29.31	 3.41e+09	 5.01	 9.22e+10	UGC07089       	181.49061	+43.14336
UGC07125   	S 	 65.60	 44.56	 31.20	 24.34	 7.51e+09	10.46	 5.10e+10	UGC07125       	182.17297	+36.80230
UGC07151   	S 	 76.20	 44.10	 64.66	 36.63	 1.96e+09	 3.54	 8.19e+10	UGC07151       	182.49417	+46.45718
UGC07323   	S 	 85.60	 51.74	 52.58	 35.03	 3.01e+09	 3.91	 1.18e+11	UGC07323       	184.37576	+45.61931
UGC07399   	S 	106.00	 33.87	 91.53	 32.51	 1.57e+09	 3.27	 2.33e+11	UGC07399       	185.15883	+46.29102
UGC07524   	S 	 83.80	 43.92	 44.96	 19.35	 3.58e+09	 7.73	 1.11e+11	UGC07524       	186.45360	+33.54686
UGC07559   	S 	 32.10	 19.76	 18.91	 13.18	 2.79e+08	 1.79	 5.34e+09	UGC07559       	186.77319	+37.14177
UGC07577   	S 	 17.80	 12.60	  6.69	  5.52	 8.10e+07	 1.10	 8.39e+08	UGC07577       	186.92450	+43.49948
UGC07603   	S 	 64.00	 27.55	 58.22	 27.15	 5.31e+08	 1.56	 4.71e+10	UGC07603       	187.18385	+22.82043
UGC07690   	S 	 60.70	 36.49	 60.65	 35.71	 9.48e+08	 1.59	 3.99e+10	UGC07690       	188.11206	+42.70412
UGC07866   	S 	 33.10	 18.42	 23.18	 12.75	 2.19e+08	 1.53	 5.88e+09	UGC07866       	190.56314	+38.50162
UGC08286   	S 	 84.30	 35.34	 72.65	 29.57	 1.48e+09	 3.94	 1.13e+11	UGC08286       	198.04918	+44.03815
UGC08490   	S 	 80.10	 35.71	 76.29	 35.55	 1.47e+09	 2.96	 9.59e+10	UGC08490       	202.40212	+58.41873
UGC08550   	S 	 57.80	 24.64	 48.45	 23.06	 5.28e+08	 3.96	 3.41e+10	UGC08550       	203.51180	+47.91547
UGC08699   	S 	202.00	214.73	170.49	125.86	 3.01e+10	 3.85	 1.82e+12	UGC08699       	206.28628	+41.50339
UGC08837   	S 	 48.00	 29.32	 18.56	 13.25	 6.76e+08	 2.82	 1.90e+10	UGC08837       	208.69001	+53.90557
UGC09037   	S 	160.00	116.33	102.52	107.36	 5.97e+10	10.23	 8.64e+11	UGC09037       	212.12127	+07.05800
UGC09133   	S 	289.00	283.20	287.52	244.07	 1.86e+11	 8.06	 5.69e+12	UGC09133       	214.03229	+35.34386
UGC10310   	S 	 73.20	 40.86	 52.31	 24.84	 2.46e+09	 4.84	 7.21e+10	UGC10310       	244.07458	+47.04531
UGC11455   	S 	291.00	232.15	232.60	204.66	 2.05e+11	10.36	 5.81e+12	UGC11455       	292.48461	+72.11293
UGC11820   	S 	 84.45	 38.77	 49.23	 20.19	 3.11e+09	 8.75	 1.13e+11	UGC11820       	327.36933	+14.23094
UGC12506   	S 	255.00	134.55	210.25	101.90	 1.17e+11	18.78	 3.82e+12	UGC12506       	349.87706	+16.07479
UGC12632   	S 	 73.20	 36.66	 44.04	 18.21	 2.97e+09	 7.28	 7.21e+10	UGC12632       	352.49492	+40.99033
UGC12732   	S 	 98.00	 46.29	 59.03	 23.06	 5.70e+09	11.78	 1.82e+11	UGC12732       	355.16650	+26.23606
UGCA442    	S 	 57.80	 24.49	 34.31	 18.27	 4.20e+08	 2.18	 3.41e+10	UGCA442        	355.93979	-31.95677
UGCA444    	S 	 38.30	 16.18	 25.38	 14.49	 9.51e+07	 1.19	 9.32e+09	UGCA444        	000.49125	-15.46389
U11707     	A 	103.74	 32.33	 63.19	 22.91	 2.24e+09	 5.99	 2.18e+11	UGC 11707      	318.63229	+26.73458
N2552      	A 	 96.10	 35.28	 68.53	 30.81	 1.78e+09	 3.43	 1.71e+11	N2552          	124.83556	+50.00961
wlm        	LT	 38.53	 14.84	 26.93	 10.86	 1.73e+08	 2.22	 9.49e+09	NAME WLM Galaxy	000.49125	-15.46389
ddo87      	LT	 56.63	 18.79	 22.83	  4.92	 5.85e+08	 4.68	 3.20e+10	ddo87          	162.40172	+65.53363
ddo50      	LT	 38.84	 33.88	 22.29	  7.38	 1.67e+09	 4.62	 9.74e+09	ddo50          	124.77078	+70.72030
ddo52      	LT	 61.72	 22.52	 38.71	 10.70	 6.30e+08	 3.80	 4.20e+10	ddo52          	127.11900	+41.85753
ngc1569    	LT	 39.28	 38.68	 23.57	 20.45	 1.12e+09	 2.84	 1.01e+10	ngc1569        	067.70494	+64.84792
haro29     	LT	 43.49	 12.00	 29.82	  9.69	 1.68e+08	 4.36	 1.39e+10	[H56] 29       	186.56675	+48.49350
cvnidwa    	LT	 26.45	  8.89	  9.14	  8.43	 4.53e+07	 1.68	 2.91e+09	NAME CVn I dwA 	189.66708	+32.76639
ddo133     	LT	 46.73	 18.84	 32.36	 11.48	 2.87e+08	 2.28	 1.74e+10	ddo133         	188.22708	+31.54167
ic1613     	LT	 21.13	 15.29	  6.13	  5.03	 1.47e+08	 1.82	 1.44e+09	ic1613         	016.22583	+02.13333
ddo216     	LT	 18.91	  8.45	 12.69	  6.90	 1.73e+07	 0.60	 1.01e+09	ddo216         	352.14667	+14.74306
ddo126     	LT	 38.74	 18.70	 19.63	 10.07	 2.91e+08	 2.44	 9.66e+09	ddo126         	186.77319	+37.14177
NGC 925    	TH	114.50	 75.56	 54.41	 46.03	 1.73e+10	 9.65	 2.98e+11	NGC 925        	036.82047	+33.57888
NGC 3621   	TH	159.20	118.03	130.41	116.23	 3.48e+10	 6.38	 8.50e+11	NGC 3621       	169.56792	-32.81260
ngc4396    	R 	 99.46	 30.63	 79.58	 30.13	 1.12e+09	 2.71	 1.91e+11	ngc4396        	186.49501	+15.67147
ngc6106    	R 	124.75	 68.67	114.06	 68.32	 5.46e+09	 2.58	 3.91e+11	ngc6106        	244.69655	+07.41082
ugc4169    	R 	 97.72	 46.37	 74.84	 38.39	 3.11e+09	 3.65	 1.80e+11	ugc4169        	120.63717	+61.38822
ugc3371    	R 	 64.01	 15.95	 36.79	 10.54	 3.98e+08	 4.26	 4.71e+10	ugc3371        	089.14992	+75.31719

