#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T19:40:09 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T19:40:10	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablec1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73880500
#Name: J/MNRAS/388/500
#Title: GHASP: H{alpha} data cubes for 108 galaxies (Epinat+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/mnras/388/500	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/388/500	    IVOID of underlying data collection
#INFO	creator=Epinat B.	    First author or institution
#INFO	cites=bibcode:2008MNRAS.388..500E	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/388/500	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73880500	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_388_500_tablec1:
#Name: J/MNRAS/388/500/tablec1
#Title: Log of the observations
#Column	Name	(a9)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	NGC	(a5)	? Name in the NGC catalogue when available	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	H	(A1)	[H] H when position from HyperLeda	[ucd=meta.note]
#Column	lamc	(F6.1)	Central wavelength of the interference filter used	[ucd=em.wl.central]
#Column	FWHM	(F4.1)	FWHM of the interference filter	[ucd=phys.angSize]
#Column	Date	(A10)	Date of the observations	[ucd=time.epoch;obs]
#Column	ExpTime	(I5)	Total exposure time	[ucd=time.duration;obs.exposure]
#Column	Seeing	(F4.1)	Seeing	[ucd=instr.obsty.seeing]
Name	NGC	RAJ2000	DEJ2000	H	lamc	FWHM	Date	ExpTime	Seeing
UGC 3708 	2341 	07 09 12.0	+20 36 11	 	6674.2	20.0	2003-03-02	 6480	 3.3
UGC 3709 	2342 	07 09 18.1	+20 38 10	 	6674.2	20.0	2003-03-02	 6480	 3.3
UGC 3826 	     	07 24 28.0	+61 41 38	 	6601.6	12.0	2002-03-20	 4560	 3.2
UGC 3740 	2276 	07 27 13.1	+85 45 16	 	6613.7	11.1	2002-03-15	 4800	 3.4
UGC 3876 	     	07 29 17.5	+27 54 00	 	6581.7	10.6	2004-03-18	 6000	 3.4
UGC 3876 	     	07 29 17.5	+27 54 00	 	6581.7	10.6	2004-03-19	 9600	 3.4
UGC 3915 	     	07 34 55.8	+31 16 34	 	6659.2	20.0	2003-03-03	 6000	 3.4
IC 476   	     	07 47 16.5	+26 57 03	 	6659.2	20.0	2003-03-07	 6240	 3.0
UGC 4026 	2449 	07 47 20.4	+26 55 48	 	6659.2	20.0	2003-03-07	 6240	 3.0
UGC 4165 	2500 	08 01 53.2	+50 44 15	 	6573.7	11.4	2002-03-16	 4800	 3.0
UGC 4165 	2500 	08 01 53.2	+50 44 15	 	6573.6	11.4	2002-03-17	 4800	 2.5
UGC 4256 	2532 	08 10 15.2	+33 57 24	 	6674.3	20.0	2004-03-17	 6960	 2.4
UGC 4393 	     	08 26 04.4	+45 58 02	 	6611.1	11.1	2004-03-20	 6960	 3.5
UGC 4422 	2595 	08 27 42.0	+21 28 45	 	6658.4	20.0	2003-03-09	 7200	 2.7
UGC 4456 	     	08 32 03.5	+24 00 39	 	6688.7	20.0	2004-03-22	 6720	 4.8
UGC 4555 	2649 	08 44 08.4	+34 43 02	 	6658.7	20.0	2004-03-23	 6960	 5.9
UGC 4770 	2746 	09 05 59.4	+35 22 38	 	6718.7	20.0	2004-03-24	 7920	 4.3
UGC 4820 	2775 	09 10 20.1	+07 02 17	 	6593.0	10.1	2003-03-06	 8400	 6.3
UGC 5045 	     	09 28 10.2	+44 39 52	 	6734.3	20.0	2003-03-09	 6960	 2.5
UGC 5175 	2977 	09 43 46.8	+74 51 35	 	6628.5	20.0	2004-03-23	 5520	 6.9
UGC 5228 	     	09 46 03.8	+01 40 06	 	6602.9	12.0	2003-03-04	 9120	 2.8
UGC 5251 	3003 	09 48 36.4	+33 25 17	 	6593.9	10.1	2002-03-15	 1680	 3.1
UGC 5279 	3026 	09 50 55.1	+28 33 05	H	6594.2	10.1	2004-03-16	 6000	 2.7
UGC 5319 	3061 	09 56 12.0	+75 51 59	 	6613.9	11.1	2004-03-17	 7200	 2.4
UGC 5351 	3067 	09 58 21.3	+32 22 12	H	6593.7	10.1	2003-03-07	 7200	 4.1
UGC 5373 	     	10 00 00.5	+05 19 58	 	6571.0	11.4	2004-03-22	 7680	 4.6
UGC 5398 	3077 	10 03 20.0	+68 44 01	H	6563.7	12.0	2003-03-08	 7920	 3.2
IC 2542  	     	10 07 50.5	+34 18 55	 	6689.7	20.0	2004-03-21	 7440	 4.1
UGC 5510 	3162 	10 13 31.7	+22 44 14	 	6592.3	10.1	2003-03-02	 6240	 3.5
UGC 5532 	3147 	10 16 53.5	+73 24 03	 	6630.3	 9.6	2002-03-19	 4560	 3.3
UGC 5532 	3147 	10 16 53.5	+73 24 03	 	6623.1	 8.6	2002-03-20	 1920	 3.3
UGC 5556 	3187 	10 17 47.9	+21 52 24	H	6593.9	10.1	2002-03-17	 5760	 3.1
UGC 5786 	3310 	10 38 45.9	+53 30 12	 	6584.2	10.6	2002-03-20	 4080	 4.1
UGC 5840 	3344 	10 43 31.1	+24 55 21	 	6573.7	11.4	2002-03-20	 5760	 3.3
UGC 5842 	3346 	10 43 39.0	+14 52 18	 	6584.2	10.6	2004-03-20	 6000	 3.5
UGC 6118 	3504 	11 03 11.3	+27 58 20	 	6593.9	10.1	2002-03-18	 5760	 2.4
UGC 6277 	3596 	11 15 06.2	+14 47 12	 	6580.8	10.6	2004-03-19	10320	 2.9
UGC 6419 	3664 	11 24 24.6	+03 19 36	 	6593.9	10.1	2003-04-27	 6960	 3.5
UGC 6521 	3719 	11 32 13.4	+00 49 09	 	6689.2	20.0	2003-03-05	 6960	 3.7
UGC 6523 	3720 	11 32 21.6	+00 48 14	 	6689.2	20.0	2003-03-05	 6960	 3.7
UGC 6787 	3898 	11 49 15.6	+56 05 04	 	6584.3	10.6	2002-03-19	 3600	 2.9
UGC 6787 	3898 	11 49 15.6	+56 05 04	 	6584.2	10.6	2002-03-20	 5760	 3.3
UGC 7021 	4045 	12 02 42.3	+01 58 36	 	6602.6	12.0	2003-03-04	 7200	 4.3
UGC 7045 	4062 	12 04 03.8	+31 53 42	 	6581.1	10.6	2004-03-18	 6000	 2.1
UGC 7154 	4145 	12 10 01.4	+39 53 02	 	6584.2	10.6	2002-03-21	 5520	 4.2
UGC 7429 	4319 	12 21 43.1	+75 19 22	H	6592.1	10.1	2003-03-03	 6960	 4.3
UGC 7699 	     	12 32 48.0	+37 37 18	H	6573.9	14.0	2004-03-22	 6720	 4.6
UGC 7766 	4559 	12 35 57.3	+27 57 38	 	6583.3	10.6	2002-06-17	 2400	 1.9
UGC 7831 	4605 	12 39 59.7	+61 36 29	 	6565.7	12.0	2002-06-15	 3840	 2.2
UGC 7853 	4618 	12 41 33.1	+41 09 05	 	6573.6	11.4	2002-03-18	 5040	 2.6
UGC 7861 	4625 	12 41 52.9	+41 16 25	 	6575.7	11.4	2002-06-16	 3840	 3.3
UGC 7876 	4635 	12 42 39.3	+19 56 44	 	6584.3	10.6	2004-03-17	 6720	 3.0
UGC 7901 	4651 	12 43 42.7	+16 23 35	 	6581.7	10.6	2004-03-19	 8160	 3.8
UGC 7985 	4713 	12 49 57.9	+05 18 42	 	6574.1	11.4	2003-04-26	 6240	 5.4
UGC 8334 	5055 	13 15 49.4	+42 01 46	 	6572.9	13.7	2002-06-14	 4320	 2.3
UGC 8403 	5112 	13 21 56.6	+38 44 05	 	6584.2	10.6	2002-03-21	 4080	 4.4
NGC 5296 	5296 	13 46 18.7	+43 51 04	 	6615.4	11.1	2002-06-13	 6000	 3.2
UGC 8709 	5297 	13 46 23.7	+43 52 20	 	6615.4	11.1	2002-06-13	 6000	 3.2
UGC 8852 	5376 	13 55 16.1	+59 30 25	 	6610.2	11.1	2003-03-05	 2880	 2.8
UGC 8852 	5376 	13 55 16.1	+59 30 25	 	6609.9	11.1	2003-03-07	 4800	 3.7
UGC 8863 	5377 	13 56 16.7	+47 14 08	 	6601.1	12.0	2004-03-26	 5040	 3.3
UGC 8898 	5394 	13 58 33.7	+37 27 12	 	6651.1	20.6	2002-03-18	 4320	 2.7
UGC 8900 	5395 	13 58 38.0	+37 25 28	 	6651.1	20.6	2002-03-18	 4320	 2.7
UGC 8937 	5430 	14 00 45.8	+59 19 43	 	6628.2	20.0	2003-03-03	 8880	 4.4
UGC 9013 	5474 	14 05 02.0	+53 39 08	 	6565.2	12.0	2002-06-14	 5040	 2.3
UGC 9179 	5585 	14 19 48.1	+56 43 45	 	6570.7	11.4	2004-03-20	 8160	 3.1
UGC 9219 	5608 	14 23 17.5	+41 46 34	H	6573.7	11.4	2004-03-22	 6480	 4.7
UGC 9248 	5622 	14 26 12.2	+48 33 51	 	6655.2	20.6	2004-03-21	10800	 4.8
UGC 9358 	5678 	14 32 05.6	+57 55 16	 	6603.0	12.0	2004-03-19	 7680	 4.3
UGC 9363 	5668 	14 33 24.4	+04 27 02	 	6594.1	10.1	2003-04-26	 8160	 2.8
UGC 9406 	5693 	14 36 11.1	+48 35 06	 	6612.6	11.1	2003-04-28	 6000	 3.3
UGC 9465 	5727 	14 40 26.1	+33 59 23	 	6594.1	10.1	2004-03-17	 6480	 3.4
UGC 9576 	5774 	14 53 42.5	+03 34 57	 	6594.2	10.1	2003-04-27	 6840	 4.1
UGC 9736 	5874 	15 07 51.9	+54 45 08	 	6629.1	20.0	2003-03-02	 3840	 4.8
UGC 9866 	5949 	15 28 00.6	+64 45 46	 	6572.2	11.4	2004-03-24	 5280	 6.9
UGC 9943 	5970 	15 38 30.0	+12 11 11	 	6602.5	12.0	2003-03-04	 8400	 4.3
UGC 10075	6015 	15 51 25.3	+62 18 36	 	6580.9	10.6	2004-03-18	 5760	 3.2
UGC 10521	6207 	16 43 03.7	+36 49 55	 	6582.1	10.6	2003-04-28	 2400	 3.0
UGC 10521	6207 	16 43 03.7	+36 49 55	 	6582.1	10.6	2003-04-29	 5280	 3.9
UGC 10652	6283 	16 59 26.5	+49 55 20	 	6584.2	10.6	2003-04-26	 2880	 3.2
UGC 10652	6283 	16 59 26.5	+49 55 20	 	6584.2	10.6	2003-04-27	 3120	 4.1
UGC 10713	     	17 04 33.7	+72 26 45	H	6585.5	10.6	2002-09-04	 5040	 2.4
UGC 10757	     	17 10 13.4	+72 24 38	 	6586.0	10.6	2002-06-17	 5280	 2.4
UGC 10769	     	17 11 33.5	+72 24 07	H	6592.9	10.1	2002-06-17	 5280	 2.1
UGC 10791	     	17 14 38.5	+72 23 56	 	6593.1	10.1	2002-06-15	 6000	 2.6
UGC 11012	6503 	17 49 26.3	+70 08 40	 	6562.2	 8.8	2002-09-06	 5040	 2.6
UGC 11269	6667 	18 30 39.7	+67 59 14	 	6615.5	11.1	2002-06-17	 3840	 2.3
UGC 11300	6689 	18 34 49.9	+70 31 28	 	6584.4	10.6	2002-09-05	 5040	 3.7
UGC 11332	6654A	18 39 25.2	+73 34 48	H	6594.7	10.1	2002-09-10	 7200	 5.5
UGC 11407	6764 	19 08 16.4	+50 55 59	 	6615.0	11.1	2002-09-11	 6480	 2.6
UGC 11466	     	19 42 59.1	+45 17 58	 	6583.0	10.6	2002-06-16	 5040	 2.3
UGC 11470	6824 	19 43 40.8	+56 06 34	 	6628.6	20.0	2002-09-06	 3600	 2.2
UGC 11496	     	19 53 01.8	+67 39 54	 	6611.3	11.1	2002-06-18	 5520	 1.9
UGC 11498	     	19 57 15.1	+05 53 24	 	6628.0	20.0	2003-10-25	 8400	 4.3
UGC 11597	6946 	20 34 52.5	+60 09 12	 	6562.3	 8.8	2002-06-14	 5280	 2.4
UGC 11670	7013 	21 03 33.7	+29 53 50	 	6581.9	10.6	2002-09-11	 7440	 2.7
UGC 11872	7177 	22 00 41.2	+17 44 18	 	6584.8	10.6	2002-09-10	 7200	 4.7
UGC 12082	     	22 34 11.3	+32 51 42	 	6582.1	10.6	2002-09-02	 7440	 2.8

