#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:45:07 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:45:07	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/385/816/rawcurve&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33850816
#Name: J/A+A/385/816
#Title: LSB galaxies rotation curves (de Blok+ 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/385/816	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/385/816	    IVOID of underlying data collection
#INFO	creator=de Blok W.J.G.	    First author or institution
#INFO	cites=bibcode:2002A&A...385..816D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/385/816	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33850816	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-11-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_385_816_rawcurve:
#Name: J/A+A/385/816/rawcurve
#Title: Raw rotation curves
#Column	Name	(a11)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	r	(F8.1)	Angular radius	[ucd=phys.angSize]
#Column	Vrot	(F9.2)	Rotation velocity (1)	[ucd=phys.veloc.rotat]
#Column	e_Vrot	(F6.2)	Error in rotation velocity (1)	[ucd=stat.error]
Name	r	Vrot	e_Vrot
UGC711     	   -80.4	   -95.43	 13.98
UGC711     	   -76.8	   -88.01	 12.27
UGC711     	   -75.0	   -94.33	  7.86
UGC711     	   -73.2	   -87.38	  4.41
UGC711     	   -71.4	   -85.45	  6.72
UGC711     	   -69.6	   -70.33	  5.04
UGC711     	   -67.8	   -69.07	  3.66
UGC711     	   -66.0	   -68.19	  3.64
UGC711     	   -64.2	   -79.53	  5.28
UGC711     	   -62.4	   -81.65	  4.53
UGC711     	   -60.6	   -86.73	  1.78
UGC711     	   -58.8	   -85.43	  1.26
UGC711     	   -57.0	   -86.09	  1.18
UGC711     	   -55.2	   -80.95	  2.20
UGC711     	   -53.4	   -64.34	  4.18
UGC711     	   -51.6	   -69.82	  4.04
UGC711     	   -49.8	   -68.65	  2.48
UGC711     	   -48.0	   -68.34	  2.73
UGC711     	   -46.2	   -60.75	  4.75
UGC711     	   -44.4	   -61.97	  4.19
UGC711     	   -42.6	   -66.25	  6.66
UGC711     	   -40.8	   -60.40	  5.79
UGC711     	   -39.0	   -63.94	  5.47
UGC711     	   -37.2	   -48.16	  4.66
UGC711     	   -35.4	   -44.03	  3.66
UGC711     	   -33.6	   -46.26	  3.31
UGC711     	   -31.8	   -48.95	  3.86
UGC711     	   -30.0	   -44.19	  4.74
UGC711     	   -28.2	   -44.75	  3.75
UGC711     	   -26.4	   -43.59	  3.72
UGC711     	   -24.6	   -38.58	  3.12
UGC711     	   -22.8	   -39.00	  3.75
UGC711     	   -21.0	   -30.74	  4.49
UGC711     	   -19.2	   -29.30	  2.62
UGC711     	   -17.4	   -25.37	  1.34
UGC711     	   -15.6	   -22.20	  0.98
UGC711     	   -13.8	   -20.47	  0.94
UGC711     	   -12.0	   -17.95	  0.99
UGC711     	   -10.2	   -16.25	  0.79
UGC711     	    -8.4	   -14.24	  0.82
UGC711     	    -6.6	     5.92	  0.84
UGC711     	    -4.8	    18.10	  0.90
UGC711     	    -3.0	    23.01	  0.78
UGC711     	    -1.2	    22.04	  1.08
UGC711     	     0.6	    20.35	  1.00
UGC711     	     2.4	    14.91	  1.42
UGC711     	     4.2	    19.50	  1.62
UGC711     	     6.0	    22.79	  1.55
UGC711     	     7.8	    22.27	  1.09
UGC711     	     9.6	    25.28	  0.98
UGC711     	    11.4	    22.17	  1.03
UGC711     	    13.2	    29.32	  1.62
UGC711     	    15.0	    45.16	  2.10
UGC711     	    16.8	    47.82	  7.18
UGC711     	    18.6	    37.42	  9.65
UGC711     	    20.4	    40.77	 13.00
UGC711     	    22.2	    42.07	  6.55
UGC711     	    24.0	    40.18	  5.37
UGC711     	    25.8	    43.72	  4.10
UGC711     	    27.6	    44.92	  3.40
UGC711     	    29.4	    48.91	  2.60
UGC711     	    31.2	    54.94	  1.53
UGC711     	    33.0	    57.92	  1.28
UGC711     	    34.8	    59.97	  0.61
UGC711     	    36.6	    59.90	  0.53
UGC711     	    38.4	    60.06	  0.58
UGC711     	    40.2	    59.98	  1.13
UGC711     	    42.0	    56.45	  1.44
UGC711     	    43.8	    47.54	  1.47
UGC711     	    45.6	    48.52	  1.36
UGC711     	    47.4	    55.00	  4.14
UGC711     	    49.2	    59.33	  5.56
UGC711     	    51.0	    64.23	  6.20
UGC711     	    52.8	    67.84	  9.69
UGC711     	    54.6	    74.36	 10.43
UGC711     	    56.4	    55.67	  9.32
UGC711     	    58.2	    67.29	  6.65
UGC711     	    60.0	    72.23	  7.14
UGC711     	    61.8	    62.34	  9.95
UGC711     	    63.6	    77.30	  4.27
UGC711     	    65.4	    77.35	  3.15
UGC711     	    67.2	    83.78	  2.30
UGC711     	    69.0	    82.52	  2.53
UGC711     	    70.8	    82.43	  2.50
UGC711     	    72.6	    90.89	  3.12
UGC711     	    74.4	    87.07	  2.18
UGC711     	    76.2	    81.07	  1.48
UGC711     	    78.0	    82.69	  2.49
UGC711     	    79.8	    89.22	  7.64
UGC711     	    81.6	    89.52	  9.91
UGC711     	    85.2	    84.56	 16.18
UGC711     	    87.0	    85.67	  5.32
UGC711     	    88.8	    91.47	 10.48
UGC711     	    92.4	    76.46	 10.27
NGC100     	  -148.2	   -92.29	  7.79
NGC100     	  -142.8	   -87.50	  7.27
NGC100     	  -126.6	   -81.08	  9.17
NGC100     	  -121.2	   -94.28	 14.94
NGC100     	  -115.8	   -89.22	 10.81
NGC100     	  -110.4	   -81.89	 22.56
NGC100     	  -105.0	   -93.08	  4.15
NGC100     	   -99.6	   -96.83	  1.74
NGC100     	   -94.2	   -86.45	  4.10
NGC100     	   -78.6	   -66.64	 11.57
NGC100     	   -72.6	   -73.16	  6.12
NGC100     	   -67.2	   -74.77	  3.49
NGC100     	   -61.8	   -74.34	  2.67
NGC100     	   -60.0	   -69.51	  3.38
NGC100     	   -58.2	   -77.47	  2.74
NGC100     	   -56.4	   -75.17	  1.80
NGC100     	   -54.6	   -76.44	  1.29
NGC100     	   -52.8	   -73.08	  1.13
NGC100     	   -51.0	   -73.12	  0.74
NGC100     	   -49.2	   -73.27	  1.06
NGC100     	   -47.4	   -73.59	  0.90
NGC100     	   -45.6	   -71.50	  0.87
NGC100     	   -43.8	   -69.55	  0.85
NGC100     	   -42.0	   -66.13	  0.90
NGC100     	   -40.2	   -63.38	  0.91
NGC100     	   -38.4	   -59.63	  1.02
NGC100     	   -36.6	   -55.49	  0.96
NGC100     	   -34.8	   -56.21	  1.11
NGC100     	   -33.0	   -56.63	  0.93
NGC100     	   -31.2	   -56.46	  1.18
NGC100     	   -29.4	   -52.38	  1.30
NGC100     	   -27.6	   -51.85	  1.12
NGC100     	   -25.8	   -52.39	  0.98
NGC100     	   -24.0	   -49.42	  1.12
NGC100     	   -22.2	   -44.56	  1.88
NGC100     	   -20.4	   -42.01	  2.31
NGC100     	   -18.6	   -37.97	  1.96
NGC100     	   -16.8	   -34.26	  1.84
NGC100     	   -15.0	   -32.85	  1.32
NGC100     	   -13.2	   -32.07	  1.59
NGC100     	   -11.4	   -31.64	  2.40
NGC100     	    -9.6	   -31.63	  3.86
NGC100     	    -7.8	   -17.41	  3.88
NGC100     	    -6.0	   -11.25	  2.36
NGC100     	    -4.2	    -3.49	  1.96
NGC100     	    -2.4	    -0.99	  1.67
NGC100     	    -0.6	     3.31	  1.46
NGC100     	     1.2	    11.54	  1.27
NGC100     	     3.0	    18.79	  0.93
NGC100     	     4.8	    19.64	  0.90
NGC100     	     6.6	    22.32	  1.14
NGC100     	     8.4	    26.52	  1.57
NGC100     	    10.2	    28.49	  1.89
NGC100     	    12.0	    22.60	  4.52
NGC100     	    13.8	    25.12	  3.65
NGC100     	    15.6	    30.27	  2.77
NGC100     	    17.4	    40.84	  2.31
NGC100     	    19.2	    43.68	  1.40
NGC100     	    21.0	    42.96	  1.88
NGC100     	    22.8	    43.00	  2.48
NGC100     	    24.6	    43.78	  2.69
NGC100     	    26.4	    46.54	  2.73
NGC100     	    28.2	    48.38	  2.85
NGC100     	    30.0	    51.17	  1.52
NGC100     	    31.8	    53.40	  1.11
NGC100     	    33.6	    54.38	  0.85
NGC100     	    35.4	    57.27	  0.98
NGC100     	    37.2	    59.85	  1.45
NGC100     	    39.0	    60.16	  2.17
NGC100     	    40.8	    61.56	  1.61
NGC100     	    42.6	    63.43	  1.52
NGC100     	    44.4	    66.76	  1.30
NGC100     	    46.2	    68.41	  1.42
NGC100     	    48.0	    69.84	  1.69
NGC100     	    49.8	    67.27	  2.49
NGC100     	    51.6	    71.06	  5.92
NGC100     	    53.4	    70.44	  5.66
NGC100     	    55.2	    73.20	  5.83
NGC100     	    57.0	    81.29	  6.81
NGC100     	    60.6	    76.14	  6.82
NGC100     	    66.0	    81.25	  4.33
NGC100     	    71.4	    73.94	  6.89
NGC100     	    76.8	    77.81	  6.75
NGC100     	    82.2	    89.07	  9.00
NGC100     	    98.4	    72.30	  1.63
NGC100     	   103.8	    86.92	  5.02
NGC100     	   109.2	    91.50	 11.05
NGC100     	   114.6	    87.26	 11.07
NGC100     	   120.0	    85.23	  6.43
NGC100     	   125.4	    97.69	  9.95
NGC100     	   141.6	   107.25	 10.53
NGC100     	   152.4	   100.50	 21.06
NGC1560    	  -326.0	   -69.90	  9.74
NGC1560    	  -320.6	   -56.73	  9.18
NGC1560    	  -304.4	   -81.90	  9.23
NGC1560    	  -299.0	   -78.90	  5.67
NGC1560    	  -293.6	   -73.80	  4.38
NGC1560    	  -288.2	   -75.90	  0.80
NGC1560    	  -282.8	   -68.50	  0.71
NGC1560    	  -277.4	   -62.01	  9.52
NGC1560    	  -239.6	   -66.90	  9.59
NGC1560    	  -234.2	   -55.68	  5.90
NGC1560    	  -228.8	   -63.64	  4.85
NGC1560    	  -218.0	   -53.61	  6.95
NGC1560    	  -212.6	   -52.95	  9.37
NGC1560    	  -207.2	   -39.71	 13.25
NGC1560    	  -201.8	   -56.27	  5.61
NGC1560    	  -200.0	   -53.66	 10.34
NGC1560    	  -188.6	   -45.59	 20.60
NGC1560    	  -187.4	   -48.81	 18.46
NGC1560    	  -183.8	   -49.93	 10.13
NGC1560    	  -182.0	   -52.26	  3.98
NGC1560    	  -181.4	   -39.75	  9.17
NGC1560    	  -180.2	   -53.69	  3.04
NGC1560    	  -179.6	   -49.84	  7.72
NGC1560    	  -178.4	   -55.11	  2.78
NGC1560    	  -176.6	   -53.13	  2.12
NGC1560    	  -176.0	   -46.20	  3.75
NGC1560    	  -174.8	   -53.73	  1.97
NGC1560    	  -174.2	   -45.28	  3.50
NGC1560    	  -173.0	   -54.45	  1.67
NGC1560    	  -172.4	   -47.06	  2.27
NGC1560    	  -171.2	   -52.52	  1.46
NGC1560    	  -170.6	   -50.43	  1.48
NGC1560    	  -169.4	   -51.52	  1.03
NGC1560    	  -168.8	   -48.08	  0.74
NGC1560    	  -167.6	   -50.34	  1.06
NGC1560    	  -167.0	   -47.01	  0.82
NGC1560    	  -165.8	   -49.04	  1.30
NGC1560    	  -165.2	   -48.59	  2.37
NGC1560    	  -164.0	   -47.53	  1.61
NGC1560    	  -163.4	   -42.63	  3.53
NGC1560    	  -162.2	   -43.54	  1.39
NGC1560    	  -161.6	   -42.36	  5.30
NGC1560    	  -160.4	   -43.95	  1.20
NGC1560    	  -159.8	   -45.23	  7.38
NGC1560    	  -158.6	   -46.87	  1.24
NGC1560    	  -158.0	   -45.06	  7.27
NGC1560    	  -156.8	   -46.45	  1.58
NGC1560    	  -156.2	   -38.46	  4.80
NGC1560    	  -155.0	   -45.80	  2.35
NGC1560    	  -154.4	   -50.09	  9.60
NGC1560    	  -153.2	   -38.99	  4.14
NGC1560    	  -152.6	   -44.80	  5.04
NGC1560    	  -151.4	   -43.82	  4.32
NGC1560    	  -150.8	   -41.11	  2.02
NGC1560    	  -149.6	   -42.07	  4.65
NGC1560    	  -149.0	   -41.11	  1.71
NGC1560    	  -147.8	   -49.88	  2.49
NGC1560    	  -147.2	   -38.66	  2.55
NGC1560    	  -146.0	   -49.96	  2.21
NGC1560    	  -145.4	   -45.88	  2.10
NGC1560    	  -144.2	   -50.17	  1.72
NGC1560    	  -143.6	   -44.92	  3.75
NGC1560    	  -142.4	   -44.88	  1.93
NGC1560    	  -141.8	   -40.23	  3.90
NGC1560    	  -140.6	   -40.76	  2.01
NGC1560    	  -140.0	   -39.35	  3.51
NGC1560    	  -138.8	   -40.15	  2.50
NGC1560    	  -138.2	   -35.62	  3.33
NGC1560    	  -137.0	   -40.03	  3.10
NGC1560    	  -136.4	   -41.40	  2.66
NGC1560    	  -135.2	   -41.21	  2.73
NGC1560    	  -134.6	   -42.54	  2.46
NGC1560    	  -133.4	   -43.36	  2.42
NGC1560    	  -132.8	   -44.26	  2.05
NGC1560    	  -131.6	   -43.78	  2.34
NGC1560    	  -131.0	   -42.80	  2.63
NGC1560    	  -129.8	   -41.94	  2.20
NGC1560    	  -129.2	   -44.66	  2.65
NGC1560    	  -128.0	   -41.95	  1.89
NGC1560    	  -127.4	   -48.52	  3.29
NGC1560    	  -126.2	   -43.23	  2.35
NGC1560    	  -125.6	   -50.65	  7.87
NGC1560    	  -124.4	   -43.50	  2.00
NGC1560    	  -123.8	   -39.89	  4.46
NGC1560    	  -122.6	   -43.99	  1.49
NGC1560    	  -122.0	   -43.19	  3.28
NGC1560    	  -120.8	   -47.76	  0.81
NGC1560    	  -120.2	   -41.57	  1.88
NGC1560    	  -119.0	   -46.92	  0.75
NGC1560    	  -118.4	   -37.63	  2.19
NGC1560    	  -117.2	   -45.19	  0.66
NGC1560    	  -116.6	   -37.37	  2.51
NGC1560    	  -115.4	   -44.09	  0.98
NGC1560    	  -114.8	   -43.56	  3.28
NGC1560    	  -113.6	   -42.18	  1.54
NGC1560    	  -113.0	   -41.82	  4.79
NGC1560    	  -111.8	   -42.73	  2.25
NGC1560    	  -111.2	   -45.68	  4.98
NGC1560    	  -110.0	   -42.34	  3.15
NGC1560    	  -109.4	   -53.60	  3.68
NGC1560    	  -108.2	   -47.40	  2.58
NGC1560    	  -107.6	   -49.61	  3.66
NGC1560    	  -106.4	   -49.33	  2.63
NGC1560    	  -105.8	   -56.00	  4.84
NGC1560    	  -104.6	   -46.00	  3.35
NGC1560    	  -104.0	   -46.84	  8.39
NGC1560    	  -102.8	   -47.28	  3.88
NGC1560    	  -102.2	   -46.85	  5.75
NGC1560    	  -101.0	   -39.51	  3.08
NGC1560    	  -100.4	   -42.98	  5.61
NGC1560    	   -99.2	   -38.34	  2.58
NGC1560    	   -98.6	   -40.59	  4.71
NGC1560    	   -97.4	   -36.16	  2.79
NGC1560    	   -96.8	   -38.48	  4.05
NGC1560    	   -95.6	   -35.22	  3.07
NGC1560    	   -95.0	   -37.96	  4.26
NGC1560    	   -93.8	   -35.28	  2.46
NGC1560    	   -93.2	   -35.05	  3.63
NGC1560    	   -92.0	   -35.82	  2.47
NGC1560    	   -91.4	   -35.00	  2.36
NGC1560    	   -90.2	   -32.42	  2.17
NGC1560    	   -89.6	   -36.84	  2.23
NGC1560    	   -88.4	   -34.45	  2.40
NGC1560    	   -87.8	   -37.98	  2.11
NGC1560    	   -86.6	   -35.10	  2.37
NGC1560    	   -86.0	   -39.91	  3.39
NGC1560    	   -82.4	   -36.89	  5.97
NGC1560    	   -81.2	   -32.46	  2.78
NGC1560    	   -80.6	   -34.56	  4.99
NGC1560    	   -79.4	   -33.33	  2.29
NGC1560    	   -78.8	   -32.77	  3.58
NGC1560    	   -77.6	   -32.34	  1.48
NGC1560    	   -77.0	   -31.72	  2.90
NGC1560    	   -75.8	   -33.52	  1.54
NGC1560    	   -75.2	   -30.63	  2.05
NGC1560    	   -74.0	   -32.79	  1.42
NGC1560    	   -73.4	   -29.73	  2.23
NGC1560    	   -72.2	   -34.84	  1.17
NGC1560    	   -71.6	   -29.43	  2.28
NGC1560    	   -70.4	   -32.12	  0.93
NGC1560    	   -69.8	   -26.69	  2.48
NGC1560    	   -68.6	   -35.29	  3.76
NGC1560    	   -68.0	   -22.55	  2.64
NGC1560    	   -66.8	   -50.52	  4.07
NGC1560    	   -66.2	   -29.78	  3.20
NGC1560    	   -65.0	   -51.22	  4.44
NGC1560    	   -64.4	   -41.38	  3.54
NGC1560    	   -63.2	   -44.37	  4.21
NGC1560    	   -63.2	   -27.75	  3.57
NGC1560    	   -62.6	   -37.27	  4.08
NGC1560    	   -61.4	   -35.36	  5.33
NGC1560    	   -61.4	   -35.09	  2.02
NGC1560    	   -60.8	   -30.92	  6.80
NGC1560    	   -59.6	   -35.15	  3.03
NGC1560    	   -59.6	   -30.28	  4.76
NGC1560    	   -59.0	   -23.76	  7.93
NGC1560    	   -57.8	   -34.29	  3.21
NGC1560    	   -57.8	   -25.69	  4.19
NGC1560    	   -57.2	   -25.92	  4.80
NGC1560    	   -56.0	   -17.41	  2.57
NGC1560    	   -56.0	   -26.48	  2.39
NGC1560    	   -55.4	   -20.62	  3.08
NGC1560    	   -54.2	   -20.44	  1.89
NGC1560    	   -54.2	   -11.62	  1.86
NGC1560    	   -53.6	   -11.78	  1.78
NGC1560    	   -52.4	   -14.70	  1.30
NGC1560    	   -52.4	   -10.93	  1.00
NGC1560    	   -51.8	    -2.46	  1.47
NGC1560    	   -50.6	    -9.63	  0.77
NGC1560    	   -50.6	   -11.28	  0.88
NGC1560    	   -50.0	    -3.62	  1.40
NGC1560    	   -48.8	   -10.90	  0.63
NGC1560    	   -48.8	   -11.31	  0.85
NGC1560    	   -48.2	    -6.51	  1.30
NGC1560    	   -47.0	   -13.97	  0.80
NGC1560    	   -47.0	   -14.49	  0.71
NGC1560    	   -46.4	   -13.61	  1.28
NGC1560    	   -45.2	   -18.51	  0.57
NGC1560    	   -45.2	   -19.59	  0.62
NGC1560    	   -44.6	   -16.26	  0.89
NGC1560    	   -43.4	   -24.14	  0.52
NGC1560    	   -43.4	   -19.46	  0.61
NGC1560    	   -42.8	   -20.58	  0.80
NGC1560    	   -41.6	   -22.58	  0.58
NGC1560    	   -41.6	   -19.45	  0.73
NGC1560    	   -41.0	   -21.50	  0.94
NGC1560    	   -39.8	   -17.92	  1.25
NGC1560    	   -39.8	   -19.30	  0.69
NGC1560    	   -39.2	   -23.88	  0.73
NGC1560    	   -38.0	   -21.44	  1.03
NGC1560    	   -38.0	   -18.71	  1.52
NGC1560    	   -37.4	   -21.50	  1.13
NGC1560    	   -36.2	   -22.86	  1.43
NGC1560    	   -36.2	   -19.43	  2.17
NGC1560    	   -35.6	   -18.81	  1.27
NGC1560    	   -34.4	   -15.47	  1.96
NGC1560    	   -34.4	   -22.25	  1.96
NGC1560    	   -33.8	   -16.87	  1.74
NGC1560    	   -32.6	   -15.93	  1.89
NGC1560    	   -32.6	   -14.05	  2.01
NGC1560    	   -32.0	   -12.53	  1.36
NGC1560    	   -30.8	   -18.54	  1.67
NGC1560    	   -30.8	   -17.49	  1.87
NGC1560    	   -30.2	   -14.60	  0.83
NGC1560    	   -29.0	   -21.63	  1.08
NGC1560    	   -29.0	   -21.41	  1.23
NGC1560    	   -28.4	   -14.60	  0.95
NGC1560    	   -27.2	   -23.89	  0.95
NGC1560    	   -27.2	   -23.43	  0.78
NGC1560    	   -26.6	   -11.95	  0.76
NGC1560    	   -25.4	   -26.86	  0.62
NGC1560    	   -25.4	   -25.42	  0.61
NGC1560    	   -24.8	   -10.52	  0.69
NGC1560    	   -23.6	   -27.38	  0.58
NGC1560    	   -23.6	   -28.84	  0.62
NGC1560    	   -23.0	    -9.58	  0.59
NGC1560    	   -21.8	   -29.95	  0.57
NGC1560    	   -21.8	   -29.00	  0.57
NGC1560    	   -21.2	    -9.76	  0.72
NGC1560    	   -20.0	   -29.88	  0.53
NGC1560    	   -20.0	   -28.62	  0.56
NGC1560    	   -19.4	   -14.19	  0.86
NGC1560    	   -18.2	   -26.00	  0.53
NGC1560    	   -18.2	   -28.47	  0.53
NGC1560    	   -17.6	   -16.41	  1.73
NGC1560    	   -16.4	   -25.78	  0.56
NGC1560    	   -16.4	   -21.80	  0.68
NGC1560    	   -15.8	   -11.46	  2.40
NGC1560    	   -14.6	   -20.19	  0.69
NGC1560    	   -14.6	   -13.49	  1.06
NGC1560    	   -14.0	    -6.57	  3.52
NGC1560    	   -12.8	   -13.82	  1.13
NGC1560    	   -12.8	    -4.82	  1.58
NGC1560    	   -12.2	    -1.17	  2.49
NGC1560    	   -11.0	   -10.16	  1.52
NGC1560    	   -11.0	    -3.42	  1.56
NGC1560    	   -10.4	    -2.93	  2.18
NGC1560    	    -9.2	    -6.65	  1.33
NGC1560    	    -9.2	    -0.29	  1.60
NGC1560    	    -8.6	    -5.99	  2.32
NGC1560    	    -7.4	    -6.01	  1.49
NGC1560    	    -7.4	    -2.08	  2.08
NGC1560    	    -6.8	    -5.60	  2.29
NGC1560    	    -5.6	    -3.24	  2.23
NGC1560    	    -5.6	     2.80	  4.17
NGC1560    	    -5.0	    -7.71	  2.35
NGC1560    	    -3.8	    -6.16	  5.19
NGC1560    	    -3.8	     0.28	  3.68
NGC1560    	    -3.2	    -6.59	  2.24
NGC1560    	    -2.0	    -3.37	  5.23
NGC1560    	    -2.0	     5.68	 12.69
NGC1560    	    -1.4	    -4.69	  1.88
NGC1560    	    -0.2	    -0.19	  7.78
NGC1560    	    -0.2	     4.75	 11.00
NGC1560    	     0.4	    -3.57	  2.03
NGC1560    	     1.6	     3.68	  4.84
NGC1560    	     1.6	     2.43	  5.56
NGC1560    	     2.2	    -5.42	  2.04
NGC1560    	     3.4	     7.72	  5.05
NGC1560    	     3.4	     9.09	  5.11
NGC1560    	     4.0	    -5.14	  2.47
NGC1560    	     5.2	     5.68	  3.36
NGC1560    	     5.2	    11.21	  3.69
NGC1560    	     5.8	    -1.71	  2.59
NGC1560    	     7.0	    11.20	  3.48
NGC1560    	     7.0	     4.54	  3.10
NGC1560    	     7.6	    -5.04	  2.64
NGC1560    	     8.8	     3.10	  3.03
NGC1560    	     8.8	     5.39	  2.13
NGC1560    	     9.4	    -4.15	  1.54
NGC1560    	    10.6	    -0.57	  1.75
NGC1560    	    10.6	     5.26	  1.27
NGC1560    	    11.2	    -6.30	  1.18
NGC1560    	    12.4	     5.43	  0.79
NGC1560    	    12.4	    -2.97	  0.90
NGC1560    	    13.0	    -6.11	  0.74
NGC1560    	    14.2	     4.42	  0.57
NGC1560    	    14.2	    -2.33	  0.59
NGC1560    	    14.8	    -4.45	  0.70
NGC1560    	    16.0	     4.53	  0.52
NGC1560    	    16.6	    -3.95	  0.67
NGC1560    	    17.8	     2.99	  0.57
NGC1560    	    18.4	    -1.88	  0.76
NGC1560    	    19.6	     2.21	  0.54
NGC1560    	    20.2	     0.90	  0.76
NGC1560    	    21.4	     1.11	  0.55
NGC1560    	    22.0	     1.70	  0.74
NGC1560    	    23.2	    -0.06	  0.59
NGC1560    	    23.8	     1.25	  0.71
NGC1560    	    25.0	    -0.01	  0.90
NGC1560    	    25.6	     1.89	  0.87
NGC1560    	    26.8	     6.56	  1.94
NGC1560    	    27.4	     7.03	  1.08
NGC1560    	    28.6	    15.30	  2.13
